Concelho,Datahora,M*,FG*,,Via,km,Natureza
"Águeda",2010-01-16 20:40,0,1,EN336,,"5,600",Colisão lat. c/ outro veíc. mov.
"Águeda",2010-01-23 21:45,1,0,Estrada Municipal,,,Colisão c/veic./obstáculo f.rodagem
"Águeda",2010-01-28 03:30,0,1,R TECEBEIRA,,,Atropelamento de peões
"Águeda",2010-02-19 18:45,1,0,R FIDALGO,,,Colisão c/veic./obstáculo f.rodagem
"Águeda",2010-03-14 20:50,0,1,R PRINCIPAL,,,Despiste simples
"Águeda",2010-03-20 13:00,1,0,EN1,,"227,200",Colisão lat. c/ outro veíc. mov.
"Águeda",2010-03-22 16:30,0,1,R JOÃO BATISTA,,,Atropelamento de peões
"Águeda",2010-05-07 21:30,0,1,R DO COVÃO,,,Despiste c/capotamento
"Águeda",2010-06-05 01:30,0,1,IC2,,"237,000",Colisão c/outras situações
"Águeda",2010-06-06 21:30,0,1,R DE CIMA,,,Atropelamento de peões
"Águeda",2010-06-20 19:40,3,0,IC2,,"241,200",Colisão choque em cadeia
"Águeda",2010-07-27 20:30,0,2,IC2,,"228,000",Despiste c/capotamento
"Águeda",2010-08-02 10:05,1,0,R Princ. c/ R.N.S. Fátima,,,Despiste c/capotamento
"Águeda",2010-08-06 07:40,0,1,EN1,,"234,000",Colisão lat. c/ outro veíc. mov.
"Águeda",2010-08-07 22:30,0,1,EM575,,,Despiste simples
"Águeda",2010-08-15 18:40,0,1,A25,,"34,380",Despiste c/capotamento
"Águeda",2010-09-09 06:30,1,0,EN230,,"26,500",Despiste simples
"Águeda",2010-09-25 15:15,0,1,Estrada Municipal,,,Despiste simples
"Águeda",2010-09-29 20:15,0,1,A25,,"36,150",Despiste c/capotamento
"Águeda",2010-10-15 12:00,0,1,EN1,,"244,524",Colisão lat. c/ outro veíc. mov.
"Águeda",2010-11-14 16:30,0,1,R PRINCIPAL,,,Colisão c/veic./obstáculo f.rodagem
"Águeda",2010-12-10 17:20,0,1,AV CAL. GULBENKIAN,,,Atropelamento de peões
"Águeda",2010-12-20 19:30,0,1,EN333,,"24,450",Atropelamento de peões
"Águeda",2010-12-25 16:50,1,1,A25,,"29,355",Despiste c/col. c/veíc. imobil./obst.
Alberg.-à-Velha,2010-01-11 17:10,0,1,EN1,,"245,600",Atropelamento de peões
Alberg.-à-Velha,2010-05-09 10:10,0,1,A1,,"247,660",Despiste c/capotamento
Alberg.-à-Velha,2010-06-08 17:45,1,0,Estrada Municipal,,,Despiste simples
Alberg.-à-Velha,2010-06-09 09:20,0,1,A25,,"24,420",Colisão c/veic./obstáculo f.rodagem
Alberg.-à-Velha,2010-07-24 08:40,1,0,EM556-2,,,Colisão c/veic./obstáculo f.rodagem
Alberg.-à-Velha,2010-08-22 11:50,0,1,EN230-2,,"3,800",Despiste simples
Alberg.-à-Velha,2010-09-29 06:15,1,0,EN1,,"252,400",Colisão frontal
Alberg.-à-Velha,2010-10-18 10:00,0,1,VAR-SOBREI,,,Colisão frontal
Anadia,2010-03-28 08:15,0,1,IC2,,"213,041",Atropelamento de peões
Anadia,2010-05-01 11:10,0,1,EN1,,"222,860",Colisão lat. c/ outro veíc. mov.
Anadia,2010-05-05 09:40,0,1,IC2,,"212,520",Colisão lat. c/ outro veíc. mov.
Anadia,2010-05-08 14:15,0,1,EM619-1,,,Despiste simples
Anadia,2010-06-01 02:30,0,2,IC2,,"223,400",Colisão lat. c/ outro veíc. mov.
Anadia,2010-09-30 00:10,0,1,A1,,"218,280",Despiste c/trans. disp.ret. lateral
Anadia,2010-10-05 19:46,0,1,EN1,,"215,850",Atropelamento de peões
Anadia,2010-12-14 15:35,0,1,EN1,,"217,900",Colisão lat. c/ outro veíc. mov.
Arouca,2010-03-04 16:10,1,0,Estrada Municipal,,,Despiste c/capotamento
Arouca,2010-03-09 00:00,0,1,EN327,,"1,300",Despiste c/capotamento
Arouca,2010-04-08 19:00,0,1,EN224,,"31,700",Atropelamento de peões
Arouca,2010-05-30 00:35,0,1,EN326,,"31,550",Despiste com fuga
Arouca,2010-06-26 20:00,0,1,EM504,,,Despiste simples
Arouca,2010-07-07 12:05,0,2,Estrada Municipal,,,Colisão lat. c/ outro veíc. mov.
Arouca,2010-07-10 20:50,0,1,R LIBERDADE,,,Colisão c/veic./obstáculo f.rodagem
Arouca,2010-07-18 10:15,0,1,EN224,,"37,000",Colisão c/veic./obstáculo f.rodagem
Arouca,2010-07-24 01:00,0,1,EN326-1,,"15,300",Despiste c/col. c/veíc. imobil./obst.
Arouca,2010-07-24 02:50,0,1,Estrada Municipal,,,Despiste c/col. c/veíc. imobil./obst.
Arouca,2010-08-30 13:05,0,1,Estrada Municipal,,,Colisão frontal
Aveiro,2010-02-07 00:45,0,2,R. Dr. Marques Costa,,,Atropelamento de peões
Aveiro,2010-03-07 21:00,0,1,R. de Castela 49,,,Despiste c/col. c/veíc. imobil./obst.
Aveiro,2010-03-09 09:30,0,1,EN109,,"59,000",Colisão lat. c/ outro veíc. mov.
Aveiro,2010-03-15 19:55,0,1,Av. Dr. Lourenço Peixinho,,,Atropelamento de peões
Aveiro,2010-03-28 10:30,0,1,A1,,"238,280",Despiste simples
Aveiro,2010-04-14 07:50,1,0,EN109,,"55,000",Colisão lat. c/ outro veíc. mov.
Aveiro,2010-05-04 13:40,0,1,R DIREITA 314,,,Colisão frontal
Aveiro,2010-05-07 19:05,0,1,R. Assoc. Human.  Bomb. Volunt.,,,Colisão lat. c/ outro veíc. mov.
Aveiro,2010-05-11 07:14,0,1,EN235,,"10,300",Colisão lat. c/ outro veíc. mov.
Aveiro,2010-05-16 22:20,1,0,EN235,,"10,100",Atropelamento de peões
Aveiro,2010-05-27 23:55,0,1,Túnel da Av. Dr. L. Peixinho,,,Despiste s/ dispôs. de retenção
Aveiro,2010-06-25 11:05,0,1,R. dos Marnotos 61,,,Atropelamento de peões
Aveiro,2010-07-10 01:30,0,1,EN16,,"5,100",Desp. c/col. c/veíc. imobil./obst.
Aveiro,2010-07-15 23:20,1,0,A25,,"6,984",Desp. c/dispositivo de retenção
Aveiro,2010-07-30 17:30,0,1,EN109,,"57,500",Desp. c/col. c/veíc. imobil./obst.
Aveiro,2010-08-04 14:30,0,1,R. Doutor Mário Sacramento,,,Colisão tras. c/ outro veíc. mov.
Aveiro,2010-09-01 22:30,0,1,EN109,,"56,500",Colisão lat. c/ outro veíc. mov.
Aveiro,2010-09-02 15:10,0,1,Av.. 25 de Abril 54,,,Atropelamento de peões
Aveiro,2010-09-04 19:20,0,1,R. Dom Sancho I .,,,Colisão frontal
Aveiro,2010-09-09 05:45,1,0,EN235,,"9,065",Atropelamento com fuga
Aveiro,2010-09-30 11:15,0,1,R. Batalhão de Caçadores,,,At r o  p  e  l a  me  n  t o de peões
Aveiro,2010-10-13 09:40,0,1,R. República,,,A  t r o  p  e  l a  me  nto de peões
Aveiro,2010-11-07 16:20,0,1,Rua do Carregueiro,,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e s
Aveiro,2010-11-10 08:20,0,1,R. Direita,,,Colisão frontal
Aveiro,2010-11-10 17:50,0,1,EN109,,,Colisão lat. c/ outro veíc. mov.
Aveiro,2010-11-11 14:10,0,1,R. Cónego Maio,,,Atropelamento de peões
Aveiro,2010-11-25 09:55,0,1,R. Cónego Maio,,,Colisão lat. c/ outro veíc. mov.
Aveiro,2010-12-10 04:40,0,1,A25,,"15,405",Colisão tras. c/ outro veíc. mov.
Aveiro,2010-12-14 13:45,0,1,A17,,"115,495",Colisão tras. c/ outro veíc. mov.
Aveiro,2010-12-18 17:30,0,1,EN235,,"7,000",Colisão tras. c/ outro veíc. mov.
Aveiro,2010-12-23 18:00,0,1,R. Dr. Mário Sacramento,,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  es
C. de Paiva,2010-06-06 15:10,2,2,IC35,,"3,000",Colisão frontal
C. de Paiva,2010-08-01 18:30,0,2,EN222,,"54,800",Colisão frontal
C. de Paiva,2010-10-26 15:02,1,1,IC35,,"2,300",Colisão frontal
Espinho,2010-01-06 12:50,1,0,Av. 32 754,,,Atropelamento de peões
Espinho,2010-01-21 22:30,1,0,A29,,"37,600",Colisão frontal
Espinho,2010-04-21 16:45,0,1,Av. 24 000,,,Atropelamento de peões
Espinho,2010-07-07 03:50,0,1,R. 28,,,C  o  l i s  ã  of r o  n  t a  l
Espinho,2010-07-18 05:20,0,1,R. 15 s/no,,,Colisão c/outras situações
Espinho,2010-11-07 16:00,0,1,Bairro Piscatório,,,Atropelamento de peões
Estarreja,2010-01-16 02:15,1,0,A1,,"259,240",Despiste c/trans. disp.ret. lateral
Estarreja,2010-04-15 14:30,0,1,EN109,,"49,450",Colisão frontal
Estarreja,2010-04-23 17:50,1,0,R MONTE BAIXO,,,Atropelamento de peões
Estarreja,2010-05-12 15:00,1,0,EN109,,"47,800",Colisão lat. c/ outro veíc. mov.
Estarreja,2010-05-21 15:40,2,2,A1,,"257,320",Despiste c/capotamento
Estarreja,2010-05-25 23:00,0,1,A1,,"249,980",Colisão tras. c/ outro veíc. mov.
Estarreja,2010-06-01 14:00,0,1,A29,,"4,100",Colis. c/veic./obst. f.rodagem
Estarreja,2010-06-22 20:30,1,0,A29,,"2,063",Despiste simples
Estarreja,2010-07-11 00:05,0,1,EN109-5,,"2,000",Despiste c/capotamento
Estarreja,2010-10-01 08:45,0,1,R OLIVEIRA 4,,,Atropelamento de peões
Estarreja,2010-10-19 18:45,0,1,R CANEDO DE ALEM,,,Colisão frontal
Estarreja,2010-11-25 13:34,1,0,EN109,,"41,750",Colisão lat. c/ outro veíc. mov.
Estarreja,2010-12-28 15:10,0,1,R S FILIPE,,,Colisão lat. c/ outro veíc. mov.
"Ílhavo",2010-02-08 05:30,0,1,R TOME BARROS QUEIROS,,,Desp. c/col. c/veíc. imobil./obst.
"Ílhavo",2010-02-17 08:10,1,0,Estrada Municipal,,,Colisão lat. c/ outro veíc. mov.
"Ílhavo",2010-05-01 03:35,1,0,EN109-7,,"9,600",Colisão frontal
"Ílhavo",2010-05-12 22:00,0,1,EN109-7,,"7,500",Despiste c/capotamento
"Ílhavo",2010-06-26 12:50,0,1,R LUIS DE CAMOES,,Colisão lat. c/ outro veíc. mov.
"Ílhavo",2010-07-24 19:00,0,1,R SANTUARIO,,Atropelamento de peões
"Ílhavo",2010-10-11 19:45,0,1,R. Pedro Ant. Diogo,,Colisão lat. c/ outro veíc. mov.
"Ílhavo",2010-11-03 13:30,0,1,Outra Via,,Colisão lat. c/ outro veíc. mov.
"Ílhavo",2010-11-13 20:00,0,1,R PRIOR VICENTE 12,,Colisão tras. c/ outro veíc. mov.
"Ílhavo",2010-11-20 04:10,0,1,R DA QUINTA NOVA,,Despiste simples
"Ílhavo",2010-12-07 14:05,0,1,RUA DA BARQUINHA,,Colisão lat. c/ outro veíc. mov.
Mealhada,2010-02-07 03:25,0,2,IC2,"211,200",Despiste c/capotamento
Mealhada,2010-05-07 21:20,0,1,R DE COIMBRA,,Colisão frontal
Mealhada,2010-05-13 14:00,0,1,Estrada Municipal,,Atropelamento de peões
Mealhada,2010-05-21 10:40,0,1,R DR AMERICO COUTO,,Colisão lat. c/ outro veíc. mov.
Mealhada,2010-07-14 04:30,0,1,IC2,"211,200",Despiste c/col. c/veíc. imobil./obst.
Mealhada,2010-07-18 20:15,0,1,R CAVADAS 165,,Atropelamento de peões
Mealhada,2010-07-26 17:00,0,1,IC2,"205,850",Despiste simples
Mealhada,2010-08-23 19:50,0,1,Estrada Municipal,,Colisão frontal
Mealhada,2010-09-23 22:15,0,1,EN1,"200,043",Colisão lat. c/ outro veíc. mov.
Mealhada,2010-10-04 09:00,0,1,R. Princ. do Travessinho,,Colisão frontal
Mealhada,2010-11-05 13:55,0,1,IC2,"205,700",Despiste c/capotamento
Murtosa,2010-09-14 17:50,0,1,EN327,"39,200",Despiste simples
Oliv. de Azeméis,2010-01-26 18:45,0,1,R DA MANGA,,Atropelamento de peões
Oliv. de Azeméis,2010-03-13 11:10,1,1,EM547,,Colisão frontal
Oliv. de Azeméis,2010-04-11 15:00,2,3,IC2,"265,227",Colisão frontal
Oliv. de Azeméis,2010-05-01 21:45,1,2,EN227,"2,650",Colisão frontal
Oliv. de Azeméis,2010-06-11 21:30,1,0,IC2,"263,100",Atropelamento de peões
Oliv. de Azeméis,2010-07-13 13:35,0,1,R ALMEIDA GARRETT,,Colisão lat. c/ outro veíc. mov.
Oliv. de Azeméis,2010-07-20 16:50,1,0,R FERREIRA CASTRO,,Atropelamento de peões
Oliv. de Azeméis,2010-09-13 05:10,1,0,R 5 JANEIRO,,Despiste simples
Oliv. de Azeméis,2010-09-18 04:30,0,1,R MATO DA ARCA,,Despiste c/col. c/veíc. imobil./obst.
"",,,,R. Cons. Dr. Albino,,
Oliv. de Azeméis,2010-09-28 16:30,0,1,Soares dos Reis,,Colisão frontal
