"",,
11. Listagem dos acidentes com mortos e/ou feridos graves,,
"",,
Concelho Datahora M* FG* Via,km,Natureza
Aljustrel 2007:01:08 17:44:00 0 2 EN263,"46,500",Colisão frontal
Aljustrel 2007:06:15 16:09:00 0 4 EN263,"51,000",Colisão frontal
Aljustrel 2007:05:07 16:50:00 0 1 EN263,"51,200",Despiste simples
Aljustrel 2007:10:14 18:05:00 0 1 EN383,"58,800",Despiste com capotamento
Aljustrel 2007:12:05 08:15:00 0 2 EN2,"622,600",Colisão frontal
Aljustrel 2007:01:13 16:45:00 0 1 Estrada Municipal,,Despiste c/ col c/ veíc. imob/obst.
Aljustrel 2007:02:24 21:14:00 0 1 R STA BARBARA,,Atropelamento c/ fuga
Aljustrel 2007:06:04 01:00:00 0 1 EM530,,Atropelamento c/ fuga
Aljustrel 2007:10:01 13:30:00 0 1 AV 25 ABRIL,,Col. lat. c/ outro veíc. mov.
Almodôvar 2007:01:15 22:45:00 0 1 EN2,"655,350",Despiste c/ col c/ veíc. imob/obst.
Almodôvar 2007:01:30 18:45:00 0 1 TV MORGADO,,Atropelamento peões
Almodôvar 2007:02:25 13:20:00 0 1 Estrada Municipal,,Despiste simples
Almodôvar 2007:04:25 15:35:00 0 1 Estrada Municipal,,Atropelamento peões
Almodôvar 2007:05:01 18:50:00 0 1 Estrada Municipal,,Despiste simples
Alvito 2007:02:21 21:50:00 0 1 LG GEN HUMBERTO DELGADO,,Atropelamento peões
Alvito 2007:05:11 20:00:00 0 1 R D A MORAI,,Col. lat. c/ outro veíc. mov.
Alvito 2007:08:31 06:45:00 0 1 EM1001,,Colisão frontal
Alvito 2007:11:06 16:45:00 0 1 EM1004,,Col. lat. c/ outro veíc. mov.
Beja 2007:02:03 18:30:00 0 1 EM511,"1,400",Colisão frontal
Beja 2007:05:26 20:30:00 0 2 EM1029,"1,500",Colisão frontal
Beja 2007:02:09 02:15:00 1 0 EN260,"21,100",Despiste com capotamento
Beja 2007:08:24 22:40:00 2 6 EN121,"66,700",Colisão frontal
Beja 2007:11:20 00:30:00 0 1 EN121,"70,200",Atropelamento peões
Beja 2007:12:05 07:40:00 0 1 EN121,"70,850",Col. tras. c/ outro veíc. mov.
Beja 2007:11:29 04:30:00 0 1 EN18,"331,300",Despiste com capotamento
Beja 2007:12:12 16:45:00 0 1 IP2,"363,000",Colisão frontal
Beja 2007:05:10 08:35:00 1 0 EN18,"375,200",Colisão frontal
Beja 2007:02:04 17:30:00 0 1 R CONSELHEIRO MENESES,,Atropelamento peões
Beja 2007:03:19 17:18:00 0 1 R RAMALHO ORTIGÃO,,Atropelamento peões
Beja 2007:04:21 22:50:00 0 1 EM513,,Despiste com capotamento
Beja 2007:06:23 19:00:00 0 1 R SIDONIO PAIS,,Despiste c/ col c/ veíc. imob/obst.
Beja 2007:10:06 15:30:00 0 1 Estrada Municipal,,Despiste simples
Beja 2007:10:13 23:50:00 0 1 R CIDADE S PAULO,,Col. c/ veíc./obst. f. rodagem
Castro Verde 2007:11:04 03:20:00 1 0 EM1140,"2,400",Despiste com capotamento
Castro Verde 2007:09:29 03:20:00 0 1 EM1140,"4,850",Despiste com capotamento
Castro Verde 2007:08:05 16:10:00 0 1 ER123,"80,900",Despiste com capotamento
Castro Verde 2007:12:21 18:20:00 0 1 A2,"168,800",Col. c/ veíc./obst. f. rodagem
Castro Verde 2007:05:08 21:15:00 1 3 A2,"177,764",Colisão com outras situações
Cuba 2007:02:13 14:05:00 0 1 EN258,"2,800",Despiste simples
Fer. do Alentejo 2007:06:08 16:15:00 0 1 EM526-1,"0,850",Colisão frontal
Fer. do Alentejo 2007:12:24 19:00:00 1 1 EM526,"3,464",Colisão frontal
Fer. do Alentejo 2007:09:23 13:15:00 0 1 EN383,"38,400",Despiste c/ col c/ veíc. imob/obst.
Fer. do Alentejo 2007:11:08 18:10:00 1 2 EN121,"41,500",Despiste simples
Fer. do Alentejo 2007:07:09 14:20:00 0 1 EN121,"42,300",Despiste com capotamento
Fer. do Alentejo 2007:07:25 18:10:00 0 1 A2,"139,200",Despiste com capotamento
Fer. do Alentejo,2007:07:09 20:10:00,1,0,EN2,"593,200",Col. lat. c/ outro veíc. mov.
Fer. do Alentejo,2007:06:23 17:00:00,0,1,EN121,,Despiste simples
Fer. do Alentejo,2007:09:11 16:00:00,0,1,EM525,,Despiste com capotamento
Mértola,2007:09:27 23:36:00,0,1,EN122,"22,000",Despiste com capotamento
Mértola,2007:06:01 12:15:00,0,2,EN122,"27,100",Despiste com capotamento
"",,,,,,,
Concelho,Datahora,M*,FG*,,Via,km,Natureza
Mértola,2007:04:02 09:10:00,0,1,EN122,,"45,200",Despiste c/ col c/ veíc. imob/obst.
Mértola,2007:12:21 09:30:00,0,1,EN122,,"48,000",Colisão frontal
Mértola,2007:11:30 16:31:00,0,2,EN122,,"48,100",Col. lat. c/ outro veíc. mov.
Mértola,2007:12:24 15:08:00,0,1,ER265,,"54,400",Colisão frontal
Mértola,2007:09:16 06:57:00,0,1,EN122,,"65,934",Despiste c/ col c/ veíc. imob/obst.
Mértola,2007:06:16 18:30:00,1,0,EN122,,"71,500",Despiste c/ col c/ veíc. imob/obst.
Mértola,2007:03:27 10:20:00,0,1,R VIOLETA,,,Atropelamento peões
Mértola,2007:07:08 10:55:00,0,1,Estrada Municipal,,,Atropelamento peões
Moura,2007:01:08 17:30:00,0,1,EN385,,"16,500",Despiste s/ disp. retenção
Moura,2007:07:23 09:00:00,0,1,EN385,,"16,523",Despiste simples
Moura,2007:09:28 16:50:00,0,1,EN258,,"68,911",Col. lat. c/ outro veíc. mov.
Moura,2007:07:25 17:45:00,0,1,Estrada Municipal,,,Despiste com capotamento
Moura,2007:09:08 12:40:00,0,1,PÇ SACADURA CABRAL,,,Atropelamento peões
Odemira,2007:05:07 04:35:00,0,1,ER393,,"0,200",Despiste com capotamento
Odemira,2007:07:16 10:30:00,0,1,ER393-1,,"3,650",Col. lat. c/ outro veíc. mov.
Odemira,2007:01:09 18:32:00,1,0,ER393-1,,"3,700",Atropelamento peões
Odemira,2007:09:07 22:10:00,0,1,ER393-1,,"3,900",Despiste s/ disp. retenção
Odemira,2007:01:08 07:20:00,0,1,ER393-1,,"5,000",Col. tras. c/ outro veíc. mov.
Odemira,2007:06:07 15:30:00,0,1,ER393-1,,"5,655",Col. tras. c/ outro veíc. mov.
Odemira,2007:03:09 18:15:00,0,2,EN263,,"7,700",Despiste com capotamento
Odemira,2007:12:18 05:45:00,0,2,ER393,,"9,000",Col. tras. c/ outro veíc. mov.
Odemira,2007:05:30 23:50:00,0,1,ER393,,"10,500",Despiste c/ col c/ veíc. imob/obst.
Odemira,2007:12:29 18:10:00,1,0,ER389,,"10,500",Atropelamento peões
Odemira,2007:11:09 10:00:00,0,1,ER393,,"16,400",Despiste simples
Odemira,2007:06:15 14:30:00,0,1,ER389,,"22,000",Atropelamento peões
Odemira,2007:12:25 15:40:00,0,2,ER262,,"59,500",Despiste s/ disp. retenção
Odemira,2007:08:17 05:50:00,0,1,EN120,,"108,700",Despiste simples
Odemira,2007:07:04 10:00:00,0,1,EN120,,"122,930",Col. lat. c/ outro veíc. mov.
Odemira,2007:12:02 01:30:00,0,1,EN120,,"125,500",Despiste simples
Odemira,2007:01:20 15:40:00,0,1,EM518,,,Despiste simples
Odemira,2007:04:07 01:35:00,0,1,EM502-2,,,Despiste simples
Odemira,2007:07:30 05:00:00,0,1,AV PRAIA,,,Despiste c/ col c/ veíc. imob/obst.
Odemira,2007:08:17 15:00:00,0,1,EM501,,,Colisão frontal
Odemira,2007:08:20 08:45:00,0,1,EM501,,,Atropelamento peões
Odemira,2007:08:23 19:50:00,0,1,ZONA INDUSTRIAL,,,Colisão frontal
Odemira,2007:12:16 17:40:00,0,1,EM1158,,,Despiste s/ disp. retenção
Odemira,2007:12:31 03:00:00,4,0,EM1129,,,Despiste com capotamento
Ourique,2007:12:09 00:45:00,0,1,EN123-1,,"7,700",Despiste simples
Ourique,2007:06:10 07:45:00,0,4,EN123,,"46,400",Despiste simples
Ourique,2007:10:16 11:40:00,0,1,EN123,,"58,600",Col. lat. c/ outro veíc. mov.
Ourique,2007:08:17 09:00:00,0,1,A2,,"176,275",Despiste com capotamento
Ourique,2007:07:30 11:30:00,0,1,IC1,,"679,900",Despiste s/ disp. retenção
Ourique,2007:12:29 17:50:00,1,0,IC1,,"680,850",Despiste simples
Ourique,2007:08:18 13:40:00,0,1,IC1,,"681,900",Colisão frontal
Ourique,2007:07:20 10:45:00,0,2,IC1,,"682,000",Despiste simples
Ourique,2007:01:13 11:45:00,1,2,IC1,"688,300",Colisão frontal
Ourique,2007:12:10 08:18:00,0,1,IC1,"688,750",Despiste simples
Ourique,2007:05:19 23:10:00,0,1,Estrada Municipal,,Despiste simples
Ourique,2007:09:15 10:10:00,0,1,EN123,,Col. lat. c/ outro veíc. mov.
Ourique,2007:09:24 14:40:00,0,1,EN264,,Colisão com outras situações
"",,,,,,,
Concelho,Datahora,M*,FG*,,Via,km,Natureza
Serpa,2007:01:27 22:00:00,0,2,EN260,,"24,850",Despiste com capotamento
Serpa,2007:10:30 15:50:00,1,0,EN265,,"27,000",Atropelamento peões
