Concelho,Datahora,M*,FG*,,Via,Km,Natureza
Aljustrel,2009:03:28 06:20:00,0,1,EN261,,"99,100",Despiste com capotamento
Aljustrel,2009:04:07 06:45:00,0,1,A2,,"146,800",Desp. c/transp.disp. ret. lateral
Aljustrel,2009:05:23 18:00:00,0,1,A2,,"154,531",Despiste simples
Aljustrel,2009:06:06 17:30:00,1,1,,,,Despiste simples
Aljustrel,2009:07:05 15:20:00,0,3,A2,,"150,800",Despiste com capotamento
Aljustrel,2009:07:19 13:30:00,0,1,R MONTES VELHOS,,,Colisão lat. c/outro veíc. mov.
Aljustrel,2009:08:15 10:50:00,0,1,,,,Despiste simples
Aljustrel,2009:09:08 19:40:00,0,2,EN383,,"60,000",Despiste com capotamento
Aljustrel,2009:10:23 14:35:00,1,1,A2,,"143,200",Despiste simples
Aljustrel,2009:12:09 06:15:00,0,2,EN2,,"620,900",Colisão frontal
Aljustrel,2009:12:24 07:34:00,0,1,EN2,,"625,700",Despiste c/col. c/veíc. imobil./obst.
Almodôvar,2009:02:16 16:10:00,0,3,ACC-A2,,,Colisão frontal
Almodôvar,2009:04:04 17:15:00,0,1,EM1198,,,Colisão frontal
Almodôvar,2009:04:16 10:45:00,0,1,EM393,,"78,000",Despiste com capotamento
Almodôvar,2009:08:10 08:15:00,0,1,A2,,"193,200",Despiste com capotamento
Almodôvar,2009:12:02 09:50:00,0,1,EM596,,,Despiste com capotamento
Alvito,2009:04:10 22:00:00,0,1,EM13,,"3,800",Despiste com capotamento
Beja,2009:03:24 01:30:00,0,1,EN18,,"372,150",Despiste simples
Beja,2009:03:29 22:15:00,0,1,R NORTE,,,Atropelamento de peões
Beja,2009:04:20 23:45:00,0,1,EN121,,"65,110",Despiste com capotamento
Beja,2009:04:21 07:50:00,0,1,EN18,,"343,100",Despiste c/col. c/veíc. imobil./obst.
Beja,2009:04:25 13:10:00,1,0,EN121,,"67,200",Despiste com capotamento
Beja,2009:04:28 17:30:00,0,2,EN26,,"6,500",Colisão lat. c/outro veíc. mov.
Beja,2009:05:03 03:40:00,0,1,EN26,,"0,600",Despiste simples
Beja,2009:05:18 07:25:00,2,0,EN26,,"15,200",Colisão lat. c/outro veíc. mov.
"",,,,Rua Dom Frei Manuel do,,,
Beja,2009:05:29 21:45:00,0,1,,,,Colisão lat. c/outro veíc. mov.
"",,,,Cenáculo,,,
Beja,2009:07:08 19:45:00,0,1,,,,Despiste simples
Beja,2009:08:27 11:00:00,0,1,EM528-2,,,Colisão lat. c/outro veíc. mov.
Beja,2009:09:28 09:35:00,0,1,EN18,,"330,800",Colisão frontal
Castro Verde,2009:04:14 16:40:00,1,0,EM535,,"8,150",Colisão lat. c/outro veíc. mov.
Castro Verde,2009:04:23 22:00:00,1,0,IP2,,"389,916",Colisão frontal
Castro Verde,2009:05:09 02:00:00,0,2,IC1,,"657,500",Despiste simples
Castro Verde,2009:05:14 14:10:00,0,1,R ORQUIDEAS,,,Atropelamento de peões
Castro Verde,2009:06:21 05:50:00,0,1,IP2,,"391,200",Colisão lat. c/outro veíc. mov.
Castro Verde,2009:08:02 19:40:00,1,0,IC1,,"654,200",Colisão frontal
Castro Verde,2009:09:19 18:50:00,0,1,,,,Despiste com capotamento
Cuba,2009:03:12 21:30:00,0,2,EN258-1,,"4,600",Colisão frontal
Cuba,2009:10:09 16:00:00,0,1,EN18,,"328,530",Colisão lat. c/outro veíc. mov.
Cuba,2009:12:12 19:30:00,0,1,EN258-1,,"12,400",Colisão frontal
Ferreira do Alentejo,2009:01:03 00:15:00,3,0,EN259,,"26,600",Despiste c/col. c/veíc. imobil./obst.
Ferreira do Alentejo,2009:02:24 05:00:00,1,0,EN121,,"47,300",Despiste simples
Ferreira do Alentejo,2009:04:14 09:40:00,0,2,EM526,,"1,550",Despiste com capotamento
Ferreira do Alentejo,2009:05:23 19:40:00,0,2,EN259,,"41,800",Despiste com capotamento
Ferreira do Alentejo,2009:06:01 22:30:00,0,1,EN257,,"46,300",Despiste com capotamento
Ferreira do Alentejo,2009:06:13 06:00:00,1,5,EM526,,,Despiste simples
Ferreira do Alentejo,2009:06:25 15:45:00,0,2,EN2,,"597,500",Despiste com capotamento
Ferreira do Alentejo,2009:08:03 15:15:00,1,0,EN2,,"581,200",Despiste simples
Ferreira do Alentejo,2009:08:14 10:20:00,0,2,A2,,"137,200",Despiste com capotamento
Ferreira do Alentejo,2009:11:28 05:45:00,0,1,EN121,,"41,400",Despiste c/col. c/veíc. imobil./obst.
Mertola,2009:08:29 22:00:00,0,1,EN122,,"71,100",Despiste com capotamento
Moura,2009:01:21 17:55:00,0,1,EN255,,"89,500",Colisão lat. c/outro veíc. mov.
Moura,2009:02:11 19:15:00,0,1,LG STA CLARA,,,Colisão frontal
Moura,2009:03:01 16:55:00,0,1,,,,Despiste simples
Moura,2009:05:09 19:30:00,0,1,EM517,,"17,400",Colisão frontal
Moura,2009:10:19 02:35:00,0,1,Rua do Matadouro,,,Despiste c/col. c/veíc. imobil./obst.
Odemira,2009:01:20 12:00:00,1,0,ER393-1,,"4,600",Despiste simples
Odemira,2009:01:20 23:15:00,1,1,EM532,,"1,800",Atropelamento de peões
Odemira,2009:01:31 09:00:00,0,1,R DAS ESCOLAS,,,Despiste simples
Odemira,2009:02:17 20:05:00,0,1,ER262,,"48,700",Despiste simples
Odemira,2009:02:21 04:00:00,1,0,EM116,,,Atropelamento com fuga
Odemira,2009:03:08 05:50:00,0,1,EM1126,,,Despiste com capotamento
Odemira,2009:03:08 12:15:00,0,1,R ACEISSEIRAS,,,Despiste simples
Odemira,2009:04:07 18:10:00,0,2,EN39,,"31,620",Colisão choque em cadeia
Odemira,2009:04:23 11:30:00,1,0,ER39,,"38,000",Colisão frontal
Odemira,2009:05:03 15:00:00,0,1,ER39,,"38,000",Colisão lat. c/outro veíc. mov.
Odemira,2009:06:01 21:00:00,0,1,R ESCOLA EB 2/3,,,Despiste simples
Odemira,2009:06:13 00:50:00,0,1,EN262,,"61,294",Despiste simples
Odemira,2009:06:18 07:15:00,0,1,EM51,,,Despiste com capotamento
Odemira,2009:06:28 03:45:00,1,0,EM11,,,Despiste com capotamento
Odemira,2009:08:03 10:00:00,0,1,EN12,,"120,350",Colisão lat. c/outro veíc. mov.
Odemira,2009:08:06 12:10:00,0,1,EN123-1,,"3,574",Despiste simples
Odemira,2009:08:24 03:15:00,0,1,EN393,,"10,300",Despiste com capotamento
Odemira,2009:08:26 21:50:00,0,1,EN12,,"106,700",Atropelamento de peões
Odemira,2009:09:04 06:40:00,1,0,ER393-1,,"6,800",Colisão tras. c/ outro veíc. mov.
Odemira,2009:09:09 17:00:00,0,1,EM11,,,Despiste simples
Odemira,2009:09:15 02:00:00,0,2,R 25 ABRIL,,,Despiste simples
Odemira,2009:10:18 09:20:00,0,1,EM532,,,Colisão lat. c/outro veíc. mov.
Odemira,2009:10:27 11:30:00,0,1,EN39,,"39,650",Colisão frontal
Odemira,2009:11:17 09:00:00,1,1,EN12,,"119,800",Despiste simples
Ourique,2009:04:19 19:10:00,0,1,IC1,,"686,167",Despiste simples
Ourique,2009:05:10 15:00:00,0,1,IC1,,"644,000",Despiste com capotamento
Ourique,2009:07:18 10:35:00,1,0,IC1,,"685,000",Despiste s/ disp. retenção
Ourique,2009:07:18 17:05:00,1,0,IC1,,"687,830",Despiste s/ disp. retenção
Ourique,2009:07:22 00:10:00,0,1,EM546,,,Despiste simples
Ourique,2009:08:31 00:00:00,0,1,EN123,,"48,200",Colisão lat. c/outro veíc. mov.
Ourique,2009:09:19 18:00:00,0,1,R FONTE ALAMEDA,,,Colisão frontal
Ourique,2009:10:04 23:25:00,0,1,IC1,,"692,865",Colisão frontal
Ourique,2009:10:15 12:10:00,2,0,IC1,,"647,665",Colisão lat. c/outro veíc. mov.
Serpa,2009:01:06 18:05:00,0,2,EN392,,"86,071",Colisão frontal
Serpa,2009:01:06 22:00:00,1,0,EM197,,"6,550",Despiste s/ disp. retenção
Serpa,2009:03:20 00:20:00,0,1,EN255,,"108,000",Despiste s/ disp. retenção
Serpa,2009:05:03 14:10:00,0,1,EN26,,"60,500",Despiste s/ disp. retenção
"",,,,R ANTONIO CAEIRO POS,,,
Serpa,2009:06:14 20:30:00,0,1,,,,Atropelamento de peões
"",,,,MIRA,,,
Serpa,2009:06:26 17:30:00,0,1,EST BRINCHES,,,Colisão com outras situações
Serpa,2009:07:27 18:50:00,0,1,EN265,,"39,900",Atropelamento de peões
Vidigueira,2009:04:12 17:30:00,0,1,R TELHEIRAS,,,Despiste com capotamento
