"",Concelho,Datahora,M,FG,,Via,Km,Natureza
Aljustrel,,12-06-2011 15:10,0,1,A2,,"146,800",Despiste com capotamento
Aljustrel,,18-01-2011 12:00,0,1,AV LIBERDADE 2,,-,Atropelamento de peões
Aljustrel,,01-12-2011 08:00,0,1,EN2,,"627,500",Despiste com capotamento
Aljustrel,,24-06-2011 13:40,2,2,EN261,,"93,500",Colisão lateral com outro veículo em mov...
Aljustrel,,05-10-2011 14:15,0,1,EN383,,"57,100",Colisão frontal
Aljustrel,,13-02-2011 19:00,0,1,R STA BARBARA - ...,,-,Atropelamento de peões
Aljustrel,,15-04-2011 22:00,0,1,R STA BARBARA 10,,-,Colisão lateral com outro veículo em mov...
Almodovar,,27-11-2011 10:20,1,0,A2,,"199,649",Despiste sem dispositivo de retenção
Almodovar,,11-09-2011 19:30,0,1,EM1167,,"0,750",Despiste simples
Almodovar,,24-11-2011 08:05,0,1,EM1167,,"4,400",Despiste com capotamento
Almodovar,,14-04-2011 20:23,0,1,EM1198,,-,Colisão frontal
Almodovar,,08-07-2011 23:20,0,1,ER2,,"666,800",Despiste simples
Alvito,,01-04-2011 07:50,0,1,EN258,,"4,800",Despiste com colisão com veículo imobil. ...
Barrancos,,02-12-2011 11:50,0,1,EN258,,"103,360",Colisão lateral com outro veículo em mov...
Beja,,24-12-2011 18:20,0,1,EM511,,-,Despiste com capotamento
Beja,,10-06-2011 16:30,0,1,EN122,,"14,300",Colisão lateral com outro veículo em mov...
Beja,,01-10-2011 17:20,0,1,EN18,,"333,600",Despiste com capotamento
Beja,,09-06-2011 20:20,1,0,EN18,,"337,350",Colisão com veiculo ou obstáculo na faix...
Beja,,26-02-2011 15:05,0,1,EN18,,"341,850",Colisão lateral com outro veículo em mov...
Beja,,11-10-2011 19:45,0,1,EN18,,"342,120",Colisão frontal
Beja,,23-04-2011 00:50,0,1,EN18,,"365,860",Despiste com capotamento
Beja,,02-07-2011 07:52,1,1,EN18,,"373,050",Colisão frontal
Beja,,06-12-2011 09:40,0,1,EN260,,"12,792",Colisão lateral com outro veículo em mov...
Beja,,17-07-2011 13:03,0,1,IP2,,"359,720",Despiste simples
Beja,,12-06-2011 04:00,0,1,IP2,,"360,800",Despiste com capotamento
Beja,,15-06-2011 11:39,0,1,Largo da Conceição 0,,-,Atropelamento de peões
Beja,,09-05-2011 08:55,0,1,Praça de Soror Mar...,,-,Atropelamento de peões
Beja,,09-07-2011 20:44,1,0,R DA IGREJA - QUI...,,-,Despiste simples
Beja,,14-01-2011 07:00,0,1,Rua Dom Afonso H...,,-,Atropelamento de peões
Beja,,04-11-2011 17:35,0,1,Rua Dom Afonso II...,,-,Colisão com veiculo ou obstáculo na faix...
Castro Verde,,08-08-2011 06:50,0,1,EM1140,,"7,600",Despiste com capotamento
Castro Verde,,17-03-2011 14:50,0,1,EM508,,"3,000",Despiste simples
Castro Verde,,23-08-2011 09:50,0,1,EM535,,"2,700",Colisão lateral com outro veículo em mov...
Castro Verde,,03-09-2011 20:40,0,1,EM550,,"8,000",Despiste simples
Castro Verde,,02-04-2011 17:15,0,1,EN123,,"66,850",Colisão lateral com outro veículo em mov...
Castro Verde,,24-03-2011 05:30,0,1,EN2,,"645,600",Colisão traseira com outro veículo em m...
Castro Verde,,02-01-2011 20:20,0,1,IP2,,"376,450",Colisão frontal
Castro Verde,,28-04-2011 09:50,0,1,IP2,,"376,600",Colisão choque em cadeia
Castro Verde,,17-07-2011 08:00,0,1,R NOVA DA FEIRA,,-,Despiste simples
Cuba,,17-08-2011 10:45,0,1,EN18,,"330,600",Colisão lateral com outro veículo em mov...
Ferreira do Alentejo,,13-10-2011 19:30,0,1,-,,-,Despiste simples
Ferreira do Alentejo,,23-12-2011 13:20,1,4,A2,,"134,574",Despiste com transposição do dispositivo...
Ferreira do Alentejo,,31-03-2011 18:00,0,1,CAMINHO AGRICO...,,-,Despiste simples
Ferreira do Alentejo,,02-02-2011 22:30,0,1,EM1025,,-,Despiste com capotamento
Ferreira do Alentejo,,04-01-2011 07:20,0,1,EM524,,-,Despiste simples
Ferreira do Alentejo,,16-10-2011 13:30,1,0,EN121,,"40,650",Despiste simples
Ferreira do Alentejo,,30-05-2011 13:50,1,0,EN121,,"58,070",Colisão lateral com outro veículo em mov...
Ferreira do Alentejo,,19-05-2011 21:45,0,1,EN121,,"58,480",Colisão lateral com outro veículo em mov...
Ferreira do Alentejo,,02-12-2011 07:02,1,0,EN2,,"585,170",Atropelamento de peões
Ferreira do Alentejo,,23-06-2011 18:15,1,0,EN259,,"24,025",Despiste com dispositivo de retenção
Ferreira do Alentejo,,04-01-2011 10:41,0,1,EN259,,"41,690",Despiste com colisão com veículo imobil. ...
Mertola,,12-08-2011 08:10,0,1,EN122,,"38,900",Despiste com capotamento
Mertola,,27-09-2011 17:45,1,0,EN265,,"56,600",Despiste com colisão com veículo imobil. ...
Mertola,,11-08-2011 08:10,1,0,ER265,,"65,700",Colisão com veiculo ou obstáculo na faix...
Moura,,29-11-2011 14:20,0,1,-,,-,Despiste simples
Moura,,25-06-2011 10:00,0,1,EM517,,-,Despiste simples
Moura,,07-08-2011 19:30,0,1,EN255-1,,"9,750",Despiste simples
Moura,,07-08-2011 20:20,1,0,EN385,,"24,500",Despiste com capotamento
Odemira,,06-08-2011 18:30,0,1,-,,-,Colisão frontal
Odemira,,06-08-2011 23:40,1,0,-,,-,Despiste simples
Odemira,,18-08-2011 07:20,0,1,EM1079,,-,Atropelamento com fuga
Odemira,,07-10-2011 23:05,1,0,EM1158,,-,Despiste sem dispositivo de retenção
Odemira,,03-11-2011 09:15,0,1,EM1159,,-,Colisão com outras situações
Odemira,,17-04-2011 21:10,0,1,EM502,,"3,630",Colisão com veiculo ou obstáculo na faix...
"",,-,-,-,-,,-,-
Odemira,,03-07-2011 15:20,0,2,EM502,,"3,880",Despiste sem dispositivo de retenção
