Concelho,Datahora,M*,FG*,,Via,km,Natureza
Amares,2009:04:11 19:45:00,0,1,EN205-3,,"1,800",Despiste c/col. c/veíc. imobil./obst.
Amares,2009:05:17 14:50:00,0,1,EN205,,"49,215",Colisão frontal
Amares,2009:05:03 20:10:00,0,1,R ANJO GUARDA,,,Colisão tras. c/ outro veíc. mov.
Amares,2009:09:14 09:30:00,0,1,EN205,,"48,900",Colisão lat. c/outro veíc. mov.
Barcelos,2009:09:17 06:40:00,0,1,EN205,,"25,620",Colisão frontal
Barcelos,2009:08:07 15:00:00,1,0,R PRINCIPAL,,,Despiste simples
Barcelos,2009:08:18 17:30:00,1,0,EN205,,"17,500",Atropelamento de peões
Barcelos,2009:04:04 18:30:00,0,3,EN205,,"11,230",Colisão lat. c/outro veíc. mov.
Barcelos,2009:09:22 10:30:00,0,2,R BARREIROS,,,Despiste simples
Barcelos,2009:04:08 08:00:00,0,2,EM306,,"56,150",Atropelamento de peões
Barcelos,2009:01:29 19:45:00,0,1,R D ANTONIO BARROSO,,,Despiste c/col. c/veíc. imobil./obst.
Barcelos,2009:07:05 20:00:00,0,1,R S PEDRO,,,Despiste simples
Barcelos,2009:12:05 20:30:00,0,1,R DO PINHEIRO,,,Atropelamento com fuga
Barcelos,2009:12:11 14:30:00,1,0,EN103,,"31,250",Colisão com outras situações
Barcelos,2009:02:24 15:50:00,0,1,EN306,,"44,940",Despiste simples
Barcelos,2009:11:17 00:02:00,0,1,EN205,,"20,100",Colisão lat. c/outro veíc. mov.
Barcelos,2009:02:05 03:50:00,0,1,R VEIGA,,,Atropelamento de peões
Barcelos,2009:07:11 15:30:00,1,0,EN306,,"54,800",Colisão frontal
Barcelos,2009:05:03 15:42:00,0,1,EN103,,"9,600",Despiste simples
Barcelos,2009:08:20 21:25:00,1,0,R NOVA,,,Colisão frontal
Barcelos,2009:11:22 22:40:00,0,1,EN103,,"23,970",Colisão com outras situações
Barcelos,2009:06:24 17:15:00,0,1,EN205,,"26,000",Despiste c/col. c/veíc. imobil./obst.
Barcelos,2009:09:30 10:15:00,1,0,EN205,,"12,800",Colisão frontal
Barcelos,2009:05:31 15:25:00,0,1,EN103-1,,"5,130",Colisão lat. c/outro veíc. mov.
