Concelho,Datahora,M*,FG*,,Via,km,Natureza
Braga,2011:11:30 04:50:00,0,1,Av Cávado,,,Despiste c/capotamento
Braga,2011:09:21 16:40:00,0,1,Av General Norton Matos,,,A  t r o  p  e  l a  me  n  t od  ep  eões
Braga,2011:07:14 15:15:00,0,1,Lg São João Ponte,,,A  t r o  p  e  l a  me  n  t od  epeões
Braga,2011:03:03 13:35:00,0,1,R Veiga,,,Atropelamento de peões
Braga,2011:10:26 08:30:00,0,1,R Ala Namorados,,,Desp. c/col. c/veíc. imobil./obst.
Braga,2011:11:05 14:40:00,0,1,Est Via Falperra,,,Colisão lat. c/outro veíc. mov.
Braga,2011:10:06 18:25:00,0,1,Av São Pedro de Maximinos,,,Co  li s  ã  ol a  t .  c  / o  u  t r ov  e íc. mov.
Braga,2011:07:08 10:35:00,0,2,Rot. Var Real c/ Recta Feital,,,Colisão lat. c/outro veíc. mov.
Braga,2011:01:15 02:45:00,0,1,R Vilar,,,A  t r o  p  e  l a  me  n  to de peões
Braga,2011:01:18 07:35:00,0,1,Av 31 Janeiro,,,Atropelamento de peões
Braga,2011:07:06 16:45:00,1,0,R Caires,,,Atropelamento de peões
Braga,2011:07:20 20:35:00,0,1,Av Pe Júlio Fragata,,,Colisão c/outras situações
Braga,2011:08:01 21:45:00,0,1,Av João Paulo II,,,Atropelamento de peões
Braga,2011:08:02 19:00:00,0,1,Lg S Brás,,,Atropelamento de peões
Braga,2011:10:24 16:40:00,1,0,R Cidade Porto,,,Atropelamento de peões
Braga,2011:11:12 08:40:00,0,1,Av General Norton Matos,,,A  t r o  p  e  l a  me  n  t od  ep  eões
Braga,2011:04:17 03:15:00,0,1,R Cidade Porto,,,Colisão c/outras situações
Braga,2011:02:26 17:20:00,0,1,R Barbosas,,,Colisão c/outras situações
Braga,2011:08:01 05:00:00,0,1,Est Via Falperra,,,Despiste simples
Braga,2011:12:14 07:20:00,1,0,Av Imaculada Conceição,,,A  t r o  p  e  l a  me  n  t od  ep  eões
Braga,2011:06:03 19:15:00,1,0,Av Estádio AXA,,,Despiste simples
Braga,2011:11:30 09:00:00,0,1,R D. Afonso Henriques,,,Atropelamento de peões
Braga,2011:07:01 20:45:00,0,1,R Manuel da Silva Gomes,,,D  e  s  p  i s  t es  imp  l e  s
Braga,2011:02:19 20:00:00,0,1,R Boavista,,,De  s p  i s  t es  i mp  le s
Braga,2011:02:10 08:55:00,1,0,R Pinheiro Velho,,,Colisão frontal
Braga,2011:07:29 17:45:00,0,1,Av Pe Júlio Fragata,,,Colisão lat. c/outro veíc. mov.
Braga,2011:11:13 19:30:00,1,2,EN101,,"98,265",Colisão lat. c/outro veíc. mov.
Braga,2011:05:08 16:10:00,0,1,EN101,,,Despiste simples
Braga,2011:10:24 00:45:00,0,1,EN101,,"89,700",Colis. c/veic./obst.f. de rodagem
Braga,2011:12:19 17:50:00,0,2,EN14,,"39,300",Colisão frontal
Braga,2011:05:31 21:15:00,1,1,EN103-3,,"0,900",Atropelamento de peões
Braga,2011:08:15 19:30:00,0,2,VAR-FOJO,,,Colisão com fuga
Cab. de Basto,2011:05:04 14:35:00,0,1,R Estação,,,Despiste simples
Cab. de Basto,2011:12:17 14:00:00,1,0,Lug Amparo,,,Despiste simples
Cab. de Basto,2011:03:16 08:30:00,0,1,Lg Justino Sousa,,,Atropelamento de peões
Cab. de Basto,2011:10:21 17:00:00,1,0,EM518,,,Despiste simples
Cab. de Basto,2011:07:29 00:10:00,1,0,EM525,,,Despiste c/capotamento
Cab. de Basto,2011:04:05 19:20:00,0,1,EN205,,"100,100",Colisão lat. c/outro veíc. mov.
Cab. de Basto,2011:02:14 18:30:00,1,0,EN206,,"72,970",Despiste c/capotamento
Cab. de Basto,2011:10:29 16:15:00,1,0,EN311,,"22,600",Despiste simples
Cab. de Basto,2011:04:06 21:00:00,0,1,EN210,,"0,350",Colisão frontal
Cel. de Basto,2011:10:17 19:30:00,0,1,Lg Quintela,,,Colisão lat. c/outro veíc. mov.
Cel. de Basto,2011:12:28 05:40:00,0,1,Estrada Municipal,,,Despiste c/capotamento
Cel. de Basto,2011:07:02 16:30:00,1,0,EM616-1,,,Colisão frontal
Cel. de Basto,2011:03:20 16:50:00,1,0,EN304,,"124,913",Colisão lat. c/outro veíc. mov.
Cel. de Basto,2011:08:15 04:00:00,0,1,EN206,,"62,800",Despiste c/capotamento
Esposende,2011:05:12 07:15:00,0,1,A28,,"55,700",Colisão lat. c/outro veíc. mov.
Esposende,2011:10:23 09:00:00,1,0,A11,,"1,900",Desp. c/transp. disp. ret. lateral
Esposende,2011:05:13 14:30:00,0,1,R Pe Cândido Rodrigues Saloiro,,,Desp. c/transp. disp. ret. lateral
Esposende,2011:06:19 10:40:00,0,1,Lugar Pardinheiros - Vila Chã,,,Despiste c/capotamento
Esposende,2011:07:20 22:10:00,0,1,Av Eng Arantes e Oliveira,,,Colisão lat. c/outro veíc. mov.
Esposende,2011:11:15 12:50:00,0,1,EN103,,"6,900",Despiste simples
Esposende,2011:08:24 16:40:00,1,0,EN103,,"4,500",Despiste simples
Esposende,2011:07:10 12:50:00,0,1,EN13,,"37,500",Colisão frontal
Esposende,2011:03:22 00:35:00,1,0,EN13,,"50,500",Colisão frontal
Esposende,2011:06:17 11:10:00,1,0,EN103-1,,"10,650",Atropelamento de peões
Fafe,2011:05:27 21:00:00,0,1,R Antas,,,Colisão c/outras situações
Fafe,2011:03:21 16:00:00,0,1,R Ribadais,,,Colisão c/outras situações
Fafe,2011:10:16 00:05:00,0,2,R Castanheira,,,Despiste s/dispositivo de retenção
Fafe,2011:09:21 21:30:00,0,1,R D Afonso Henriques,,,Despiste s/dispositivo de retenção
Fafe,2011:10:07 15:40:00,1,0,R D Pedro V,,,Despiste c/capotamento
Fafe,2011:05:27 18:10:00,0,2,Cam Mun Alto Lustoso,,,Colisão frontal
Fafe,2011:04:16 22:10:00,0,1,R Bomb Voluntários Fafe,,,Colisão frontal
Fafe,2011:04:21 12:10:00,0,1,R Antas,,,Atropelamento de peões
Fafe,2011:04:03 09:15:00,0,1,R João Crisóstomo,,,Atropelamento de peões
Fafe,2011:01:24 10:10:00,1,0,R Monsenhor V. Castro,,,Atropelamento de peões
Fafe,2011:06:09 19:00:00,0,1,EN206,,"62,450",Colisão frontal
Fafe,2011:11:23 21:09:00,0,1,URBANA,,,Despiste simples
Guimarães,2011:10:12 10:30:00,0,1,R Gen Humb  Delgado,,,Colisão lat. c/outro veíc. mov.
Guimarães,2011:12:21 18:40:00,0,1,Rodovia Covas,,,Co  l i s ã  ol a  t .  c  / o  u  t r ov  e  í c  . mov.
