Concelho,Datahora,M,FG,Via,Km,Natureza
Amares,10-05-2014 09:40,0,1,EN205,"47,450","Colisão lateral com outro veículoem movimento"
Amares,27-12-2014 17:15,1,0,EN205,"52,500","Colisão lateral com outro veículoem movimento"
Amares,17-05-2014 14:45,0,1,EN308,"64,500","Despiste com transposição dodispositivo de retenção lateral"
Amares,27-10-2014 11:15,0,1,Rua 20 de Janeiro,-,Atropelamento de peões
Amares,04-06-2014 17:12,0,1,Rua da Estrada Nacional 5,-,Despiste simples
Amares,03-08-2014 12:00,0,1,Rua São Pedro de Fins,-,"Colisão lateral com outro veículoem movimento"
Barcelos,23-07-2014 12:45,0,1,A11,"4,625","Colisão traseira com outroveículo em movimento"
Barcelos,03-05-2014 05:30,0,1,Ava de Martim 396,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Barcelos,14-02-2014 16:40,0,1,Ava Divino Salvador 1002,-,"Colisão traseira com outroveículo em movimento"
Barcelos,19-10-2014 09:45,0,1,Avenida Nossa Senhora Fátima 0,-,Atropelamento de peões
Barcelos,26-02-2014 20:45,1,0,EN103,"23,751",Atropelamento de peões
Barcelos,04-05-2014 17:00,0,1,EN103,"28,000",Colisão frontal
Barcelos,10-08-2014 06:25,0,1,EN103,"28,100","Colisão lateral com outro veículoem movimento"
Barcelos,13-04-2014 05:00,0,1,EN204,"19,150","Despiste com colisão com veículoimobil. ou obstáculo"
Barcelos,29-12-2014 14:00,0,1,EN204,"19,940","Colisão traseira com outroveículo em movimento"
Barcelos,20-02-2014 17:10,0,1,EN204,"20,400","Colisão lateral com outro veículoem movimento"
Barcelos,18-12-2014 03:45,1,1,EN204,"25,400",Despiste com capotamento
Barcelos,21-06-2014 17:15,0,1,EN204,"25,850",Colisão frontal
Barcelos,22-12-2014 18:15,1,0,EN204,"26,250",Atropelamento de peões
Barcelos,30-07-2014 01:10,0,1,EN204,"27,700",Atropelamento de peões
Barcelos,15-11-2014 06:20,1,0,EN205,"11,850",Atropelamento com fuga
Barcelos,04-04-2014 14:55,0,1,EN205,"12,650","Colisão lateral com outro veículoem movimento"
Barcelos,26-09-2014 19:15,0,1,EN205,"16,100",Despiste simples
Barcelos,09-01-2014 18:05,1,0,EN205,"18,900",Atropelamento de peões
Barcelos,12-06-2014 19:30,0,1,EN205,"19,900",Despiste simples
Barcelos,08-10-2014 17:10,0,1,EN205,"25,550",Despiste simples
Barcelos,12-02-2014 06:40,0,1,EN205,"28,048",Atropelamento de peões
Barcelos,31-12-2014 13:55,1,0,EN308,"10,932",Despiste simples
Barcelos,28-01-2014 19:15,0,1,Rotunda Cibernética 0,-,"Colisão traseira com outroveículo em movimento"
Barcelos,25-09-2014 13:45,0,1,Rua da Estrada Real,-,Atropelamento de peões
Barcelos,11-05-2014 02:10,0,1,Rua da Pousada,-,Despiste simples
Barcelos,06-09-2014 07:46,0,1,Rua de Real,-,Despiste simples
Barcelos,05-12-2014 09:45,0,1,Rua de São João,-,Atropelamento de peões
Barcelos,01-01-2014 19:50,0,2,Rua de Sequeade 553,-,Despiste com fuga
Barcelos,16-04-2014 13:30,0,1,Rua de Soleiros,-,"Colisão lateral com outro veículoem movimento"
Barcelos,19-05-2014 18:40,0,1,Rua do Divino Salvador 2600,-,Despiste com capotamento
Barcelos,18-04-2014 20:30,0,1,Rua do Olival,-,Despiste com capotamento
Barcelos,29-11-2014 04:54,0,1,Rua Filipa Borges 638,-,Despiste com capotamento
Barcelos,25-06-2014 10:45,1,0,Rua Nossa Senhora do O,-,Despiste simples
Barcelos,30-05-2014 14:25,0,1,Rua Principal 2713,-,"Colisão lateral com outro veículoem movimento"
Barcelos,22-07-2014 14:50,0,1,Rua Santa Marinha,-,Atropelamento de peões
Barcelos,26-11-2014 18:15,0,1,Rua São Paio dos Principais,-,Colisão frontal
Braga,08-11-2014 18:40,1,0,Ava da Igreja,-,Atropelamento de peões
Braga,04-03-2014 14:52,1,0,"Ava General Carrilho da SilvaPinto",-,"Despiste com transposição dodispositivo de retenção lateral"
Braga,16-11-2014 07:50,0,1,Ava João XXl 519,-,"Despiste com dispositivo deretenção"
Braga,11-09-2014 08:40,0,1,Ava Padre Júlio Fragata 0,-,Atropelamento de peões
Braga,18-04-2014 21:15,0,1,Avenida Doutor António Palha 15,-,Atropelamento de peões
Braga,04-07-2014 13:15,1,0,"Avenida Frei Bartolomeu dosMártires 44",-,"Colisão lateral com outro veículoem movimento"
Braga,04-03-2014 13:22,0,1,Avenida Imaculada Conceição 00,-,"Colisão traseira com outroveículo em movimento"
Braga,29-03-2014 21:15,0,1,"Avenida Imaculada Conceição481",-,Atropelamento com fuga
Braga,04-12-2014 20:20,0,1,Avenida João Paulo II 0,-,Atropelamento de peões
Braga,01-11-2014 07:20,0,1,Avenida João XXI 0,-,"Despiste com dispositivo deretenção"
Braga,21-02-2014 21:35,0,1,Avenida Padre Júlio Fragata 0,-,Atropelamento de peões
Braga,31-03-2014 07:55,0,1,Avenida Padre Júlio Fragata 0,-,"Despiste com dispositivo deretenção"
Braga,20-03-2014 14:30,0,1,Avenida Padre Júlio Fragata 11,-,Despiste simples
Braga,03-02-2014 16:30,0,2,EM309,"30,150",Colisão frontal
Braga,12-01-2014 07:50,0,1,EN101,"84,340",Atropelamento de peões
Braga,07-10-2014 10:05,0,1,EN101,"90,310",Despiste com capotamento
Braga,31-08-2014 17:44,1,0,EN101,"90,600","Despiste com dispositivo deretenção"
Braga,07-01-2014 01:00,0,1,EN101,"94,972",Despiste simples
Braga,21-11-2014 18:15,0,1,EN103,"36,880",Atropelamento de peões
Braga,18-03-2014 19:30,0,1,EN103,"38,750",Atropelamento de peões
Braga,20-09-2014 19:45,0,1,EN103,"42,050","Colisão lateral com outro veículoem movimento"
Braga,11-01-2014 09:00,0,1,EN103,"45,775",Colisão frontal
Braga,11-10-2014 16:00,0,1,EN103-2,"1,600","Colisão lateral com outro veículoem movimento"
Braga,19-06-2014 19:00,0,1,EN103-3,"0,050",Atropelamento de peões
Braga,17-11-2014 17:00,0,1,EN14,"41,800",Atropelamento de peões
Braga,10-09-2014 18:20,0,1,EN14,"43,950","Colisão lateral com outro veículoem movimento"
Braga,14-01-2014 05:50,1,0,EN14,"45,050","Colisão com veiculo ou obstáculona faixa de rodagem"
Braga,31-07-2014 16:10,1,0,EN201,"61,400",Despiste simples
Braga,05-05-2014 11:25,0,1,EN205-4,"3,700",Colisão frontal
Braga,05-09-2014 07:45,1,0,EN205-4,"12,300",Atropelamento de peões
Braga,27-08-2014 19:30,1,0,Largo Estação 0,-,"Despiste sem dispositivo deretenção"
Braga,01-10-2014 20:00,0,1,Rotunda das Piscinas 0,-,Atropelamento de peões
Braga,27-12-2014 18:40,0,1,Rua Adelina Caravana 0,-,"Despiste sem dispositivo deretenção"
Braga,13-05-2014 06:00,0,1,Rua Barbosas 215,-,"Despiste sem dispositivo deretenção"
Braga,17-07-2014 18:40,0,1,Rua Cidade do Porto 0,-,"Colisão traseira com outroveículo em movimento"
Braga,01-07-2014 23:15,0,1,Rua Cidade do Porto 92,-,Atropelamento de peões
Braga,13-11-2014 18:30,0,1,Rua da Feira 272,-,Atropelamento de peões
Braga,27-09-2014 18:00,0,1,Rua da Marginal,-,Despiste com capotamento
Braga,09-07-2014 17:30,0,1,Rua da Torre 9,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Braga,09-06-2014 17:10,0,1,Rua de Barros,-,"Colisão lateral com outro veículoem movimento"
Braga,18-12-2014 08:40,0,1,Rua de Barros 22,-,"Colisão lateral com outro veículoem movimento"
Braga,30-10-2014 10:00,0,1,Rua de S. Martinho 0,-,Atropelamento de peões
Braga,29-06-2014 14:45,0,1,Rua do Caires 297,-,Atropelamento de peões
Braga,10-10-2014 17:37,0,1,Rua do Norte,-,Colisão frontal
Braga,07-05-2014 21:30,0,1,Rua do Salgueirinho,-,"Colisão lateral com outro veículoem movimento"
Braga,28-07-2014 09:00,0,1,Rua Dr. José António Cruz 00,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Braga,11-04-2014 12:45,0,1,Rua José Lopes Granja 87,-,Despiste com fuga
Braga,23-09-2014 18:40,0,1,Rua Monsenhor Airosa 73,-,Atropelamento de peões
Braga,09-02-2014 17:35,0,1,Rua Nova da Estação 0,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Braga,13-07-2014 00:10,0,1,Rua Senhora da Graça,-,"Colisão lateral com outro veículoem movimento"
Braga,15-02-2014 11:00,0,1,VAR-FOJO,-,Colisão frontal
Cabeceiras de Basto,31-08-2014 16:30,0,1,-,-,Despiste simples
Cabeceiras de Basto,02-01-2014 18:17,0,1,Ava Cardeal António Ribeiro,-,Atropelamento de peões
