"",,
11. Listagem dos acidentes com mortos e/ou feridos graves,,
"",,
Concelho Datahora M* FG* Via,km,Natureza
Alfând. da Fé 2007:06:10 13:30:00 1 0 EM576,,Despiste simples
Alfând. da Fé 2007:07:08 21:00:00 1 0 EM576,,Despiste simples
Bragança 2007:07:28 00:05:00 0 1 EN103,"258,700",Despiste simples
Bragança 2007:06:28 07:30:00 0 1 EN15,"233,850",Col. lat. c/ outro veíc. mov.
Bragança 2007:10:23 02:40:00 0 1 IP4,"218,100",Despiste com capotamento
Bragança 2007:10:27 15:45:00 2 0 IP4,"206,700",Colisão frontal
Bragança 2007:10:20 15:20:00 1 1 IP4,"202,965",Despiste com capotamento
Bragança 2007:02:16 16:30:00 0 3 IP4,"202,000",Colisão frontal
Bragança 2007:05:11 16:30:00 0 2 IP4,"190,500",Despiste com capotamento
Bragança 2007:08:16 20:40:00 1 2 IP4,"190,500",Col. lat. c/ outro veíc. mov.
Bragança 2007:01:23 18:05:00 0 1 EN217,"5,700",Atropelamento peões
Bragança 2007:01:05 08:35:00 0 1 R D ALEIXO MIRANDA,,Atropelamento peões
Bragança 2007:03:06 07:50:00 0 1 R ALEXANDRE HERCULANO,,Atropelamento peões
Bragança 2007:03:28 23:45:00 1 1 ESTR TURISMO,,Despiste c/ col c/ veíc. imob/obst.
Bragança 2007:05:23 10:00:00 1 0 Estrada Municipal,,Despiste com capotamento
Bragança 2007:06:08 14:40:00 0 1 R S JOÃO BRITO,,Atropelamento c/ fuga
Bragança 2007:06:16 00:02:00 0 1 R PE ANTONIO VIEIRA,,Col. lat. c/ outro veíc. mov.
Bragança 2007:06:17 16:45:00 0 1 R JAIME CORTESÃO,,Col. lat. c/ outro veíc. mov.
Bragança 2007:09:18 04:40:00 0 1 R JULIÃO S'ALVA,,Despiste simples
Bragança 2007:11:13 15:30:00 0 1 AV SABOR,,Col. lat. c/ outro veíc. mov.
Bragança 2007:12:03 19:15:00 0 1 AV GEN HUMBERTO DELGADO,,Colisão frontal
Bragança 2007:12:04 17:55:00 0 1 R BRASIL,,Atropelamento peões
Bragança 2007:12:17 09:05:00 0 1 AV CANTARIAS,,Colisão frontal
C. de Ansiães  2007:06:30 06:45:00 1 0 EN214,"17,600",Col. tras. c/ outro veíc. mov.
C. de Ansiães  2007:01:23 13:45:00 0 1 EM631,,Colisão frontal
C. de Ansiães  2007:07:06 05:10:00 1 0 Estrada Municipal,,Despiste com capotamento
F. Espada-a-Cinta 2007:03:28 14:00:00 0 3 Estrada Municipal,,Despiste com capotamento
F. Espada-a-Cinta 2007:07:13 21:00:00 0 1 ER221,,Despiste com capotamento
Mac. Cavaleiros 2007:09:30 19:00:00 0 1 IP4,"171,870",Colisão frontal
Mac. Cavaleiros 2007:02:01 18:30:00 0 1 EN217,"50,500",Despiste com capotamento
Mac. Cavaleiros 2007:05:16 16:15:00 0 1 EN102-1,"6,600",Despiste c/ col c/ veíc. imob/obst.
Mac. Cavaleiros 2007:10:19 07:45:00 0 1 EN316,"2,900",Despiste simples
Mac. Cavaleiros 2007:10:09 21:00:00 1 0 EM535,,Despiste s/ disp. retenção
Mac. Cavaleiros 2007:11:01 01:30:00 4 0 EM548,,Despiste com capotamento
Mir. do Douro 2007:09:06 21:25:00 1 2 EN221,"7,500",Atropelamento peões
Mir. do Douro 2007:01:29 17:15:00 0 1 EM542,,Despiste com capotamento
Mir. do Douro 2007:04:26 19:10:00 0 1 EM542,,Atropelamento peões
Mir. do Douro 2007:12:25 07:52:00 1 1 R INDUSTRIA,,Despiste com capotamento
Mirandela 2007:08:25 17:30:00 0 1 IP4,"168,871",Colisão frontal
Mirandela 2007:07:17 11:45:00 0 1 IP4,"149,200",Colisão frontal
Mirandela 2007:02:22 21:22:00 0 1 EN213,"63,600",Despiste com capotamento
Mirandela 2007:10:02 18:00:00 0 1 ESTR BRANCEDA,,Col. lat. c/ outro veíc. mov.
Mogadouro 2007:12:17 11:30:00 0 1 EN221,"57,400",Despiste com capotamento
Mogadouro,2007:11:05 23:00:00,1,1,EN227,"50,700",Despiste com capotamento
Mogadouro,2007:04:08 10:05:00,0,1,EN216,"45,600",Colisão frontal
Mogadouro,2007:03:01 12:50:00,1,1,EN221,"40,750",Colisão frontal
Mogadouro,2007:08:13 19:00:00,0,1,EN221,"34,500",Colisão frontal
Mogadouro,2007:07:22 06:00:00,1,0,EN221,"33,500",Despiste com capotamento
"",,,,,,,
"",,,,,,,
Concelho,Datahora,M*,FG*,,Via,km,Natureza
Mogadouro,2007:05:25 19:50:00,0,1,EN219,,"31,700",Atropelamento peões
T. Moncorvo,2007:06:16 03:15:00,0,1,EN102,,"51,805",Despiste com capotamento
T. Moncorvo,2007:08:05 22:20:00,0,1,EN220,,"23,100",Despiste simples
T. Moncorvo,2007:11:29 17:10:00,0,1,EN220,,"18,900",Atropelamento peões
T. Moncorvo,2007:05:20 15:35:00,1,0,EN220,,"12,500",Colisão frontal
T. Moncorvo,2007:04:16 17:15:00,1,0,EM613,,0,Despiste com capotamento
T. Moncorvo,2007:06:23 15:00:00,0,1,EM622,,0,Colisão frontal
T. Moncorvo,2007:06:30 03:30:00,0,1,EM501-1,,0,Despiste s/ disp. retenção
T. Moncorvo,2007:07:07 10:00:00,0,1,Estrada Municipal,,0,Despiste com capotamento
Vila Flor,2007:07:03 15:50:00,0,1,EN102,,"40,600",Col. lat. c/ outro veíc. mov.
Vila Flor,2007:06:21 10:45:00,0,1,EN215,,"6,000",Despiste simples
Vimioso,2007:10:16 06:50:00,1,0,EN218,,"43,200",Atropelamento peões
Vimioso,2007:01:08 12:10:00,1,0,R DIREITA,,0,Despiste s/ disp. retenção
Vimioso,2007:05:27 21:00:00,0,1,R PEREIRAS,,0,Despiste simples
Vimioso,2007:08:10 12:30:00,0,1,LG MENDO,,0,Atropelamento peões
Vimioso,2007:08:28 04:30:00,0,1,R DIREITA SANTULÃO,,0,Despiste simples
Vimioso,2007:12:18 17:35:00,1,1,EM546,0,Despiste simples
Vinhais,2007:06:04 21:20:00,0,1,R RIBEIRA,0,Col. lat. c/ outro veíc. mov.
Vinhais,2007:06:21 17:30:00,0,2,EN206,0,Colisão frontal
Vinhais,2007:10:21 08:30:00,0,1,R PAULO,0,Colisão com outras situações
"",,25,63,,,
