Concelho,Datahora,M*,FG*,,Via,km,Natureza
Mirandela,2011:12:12 11:00:00,0,1,R D Afonso III,,,Colisão lat. c/ outro veíc. mov.
Mogadouro,2011:02:05 22:15:00,0,1,EM592,,,Despiste c/capotamento
Mogadouro,2011:08:06 00:10:00,1,6,EN219,,"27,400",Colisão frontal
Mogadouro,2011:08:26 01:30:00,0,1,EN221,,"37,494",Despiste c/capotamento
Mogadouro,2011:09:01 18:45:00,2,3,EN221,,"40,000",Colisão frontal
Mogadouro,2011:11:27 08:15:00,0,4,EM595,,,Colisão frontal
Mogadouro,2011:12:06 10:30:00,1,0,EN221,,"42,110",Colisão lat. c/ outro veíc. mov.
T. Moncorvo,2011:04:13 22:00:00,0,2,EN325,,,Despiste c/capotamento
T. Moncorvo,2011:05:28 19:10:00,0,1,Lg S Sebastião - Cardanha,,,Desp. c/col. c/veíc. imobil./obst.
T. Moncorvo,2011:06:25 11:30:00,0,1,EN220,,"18,900",Desp. c/col. c/veíc. imobil./obst.
T. Moncorvo,2011:06:27 14:30:00,0,1,EM623,,"19,500",Colisão frontal
T. Moncorvo,2011:07:21 12:30:00,0,1,R Afonso Praça,,,Atropelamento de peões
T. Moncorvo,2011:12:03 02:50:00,0,2,EM611,,,Despiste c/dispositivo retenção
T. Moncorvo,2011:12:25 05:40:00,1,0,EM611,,"5,500",Despiste simples
Vila Flor,2011:05:05 18:40:00,0,1,Av Vasco da Gama,,,Atropelamento de peões
Vila Flor,2011:10:20 05:30:00,1,0,EN213,,"68,450",Colisão frontal
Vila Flor,2011:11:06 17:00:00,1,0,EN214,,"33,800",Despiste c/capotamento
Vila Flor,2011:12:04 01:10:00,0,1,EM608,,,Despiste simples
Vinhais,2011:08:17 19:00:00,0,1,R Frades,,,Atropelamento de peões
Vinhais,2011:09:08 09:00:00,0,1,R Frades,,,Colisão frontal
"",,18,78,,,,
Alfândega da Fé,2011:07:14 18:50:00,0,1,EN315,,"60,000",Despiste s/dispositivo de retenção
Alfândega da Fé,2011:11:19 13:50:00,1,0,Pç Município,,,Despiste simples
Bragança,2011:01:07 18:30:00,0,2,Pq Estac Bombeiros - Izeda,,,Atropelamento de peões
Bragança,2011:01:27 17:15:00,0,1,Av Gen Humberto Delgado,,,Atropelamento de peões
Bragança,2011:03:01 19:45:00,2,2,IP4,,"195,297",Colisão frontal
Bragança,2011:03:16 06:10:00,0,1,R Brasil,,,Colisão c/veic./obstáculo f.rodagem
Bragança,2011:04:13 18:45:00,0,1,R Alexandre Herculano,,,Colisão tras. c/ outro veíc. mov.
Bragança,2011:05:16 18:40:00,1,0,Caminho Além do Rio,,,Despiste c/col. c/veíc. imobil./obst.
Bragança,2011:06:26 06:55:00,0,1,IP4,,"223,719",Despiste simples
Bragança,2011:07:06 11:25:00,0,1,R Eng. Amaro da Costa,,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Bragança,2011:07:11 15:00:00,0,1,EN15,,"222,370",Colisão frontal
Bragança,2011:07:29 14:10:00,1,1,Av Forças Armadas,,,Despiste simples
Bragança,2011:08:09 08:00:00,0,1,R Estação,,,At r o  p  e  l a  me  n  t od  ep  eões
Bragança,2011:08:18 13:30:00,1,0,EN218,,"25,400",Colisão frontal
Bragança,2011:09:07 18:30:00,0,1,Estrada Municipal,,,Despiste simples
Bragança,2011:09:16 16:00:00,0,2,R Tratado de Alcanices,,,Colisão frontal
Bragança,2011:09:18 06:55:00,0,1,IP4,,"197,000",Despiste c/trans. disp.ret. lateral
Bragança,2011:10:08 07:30:00,0,1,IP4,,"216,500",Despiste simples
Bragança,2011:12:18 20:30:00,0,1,EM1061,,"1,800",Despiste simples
Bragança,2011:12:21 10:45:00,0,1,EN218,,"32,700",Despiste s/dispositivo de retenção
Car de Ansiães,2011:08:07 17:40:00,0,1,EM631,,,Colisão frontal
Car de Ansiães,2011:10:11 18:00:00,1,0,EN214,,"20,060",Atropelamento de peões
F. Espada Cinta,2011:09:11 06:50:00,0,1,EN325,,"17,950",Despiste c/capotamento
F. Espada Cinta,2011:12:12 11:30:00,0,1,EN325-1,,,Colisão lat. c/ outro veíc. mov.
M. Cavaleiros,2011:03:06 07:00:00,1,0,EM553,,"6,700",Despiste c/capotamento
M. Cavaleiros,2011:04:06 14:30:00,0,1,Caminho Oreta - Murços,,,Despiste c/capotamento
M. Cavaleiros,2011:04:23 20:15:00,0,1,R D Prof Correia Araújo,,,Colisão c/outras situações
M. Cavaleiros,2011:07:28 00:24:00,0,1,EN217,,"57,800",Despiste c/capotamento
M. Cavaleiros,2011:08:05 06:30:00,0,1,EN216,,"25,700",Despiste c/col. c/veíc. imobil./obst.
M. Cavaleiros,2011:08:11 09:50:00,1,0,R Principal,,,Despiste simples
