Concelho,Datahora,M,FG,Via,Km,Natureza
Belmonte,05-02-2012 00:15,0,4,A23,"180,500",Despiste com capotamento
Belmonte,09-10-2012 21:25,2,2,A23,"194,700",Colisão com outras situações
Belmonte,09-02-2012 12:05,0,1,EN345,"12,400",Despiste com capotamento
Castelo Branco,08-03-2012 17:00,0,1,-,-,Despiste com capotamento
Castelo Branco,24-06-2012 11:10,0,1,-,-,Despiste simples
Castelo Branco,18-07-2012 07:45,0,1,-,-,Despiste com capotamento
Castelo Branco,16-12-2012 15:00,0,1,-,-,Despiste simples
Castelo Branco,15-02-2012 10:00,0,1,Avenida General Hu...,-,Atropelamento de peões
Castelo Branco,15-01-2012 08:00,0,1,CAMINHO DOS MO...,-,Despiste com capotamento
Castelo Branco,25-05-2012 08:15,1,0,EM1251,-,Despiste simples
Castelo Branco,21-05-2012 01:40,0,1,EM546,-,Despiste simples
Castelo Branco,23-09-2012 01:30,0,2,EM548-1,-,Despiste com capotamento
Castelo Branco,15-06-2012 10:30,0,1,EM551,"3,900",Despiste simples
Castelo Branco,30-08-2012 08:40,0,2,EN112,"90,600",Colisão lateral com outro veículo em movi...
Castelo Branco,31-05-2012 18:40,0,1,EN18,"93,500",Colisão com outras situações
Castelo Branco,13-06-2012 11:15,0,1,EN18,"95,900",Atropelamento de peões
Castelo Branco,25-05-2012 15:44,0,1,EN18,"96,560",Colisão lateral com outro veículo em movi...
Castelo Branco,15-03-2012 22:20,0,2,EN18,"102,850",Colisão frontal
Castelo Branco,10-05-2012 07:45,0,1,EN233,"98,200",Despiste simples
Castelo Branco,08-03-2012 09:55,0,1,EN233,"100,370",Despiste com dispositivo de retenção
Castelo Branco,09-07-2012 22:30,0,1,EN233,"104,500",Despiste simples
Castelo Branco,18-08-2012 19:15,0,2,EN233,"123,931",Colisão lateral com outro veículo em movi...
Castelo Branco,02-01-2012 07:20,0,1,EN233,"125,700",Atropelamento de peões
Castelo Branco,14-10-2012 20:40,0,1,EN233,-,Despiste com colisão com veículo imobil. ...
Castelo Branco,26-01-2012 23:00,0,1,EN240,"1,400",Despiste com colisão com veículo imobil. ...
Castelo Branco,06-08-2012 15:30,0,1,EN240,"7,000",Despiste simples
Castelo Branco,23-04-2012 19:00,0,1,EN3,"114,700",Despiste com transposição do dispositivo ...
Castelo Branco,30-06-2012 07:55,1,0,EN3,"117,550",Colisão frontal
Castelo Branco,19-05-2012 21:25,1,0,EN3,"209,600",Despiste simples
Castelo Branco,04-03-2012 16:30,0,2,R PADRE ANTONIO...,-,Despiste simples
Castelo Branco,04-12-2012 17:45,0,1,Recinto Santuário S...,-,Despiste com capotamento
Castelo Branco,19-12-2012 17:30,0,1,Rua A .,-,Colisão lateral com outro veículo em movi...
Castelo Branco,31-10-2012 17:50,0,1,Rua de São José 5,-,Atropelamento de peões
Castelo Branco,01-08-2012 12:45,0,1,Rua Godofredo Ferr...,-,Despiste simples
Castelo Branco,15-02-2012 14:10,0,1,Rua Mina 0,-,Despiste com colisão com veículo imobil. ...
Castelo Branco,04-07-2012 09:30,0,1,Rua Nossa Senhora...,-,Atropelamento de peões
Castelo Branco,22-06-2012 19:30,0,1,Rua Saibreiro 0,-,Atropelamento de peões
Castelo Branco,01-12-2012 11:00,0,1,Rua Sé .,-,Atropelamento de peões
Covilha,07-12-2012 20:37,0,1,A23,"175,400",Colisão traseira com outro veículo em mo...
Covilha,15-04-2012 09:50,0,1,ACC-EN18,-,Despiste com capotamento
Covilha,11-10-2012 14:45,1,0,Alameda Europa s/n,-,Colisão lateral com outro veículo em movi...
Covilha,16-01-2012 14:00,0,1,ALAMEDA PERO DA...,-,Atropelamento de peões
Covilha,05-08-2012 13:50,0,1,Alameda Pêro da C...,-,Colisão lateral com outro veículo em movi...
Covilha,27-04-2012 20:45,0,1,Alameda Pêro da C...,-,Atropelamento de peões
Covilha,05-08-2012 03:20,1,4,Ava São Romão,-,Despiste com capotamento
Covilha,08-01-2012 18:30,0,1,EN18,"28,250",Despiste com capotamento
Covilha,15-09-2012 01:45,0,2,EN18,"38,300",Colisão lateral com outro veículo em movi...
Covilha,08-07-2012 19:00,0,1,EN230,"200,850",Colisão frontal
Covilha,27-08-2012 14:30,0,1,EN230,"207,500",Despiste com colisão com veículo imobil. ...
Covilha,05-04-2012 10:15,0,1,PARQUE ESTACION...,-,Atropelamento de peões
Covilha,06-10-2012 00:40,0,1,Rua A,-,Colisão lateral com outro veículo em movi...
Covilha,12-03-2012 17:12,0,1,Rua Igreja 132,-,Colisão lateral com outro veículo em movi...
Covilha,27-09-2012 14:15,0,1,Rua Mateus Fernan...,-,Atropelamento de peões
Covilha,08-11-2012 17:30,0,1,Rua Mateus Fernan...,-,Atropelamento de peões
Fundao,17-09-2012 06:50,0,1,-,-,Colisão lateral com outro veículo em movi...
Fundao,28-10-2012 15:15,0,1,-,-,Despiste com colisão com veículo imobil. ...
Fundao,04-04-2012 07:45,0,1,CAMINHO SAO DO...,-,Colisão lateral com outro veículo em movi...
Fundao,19-06-2012 12:35,1,0,EM517,-,Despiste com dispositivo de retenção
Fundao,21-11-2012 18:00,1,0,EN18,"48,500",Atropelamento de peões
Fundao,03-08-2012 16:25,0,2,EN18,"64,600",Despiste com colisão com veículo imobil. ...
Fundao,11-05-2012 16:23,1,0,EN18,"81,000",Despiste com capotamento
Fundao,14-04-2012 21:10,1,0,LG DA IGREJA,-,Despiste com capotamento
Idanha-a-Nova,22-03-2012 20:20,0,1,-,-,Colisão lateral com outro veículo em movi...
,-,-,-,-,-,-
Idanha-a-Nova,26-06-2012 11:45,0,1,-,-,Despiste com colisão com veículo imobil. ...
Idanha-a-Nova,21-09-2012 15:55,0,1,EM557,"9,200",Colisão frontal
Idanha-a-Nova,02-06-2012 20:25,0,2,EN233,"77,400",Despiste com colisão com veículo imobil. ...
Idanha-a-Nova,05-05-2012 14:40,0,1,EN239,"33,400",Despiste sem dispositivo de retenção
Idanha-a-Nova,07-08-2012 10:50,0,2,EN240,"48,100",Despiste simples
Idanha-a-Nova,04-04-2012 18:55,0,1,EN354,"23,965",Despiste simples
Idanha-a-Nova,27-05-2012 14:48,1,1,EN354,"33,300",Despiste com colisão com veículo imobil. ...
Idanha-a-Nova,24-03-2012 11:55,0,2,R DOS MOINHOS,-,Colisão lateral com outro veículo em movi...
Oleiros,26-02-2012 13:45,0,1,-,-,Colisão com fuga
Oleiros,17-07-2012 14:40,0,1,-,-,Despiste sem dispositivo de retenção
Oleiros,25-08-2012 19:45,0,1,-,-,Colisão com outras situações
Oleiros,10-03-2012 11:30,0,1,EN112,"62,800",Despiste com dispositivo de retenção
Oleiros,05-02-2012 02:50,0,1,EN238,"81,300",Atropelamento de peões
Oleiros,23-12-2012 04:30,0,1,EN238,-,Despiste com capotamento
Oleiros,03-12-2012 11:30,0,1,EN350,"110,600",Despiste com capotamento
Oleiros,31-05-2012 14:40,0,1,EN358,"0,001",Colisão com outras situações
Penamacor,28-04-2012 08:00,0,1,EN346,"7,600",Despiste simples
Proenca-a-Nova,04-06-2012 20:45,0,1,-,-,Colisão frontal
Proenca-a-Nova,12-11-2012 18:45,0,1,EM1310,-,Despiste simples
Proenca-a-Nova,04-10-2012 09:20,0,1,Travessa do Cemité...,-,Despiste com capotamento
Serta,11-08-2012 21:30,1,0,EN2,-,Atropelamento de peões
Serta,13-03-2012 17:45,0,1,EN237,"83,500",Colisão com veiculo ou obstáculo na faixa...
Serta,29-03-2012 20:25,0,1,EN237,"84,500",Despiste com capotamento
Serta,09-04-2012 11:15,0,1,EN350,"87,400",Atropelamento de peões
Serta,17-05-2012 23:45,0,1,IC8,"104,000",Colisão com veiculo ou obstáculo na faixa...
