Concelho,Datahora,M*,FG*,Via,km,Natureza
Covilhã,2012:10:11 14:45:00,1,0,Alameda Europa,,Colisão lat. c/ outro veíc. mov.
Covilhã,2012:11:08 17:30:00,0,1,Rua Mateus Fernandes,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Covilhã,2012:12:07 20:37:00,0,1,A23,"175,400",Colisão tras. c/ outro veíc. mov.
Fundão,2012:04:04 07:45:00,0,1,Caminho São Domingos,,Colisão lat. c/ outro veíc. mov.
Fundão,2012:04:14 21:10:00,1,0,Lg. Da Igreja,,Despiste c/ capotamento
Fundão,2012:05:11 16:23:00,1,0,EN18,"81,000",Despiste c/ capotamento
Fundão,2012:06:19 12:35:00,1,0,EM517,,Despiste c/ disp. de retenção
Fundão,2012:08:03 16:25:00,0,2,EN18,"64,600",Desp.c/col. c/ veíc. imobil./obst.
Fundão,2012:09:17 06:50:00,0,1,Estrada Municipal,,Colisão lat. c/ outro veíc. mov.
Fundão,2012:10:28 15:15:00,0,1,Outra Via,,Desp. c/col. c/ veíc. imobil./obst.
Fundão,2012:11:21 18:00:00,1,0,EN18,"48,500",Atropelamento de peões
Idanha-a-Nova,2012:01:16 13:30:00,1,0,EN240,"41,100",Despiste simples
Idanha-a-Nova,2012:03:22 20:20:00,0,1,Variante,,Colisão lat. c/ outro veíc. mov.
Idanha-a-Nova,2012:03:24 11:55:00,0,2,R Dos Moinhos,,Colisão lat. c/ outro veíc. mov.
Idanha-a-Nova,2012:04:04 18:55:00,0,1,EN354,"23,965",Despiste simples
Idanha-a-Nova,2012:05:05 14:40:00,0,1,EN239,"33,400",Despiste s/ disp. de retenção
Idanha-a-Nova,2012:05:27 14:48:00,1,1,EN354,"33,300",Desp.c/col. c/ veíc. imobil./obst.
Idanha-a-Nova,2012:06:02 20:25:00,0,2,EN233,"77,400",Desp.c/col. c/ veíc. imobil./obst.
Idanha-a-Nova,2012:06:26 11:45:00,0,1,Outra Via,,Desp. c/col. c/ veíc. imobil./obst.
Idanha-a-Nova,2012:08:07 10:50:00,0,2,EN240,"48,100",Despiste simples
Idanha-a-Nova,2012:09:21 15:55:00,0,1,EM557,"9,200",Colisão frontal
Oleiros,2012:02:05 02:50:00,1,0,EN238,"81,300",Atropelamento de peões
Oleiros,2012:02:26 13:45:00,0,1,Estrada Municipal,,Colisão com fuga
Oleiros,2012:03:10 11:30:00,0,1,EN112,"62,800",Despiste c/ dispositivo retenção
Oleiros,2012:05:31 14:40:00,0,1,EN358,"0,001",Colisão com outras situações
Oleiros,2012:07:17 14:40:00,0,1,Estrada Municipal,,Despiste s/ dispositivo retenção
Oleiros,2012:08:25 19:45:00,0,1,Estrada Municipal,,Colisão com outras situações
Oleiros,2012:12:03 11:30:00,0,1,EN350,"110,600",Despiste c/ capotamento
Oleiros,2012:12:23 04:30:00,0,1,EN238,,Despiste c/ capotamento
Penamacor,2012:04:28 08:00:00,0,1,EN346,"7,600",Despiste simples
Proça-a-Nova,2012:06:04 20:45:00,0,1,Estrada Municipal,,Colisão frontal
Proça-a-Nova,2012:10:04 09:20:00,0,1,Travessa do Cemitério,,Despiste c/ capotamento
Proça-a-Nova,2012:11:12 18:45:00,0,1,EM1310,,Despiste simples
Sertã,2012:01:17 07:55:00,0,1,IC8,"113,609",Despiste c/trans. disp. ret. lateral
Sertã,2012:03:12 10:30:00,0,1,Vale da ramada - casalinho,,Despiste simples
Sertã,2012:03:13 17:45:00,0,1,EN237,"83,500",Colisão c/veic./obstáculo f.rod.
Sertã,2012:03:29 20:25:00,0,1,EN237,"84,500",Despiste c/ capotamento
Sertã,2012:04:09 11:15:00,0,1,EN350,"87,400",Atropelamento de peões
Sertã,2012:05:17 23:45:00,0,1,IC8,"104,000",Colisão c/veic./obstáculo f.rod.
Sertã,2012:06:26 17:50:00,0,1,IC8,"115,110",Despiste c/trans. disp. ret. lateral
Sertã,2012:08:11 21:30:00,1,0,EN2,,Atropelamento de peões
Sertã,2012:09:12 10:05:00,0,1,Rua do Mini Preço,,Atropelamento com fuga
Sertã,2012:09:23 03:00:00,1,0,Rua da Lameira,,Despiste c/ dispositivo de ret.
Sertã,2012:10:09 22:00:00,0,1,Rua do Ribeiro,,Despiste simples
Vila de Rei,2012:05:01 00:05:00,0,1,EN2,"363,500",Despiste c/ capotamento
Vila de Rei,2012:08:18 16:20:00,0,1,EN2,"368,330",Colisão c/veic./obst. f.rodagem
"",,20,98,,,
Belmonte,2012:02:05 00:15:00,1,3,A23,,"180,500",Despiste c/ capotamento
Belmonte,2012:02:09 12:05:00,0,1,EN345,,"12,400",Despiste c/ capotamento
Belmonte,2012:10:09 21:25:00,2,2,A23,,"194,700",Colisão com outras situações
Castelo Branco,2012:01:02 07:20:00,0,1,EN233,,"125,700",Atropelamento de peões
Castelo Branco,2012:01:15 08:00:00,0,1,Caminho dos Moleiros,,,Despiste c/ capotamento
Castelo Branco,2012:01:26 23:00:00,0,1,EN240,,"1,400",Despiste c/col. c/ veíc. imobil./obst.
Castelo Branco,2012:02:15 10:00:00,0,1,Av. Gen. Humb. Delgado,,,Atropelamento de peões
Castelo Branco,2012:02:15 14:10:00,0,1,Rua Mina,,,Despiste c/col. c/ veíc. imobil./obst.
Castelo Branco,2012:03:04 16:30:00,0,2,R Pe. António Vieira,,,Despiste simples
Castelo Branco,2012:03:08 09:55:00,0,1,EN233,,"100,370",Despiste c/ dispositivo de retenção
Castelo Branco,2012:03:08 17:00:00,0,1,Outra Via,,,Despiste c/ capotamento
Castelo Branco,2012:03:15 22:20:00,0,2,EN18,,"102,850",Colisão frontal
Castelo Branco,2012:04:23 19:00:00,0,1,EN3,,"114,700",Despiste c/trans. disp. ret. lateral
Castelo Branco,2012:05:10 07:45:00,0,1,EN233,,"98,200",Despiste simples
Castelo Branco,2012:05:19 21:25:00,1,0,EN3,,"209,600",Despiste simples
Castelo Branco,2012:05:21 01:40:00,0,1,EM546,,,Despiste simples
Castelo Branco,2012:05:25 08:15:00,1,0,EM1251,,,Despiste simples
Castelo Branco,2012:05:25 15:44:00,0,1,EN18,,"96,560",Colisão lat. c/ outro veíc. mov.
Castelo Branco,2012:05:31 18:40:00,0,1,EN18,,"93,500",Colisão com outras situações
Castelo Branco,2012:06:13 11:15:00,0,1,EN18,,"95,900",Atropelamento de peões
Castelo Branco,2012:06:15 10:30:00,0,1,EM551,,"3,900",Despiste simples
Castelo Branco,2012:06:22 19:30:00,0,1,Rua Saibreiro,,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Castelo Branco,2012:06:24 11:10:00,0,1,Estrada Municipal,,,Despiste simples
Castelo Branco,2012:06:30 07:55:00,1,0,EN3,,"117,550",Colisão frontal
Castelo Branco,2012:07:04 09:30:00,0,1,R. N. Sra. Altos Ceus,,,Atropelamento de peões
Castelo Branco,2012:07:09 22:30:00,0,1,EN233,,"104,500",Despiste simples
Castelo Branco,2012:07:18 07:45:00,0,1,Outra Via,,,Despiste c/ capotamento
Castelo Branco,2012:08:01 12:45:00,0,1,R. Godofredo Ferreira,,,Despiste simples
Castelo Branco,2012:08:06 15:30:00,0,1,EN240,,"7,000",Despiste simples
Castelo Branco,2012:08:18 19:15:00,0,2,EN233,,"123,931",Colisão lat. c/ outro veíc. mov.
Castelo Branco,2012:08:30 08:40:00,0,2,EN112,,"90,600",Colisão lat. c/ outro veíc. mov.
Castelo Branco,2012:09:23 01:30:00,0,2,EM548-1,,,Despiste c/ capotamento
Castelo Branco,2012:10:14 20:40:00,0,1,EN233,,,Despiste c/col. c/ veíc. imobil./obst.
Castelo Branco,2012:10:31 17:50:00,0,1,Rua de São José,,,Atropelamento de peões
Castelo Branco,2012:12:01 11:00:00,0,1,Rua Sé,,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Castelo Branco,2012:12:04 17:45:00,0,1,Rec. St. Sra. Mercoles,,,Despiste c/ capotamento
Castelo Branco,2012:12:16 15:00:00,0,1,Outra Via,,,Despiste simples
Castelo Branco,2012:12:19 17:30:00,0,1,Rua A,,,C  o  l i s  ã  ola  t .  c  /  o  u  t r ov  e  í c . mov.
Covilhã,2012:01:08 18:30:00,1,0,EN18,,"28,250",Despiste c/ capotamento
Covilhã,2012:01:16 14:00:00,0,1,Al. Pero Da Cov.-Fte Galp,,,Atropelamento de peões
Covilhã,2012:03:12 17:12:00,0,1,Rua Igreja,,,Co  li s  ã  ol a  t .  c  /  o  u  t r ov  e  í c .  mov.
Covilhã,2012:04:05 10:15:00,1,0,P. Estac. C. Hosp. C. Beira,,,Atropelamento de peões
Covilhã,2012:04:15 09:50:00,0,1,ACC-EN18,,,Despiste c/ capotamento
Covilhã,2012:04:27 20:45:00,0,1,Al. Pêro da Covilhã,,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Covilhã,2012:07:08 19:00:00,0,1,EN230,,"200,850",Colisão frontal
Covilhã,2012:08:05 03:20:00,1,4,Ava São Romão,,,Despiste c/ capotamento
Covilhã,2012:08:05 13:50:00,0,1,Al. Pêro da Covilhã,,,Colisão lat. c/ outro veíc. mov.
Covilhã,2012:08:27 14:30:00,0,1,EN230,,"207,500",Despiste c/col. c/ veíc. imobil./obst.
Covilhã,2012:09:15 01:45:00,0,2,EN18,,"38,300",Colisão lat. c/ outro veíc. mov.
Covilhã,2012:09:27 14:15:00,0,1,Rua Mateus Fernandes,,,A  t r  o  p  e  la  me  n  t od  ep  e  õ  e  s
Covilhã,2012:10:06 00:40:00,1,0,Rua A,,,Colisão lat. c/ outro veíc. mov.
