Concelho,Datahora,M,FG,Via,Km,Natureza
Belmonte,05-10-2015 18:08,0,6,EN18,"22,100",Colisão frontal
Belmonte,30-07-2015 05:15,0,3,EN18-3,-,Despiste simples
Castelo Branco,10-02-2015 15:00,0,1,-,"0,001",Despiste simples
Castelo Branco,20-09-2015 10:30,0,1,-,-,Despiste simples
Castelo Branco,30-09-2015 13:00,0,1,A23,"137,150",Despiste com capotamento
Castelo Branco,22-01-2015 10:15,0,1,Avenida 1o de Maio 20,-,Atropelamento de peões
Castelo Branco,12-06-2015 13:30,0,1,Avenida 1o de Maio 69,-,Colisão com outras situações
Castelo Branco,28-02-2015 22:45,0,1,Avenida Boa Esperança 16,-,"Colisão com veiculo ou obstáculona faixa de rodagem"
Castelo Branco,14-05-2015 14:15,0,1,Avenida Dia de Portugal 0,-,Atropelamento de peões
Castelo Branco,13-08-2015 19:15,0,4,EM1240,-,Colisão frontal
Castelo Branco,02-09-2015 22:15,0,1,EM1251,-,Despiste simples
Castelo Branco,09-03-2015 10:45,0,1,EM525,-,Despiste com capotamento
Castelo Branco,03-10-2015 18:45,0,1,EM550,-,"Colisão traseira com outroveículo em movimento"
Castelo Branco,30-01-2015 14:45,0,1,EN112,"73,550","Colisão traseira com outroveículo em movimento"
Castelo Branco,15-03-2015 00:30,0,1,EN112,"89,000",Despiste simples
Castelo Branco,07-06-2015 16:00,0,1,EN18,"93,200",Despiste simples
Castelo Branco,13-03-2015 11:35,1,0,EN18,"103,700","Colisão lateral com outro veículoem movimento"
Castelo Branco,24-04-2015 23:11,1,0,EN18-8,"19,200","Despiste com colisão com veículoimobil. ou obstáculo"
Castelo Branco,27-04-2015 14:56,1,0,EN233,"97,835","Despiste com colisão com veículoimobil. ou obstáculo"
Castelo Branco,04-04-2015 12:30,0,1,EN233,"116,000","Despiste sem dispositivo deretenção"
Castelo Branco,08-07-2015 02:10,0,1,EN233,"131,100",Despiste simples
Castelo Branco,29-05-2015 16:43,0,1,EN233,"133,580",Despiste com capotamento
Castelo Branco,22-08-2015 18:35,0,1,EN352,"31,700",Despiste simples
Castelo Branco,30-06-2015 13:45,0,1,EN352,"38,243",Despiste simples
Castelo Branco,10-11-2015 15:15,0,1,Praça do Municipio 0,-,Atropelamento de peões
Castelo Branco,19-12-2015 18:40,0,1,Rotunda da Europa 0,-,"Despiste sem dispositivo deretenção"
Castelo Branco,19-07-2015 21:10,0,1,Rua A - Zona Industrial 0,-,Despiste com capotamento
Castelo Branco,06-11-2015 12:10,0,1,Rua D 11,-,"Colisão lateral com outro veículoem movimento"
Castelo Branco,12-11-2015 08:15,0,1,Rua da Granja 0,-,Colisão com fuga
Castelo Branco,14-12-2015 19:15,0,1,"Rua Doutor Manuel Lopes Louro00",-,Atropelamento de peões
Castelo Branco,17-05-2015 14:00,0,1,Rua Dr José Marques Leite 115,-,"Colisão lateral com outro veículoem movimento"
Castelo Branco,17-07-2015 08:25,0,1,Rua F K8,-,Despiste simples
Castelo Branco,07-06-2015 17:10,0,1,Rua José Castanheira 2,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Castelo Branco,01-04-2015 15:35,0,1,Rua Pedro da Fonseca 00,-,"Colisão traseira com outroveículo em movimento"
Castelo Branco,21-10-2015 08:35,0,1,Rua Pedro da Fonseca 16,-,Atropelamento de peões
Castelo Branco,12-01-2015 08:50,0,1,Rua Pedro da Fonseca 22,-,Atropelamento de peões
Covilha,08-06-2015 17:40,0,1,-,-,Colisão frontal
Covilha,22-07-2015 13:28,0,1,-,-,Colisão frontal
Covilha,13-04-2015 09:00,1,0,Alameda Europa sn,-,Atropelamento de peões
Covilha,07-02-2015 07:05,0,1,Avenida Frei Heitor Pinto sn,-,Atropelamento com fuga
Covilha,10-01-2015 23:47,1,0,EM506-1,-,"Despiste sem dispositivo deretenção"
Covilha,25-06-2015 23:20,0,1,EM506-1,-,Despiste com capotamento
Covilha,06-11-2015 08:50,1,0,EN18,"32,400","Colisão lateral com outro veículoem movimento"
Covilha,25-01-2015 11:15,1,2,EN18,"42,300","Colisão traseira com outroveículo em movimento"
Covilha,19-06-2015 17:20,0,1,EN339,"28,100",Despiste simples
Covilha,24-04-2015 18:10,0,1,Rua Amoreira 11A,-,Colisão frontal
Covilha,29-03-2015 00:30,0,1,Rua Marquês Ávila e Bolama 0,-,"Colisão com veiculo ou obstáculona faixa de rodagem"
Covilha,18-02-2015 13:45,0,1,Rua Marquês Ávila e Bolama 00,-,"Despiste sem dispositivo deretenção"
Fundao,23-08-2015 06:44,0,2,A23,"154,900","Colisão traseira com outroveículo em movimento"
Fundao,07-04-2015 11:45,1,0,Ava Eugénio de Andrade,-,Despiste simples
Fundao,17-11-2015 15:40,1,0,EM512,"3,200",Despiste simples
Fundao,24-04-2015 13:40,0,1,EN18,"51,200","Colisão lateral com outro veículoem movimento"
Fundao,10-01-2015 11:15,0,1,EN18,"54,420",Atropelamento de peões
Fundao,29-01-2015 12:00,0,1,EN18,"75,880",Despiste simples
Fundao,04-02-2015 17:20,0,1,Rua do Adro Lavacolhos 21,-,Despiste simples
Fundao,24-01-2015 14:10,0,1,Rua do Canto 8,-,Atropelamento de peões
Fundao,23-07-2015 07:10,0,1,Rua São Sebastião 1 A,-,Despiste simples
Idanha-a-Nova,05-03-2015 10:00,0,1,EM551,-,Despiste com capotamento
Idanha-a-Nova,13-01-2015 19:45,0,1,EN233,"74,500","Colisão lateral com outro veículoem movimento"
Idanha-a-Nova,17-11-2015 11:30,0,1,EN239,"35,400","Colisão lateral com outro veículoem movimento"
Idanha-a-Nova,10-08-2015 23:25,1,0,EN239,"57,250",Despiste simples
Idanha-a-Nova,22-03-2015 07:00,1,0,EN353,"34,600",Despiste simples
Idanha-a-Nova,17-09-2015 23:40,0,1,EN354,"15,900",Despiste simples
Idanha-a-Nova,09-11-2015 17:20,1,0,Rua das Escolas,-,Atropelamento de peões
Idanha-a-Nova,20-01-2015 17:36,0,1,Rua do Poço da Devesa 8,-,Despiste simples
Oleiros,13-05-2015 21:15,1,0,-,-,"Despiste sem dispositivo deretenção"
Oleiros,25-08-2015 03:20,0,1,EN351,"16,500",Despiste com capotamento
Oleiros,12-04-2015 14:30,0,1,ER238,"76,200",Despiste simples
Penamacor,14-05-2015 13:40,0,1,EN332,"144,600","Colisão lateral com outro veículoem movimento"
Proenca-a-Nova,02-07-2015 13:15,0,1,-,"0,001",Despiste simples
Proenca-a-Nova,22-08-2015 16:25,0,1,Estrada da Póvoa,-,Atropelamento de peões
Serta,18-06-2015 20:35,0,1,-,-,Colisão frontal
Serta,07-08-2015 13:30,0,1,EM1101,"0,001",Despiste simples
Serta,05-06-2015 10:25,0,1,EM238,"36,820","Colisão lateral com outro veículoem movimento"
Serta,06-01-2015 06:30,0,1,EN231,"85,400","Despiste com transposição dodispositivo de retenção lateral"
Serta,25-09-2015 20:00,0,1,EN238,"0,001","Colisão lateral com outro veículoem movimento"
Serta,11-01-2015 11:10,0,1,EN244,"4,600",Despiste com capotamento
Serta,23-02-2015 19:15,1,0,IC8,"95,200","Colisão traseira com outroveículo em movimento"
Serta,18-11-2015 07:45,0,1,IC8,"109,200","Colisão com veiculo ou obstáculona faixa de rodagem"
Serta,08-07-2015 22:15,0,1,Rua da Escola,-,Despiste simples
Serta,30-04-2015 14:20,0,1,Rua da Igreja,-,Despiste simples
Serta,20-05-2015 08:40,0,1,Rua de Proença a Nova,-,"Colisão traseira com outroveículo em movimento"
Vila de Rei,29-04-2015 12:38,0,1,-,"1,617",Despiste com capotamento
Vila de Rei,23-08-2015 01:45,0,1,EN2,"363,600",Despiste com capotamento
Vila Velha de Rodao,27-12-2015 16:20,0,1,EM545,"2,500","Despiste sem dispositivo deretenção"
Vila Velha de Rodao,02-02-2015 11:10,2,1,EN3,"191,000",Colisão frontal
Vila Velha de Rodao,12-10-2015 13:12,1,0,Rua da Capela 14,-,Atropelamento de peões
Vila Velha de Rodao,16-08-2015 12:20,0,1,Rua Nova,-,Despiste com capotamento
