Concelho,Datahora,M*,FG*,,Via,km,Natureza
Arganil,2010-01-25 12:30,1,0,EN342-4,,"1,000",Colisão lat.l c/ outro veíc. mov.
Arganil,2010-03-21 00:00,0,1,EN342-4,,"1,000",Despiste simples
Arganil,2010-09-16 18:20,0,1,EN344,,"10,800",Despiste s/dispositivo retenção
Arganil,2010-12-11 07:20,1,0,EN344,,"3,920",Colisão lat.l c/ outro veíc. mov.
Cantanhede,2010-01-17 09:30,0,1,R 25 ABRIL,,,Despiste c/transp.disp. ret. lateral
Cantanhede,2010-02-19 11:45,0,1,EN234-1,,"10,100",Colisão tras. c/outro veíc. mov.
Cantanhede,2010-03-21 22:00,0,1,R LUIS CAMÕES,,,Despiste simples
Cantanhede,2010-07-17 19:35,0,1,EN335-1,,,Despiste simples
Cantanhede,2010-07-28 04:45,1,3,EN234,,"25,800",Despiste c/capotamento
Cantanhede,2010-08-01 16:00,1,5,A1,,"210,280",Despiste c/transp.disp. ret. lateral
Cantanhede,2010-08-01 16:40,1,2,EM618,,,Despiste c/capotamento
Cantanhede,2010-09-19 13:30,2,0,A1,,"205,441",Colisão tras. c/outro veíc. mov.
Cantanhede,2010-11-08 09:50,1,2,EN234-1,,"2,200",Colisão frontal
Cantanhede,2010-11-09 12:10,1,0,EN234-1,,"3,480",Colisão lat.l c/ outro veíc. mov.
Coimbra,2010-02-13 12:30,0,1,Av. António Portugal,,,Colisão tras. c/outro veíc. mov.
Coimbra,2010-02-20 00:25,0,1,R. N. Senhora dos Aflitos,,,Despiste simples
Coimbra,2010-02-25 12:25,0,1,R. Dr. Luís Freitas Morna,,,Colisão lat.l c/ outro veíc. mov.
Coimbra,2010-03-03 05:50,0,1,R. Miguel Torga,,,Despiste s/dispositivo retenção
Coimbra,2010-03-24 18:40,0,1,EN336,,"43,500",Colisão lat.l c/ outro veíc. mov.
Coimbra,2010-03-29 16:25,0,1,IC2,,,Colisão tras. c/outro veíc. mov.
Coimbra,2010-04-02 12:20,0,1,R. N. Senhora dos Aflitos,,,Colisão frontal
Coimbra,2010-07-02 16:48,1,0,Térm. Pte. Rainha Santa,,,Colisão lat.l c/ outro veíc. mov.
Coimbra,2010-07-17 18:55,1,1,R CHÃO DAS ALMAS,,,Despiste c/col. c/veíc. imobil./ obst.
"",,,,Rot. Av. Prof. Mário,,,
Coimbra,2010-07-21 10:40,1,0,,,,Atropelamento de peões
"",,,,"Silva, com Variante Sul",,,
Coimbra,2010-08-12 16:00,0,1,EN110-2,,"17,070",Atropelamento de peões
Coimbra,2010-08-15 16:15,0,1,EN1,,,Colisão lat.l c/ outro veíc. mov.
Coimbra,2010-09-18 08:55,0,1,R. Bento Jesus Caraça,,,Atropelamento de peões
Coimbra,2010-09-30 00:25,1,0,EN111-1,,,Despiste c/dispositivo retenção
Coimbra,2010-11-05 16:20,1,0,EN111,,"29,385",Colisão lat.l c/ outro veíc. mov.
Coimbra,2010-11-26 18:15,1,0,EN111,,"38,000",Atropelamento de peões
Coimbra,2010-11-26 22:15,0,1,PNTAÇUDE,,,Despiste c/col. c/veíc. imobil./ obst.
Coimbra,2010-12-18 00:45,0,1,R. Pedro Rodrig. Santos,,,Colisão frontal
Condeixa-a-Nova,2010-03-14 16:20,0,1,A1,,"176,500",Colisão lat.l c/ outro veíc. mov.
Condeixa-a-Nova,2010-04-10 02:50,0,1,R. FONTE PRETA,,,Despiste s/dispositivo retenção
Condeixa-a-Nova,2010-07-22 07:40,0,1,EN1,,"170,073",Colisão tras. c/outro veíc. mov.
Condeixa-a-Nova,2010-07-29 12:00,1,0,Outra Via,,,Despiste c/capotamento
Condeixa-a-Nova,2010-07-29 19:50,1,0,IC3,,"3,000",Colisão frontal
Figueira da Foz,2010-01-31 09:24,1,0,EN111,,"8,600",Atropelamento de peões
Figueira da Foz,2010-03-22 13:30,0,1,R. Celulose Billerud,,,Colisão frontal
Figueira da Foz,2010-03-22 15:00,0,1,IC1,,,Colisão lat.l c/ outro veíc. mov.
Figueira da Foz,2010-05-05 23:40,0,1,EN109,,"106,500",Colisão lat.l c/ outro veíc. mov.
Figueira da Foz,2010-05-11 21:15,1,1,EN347,,"4,000",Colisão lat.l c/ outro veíc. mov.
Figueira da Foz,2010-06-06 17:40,0,1,EN109,,"135,500",Colisão lat.l c/ outro veíc. mov.
"",,,,R. Dr. Manuel Gaspar,,,
Figueira da Foz,2010-06-12 16:00,0,1,,,,Colisão lat.l c/ outro veíc. mov.
"",,,,Lemos,,,
Figueira da Foz,2010-07-09 17:45,0,1,AV MANUEL BENTO,,,Colisão lat.l c/ outro veíc. mov.
Figueira da Foz,2010-07-17 18:05,0,1,R. dos Condados,,,De  s  p  i s t ec  / c  o  l .c  / v e  í c  .  i mo  b  i l . / obst.
Figueira da Foz,2010-07-18 04:45,2,5,IC1,,,Colisão frontal
Figueira da Foz,2010-08-02 20:35,0,1,R. da Vidreira  -  Fontela,,,Despiste c/dispositivo retenção
Figueira da Foz,2010-08-22 07:10,0,1,R DA ESCOLA,,,Despiste c/capotamento
Figueira da Foz,2010-08-27 22:30,0,1,R DR LINO PINTO,,,Despiste c/col. c/veíc. imobil./ obst.
Figueira da Foz,2010-09-08 17:07,0,1,IC1,,"135,500",Colisão lat.l c/ outro veíc. mov.
Figueira da Foz,2010-10-24 16:30,0,1,IC1,,"129,500",Colisão com outras situações
Figueira da Foz,2010-11-03 07:30,1,0,IC1,,"132,800",Colisão frontal
Figueira da Foz,2010-11-28 08:15,1,0,Av. Foz do Mondego,,,De  s  p  is  t ec  / d  i s  p  o  s i t i v  o  retenção
Figueira da Foz,2010-12-17 15:00,0,1,EN109,,"104,700",Colisão lat.l c/ outro veíc. mov.
Figueira da Foz,2010-12-21 07:20,1,0,EM594,,,Despiste simples
Figueira da Foz,2010-12-29 17:49,0,1,IC1,,"135,500",Colisão lat.l c/ outro veíc. mov.
Góis,2010-08-21 23:15,0,1,ZONA INDUSTRIAL DE GOIS,,,Atropelamento de peões
Lousã,2010-04-04 20:20,1,3,EN17,,"18,000",Colisão frontal
Mira,2010-01-21 17:15,0,1,Estrada Municipal,,,Desp. c/col. c/veíc. imobil./ obst.
Mira,2010-03-03 15:40,0,1,EN109,,"82,400",Colisão lat.l c/ outro veíc. mov.
Mira,2010-03-15 09:20,1,0,EN234,,"1,436",Colisão lat.l c/ outro veíc. mov.
Mira,2010-05-19 19:06,0,1,R DE CIMA 168,,,Atropelamento de peões
Mira,2010-11-29 09:40,1,0,Variante,,,Colisão lat.l c/ outro veíc. mov.
Mont.-o-Velho,2010-03-17 06:15,0,1,EN111,,"14,000",Colisão frontal
Mont.-o-Velho,2010-04-08 07:45,0,1,EN335-1,,"4,250",Colisão lat.l c/ outro veíc. mov.
"",,,,R DAS GATINHEIRAS - MEAS,,,
Mont.-o-Velho,2010-05-24 07:50,1,0,,,,Colisão lat.l c/ outro veíc. mov.
"",,,,DO CAMPO,,,
Mont.-o-Velho,2010-05-30 04:40,1,0,EN335,,"40,900",Colisão tras. c/outro veíc. mov.
Mont.-o-Velho,2010-08-06 10:25,1,0,R DA MATA,,,Colisão lat.l c/ outro veíc. mov.
Mont.-o-Velho,2010-08-12 17:20,0,1,EN111,,"20,600",Colisão tras. c/outro veíc. mov.
Mont.-o-Velho,2010-09-07 11:55,1,2,EN335-1,,"3,300",Colisão frontal
Mont.-o-Velho,2010-10-01 15:00,0,1,R DA BOLETA,,,Despiste simples
Mont.-o-Velho,2010-11-04 13:43,0,2,EN341,,"31,400",Colisão frontal
Mont.-o-Velho,2010-11-15 17:15,0,1,EN335,,"51,800",Atropelamento de peões
Mont.-o-Velho,2010-11-17 18:00,1,0,EN335-1,,"0,700",Atropelamento de peões
Mont.-o-Velho,2010-12-09 17:40,1,0,Estrada Municipal,,,Despiste simples
Oliv. do Hospital,2010-04-16 16:00,0,1,EN17,,"79,250",Despiste c/capotamento
Oliv. do Hospital,2010-05-10 17:30,0,1,AV CALOUSTE GULBENKIAN,,,Colisão lat.l c/ outro veíc. mov.
Oliv. do Hospital,2010-07-31 01:40,0,1,EST PRINCIPAL,,,Desp. c/col. c/veíc. imobil./ obst.
Oliv. do Hospital,2010-08-12 04:00,1,0,EN230,,"121,800",Despiste c/capotamento
Oliv. do Hospital,2010-08-21 14:10,0,1,EN17,,"77,500",Col. c/veic./obst.f. de rodagem
Oliv. do Hospital,2010-09-14 20:20,0,1,EN17,,"70,100",Col. c/veic./obst.f. de rodagem
Pamp. da Serra,2010-08-10 09:45,1,0,LG JOSE HENRIQUES CUNHA,,,Colis. c/veic./obst.f. de rodagem
Penacova,2010-01-23 21:30,0,1,IP3,,"57,200",Despiste c/capotamento
Penacova,2010-09-17 08:25,0,1,IP3,,"52,060",Desp. c/transp.disp. ret. lateral
Penacova,2010-12-09 18:30,0,1,IP3,,"71,000",Colisão frontal
Penela,2010-02-07 18:50,1,3,IC3,,"27,710",Colisão frontal
