Concelho,Datahora,M,FG,Via,Km,Natureza
Arganil,09-08-2015 15:05,0,1,-,-,Colisão frontal
Arganil,09-10-2015 20:15,0,1,-,-,"Colisão lateral com outro veículoem movimento"
Arganil,12-08-2015 10:05,0,1,EM544,"0,001",Despiste simples
Arganil,13-06-2015 08:00,0,2,EM584,"0,001","Despiste com dispositivo deretenção"
Arganil,27-08-2015 12:00,0,1,EN17,"46,900","Colisão lateral com outro veículoem movimento"
Arganil,24-04-2015 09:00,0,2,EN342-4,"5,200","Colisão lateral com outro veículoem movimento"
Cantanhede,06-02-2015 23:55,0,1,A1,"210,528","Colisão lateral com outro veículoem movimento"
Cantanhede,20-09-2015 18:45,0,1,EN109,"90,800","Colisão traseira com outroveículo em movimento"
Cantanhede,06-03-2015 20:20,0,1,EN234,"11,280","Colisão lateral com outro veículoem movimento"
Cantanhede,29-03-2015 09:30,0,1,Largo da Arvore 1,-,Despiste simples
Cantanhede,13-10-2015 08:30,1,0,Rua da Fonte,-,"Colisão traseira com outroveículo em movimento"
Cantanhede,10-06-2015 15:55,1,0,Rua das Costas 12,-,Despiste simples
Cantanhede,25-03-2015 17:45,0,1,Rua Fortunato Vaz 39,-,"Colisão traseira com outroveículo em movimento"
Cantanhede,01-10-2015 13:30,0,1,Rua Marques de Pombal,-,"Colisão com veiculo ou obstáculona faixa de rodagem"
Coimbra,12-12-2015 09:35,0,1,A1,"190,600",Despiste simples
Coimbra,04-06-2015 15:05,1,0,A1,"199,100",Despiste com capotamento
Coimbra,20-04-2015 08:40,0,1,Avenida Bissaya Barreto SN,-,Atropelamento de peões
Coimbra,25-01-2015 15:20,0,1,"Avenida da Guarda Inglesa ,inicio do acesso ao viaduto 0",-,"Colisão com veiculo ou obstáculona faixa de rodagem"
Coimbra,17-09-2015 10:40,0,1,EN111,"28,250","Colisão lateral com outro veículoem movimento"
Coimbra,25-04-2015 04:15,0,1,EN341,"40,140","Despiste sem dispositivo deretenção"
Coimbra,06-10-2015 10:00,0,1,IC2,"178,700",Colisão frontal
Coimbra,02-05-2015 03:45,5,4,IC2,"178,800",Despiste simples
Coimbra,10-02-2015 10:10,1,0,IC2,"193,200","Colisão com veiculo ou obstáculona faixa de rodagem"
Coimbra,15-08-2015 17:25,0,1,Rua Brito Xavier 6,-,Despiste com capotamento
Coimbra,21-05-2015 19:20,0,1,Rua da Cruz Nova 77,-,"Despiste sem dispositivo deretenção"
Coimbra,28-05-2015 23:15,0,1,Rua da Escola Nova,-,Colisão frontal
Coimbra,21-05-2015 14:00,1,0,Rua das Granjeiras 181,-,"Colisão lateral com outro veículoem movimento"
Coimbra,09-09-2015 18:00,0,1,Rua Doutor Rui Andrade 47,-,Colisão frontal
Coimbra,20-11-2015 15:00,0,1,Rua Dro José Soares,-,"Colisão lateral com outro veículoem movimento"
Coimbra,04-04-2015 15:55,0,1,Rua Principal,-,Colisão frontal
Condeixa-a-Nova,20-03-2015 09:15,0,1,A1,"176,838","Colisão traseira com outroveículo em movimento"
Condeixa-a-Nova,04-12-2015 16:00,1,0,A1,"183,885",Despiste simples
Condeixa-a-Nova,16-05-2015 09:33,0,2,A1,"184,025",Despiste com capotamento
Condeixa-a-Nova,21-07-2015 10:30,1,0,EN347,"28,400",Colisão frontal
Condeixa-a-Nova,22-04-2015 05:04,1,0,Rua do Areeiro,-,Despiste simples
Figueira da Foz,09-10-2015 23:00,0,1,-,-,Atropelamento de peões
Figueira da Foz,27-09-2015 15:40,1,0,A14,"1,600","Despiste com transposição dodispositivo de retenção lateral"
Figueira da Foz,06-04-2015 15:30,0,1,A14,"10,135","Despiste com dispositivo deretenção"
Figueira da Foz,11-05-2015 18:20,0,1,Avenida Infante Dom Pedro 0,-,"Colisão lateral com outro veículoem movimento"
Figueira da Foz,29-11-2015 19:30,0,1,EN111,"13,250","Colisão traseira com outroveículo em movimento"
Figueira da Foz,17-12-2015 00:20,1,0,Estrada Armazens de Lavos 0,-,Atropelamento de peões
Figueira da Foz,27-05-2015 13:49,0,1,IC1,"114,200","Colisão lateral com outro veículoem movimento"
Figueira da Foz,04-02-2015 16:30,1,0,IC1,"114,900","Despiste com colisão com veículoimobil. ou obstáculo"
Figueira da Foz,21-02-2015 23:35,0,1,IC1,"115,000","Colisão traseira com outroveículo em movimento"
Figueira da Foz,26-08-2015 18:45,0,1,IC1,"120,400","Colisão lateral com outro veículoem movimento"
Figueira da Foz,05-04-2015 19:10,0,1,IC1,"126,480",Colisão frontal
Figueira da Foz,16-12-2015 18:30,0,1,Rodovia Urbana 0,-,Atropelamento de peões
Figueira da Foz,29-06-2015 09:00,0,1,Rua António da Graça 0,-,"Colisão lateral com outro veículoem movimento"
Figueira da Foz,28-07-2015 09:45,0,1,Rua da Azenha,-,Despiste simples
Figueira da Foz,03-07-2015 08:20,0,1,Rua da Vidreira 70,-,"Colisão lateral com outro veículoem movimento"
Figueira da Foz,16-08-2015 12:10,1,0,Rua das Morenitas 12,-,Colisão frontal
Figueira da Foz,05-06-2015 15:45,0,1,Rua do Calvário 11 A,-,"Colisão lateral com outro veículoem movimento"
Figueira da Foz,27-11-2015 18:40,0,1,Rua do Hospital 0,-,"Despiste sem dispositivo deretenção"
Figueira da Foz,26-01-2015 17:45,1,0,Rua Dona Maria 0,-,"Colisão traseira com outroveículo em movimento"
Figueira da Foz,25-03-2015 12:50,0,1,Rua Estrada de Coimbra 180,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Figueira da Foz,15-06-2015 12:20,0,1,Rua Joaquim Sotto Mayor 29,-,Colisão com outras situações
Figueira da Foz,15-05-2015 23:00,1,0,Rua Principal 1,-,"Despiste com transposição dodispositivo de retenção lateral"
Figueira da Foz,12-05-2015 21:20,0,1,Rua Rancho das Cantarinhas 132,-,Atropelamento de peões
Gois,13-10-2015 15:20,1,0,EM543-2,"0,001",Despiste simples
Lousa,04-07-2015 11:10,0,1,Ava Coelho da Gama 8,-,Atropelamento de peões
Lousa,10-08-2015 08:33,0,2,EN17,"19,000","Colisão lateral com outro veículoem movimento"
Lousa,06-08-2015 12:15,1,0,EN236,"14,656",Despiste com capotamento
Lousa,16-04-2015 15:22,0,1,EN342,"61,844",Despiste simples
Lousa,28-03-2015 17:20,0,1,"Rua Doutor Manuel de magalhãesMexia 106",-,Despiste com capotamento
Lousa,03-07-2015 21:40,1,1,Rua General Humberto Delgado,-,"Colisão lateral com outro veículoem movimento"
Mira,09-05-2015 04:30,0,1,EN109,"88,300",Despiste simples
Mira,26-10-2015 18:52,1,0,EN109,"88,300","Despiste com colisão com veículoimobil. ou obstáculo"
Mira,16-08-2015 00:01,0,1,Rua Principal,-,"Despiste com transposição dodispositivo de retenção lateral"
Mira,22-09-2015 11:00,0,1,Rua Principal,-,Atropelamento de animais
Miranda do Corvo,13-01-2015 12:45,0,1,EM639,"0,001",Despiste simples
Miranda do Corvo,03-08-2015 19:30,0,1,EN342,"48,150",Despiste com capotamento
Montemor-o-Velho,24-01-2015 17:35,0,1,-,-,Despiste simples
Montemor-o-Velho,22-09-2015 15:45,0,1,EN347,"12,000",Despiste com capotamento
Montemor-o-Velho,21-11-2015 15:00,1,0,Rua Principal,"46,000",Colisão frontal
Oliveira do Hospital,02-05-2015 02:07,0,1,Ava Doutor Virgilio Ferreira 1,-,Despiste simples
Oliveira do Hospital,31-01-2015 17:30,0,2,EN17,"71,200",Colisão frontal
Oliveira do Hospital,13-06-2015 11:04,1,0,EN17,"77,500","Colisão lateral com outro veículoem movimento"
Oliveira do Hospital,08-08-2015 17:15,0,1,EN230,"102,850",Despiste simples
Oliveira do Hospital,20-09-2015 18:45,1,0,EN230-6,"2,400",Atropelamento de peões
Oliveira do Hospital,23-03-2015 12:05,0,1,EN231-2,"22,800",Atropelamento de peões
Oliveira do Hospital,25-09-2015 18:00,0,1,Rua da Calçada Romana,-,Despiste simples
Oliveira do Hospital,27-02-2015 11:40,0,1,Rua do Salgueiro 9,-,Despiste com capotamento
Oliveira do Hospital,14-09-2015 19:57,1,0,"Rua Doutor Francisco BorgesMendes Cruz 10",-,Despiste simples
Oliveira do Hospital,27-01-2015 18:00,1,0,Rua Principal,-,Atropelamento de peões
Pampilhosa da Serra,23-11-2015 18:00,0,1,EN344,"77,550",Despiste com capotamento
Penacova,08-01-2015 14:55,0,1,ER235,"0,001",Despiste simples
Penacova,03-02-2015 18:45,0,1,IP3,"51,640","Despiste com colisão com veículoimobil. ou obstáculo"
Penacova,03-11-2015 08:50,0,1,IP3,"69,230",Colisão frontal
Penacova,19-12-2015 17:30,1,0,Rua das Hortas,-,Despiste com capotamento
Penacova,23-11-2015 18:30,0,1,Rua de Coimbra,-,"Colisão com veiculo ou obstáculona faixa de rodagem"
Penela,08-11-2015 17:30,0,1,-,-,Despiste com capotamento
Penela,26-05-2015 18:00,0,1,EM558,-,"Colisão traseira com outroveículo em movimento"
Soure,08-11-2015 17:13,0,1,-,-,Despiste com capotamento
Soure,15-10-2015 07:19,1,0,A1,"171,235",Atropelamento de peões
Soure,02-07-2015 18:50,0,1,EM1117-2,-,Despiste simples
Soure,06-12-2015 07:30,0,1,EN347,"2,720",Colisão frontal
Soure,26-06-2015 23:15,0,1,Rua Principal,-,Despiste simples
Tabua,17-01-2015 08:10,0,1,-,-,Despiste com capotamento
Tabua,08-01-2015 09:20,0,1,EN234-6,"4,800","Colisão lateral com outro veículoem movimento"
Tabua,19-07-2015 15:20,0,2,EN337,"5,000",Colisão frontal
Tabua,27-03-2015 20:35,1,0,EN337,"67,450",Despiste com capotamento
Tabua,16-01-2015 22:20,1,0,IC6,"20,900",Colisão frontal
Vila Nova de Poiares,29-08-2015 16:45,0,1,EN17,"26,550",Despiste simples
