Concelho,Datahora,M,FG,Via,Km,Natureza
Albufeira,21-01-2016 12:30,0,1,-,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Albufeira,29-02-2016 15:00,0,1,-,-,Colisão com fuga
Albufeira,26-03-2016 14:50,0,2,-,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Albufeira,13-10-2016 00:50,0,2,-,-,Colisão frontal
Albufeira,21-10-2016 22:00,0,1,-,-,Atropelamento de peões
Albufeira,29-12-2016 16:50,0,1,-,-,Atropelamento de peões
Albufeira,30-12-2016 23:45,0,1,-,-,Despiste simples
Albufeira,16-08-2016 13:00,0,1,(sem nome) zona de vale verde,-,Despiste simples
Albufeira,03-09-2016 23:43,1,0,A22,"54,700","Colisão traseira com outroveículo em movimento"
Albufeira,02-07-2016 05:35,1,0,EN125,"67,405",Atropelamento com fuga
Albufeira,31-10-2016 12:30,1,0,EN125,"69,100",Colisão frontal
Albufeira,24-04-2016 07:45,0,1,EN269,"19,000",Despiste simples
Albufeira,05-09-2016 09:25,1,0,EN395,"60,750",Atropelamento de peões
Albufeira,18-02-2016 15:22,1,0,EN395,"60,800","Colisão lateral com outro veículoem movimento"
Albufeira,29-08-2016 17:00,0,1,ESTRADA DE ALBUFEIRA,-,Atropelamento de peões
Albufeira,25-04-2016 18:15,0,1,Rua da Escola Velha,-,Despiste com capotamento
Albufeira,20-07-2016 00:30,0,1,RUA RAMALHO ORTIGÃO,-,Despiste simples
Albufeira,07-09-2016 17:55,0,1,vale de  silves,-,Colisão frontal
Alcoutim,18-10-2016 17:15,0,1,-,"10,200",Colisão frontal
Alcoutim,19-06-2016 11:40,0,1,-,-,Colisão frontal
Aljezur,05-10-2016 13:35,0,1,-,-,Despiste simples
Aljezur,23-01-2016 02:20,0,1,Estrada do Lavajo,-,Despiste com capotamento
Aljezur,05-08-2016 22:45,0,1,rua do centro de saude,-,Atropelamento de peões
Castro Marim,26-06-2016 11:00,0,3,A22,"131,900","Despiste com dispositivo deretenção"
Castro Marim,09-09-2016 18:15,0,1,EN125,"150,800",Atropelamento de peões
Castro Marim,03-10-2016 23:30,0,1,EN125,"150,800",Despiste simples
Castro Marim,19-12-2016 12:00,0,1,IC27,"10,000",Colisão choque em cadeia
Faro,18-05-2016 01:20,1,0,-,"0,100",Atropelamento de peões
Faro,19-01-2016 08:05,0,1,-,"325,000","Colisão lateral com outro veículoem movimento"
Faro,03-03-2016 16:00,1,0,-,"606,000","Colisão lateral com outro veículoem movimento"
Faro,18-07-2016 21:40,0,1,-,-,Despiste simples
Faro,30-07-2016 20:10,0,1,-,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Faro,02-10-2016 16:50,0,1,-,-,Colisão com outras situações
Faro,05-06-2016 02:45,0,1,Avenida Anibal C. Guerreiro 0,-,"Despiste com transposição dodispositivo de retenção lateral"
Faro,28-01-2016 07:50,0,1,Avenida Cidade Hayward 10,-,"Despiste sem dispositivo deretenção"
Faro,08-02-2016 15:30,0,1,EM518,-,"Colisão lateral com outro veículoem movimento"
Faro,12-04-2016 15:56,1,0,EM522,-,"Colisão lateral com outro veículoem movimento"
Faro,16-04-2016 23:45,1,0,EN125-10,"1,900","Despiste com colisão com veículoimobil. ou obstáculo"
Faro,15-09-2016 11:20,1,0,EN2,"731,200",Atropelamento de peões
Faro,25-11-2016 18:03,0,1,EN2,"736,650",Atropelamento de peões
Faro,27-11-2016 09:35,1,0,Rua Aboim Ascensão 87,-,Atropelamento de peões
Faro,28-01-2016 15:45,0,1,Rua Doutor José de Matos 83,-,Atropelamento de peões
Lagoa (Algarve),16-02-2016 09:10,0,1,-,-,"Colisão lateral com outro veículoem movimento"
Lagoa (Algarve),06-04-2016 11:15,0,1,-,-,Colisão com outras situações
Lagoa (Algarve),17-08-2016 20:45,0,2,-,-,Colisão frontal
Lagoa (Algarve),06-09-2016 23:50,0,1,EN125,"46,200",Despiste simples
Lagoa (Algarve),28-01-2016 14:30,0,2,EN125,"47,300",Colisão frontal
Lagoa (Algarve),27-02-2016 21:20,0,1,Estrada do Farol - Carvoeiro,-,Atropelamento de peões
Lagoa (Algarve),29-07-2016 22:13,0,1,rua do bom jardim,-,Despiste simples
Lagos,05-09-2016 08:25,1,0,"Avenida ComunidadesPortuguesas 0",-,Atropelamento de peões
Lagos,29-09-2016 21:40,0,2,EN125,"17,000",Despiste simples
Lagos,22-06-2016 10:20,0,1,EN125,"19,100","Colisão lateral com outro veículoem movimento"
Lagos,20-12-2016 18:30,1,0,EN125,"27,250","Colisão lateral com outro veículoem movimento"
Lagos,23-06-2016 06:15,1,0,EN125,"27,500","Colisão lateral com outro veículoem movimento"
Lagos,21-09-2016 18:50,0,1,Rua da Azenha,-,"Colisão lateral com outro veículoem movimento"
Lagos,28-09-2016 22:30,0,1,Rua Hospital São João de Deus 0,-,Colisão frontal
Lagos,09-05-2016 19:35,0,1,"Rua Hospital São João de Deus85",-,Colisão com outras situações
Lagos,28-06-2016 19:00,1,1,"Rua Professor Doutor Adelino daPalma Carlos 0",-,Colisão frontal
Loule,09-03-2016 15:20,0,1,-,-,Despiste simples
Loule,15-05-2016 17:15,0,1,-,-,Despiste simples
Loule,17-06-2016 15:30,1,0,-,-,Despiste com capotamento
Loule,11-09-2016 12:15,0,1,-,-,Despiste simples
Loule,19-09-2016 00:10,0,3,-,-,Colisão frontal
Loule,17-07-2016 09:00,0,1,A22,"74,800","Colisão lateral com outro veículoem movimento"
Loule,26-09-2016 01:20,0,1,"AVENIDA VILAMOURA XXI -VILAMOURA",-,Despiste simples
Loule,24-07-2016 06:15,0,1,Caminho dos Golfes - Vilamoura,-,Despiste simples
Loule,06-04-2016 17:40,0,1,EM525,"11,000","Colisão lateral com outro veículoem movimento"
Loule,23-04-2016 22:40,1,0,EN124,"49,500","Despiste com colisão com veículoimobil. ou obstáculo"
Loule,17-05-2016 00:25,1,0,EN125,"76,300","Colisão lateral com outro veículoem movimento"
Loule,06-04-2016 04:40,0,1,EN125,"84,600",Despiste simples
Loule,30-07-2016 05:00,0,2,EN125,"84,800",Despiste com capotamento
Loule,23-05-2016 09:15,0,1,EN125,"86,580","Colisão lateral com outro veículoem movimento"
Loule,29-07-2016 09:45,0,1,EN125,"91,000",Colisão frontal
Loule,14-11-2016 23:40,0,2,EN125,"93,600",Despiste simples
Loule,07-07-2016 23:30,0,1,EN125,"96,180","Colisão lateral com outro veículoem movimento"
Loule,29-10-2016 09:40,1,0,EN270,"19,250",Atropelamento de peões
