Concelho,Datahora,M*,FG*,Via,km,Natureza
Aguiar da Beira,2008-12-17 20:00,1,0,LG DA CRUZ 1,,Despiste c/col. c/veíc. imob./obst.
Aguiar da Beira,2008-09-20 21:10,0,1,EN229,"54,100",Despiste c/capotamento
Aguiar da Beira,2008-01-04 01:40,1,0,EN229,"53,550",Despiste simples
"",,,,R PRINCIPAL,,
Aguiar da Beira,2008-10-26 19:49,0,1,,,Despiste simples
"",,,,SARGAÇAIS 21,,
Almeida,2008-02-25 19:45,0,2,A25,"196,100",Colisão tras. c/outro veíc. mov.
Almeida,2008-07-20 02:30,0,2,EN332,"49,800",Despiste simples
Almeida,2008-09-06 18:30,1,0,EN16,"203,500",Despiste c/col. c/veíc. imob./obst
Almeida,2008-12-26 16:45,0,1,EN332,"50,775",Colisão frontal
Almeida,2008-09-17 00:15,1,0,A25,"184,300",Colisão tras. c/outro veíc. mov.
Celorico da Beira,2008-07-16 13:05,0,1,A25,"138,100",Colisão tras. c/outro veíc. mov.
Celorico da Beira,2008-10-01 18:30,0,1,Outra Via,,Despiste c/capotamento
Celorico da Beira,2008-10-11 17:00,0,1,EN102,"130,444",Despiste s/ disp. retenção
Celorico da Beira,2008-05-29 17:15,0,1,EN102,"139,560",Colisão c/ veic./obst. f.rodagem
F. Cast. Rodrigo,2008-02-13 11:40,0,1,EN221,"144,000",Despiste c/col. c/veíc. imob./obst
F. Cast. Rodrigo,2008-10-17 12:20,0,1,EM604,,Despiste simples
F. Cast. Rodrigo,2008-07-02 01:10,1,0,EN332,"41,391",Despiste c/capotamento
F. Cast. Rodrigo,2008-09-23 17:20,1,1,EN221,"134,500",Despiste c/capotamento
F. Cast. Rodrigo,2008-03-02 04:40,2,0,EN221,"119,800",Despiste c/capotamento
Gouveia,2008-11-12 11:55,0,1,R D SANCHO I,,Atropelamento de peões
Gouveia,2008-10-14 10:50,1,1,EN17,"113,300",Despiste simples
"",,,,R MANUEL COSTA,,
Gouveia,2008-10-11 00:10,0,1,,,Despiste simples
"",,,,MORGADO,,
"",,,,R NOVA DA INCERTADA,,
Gouveia,2008-04-24 15:30,0,1,,,Despiste c/col. c/veíc. imob./obst
"",,,,PAÇOS DA SERRA,,
"",,,,R DR ANTONIO TAVARES,,
Gouveia,2008-09-09 14:15,0,1,,,Atropelamento de peões
"",,,,SEGURAO,,
"",,,,ROT DO BAIRRO S,,
Gouveia,2008-05-23 14:40,0,1,,,Atropelamento de peões
"",,,,LAZARO,,
Gouveia,2008-01-08 14:30,0,1,EM555,,Atropelamento de peões
Gouveia,2008-03-19 00:40,0,1,EN17,"101,900",Despiste c/col. c/veíc. imob./obst
Guarda,2008-06-17 09:45,0,1,AV IGREJA,,Atropelamento de peões
Guarda,2008-11-27 18:09,1,0,EM531,"4,300",Atropelamento com fuga
Guarda,2008-11-24 00:40,0,1,VAR-RIO DI,,Despiste c/capotamento
Guarda,2008-11-22 10:40,0,1,AV CIDADE WALTELOS,,Colisão c/ veic./obst. f.rodagem
Guarda,2008-07-20 21:50,0,1,A23,"207,200",Colisão tras. c/outro veíc. mov.
Guarda,2008-03-30 04:30,0,1,EN18,"4,900",Despiste c/capotamento
Guarda,2008-02-05 22:40,0,1,ROT MCDONALDS,,Despiste c/capotamento
Mêda,2008-07-24 14:35,1,0,EN331,"45,250",Despiste simples
Mêda,2008-03-09 04:00,0,4,EN324,"42,300",Despiste simples
Mêda,2008-02-22 19:05,0,1,EN331,,Atropelamento de peões
Mêda,2008-09-05 10:37,0,1,EN324,"39,250",Atropelamento de peões
Mêda,2008-09-08 09:15,0,1,EN102,"98,050",Colisão lat. c/outro veíc. mov.
Pinhel,2008-03-21 15:45,0,1,BO OLIVEIRAS,,Atropelamento de peões
Pinhel,2008-01-24 13:52,0,1,EN226,"102,200",Colisão frontal
Pinhel,2008-06-29 21:15,1,0,R CENTRAL,,Despiste c/capotamento
Pinhel,2008-12-21 21:50,2,3,EM1074,,Despiste c/capotamento
Pinhel,2008-08-25 01:15,0,3,R D SANCHO I,,Despiste c/capotamento
Pinhel,2008-10-19 01:30,0,1,EN221,"160,327",Despiste simples
Sabugal,2008-07-06 22:20,0,1,EN18-3,,"17,950",Colisão lat. c/outro veíc. mov.
Sabugal,2008-08-04 00:00,0,1,EN233-3,,"4,810",Despiste c/capotamento
Sabugal,2008-10-12 21:05,0,1,EN233,,"25,034",Colisão frontal
Sabugal,2008-09-20 15:25,0,2,EM542,,,Colisão lat. c/outro veíc. mov.
Sabugal,2008-07-04 18:30,0,1,AV INF. D. HENRIQUE,,,Colisão lat. c/outro veíc. mov.
Seia,2008-11-03 21:50,0,1,R FONTAINHAS,,,Despiste c/disp.retenção
Seia,2008-07-23 17:00,0,1,EN231,,"40,000",Despiste s/ disp. retenção
Seia,2008-11-21 23:15,0,2,EM522-1,,"0,100",Colisão frontal
Seia,2008-08-03 22:44,0,1,EM502,,,Despiste c/capotamento
Seia,2008-03-31 09:00,1,0,Estrada Municipal,,"152,516",Despiste c/capotamento
Trancoso,2008-10-24 17:20,1,0,EM595-1,,,Colisão tras. c/outro veíc. mov.
Trancoso,2008-11-16 15:20,0,1,EN226,,"84,282",Despiste c/capotamento
Trancoso,2008-02-23 11:05,0,1,R CONEGO LEITE 986,,,Colisão frontal
V. N. Foz Côa,2008-05-29 18:00,0,1,EN222,,"197,111",Atropelamento de peões
"",,16,58,,,,
