Concelho,Datahora,M*,FG*,,Via,km,Natureza
Aguiar da Beira,2009-11-16 14:10,0,1,EM1010,,,Despiste simples
Aguiar da Beira,2009-09-06 17:20,0,1,EM587,,,Despiste simples
Aguiar da Beira,2009-12-16 18:50,1,0,EN226,,"65,000",Despiste simples
Aguiar da Beira,2009-09-15 16:00,0,1,R. Presa Castanheiro 11,,,Colisão lat. c/outro veíc. mov.
Aguiar da Beira,2009-05-18 18:00,0,1,EN229,,"48,750",Atropelamento de peões
Almeida,2009-06-22 19:30,0,1,A25,,"182,500",Despiste simples
Almeida,2009-04-30 13:00,0,1,EN332,,"54,600",Despiste simples
Almeida,2009-09-28 13:00,0,1,EN16,,"206,500",Despiste simples
Almeida,2009-12-18 00:35,0,1,A25,,"185,400",Despiste c/capotamento
Celorico da Beira,2009-10-04 18:20,1,0,R LAGAR VINHA GRANDE,,,Despiste simples
Celorico da Beira,2009-11-07 17:30,0,1,EM586-3,,,Despiste simples
Celorico da Beira,2009-01-20 20:40,0,1,EM581,,,Despiste s/disp. retenção
Celorico da Beira,2009-08-01 20:00,1,0,EM586-3,,,Despiste simples
Celorico da Beira,2009-11-01 01:00,0,1,EN17,,"119,700",Colisão frontal
Celorico da Beira,2009-01-28 13:50,0,2,A25,,"138,000",Despiste simples
Celorico da Beira,2009-03-16 11:00,0,2,A25,,"148,600",Colisão frontal
F. Cast. Rodrigo,2009-09-04 13:35,0,1,R CORREIOS,,,Atropelamento de peões
F. Cast. Rodrigo,2009-06-21 18:30,0,1,EN332,,"134,100",Despiste simples
F. Cast. Rodrigo,2009-01-22 18:00,0,1,EN332,,"31,300",Despiste c/capotamento
F. Cast. Rodrigo,2009-11-09 20:10,0,1,EN332,,"30,400",Atropelamento de peões
F. Cast. Rodrigo,2009-10-05 21:15,0,1,EN221,,"127,240",Despiste c/capotamento
F. de Algodres,2009-05-04 04:30,1,0,A25,,"122,800",Despiste simples
Gouveia,2009-07-16 17:45,1,0,EN232,,"20,969",Colisão frontal
Gouveia,2009-05-09 02:45,0,1,R BICA,,,Despiste simples
Guarda,2009-01-16 23:50,1,0,AV CIDADE WAZUBRUF,,,Despiste c/col. c/veíc. imob./obst.
Guarda,2009-09-03 17:05,0,1,Outra Via,,,Despiste simples
Guarda,2009-10-04 18:00,0,1,EN233-2,,"4,900",Despiste s/disp. retenção
Guarda,2009-10-22 19:00,0,1,EN233,,"15,500",Colisão frontal
Guarda,2009-12-25 06:50,0,1,LG PRACA,,,Atropelamento de peões
Guarda,2009-07-18 06:50,1,0,EN16,,"19,600",Despiste simples
Guarda,2009-07-14 17:15,1,0,EM546,,,Despiste c/capotamento
Guarda,2009-06-01 12:20,0,1,A23,,"210,000",Despiste c/disp.retenção
Guarda,2009-05-30 22:39,1,0,EM577,,"3,743",Despiste simples
Guarda,2009-05-30 19:30,1,0,EN16,,"188,300",Colisão lat. c/outro veíc. mov.
Guarda,2009-05-11 16:30,0,1,A23,,"208,900",Colisão c/ veic./obst. f.rodagem
Guarda,2009-02-16 00:30,0,1,A25,,"169,100",Colisão frontal
Guarda,2009-02-06 16:00,0,2,A23,,"199,900",Desp. c/transp.disp. retenção lat.
Guarda,2009-08-25 23:40,0,1,EM531,,"7,400",Despiste c/col. c/veíc. imob./obst.
Guarda,2009-10-02 07:40,0,1,EN16,,"184,900",Colisão tras. c/outro veíc. mov.
Guarda,2009-08-27 09:00,0,1,EN233,,"8,126",Colisão lat. c/outro veíc. mov.
Meda,2009-08-10 01:55,0,1,EM609,,,Atropelamento de peões
"",,,,Av. Gago Coutinho,,,
Meda,2009-08-11 10:50,0,1,Sacadura Cabral 1131,,,Atropelamento de peões
Meda,2009-08-29 18:50,0,1,EN331,,"30,800",Despiste simples
Meda,2009-06-14 08:50,0,1,R ESCOLA,,,Despiste c/capotamento
Meda,2009-11-24 17:40,0,1,EM600,,,Colisão lat. c/outro veíc. mov.
Meda,2009-12-17 17:35,0,1,R DR JOAQUIM DIAS,,,Atropelamento de peões
Meda,2009-11-27 18:05,0,2,EN102,,"90,200",Colisão c/ veic./obst. f.rodagem
Pinhel,2009-09-08 16:50,1,2,A25,,"176,000",Despiste c/capotamento
Pinhel,2009-04-30 17:15,0,1,EN221,,"168,400",Colisão lat. c/outro veíc. mov.
Sabugal,2009-09-19 10:50,0,1,EM538,,"0,200",Despiste simples
Seia,2009-07-26 14:00,1,1,EN230,,"155,600",Despiste c/col. c/veíc. imob./obst.
Seia,2009-09-09 17:50,0,1,EN17,,"97,250",Despiste c/col. c/veíc. imob./obst.
Seia,2009-05-01 21:28,0,1,Av. Henriq. Lopes Ferrão,,,Despiste c/capotamento
Seia,2009-11-15 06:48,1,0,EN17,,"88,800",Despiste c/capotamento
Seia,2009-11-12 11:30,0,1,AV TERRAS SENA,,,Despiste simples
Seia,2009-06-22 16:55,1,0,EM504-1,,,Despiste c/col. c/veíc. imob./obst.
Trancoso,2009-05-16 22:00,0,1,EN226,,"10,400",Colisão lat. c/outro veíc. mov.
Trancoso,2009-08-28 16:50,1,3,EN226,,"79,400",Despiste c/capotamento
Trancoso,2009-12-27 08:45,1,0,EM600,,,Despiste simples
Trancoso,2009-02-10 10:41,0,1,EN229-1,,"14,600",Despiste simples
V. N. de Foz Côa,2009-05-21 09:15,0,1,AV CIDADE NOVA,,,Despiste s/disp. retenção
V. N. de Foz Côa,2009-07-18 22:49,1,0,EN222,,"211,200",Despiste simples
"",,17,55,,,,
