"",Concelho,Datahora,M,FG,,Via,Km,Natureza
Almeida,,19-11-2011 13:50,0,1,A25,,"193,200",Despiste sem dispositivo de retenção
Almeida,,10-04-2011 11:30,0,1,LUGAR DOS PASSI...,,-,Despiste com capotamento
Celorico da Beira,,06-10-2011 17:45,1,0,-,,-,Despiste com capotamento
Celorico da Beira,,30-07-2011 19:50,0,1,EN16,,"155,500",Colisão lateral com outro veículo em mov...
Celorico da Beira,,22-08-2011 09:30,1,0,IP2,,"115,600",Colisão traseira com outro veículo em m...
Celorico da Beira,,06-08-2011 10:40,0,1,R DOS BOMBEIRO...,,-,Atropelamento de peões
Figueira de Castelo Rodrigo,,05-05-2011 10:50,0,1,AV HEROIS DE CA...,,-,Despiste com colisão com veículo imobil. ...
Figueira de Castelo Rodrigo,,05-08-2011 13:00,0,1,EN221,,"124,100",Despiste com capotamento
Figueira de Castelo Rodrigo,,19-02-2011 17:20,0,1,R DAS EIRAS - V A...,,-,Despiste sem dispositivo de retenção
Fornos de Algodres,,04-02-2011 23:40,0,1,EN330,,"30,350",Despiste simples
Gouveia,,07-03-2011 16:50,0,1,Av. D. Manuel I 0,,-,Colisão lateral com outro veículo em mov...
Gouveia,,11-05-2011 18:45,0,1,Avenida Cidade da ...,,-,Colisão lateral com outro veículo em mov...
Gouveia,,02-09-2011 04:30,0,1,EN17,,"117,700",Despiste com capotamento
Gouveia,,03-01-2011 18:00,0,1,EN232,,"20,600",Colisão lateral com outro veículo em mov...
Gouveia,,02-06-2011 18:55,0,1,EN232,,"20,900",Colisão frontal
Gouveia,,22-10-2011 15:00,0,2,R STO ANTONIO 2,,-,Despiste com capotamento
Guarda,,21-10-2011 05:10,1,0,A25,,"152,923",Despiste com transposição do dispositivo...
Guarda,,16-12-2011 18:30,0,1,A25,,"157,329",Atropelamento de peões
Guarda,,06-11-2011 06:00,0,1,Av.a do Estádio Mu...,,-,Atropelamento de peões
Guarda,,26-01-2011 07:40,0,1,Av.a S.a Miguel S/N,,-,Atropelamento de peões
Guarda,,20-07-2011 12:15,0,1,EM556,,-,Despiste simples
Guarda,,24-03-2011 15:56,0,1,EM577,,"3,550",Despiste simples
Guarda,,28-12-2011 13:45,0,1,EN16,,"183,080",Atropelamento de peões
Guarda,,06-05-2011 13:00,1,0,EN221,,"178,541",Colisão com outras situações
Guarda,,19-12-2011 17:15,0,1,EN232,,"79,200",Atropelamento de peões
Guarda,,06-03-2011 14:15,0,1,EN233,,"2,300",Colisão traseira com outro veículo em m...
Guarda,,10-12-2011 12:45,0,2,EN233,,"3,500",Colisão frontal
Guarda,,27-06-2011 09:45,0,1,Largo General Hum...,,-,Atropelamento de peões
Guarda,,26-07-2011 09:10,0,1,Largo São João 0,,-,Atropelamento de peões
Guarda,,08-07-2011 20:00,0,1,Rua Caminhos de F...,,-,Despiste sem dispositivo de retenção
Manteigas,,30-01-2011 08:30,0,2,EM501,,"0,000",Despiste com capotamento
Meda,,06-12-2011 16:30,0,1,EM600,,-,Colisão frontal
Pinhel,,25-01-2011 17:35,0,1,EM595-3,,"0,630",Despiste simples
Pinhel,,19-07-2011 19:55,1,0,EN226,,"102,330",Despiste sem dispositivo de retenção
Pinhel,,29-11-2011 18:05,1,0,EN226,,"113,831",Atropelamento de peões
Sabugal,,31-07-2011 07:55,1,0,AV ISMAEL MOTA,,-,Atropelamento de peões
Sabugal,,11-07-2011 04:00,1,0,EN18-3,,"15,273",Despiste simples
Sabugal,,27-08-2011 21:30,0,1,EN233,,"27,750",Colisão lateral com outro veículo em mov...
Sabugal,,05-06-2011 04:50,0,2,EN233-3,,"2,500",Colisão frontal
Seia,,01-05-2011 23:50,0,2,AV BOMBEIROS V...,,-,Despiste com capotamento
Seia,,24-08-2011 18:50,0,1,EN17,,"83,500",Colisão lateral com outro veículo em mov...
Seia,,14-09-2011 15:37,1,1,EN17,,"84,560",Colisão frontal
Seia,,10-04-2011 05:15,0,1,EN231,,"28,590",Colisão frontal
Seia,,22-08-2011 17:30,0,1,EN231,,"31,500",Colisão lateral com outro veículo em mov...
Seia,,01-07-2011 17:36,0,1,EN231,,"37,700",Colisão frontal
Seia,,23-11-2011 18:30,1,0,EN231,,"38,100",Atropelamento de peões
Seia,,20-04-2011 15:00,0,2,EN231,,"38,600",Colisão com veiculo ou obstáculo na faix...
Seia,,17-12-2011 14:50,0,1,R DO CASAL,,-,Colisão frontal
Seia,,07-02-2011 16:58,0,1,R SILVA GAIO,,-,Colisão frontal
Trancoso,,11-07-2011 08:00,0,1,-,,-,Despiste simples
Trancoso,,06-09-2011 18:10,1,0,EM591,,-,Colisão traseira com outro veículo em m...
Vila Nova de Foz Coa,,15-10-2011 13:15,0,1,EN222,,"196,400",Despiste simples
Vila Nova de Foz Coa,,22-10-2011 18:30,0,2,IP2,,"58,500",Despiste simples
Vila Nova de Foz Coa,,03-05-2011 09:25,0,1,R DAS EIRAS 28,,-,Atropelamento de peões
"",,-,-,-,-,,-,-
