Concelho,Datahora,M*,FG*,Via,km,Natureza
Aguiar da Beira,2012:03:22 04:40:00,0,1,EN229,"45,600",Despiste simples
Aguiar da Beira,2012:07:03 21:25:00,0,1,Estrada Principal,,Despiste simples
Aguiar da Beira,2012:08:02 18:00:00,0,1,EM587,,Despiste simples
Almeida,2012:03:10 07:15:00,0,1,EN324,"93,330",Colisão tras. c/outro veíc. mov.
Almeida,2012:05:13 00:10:00,0,1,EN324,"96,000",Colisão tras. c/outro veíc. mov.
Almeida,2012:09:15 15:30:00,0,1,Rua do Outeiro,,Atropelamento de peões
Almeida,2012:10:05 17:15:00,0,1,EM573,,Despiste c/col. c/veíc. imobil./obst.
Cel. da Beira,2012:08:16 12:15:00,0,1,EN16,"157,200",Despiste simples
Cel. da Beira,2012:09:15 22:55:00,1,0,EN16,"147,810",Despiste c/col. c/veíc. imobil./obst.
Cel. da Beira,2012:09:26 07:10:00,0,2,A25,"140,439",Despiste c/capotamento
Cel. da Beira,2012:12:23 11:13:00,0,2,EM557-2,,Colisão frontal
F. Cast. Rodrigo,2012:02:10 18:30:00,0,1,EN332,"35,500",Atropelamento de peões
F. Cast. Rodrigo,2012:04:30 16:55:00,0,1,Av. Heróis Cast. Rodrigo,,Atropelamento de peões
F. de Algodres,2012:12:22 05:30:00,0,1,A25,"124,600",Despiste c/capotamento
Gouveia,2012:07:24 12:35:00,1,0,EN17,"114,500",Despiste c/capotamento
Gouveia,2012:08:21 15:36:00,1,4,EN17,"113,400",Colisão tras. c/outro veíc. mov.
Guarda,2012:02:28 09:55:00,0,1,EM530,"2,400",Colisão lat. c/ outro veíc. mov.
Guarda,2012:03:02 16:45:00,0,1,VICEG,,Despiste c/col. c/veíc. imobil./obst.
Guarda,2012:04:21 22:00:00,1,0,EN221,"177,600",Despiste simples
Guarda,2012:05:17 20:15:00,0,2,Avenida São Miguel,,C  o  l i s  ã  oc h  o  q  u  ee  mc  a  d  e  i a
Guarda,2012:05:19 20:05:00,0,1,EM531,"6,970",Despiste simples
Guarda,2012:06:16 18:19:00,0,1,A25,"170,900",Despiste c/capotamento
Guarda,2012:07:29 14:00:00,0,1,Ava Duque de Lafões,,Despiste c/trans. disp.ret. lateral
Guarda,2012:08:01 09:10:00,0,1,Rotunda dos Galegos,,Colisão lat. c/ outro veíc. mov.
Guarda,2012:08:17 19:00:00,0,1,EM530,"2,400",Despiste c/col. c/veíc. imobil./obst.
Guarda,2012:08:31 11:50:00,0,1,Rua Águas Santas,,D  e  s  p  i s  t ec / c  o  l .c  / v  e  í c .  i mo  b  i l . /obst.
Guarda,2012:09:29 20:20:00,0,1,EM530,,Colisão frontal
Guarda,2012:10:03 19:45:00,0,1,EN18-1,"1,500",Colisão lat. c/ outro veíc. mov.
Guarda,2012:10:26 17:15:00,1,2,EM530,,Colisão frontal
Guarda,2012:11:03 18:00:00,0,1,Avenida Cidade de Bejar,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Guarda,2012:11:29 17:20:00,0,1,Avenida São Miguel,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Manteigas,2012:04:20 15:26:00,0,1,"Bo da Enxertada, S. Pedro",,Despiste simples
Manteigas,2012:06:17 03:03:00,1,0,EN232,"73,800",Despiste simples
Manteigas,2012:10:11 22:40:00,0,1,EN232,"62,100",Atropelamento de peões
Meda,2012:07:06 14:30:00,0,1,Estrada Municipal,,Despiste c/col. c/veíc. imobil./obst.
Pinhel,2012:10:19 20:15:00,1,0,A25,"176,700",Despiste c/trans. disp.ret. lateral
Sabugal,2012:01:12 17:15:00,0,1,EM538,"15,558",Despiste simples
Sabugal,2012:02:10 17:15:00,1,0,Estrada Municipal,,Despiste simples
Sabugal,2012:05:20 09:00:00,0,1,EN233-3,"9,860",Atropelamento de peões
Seia,2012:02:24 15:42:00,0,1,R. Fonte das Covas,,Colisão frontal
Seia,2012:03:08 08:05:00,0,1,EN339,"3,577",Despiste c/capotamento
Seia,2012:04:26 20:20:00,0,1,EN230,"144,900",Colisão lat. c/ outro veíc. mov.
Seia,2012:05:12 18:00:00,0,1,EN338,"27,527",Despiste c/capotamento
Seia,2012:06:30 12:10:00,0,1,Avenida Terras de Seia,,Colisão tras. c/outro veíc. mov.
Seia,2012:08:09 16:10:00,0,1,Rua do Casal Novo,,Colisão lat. c/ outro veíc. mov.
Trancoso,2012:04:26 08:35:00,0,2,EN226,"83,000",Colisão frontal
Trancoso,2012:08:14 14:30:00,0,1,Rua Cova Redonda,,Colisão lat. c/ outro veíc. mov.
Trancoso,2012:10:14 22:30:00,1,0,EM586,,Despiste simples
Trancoso,2012:11:02 14:00:00,1,0,Outra Via,,Despiste c/capotamento
V. N. Foz Coa,2012:06:03 18:15:00,0,1,EN324,"25,430",Colisão com fuga
V. N. Foz Coa,2012:11:27 10:35:00,1,1,Rua das Escolas,,Despiste s/dispositivo de retenção
,,11,51,,,
