Concelho,Datahora,M,FG,Via,Km,Natureza
Alenquer,18-04-2017 14:25,0,1,-,-,Atropelamento de peões
Alenquer,06-10-2017 22:30,1,0,A10,"11,500",Colisão frontal
Alenquer,07-01-2017 19:00,0,1,A10,"24,500",Despiste simples
Alenquer,23-07-2017 19:15,0,1,EN1,"43,400","Colisão lateral com outro veículoem movimento"
Alenquer,12-03-2017 14:00,0,2,EN3,"2,900",Colisão frontal
Alenquer,23-11-2017 16:00,0,1,EN9,"93,000",Despiste simples
Alenquer,31-01-2017 14:00,0,1,EN9,"96,000",Atropelamento de peões
Alenquer,11-08-2017 20:20,0,1,EN9-3,"1,800",Colisão frontal
Alenquer,23-08-2017 16:40,0,1,ESTRADA DO PEDREGAL,-,Despiste simples
Alenquer,18-07-2017 18:47,1,0,IC2,"35,100",Colisão frontal
Alenquer,11-08-2017 08:25,0,1,IC2,"38,130","Colisão lateral com outro veículoem movimento"
Alenquer,10-01-2017 21:40,0,1,IC2,"38,300",Colisão frontal
Alenquer,18-06-2017 22:25,0,1,IC2,"38,630",Colisão frontal
Alenquer,04-01-2017 21:00,0,1,IC2,"43,678",Colisão frontal
Alenquer,01-07-2017 04:00,0,1,IC2,"45,000",Colisão frontal
Alenquer,03-09-2017 15:10,0,2,IC2,"45,100",Colisão frontal
Alenquer,29-04-2017 10:40,0,1,IC2,"46,200",Colisão frontal
Alenquer,15-07-2017 18:00,0,1,"Rua 13 de Maio, Obras NovasAlenquer",-,Despiste simples
Alenquer,22-06-2017 18:45,0,1,Rua Gago Coutinho,-,"Colisão lateral com outro veículoem movimento"
Amadora,19-01-2017 01:00,0,1,"Avenida Conde Castro Guimarães0",-,Colisão com outras situações
Amadora,03-12-2017 11:25,0,1,"Avenida Conde Castro Guimarães0",-,"Colisão traseira com outroveículo em movimento"
Amadora,03-01-2017 15:50,0,1,"Avenida Conde Castro Guimarães28",-,"Despiste sem dispositivo deretenção"
Amadora,02-01-2017 18:30,0,1,Avenida Dom José I 0,-,Atropelamento de peões
Amadora,26-06-2017 17:00,0,1,Avenida Dom José I 0,-,Atropelamento de peões
Amadora,18-02-2017 11:30,0,1,"Avenida Dom Nuno ÁlvaresPereira 24",-,Atropelamento de peões
Amadora,03-06-2017 20:00,0,1,"Avenida Doutor Fernando PiteiraSantos 0",-,"Colisão lateral com outro veículoem movimento"
Amadora,29-11-2017 16:10,0,1,"Avenida Doutor Fernando PiteiraSantos 28",-,Atropelamento de peões
Amadora,04-03-2017 15:45,0,1,Avenida José Garcês 0,-,Colisão com outras situações
Amadora,28-07-2017 09:05,0,1,Avenida Ruy Luis Gomes 31,-,Atropelamento de peões
Amadora,05-04-2017 09:15,0,1,Estrada Zambujal 0,-,Atropelamento de peões
Amadora,23-01-2017 18:10,0,1,IC16,"3,700",Colisão com outras situações
Amadora,25-02-2017 10:45,1,0,IC19,"2,600",Atropelamento de peões
Amadora,24-05-2017 22:35,0,1,IC19,"3,900","Colisão lateral com outro veículoem movimento"
Amadora,28-02-2017 20:55,0,1,Praça Matilde Rosa Araújo 0,-,Colisão com outras situações
Amadora,06-05-2017 21:00,0,1,Rua Angola 0,-,Colisão com outras situações
Amadora,25-10-2017 12:30,0,2,Rua Dona Filipa de Lencastre 51,-,Atropelamento de peões
Amadora,24-10-2017 04:50,0,1,Rua Liberdade 63,-,Atropelamento de peões
Arruda dos Vinhos,06-07-2017 19:15,1,0,-,-,Despiste simples
Arruda dos Vinhos,27-09-2017 11:30,0,1,A10,"5,555","Colisão lateral com outro veículoem movimento"
Arruda dos Vinhos,11-02-2017 01:10,0,1,EN248,"21,500",Despiste simples
Arruda dos Vinhos,18-01-2017 16:50,0,1,Rua Luís de Camões,-,Atropelamento de peões
Azambuja,02-04-2017 08:25,0,1,EN3,"7,700",Despiste simples
Azambuja,22-11-2017 22:20,0,1,EN3,"8,800","Colisão com veiculo ou obstáculona faixa de rodagem"
Azambuja,07-03-2017 15:30,1,0,EN3,"16,300","Colisão lateral com outro veículoem movimento"
Azambuja,14-09-2017 21:40,0,1,EN3-3,"12,540",Colisão frontal
Azambuja,12-01-2017 18:40,0,1,IC2,"55,650","Colisão traseira com outroveículo em movimento"
Cadaval,06-05-2017 12:45,0,1,EN1,"54,800",Colisão frontal
Cadaval,21-09-2017 15:30,0,1,EN115,"21,370",Despiste simples
Cascais,26-07-2017 14:09,0,1,A5,"20,100","Despiste com colisão com veículoimobil. ou obstáculo"
Cascais,08-05-2017 07:50,0,1,Avenida Amália Rodrigues 0,-,Atropelamento de peões
Cascais,24-01-2017 14:20,0,1,Avenida Gonçalves Zarco 0,-,Atropelamento de peões
Cascais,03-05-2017 08:40,0,1,Avenida Lidador 327,-,Atropelamento de peões
Cascais,02-06-2017 16:00,0,1,Avenida Marques Leal 0,-,"Colisão lateral com outro veículoem movimento"
Cascais,11-06-2017 00:40,1,1,Avenida Nossa Senhora Cabo 0,-,Colisão com outras situações
Cascais,26-12-2017 18:39,0,1,"Avenida Padre Agostinho Pereirada Silva 0",-,Colisão com outras situações
Cascais,24-02-2017 08:20,0,1,Avenida Sintra 0,-,"Colisão lateral com outro veículoem movimento"
Cascais,23-09-2017 19:30,0,1,EN249-4,-,Colisão com outras situações
Cascais,17-10-2017 19:50,0,1,EN249-4,-,Atropelamento de peões
Cascais,03-01-2017 09:50,1,0,EN6,"11,500","Despiste com transposição dodispositivo de retenção lateral"
Cascais,15-12-2017 07:44,1,1,EN6,"13,400",Colisão com outras situações
Cascais,28-12-2017 19:00,0,1,EN6-7,"1,600",Atropelamento de peões
Cascais,10-01-2017 17:45,0,1,Estrada Cabeço do Cação 0,-,Colisão com outras situações
Cascais,08-10-2017 23:00,0,1,Rua Codornizes 0,-,"Despiste sem dispositivo deretenção"
Cascais,14-05-2017 17:45,0,1,Rua da Torre 163,-,"Colisão traseira com outroveículo em movimento"
Cascais,13-11-2017 09:00,0,1,RUA DE SANTO ANTONIO,-,"Colisão traseira com outroveículo em movimento"
Cascais,08-10-2017 22:45,0,1,Rua Dona Filipa de Vilhena 157,-,Colisão com outras situações
Cascais,17-09-2017 05:10,0,1,Rua Fontaínhas 0,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Cascais,03-12-2017 06:00,0,1,Rua Ivone Silva 0,-,"Despiste sem dispositivo deretenção"
Cascais,29-05-2017 14:20,0,1,Rua São José 330,-,Colisão com outras situações
Cascais,04-07-2017 16:30,0,1,Rua São Julião 41,-,Colisão com outras situações
Lisboa,03-10-2017 19:55,1,0,A5,"2,300",Despiste simples
