Concelho,Datahora,M,FG,Via,Km,Natureza
Alter do Chao,24-12-2013 07:30,0,1,EM537,-,Despiste com capotamento
Alter do Chao,25-02-2013 08:20,0,1,Rua do Reguengo,-,Colisão frontal
Arronches,17-05-2013 19:18,0,1,EN246,"53,900",Despiste com capotamento
Arronches,19-01-2013 07:05,0,2,EN246,"54,800",Colisão frontal
Avis,17-06-2013 00:15,0,2,EN243,"122,500",Atropelamento de animais
Avis,11-10-2013 19:00,0,1,EN370,"25,721","Despiste sem dispositivo deretenção"
Avis,15-10-2013 14:00,2,0,EN370,"29,200",Despiste simples
Avis,29-03-2013 12:00,1,1,EN370,"33,500",Despiste simples
Avis,29-11-2013 11:08,0,1,EN370,"48,420",Despiste com capotamento
Crato,15-03-2013 21:00,0,1,EM1022,-,Despiste simples
Crato,03-10-2013 10:15,1,0,EM532-1,-,Despiste simples
Elvas,25-08-2013 00:05,1,0,-,"156,900",Atropelamento com fuga
Elvas,20-07-2013 14:45,0,1,Av. da Boa-fé 73,-,Atropelamento de peões
Elvas,19-09-2013 11:00,0,1,"Avenida Badajoz (Rotunda dosArcos)-  Elvas 184",-,"Colisão lateral com outro veículoem movimento"
Elvas,08-09-2013 01:45,0,1,EM243-1,"1,400","Despiste com colisão com veículoimobil. ou obstáculo"
Elvas,28-01-2013 06:00,0,1,EN243-1,"3,700",Despiste com capotamento
Elvas,21-09-2013 03:00,0,2,EN246,"64,550",Despiste simples
Elvas,11-07-2013 19:05,1,0,EN373,"28,000",Despiste com capotamento
Elvas,06-02-2013 12:30,1,1,EN4,"170,300",Colisão com outras situações
Elvas,16-11-2013 09:55,0,1,Praceta General Santos Costa 1,-,Atropelamento de peões
Elvas,06-08-2013 17:50,0,1,Rua de S. Lourenço 6-A,-,Atropelamento de peões
Elvas,20-05-2013 10:00,0,1,Rua Padre Francisco Paralta s/n,-,Atropelamento de peões
Gaviao,29-09-2013 16:55,0,1,EN118,"172,500",Despiste com capotamento
Gaviao,18-02-2013 16:30,1,0,EN244,"67,300",Despiste simples
Marvao,02-12-2013 10:43,0,1,EM1037,-,Despiste simples
Marvao,23-02-2013 10:50,0,1,EM1142,-,Despiste simples
Nisa,30-07-2013 20:20,1,0,-,"5,700","Despiste sem dispositivo deretenção"
Nisa,13-04-2013 10:00,1,0,EN359,"59,850","Colisão lateral com outro veículoem movimento"
Nisa,17-12-2013 16:07,2,2,IP2,"158,200",Colisão frontal
Nisa,27-09-2013 15:50,1,1,IP2,"159,500","Colisão lateral com outro veículoem movimento"
Ponte de Sor,15-12-2013 18:40,0,1,Ava Liberdade 10,-,Atropelamento de peões
Ponte de Sor,08-09-2013 19:40,1,0,EM1059,-,Despiste simples
Ponte de Sor,26-03-2013 12:00,0,1,EM1061,-,Despiste simples
Ponte de Sor,14-01-2013 11:30,1,1,EN119,"96,700",Colisão frontal
Ponte de Sor,27-05-2013 22:37,0,1,EN2,"436,400","Despiste com colisão com veículoimobil. ou obstáculo"
Ponte de Sor,15-06-2013 15:10,0,1,EN2,"459,000",Despiste simples
Ponte de Sor,07-07-2013 11:30,1,0,EN2,"461,900",Atropelamento de peões
Ponte de Sor,03-03-2013 23:55,1,0,EN364,"39,220",Despiste simples
Ponte de Sor,09-09-2013 15:30,0,1,"Rua Almada Negreiros com RuaFundação António Prates",-,"Colisão lateral com outro veículoem movimento"
Ponte de Sor,23-01-2013 19:45,0,1,Rua General Humberto Delgado,-,Atropelamento de peões
Ponte de Sor,19-04-2013 19:20,0,1,Rua Vaz Monteiro,-,Atropelamento de peões
Portalegre,11-10-2013 13:55,0,2,Avenida Badajoz 0,-,"Despiste sem dispositivo deretenção"
Portalegre,01-11-2013 18:05,0,1,Avenida de Badajoz 0,-,"Colisão traseira com outro veículoem movimento"
Portalegre,20-09-2013 08:45,0,1,EM517-3,"1,800",Despiste com capotamento
Portalegre,15-07-2013 17:15,0,1,EN18,"162,750",Despiste simples
Portalegre,27-06-2013 17:26,1,0,EN18,"164,300",Colisão frontal
Portalegre,08-09-2013 10:30,0,1,EN246,"18,100",Colisão frontal
Portalegre,20-07-2013 07:30,0,2,EN246,"33,600","Colisão lateral com outro veículoem movimento"
Portalegre,20-01-2013 06:00,0,1,EN246,"35,800",Despiste simples
Portalegre,17-12-2013 09:00,0,1,EN359,"130,900",Colisão frontal
Portalegre,11-05-2013 07:45,0,1,"Rua 1o de Maio Lado opostoNo114 H",-,"Despiste com transposição dodispositivo de retenção lateral"
Portalegre,28-05-2013 19:00,0,1,Rua da Boa Vista 22,-,Despiste simples
Portalegre,11-09-2013 12:50,1,0,Rua da Igreja 14 B,-,Despiste simples
Portalegre,15-01-2013 12:10,0,1,Rua Joinal 0,-,Atropelamento de peões
Sousel,28-11-2013 07:30,0,1,EM372,"13,850",Despiste com capotamento
Sousel,13-11-2013 06:00,0,1,EN372,"19,000","Colisão com veiculo ou obstáculona faixa de rodagem"
Sousel,06-08-2013 17:20,1,0,EN372,"24,270",Despiste simples
Sousel,20-08-2013 16:10,1,0,EN372,"32,600","Despiste sem dispositivo deretenção"
