Concelho,Datahora,M*,FG*,,Via,Km,Natureza
Amarante,2010-01-30 17:30,0,1,R MOINHOS,,,Despiste simples
Amarante,2010-12-11 16:15,0,1,S BRAS,,,Despiste s/ disp. retenção
Amarante,2010-05-24 00:40,1,1,VARIANTE DO SEIXO,,,Colisão frontal
Amarante,2010-05-29 23:05,0,1,R DE ALVA NOVA,,,Despiste simples
Amarante,2010-06-18 08:30,1,0,IP4,,"62,700",Colisão lat. c/outro veíc. mov.
Amarante,2010-06-19 02:00,0,1,EN15,,"56,800",Colisão lat. c/outro veíc. mov.
Amarante,2010-06-26 19:30,0,1,CAMINHO DE CARPINHOS,,,Colisão c/veic./obstá. f. rodagem
Amarante,2010-07-30 16:30,1,0,R CENTRAL OLO,,,Colisão lat. c/outro veíc. mov.
Amarante,2010-10-10 18:15,0,2,EN15,,"55,886",Colisão lat. c/outro veíc. mov.
Amarante,2010-10-15 20:10,1,0,VAR-TAMEGA,,,Colisão frontal
Amarante,2010-10-24 18:30,1,0,EN15,,"44,200",Desp. c/transp.disp. ret. lateral
Amarante,2010-11-15 18:15,0,1,R D JOAQUIM SILVA CUNHA,,,Atropelamento de peões
Amarante,2010-11-03 19:00,1,0,EN101,,"146,700",Colisão frontal
Amarante,2010-11-07 10:00,0,1,EN15,,"65,500",Despiste com capotamento
Amarante,2010-12-13 09:00,0,1,R ANA GUEDES COSTA - MANCELOS,,,Colisão frontal
Amarante,2010-02-14 18:00,0,1,R DR JOAQUIM SILVA CUNHA,,,Colisão frontal
Baiao,2010-10-24 02:20,0,1,EN321,,"12,405",Colisão frontal
Felgueiras,2010-01-19 11:00,0,1,EM526,,,Atropelamento de peões
Felgueiras,2010-12-07 00:00,1,0,EN15,,"49,300",Atropelamento de peões
Felgueiras,2010-04-04 20:20,0,1,LUGAR RAPALICA,,,Despiste simples
Felgueiras,2010-04-08 19:50,0,2,ROT ACESSO A42,,,Colisão lat. c/outro veíc. mov.
Felgueiras,2010-04-24 09:05,0,1,EN207,,"29,900",Colisão frontal
Felgueiras,2010-04-26 23:10,0,1,R MARCO SIMOES 857,,,Colisão lat. c/outro veíc. mov.
Felgueiras,2010-04-18 21:45,0,1,R OUTEIRINHO,,,Colisão lat. c/outro veíc. mov.
Felgueiras,2010-02-07 12:50,0,1,R STA MARIA,,,Colisão lat. c/outro veíc. mov.
Felgueiras,2010-05-13 14:10,0,1,LUG DE VILAR - BORBA DE GODIM,,,Colisão lat. c/outro veíc. mov.
Felgueiras,2010-05-15 20:53,0,1,LUG DE VILAR,,,Colisão frontal
Felgueiras,2010-05-11 10:50,0,1,EN101,,"135,500",Colisão lat. c/outro veíc. mov.
Felgueiras,2010-04-09 21:40,0,2,S JOAO SIÃO,,,Atropelamento de peões
Felgueiras,2010-07-10 09:00,0,1,Outra Via,,,Despiste s/ disp. retenção
Felgueiras,2010-07-11 17:50,1,0,EN207,,"34,400",Despiste simples
Felgueiras,2010-06-09 16:05,0,1,AV DR MACHADO DE MATOS,,,Colisão frontal
Felgueiras,2010-08-02 18:40,1,0,LUG DA IGREJA NOVA,,,Colisão lat. c/outro veíc. mov.
Felgueiras,2010-08-07 20:45,0,2,EN207-3,,"1,600",Colisão lat. c/outro veíc. mov.
Felgueiras,2010-08-17 14:30,0,1,EN101-3,,"128,900",Colisão frontal
Felgueiras,2010-09-30 13:40,1,0,R S MAMEDE,,,Atropelamento de peões
Felgueiras,2010-09-15 16:20,0,1,EN101-3,,"7,680",Atropelamento de peões
Felgueiras,2010-10-04 17:30,0,1,EN207,,"39,500",Colisão lat. c/outro veíc. mov.
Felgueiras,2010-10-17 15:00,0,1,LUG ESPADANAL,,,Despiste com capotamento
Felgueiras,2010-12-23 18:20,1,0,EN101-4,,"0,810",Atropelamento de peões
Felgueiras,2010-01-09 19:15,0,1,EN101-3,,"1,900",Atropelamento de peões
Gondomar,2010-01-23 09:25,1,0,Estrada Exterior da Circunvalação,,"11,000",Atropelamento de peões
Gondomar,2010-04-23 19:25,0,1,R ENG TAVEIRAS ALMEIDA 277,,,Colisão lat. c/outro veíc. mov.
Gondomar,2010-02-15 19:00,0,1,R ALTO BARREIROS 1132,,,Colisão lat. c/outro veíc. mov.
Gondomar,2010-07-08 12:30,0,2,R BULHA 413,,,Colisão frontal
Gondomar,2010-11-05 08:30,0,1,Rua da Campaínha 000,,,Atropelamento de peões
Gondomar,2010-07-01 01:00,0,1,Rua Padre Joaquim das Neves 746,,,Atropelamento com fuga
Gondomar,2010-07-23 23:15,0,1,Rua Padre Andrade e Silva 938,,,Colisão lat. c/outro veíc. mov.
Gondomar,2010-10-29 09:15,0,1,EN209,,"11,658",Colisão lat. c/outro veíc. mov.
Gondomar,2010-11-10 07:50,0,1,R DO TRONCO 464,,,Colisão lat. c/outro veíc. mov.
Gondomar,2010-08-21 15:25,1,0,R DO CASTANHAL 3,,,Colisão lat. c/outro veíc. mov.
Lousada,2010-01-26 09:00,0,1,R D EDUARDA LENCASTRE,,,Atropelamento de peões
Lousada,2010-03-19 12:25,1,0,R CENTRAL BOUCA COVA,,,Despiste c/col. c/veíc. imobil./obst.
Lousada,2010-04-19 07:10,1,0,A11,,"72,100",Despiste com capotamento
Lousada,2010-05-16 15:30,1,0,AV DO RIO TORNO 14,,,Desp. c/transp.disp. ret. lateral
Lousada,2010-10-30 12:00,1,0,EN209,,"39,500",Colisão frontal
Lousada,2010-08-03 13:40,2,0,AV DA LIBERDADE,,,Despiste simples
Lousada,2010-08-06 22:50,0,1,R STA MARIA MAIOR,,,Despiste simples
Lousada,2010-07-30 18:00,2,0,R JUIA 512,,,Colisão lat. c/outro veíc. mov.
Lousada,2010-06-03 21:00,0,1,R DO PASSADIÇO DE CIMA,,,Despiste s/ disp. retenção
Maia,2010-01-24 09:40,0,1,R AGOSTINHO SILVA ROCHA 12,,,Colisão lat. c/outro veíc. mov.
Maia,2010-01-30 13:30,0,1,R SERRA 1229,,,Despiste simples
Maia,2010-11-18 13:17,0,1,VIA DIAGON,,,Colisão frontal
Maia,2010-10-07 23:50,0,1,R DRA MARIA EULÁLIA BALACO 325,,,Despiste c/ disp. retenção
Maia,2010-12-21 16:20,1,0,VRI,,,Despiste c/ disp. retenção
Maia,2010-09-17 18:00,0,1,AV AEROPORTO 76,,,Despiste c/col. c/veíc. imobil./obst.
Maia,2010-11-18 04:45,1,0,EN14,,"7,200",Colisão lat. c/outro veíc. mov.
Maia,2010-07-30 15:32,0,1,A3,,"8,375",Desp. c/transp.disp. ret. lateral
Maia,2010-08-22 10:40,1,0,EN13,,"8,750",Despiste simples
Maia,2010-08-14 02:30,0,1,A4,,"8,200",Despiste com capotamento
Maia,2010-09-03 19:35,1,0,Rua Dom Afonso Henriques 0,,,Colisão lat. c/outro veíc. mov.
Maia,2010-10-23 20:30,0,1,ACC-A41,,,Atropelamento de peões
Maia,2010-06-05 23:55,0,1,EN13,,"8,900",Atropelamento de peões
Maia,2010-07-15 15:35,1,0,EN14,,"8,000",Colisão tras. c/ outro veíc. mov.
Maia,2010-05-21 18:30,0,1,R N Senhora da Caridade (vermoim) 890,,,Colisão tras. c/ outro veíc. mov.
Maia,2010-03-04 23:04,1,0,A3,,"10,400",Colisão tras. c/ outro veíc. mov.
Maia,2010-03-09 00:45,1,0,A3,,"4,725",Colisão lat. c/outro veíc. mov.
Maia,2010-01-03 09:30,1,0,A4,,"9,352",Colisão tras. c/ outro veíc. mov.
Maia,2010-01-31 16:15,1,0,R CENTRAL FOLGOSA 177,,,Despiste simples
M. Canaveses,2010-08-12 22:30,0,2,EN108-2,,"2,800",Despiste simples
M. Canaveses,2010-05-29 22:10,1,1,R DE LOURIZ,,,Colisão frontal
M. Canaveses,2010-08-09 13:00,0,1,EN210,,"65,300",Colisão com outras situações
M. Canaveses,2010-09-22 18:15,0,1,R DE QUINTÃ,,,Colisão frontal
M. Canaveses,2010-09-10 17:40,0,1,R DOS MOZES - SOALHÃES,,,Colisão frontal
M. Canaveses,2010-09-07 17:05,0,1,R JUNCAL,,,Colisão frontal
M. Canaveses,2010-12-24 16:30,0,1,R DOS 4 IRMÃOS,,,Colisão lat. c/outro veíc. mov.
Matosinhos,2010-10-06 08:50,0,2,A4,,"6,300",Colisão tras. c/ outro veíc. mov.
Matosinhos,2010-07-17 15:23,0,1,Rua de Sendim 396,,,Atropelamento de peões
Matosinhos,2010-07-18 00:45,0,1,Rua de Recarei 590,,,Atropelamento de peões
Matosinhos,2010-05-17 19:20,1,1,A28,,"6,400",Colisão c/veic./obstá. f. rodagem
Matosinhos,2010-11-07 21:20,0,1,EN14,,,Despiste c/ disp. retenção
Matosinhos,2010-03-21 01:35,0,1,A28,,,Atropelamento de peões
Matosinhos,2010-06-19 17:45,1,0,Rua Belchior Robles .,,,Despiste s/ disp. retenção
Matosinhos,2010-04-20 17:00,1,0,R ORIENTAL 1396,,,Atropelamento de peões
Matosinhos,2010-06-12 15:45,0,1,A4,,,Desp. c/transp.disp. ret. lateral
Matosinhos,2010-06-07 09:10,0,1,Avenida Merignac .,,,Atropelamento de peões
Matosinhos,2010-04-29 13:11,0,1,Rua Conde Alto Mearim 143,,,Colisão com outras situações
Matosinhos,2010-09-18 08:10,1,0,Avenida Serpa Pinto 234,,,Atropelamento de peões
Matosinhos,2010-03-16 20:00,0,1,Rua de Gondivai 927,,,Despiste com capotamento
Matosinhos,2010-11-03 16:40,0,1,Rua Cândido dos Reis 2239,,,Atropelamento de peões
Matosinhos,2010-03-02 19:35,0,1,Avenida Senhora da Hora 459,,,Atropelamento de peões
Matosinhos,2010-08-07 01:30,0,1,Rua de Sendim 910,,,Despiste c/col. c/veíc. imobil./obst.
Matosinhos,2010-02-05 09:15,0,2,ACC-A28,,,Atropelamento de peões
Matosinhos,2010-12-06 18:45,0,1,Avenida Doutor Fernando Aroso 393,,,Atropelamento de peões
Matosinhos,2010-10-21 11:15,0,1,Rua Óscar da Silva 2266,,,Colisão frontal
Matosinhos,2010-06-23 03:15,0,1,A28,,"6,700",Despiste com fuga
Matosinhos,2010-06-06 19:10,0,1,R ANTELA 1275,,,Despiste com capotamento
Matosinhos,2010-11-21 17:15,0,1,Avenida Vasco da Gama,,,Colisão lat. c/outro veíc. mov.
Matosinhos,2010-08-21 04:00,0,1,Rua 5 de Outubro 5092,,,Colisão frontal
Matosinhos,2010-09-02 02:30,0,1,Avenida Fabril do Nortes/n,,,Atropelamento de peões
P. Ferreira,2010-01-06 21:45,1,3,R EST FERREIRA 223,,,Colisão frontal
P. Ferreira,2010-05-03 08:15,0,2,R FONTE DE MOLEIROS,,,Colisão lat. c/outro veíc. mov.
P. Ferreira,2010-03-09 19:40,1,0,R DA MORA 207,,,Colisão frontal
Paredes,2010-01-23 05:30,1,0,EN15,,"14,100",Desp. c/transp.disp. ret. lateral
