"",,
11. Listagem dos acidentes com mortos e/ou feridos graves,,
"",,
Concelho Datahora M* FG* Via,km,Natureza
Abrantes 2006:01:14 16:00:00 0 1 EN3,"113,400",Atrop.de peões
Abrantes 2006:01:15 15:40:00 0 6 EN2,"420,460",Colisão frontal
Abrantes 2006:02:07 20:55:00 0 3 EN2,"416,700",Colisão frontal
Abrantes 2006:04:08 15:45:00 0 1 R. Prof. Silva Leitão,,Col.lat.c/outro veíc.em mov.
Abrantes 2006:04:11 14:30:00 0 1 EN118,"139,600",Despiste simples
Abrantes 2006:05:16 14:50:00 0 2 A23,"40,400",Desp.c/capotamento
Abrantes 2006:06:03 17:20:00 0 1 R. Sto. Antonio,,Despiste simples
Abrantes 2006:06:10 11:55:00 0 1 Av. Conde Alf errarede,,Atrop.de peões
Abrantes 2006:06:17 22:30:00 1 0 R. Dr. Francisco Almeida,,Atropelamento com fuga
Abrantes 2006:07:17 22:30:00 0 1 Av. Forças Armadas3,,Atropelamento com fuga
Abrantes 2006:07:18 15:00:00 0 1 R. Casas Pretas,,Despiste simples
Abrantes 2006:08:31 19:45:00 0 1 Av. Forças Armadas,,Atrop.de peões
Abrantes 2006:09:09 16:05:00 0 1 Estrada Municipal,,Desp.c/col.c/veíc.imobil.ou obst.
Abrantes 2006:09:11 11:15:00 0 1 Av. Forças Armadas,,Atrop.de peões
Abrantes 2006:09:26 16:50:00 0 3 EN2,"413,867",Col.lat.c/outro veíc.em mov.
Abrantes 2006:10:09 11:40:00 0 2 R. Piscinas,,Col.lat.c/outro veíc.em mov.
Abrantes 2006:11:08 14:25:00 0 1 EN2,"410,800",Desp.s/disposi.de ret.
Abrantes 2006:12:04 19:30:00 0 1 Av. D. João I,,Col.lat.c/outro veíc .em mov.
Abrantes 2006:12:18 09:30:00 1 0 R. Comércio,,Colisão com outras situações
Alcanena 2006:02:25 23:50:00 0 1 A1,"97,360",Despiste simples
Alcanena 2006:04:08 07:25:00 0 1 R. S. Pedro,,Atropelamento com fuga
Alcanena 2006:05:02 16:55:00 1 2 A1,"95,950",Colisão choque em cadeia
Alcanena 2006:05:20 13:35:00 0 1 A1,"98,825",Col.tras.c/outro veíc.em mov.
Alcanena 2006:07:06 21:45:00 0 1 Estr. Bernardo Santos Calado,,Col.lat.c/outro veíc.em mov.
Alcanena 2006:08:30 13:15:00 0 3 A1,"89,825",Col.tras.c/outro veíc.em mov.
Almeirim 2006:07:13 14:15:00 0 1 R. Direita,,Col.lat.c/outro veíc.em mov.
Almeirim 2006:07:29 04:40:00 0 1 R. Salvaterra,,Despiste simples
Almeirim 2006:08:11 19:30:00 0 1 R. Guilherme Nunes Godinho,,Atrop.de peões
Almeirim 2006:08:24 21:15:00 0 1 EN114,"86,300",Col.lat.c/outro veíc.em mov.
Almeirim 2006:09:15 15:00:00 0 1 Estrada Regional,,Desp.c/col.c/veíc.imobil.ou obst.
Almeirim 2006:11:10 12:30:00 1 0 EN118,"67,300",Colisão frontal
Almeirim 2006:12:22 11:55:00 1 0 EN118,"69,908",Colisão frontal
Alpiarça 2006:09:27 17:20:00 1 2 EN118,"78,182",Colisão frontal
Benavente 2006:01:04 12:20:00 1 0 EN118,"32,700",Col.lat.c/outro veíc.em mov.
Benavente 2006:01:17 19:45:00 0 1 EN118,"11,850",Col.lat.c/outro veíc.em mov.
Benavente 2006:01:23 11:30:00 1 0 EN118,"33,600",Atrop.de peões
Benavente 2006:02:16 19:00:00 0 1 EN118,"32,400",Col.lat.c/outro veíc.em mov.
Benavente 2006:04:11 14:20:00 0 2 EN10,"91,400",Desp.c/transp.do disp.de ret.lat.
Benavente 2006:04:12 06:05:00 1 0 EN10,"107,000",Colisão frontal
Benavente 2006:04:16 03:50:00 1 2 EN118,"16,200",Desp.c/capotamento
Benavente 2006:05:13 19:00:00 0 1 EN119,"20,916",Desp.c/capotamento
Benavente 2006:06:03 07:30:00 0 1 R. Operários Agrícolas,,Col.lat.c/outro veíc.em mov.
Benavente 2006:07:18 16:40:00 1 0 Estrada Municipal,,Despiste simples
Benavente 2006:07:25 19:15:00 0 1 EN118,"36,700",Colisão frontal
Benavente 2006:08:04 19:05:00 0 1 EN10,"109,500",Col.lat.c/outro veíc.em mov.
Benavente 2006:08:09 17:50:00 0 1 EN118,"38,100",Col.lat.c/outro veíc.em mov.
Benavente 2006:08:13 04:15:00 1 0 EN119,"12,700",Desp.c/col.c/veíc.imobil.ou obst.
Benavente 2006:09:03 06:00:00 0 1 EN119,"31,000",Col.tras.c/outro veíc.em mov.
Benavente,2006:09:23 23:40:00,0,1,EN10,"98,600",Desp.c/col.c/veíc.imobil.ou obst.
Benavente,2006:10:01 13:30:00,0,1,Qta. Belo Jardim,,Desp.c/col.c/veíc.imobil.ou obst.
Benavente,2006:10:16 23:35:00,0,1,EN118,"44,600",Atrop.de peões
Benavente,2006:11:01 01:26:00,0,1,"Av. ""O Século""",,Col.tras.c/outro veíc.em mov.
Benavente,2006:11:15 13:30:00,0,1,EN118,"16,400",Desp.c/capotamento
"",,,,,,,
"",,,,,,,
Concelho,Datahora,M*,FG*,,Via,km,Natureza
Benavente,2006:12:19 13:50:00,0,1,EN10,,"110,700",Colisão choque em cadeia
Cartaxo,2006:01:23 02:20:00,1,0,EN3,,"28,500",Desp.c/capotamento
Cartaxo,2006:02:14 13:35:00,0,1,R. 16 Novembro,,,Atrop.de peões
Cartaxo,2006:02:17 00:05:00,0,2,EN3,,"21,250",Colisão frontal
Cartaxo,2006:02:28 12:10:00,0,1,A1,,"49,700",Despiste c/dispos. de retenção
Cartaxo,2006:04:04 15:15:00,0,1,R. Arneiro,,,Col.lat.c/outro veíc.em mov.
Cartaxo,2006:10:12 10:05:00,0,1,Lg. Valverde/R. Dr. Júlio Montez,,,Atrop.de peões
Cartaxo,2006:12:02 19:30:00,0,1,A1,,"55,450",Atrop.de peões
Cartaxo,2006:12:17 17:40:00,1,0,R. Centro Muro,,,Atropelamento com fuga
Chamusca,2006:01:10 12:30:00,0,1,EN118,,"100,500",Despiste simples
Chamusca,2006:01:13 10:55:00,0,1,EN118,,"106,000",Col.lat.c/outro veíc.em mov.
Chamusca,2006:02:14 21:10:00,1,0,EN118,,"86,000",Col.lat.c/outro veíc.em mov.
Chamusca,2006:02:25 16:45:00,0,1,R. Gamelinha,,,Colisão com outras situações
Chamusca,2006:04:09 19:10:00,0,1,EN243,,"55,350",Desp.c/capotamento
Chamusca,2006:05:12 09:20:00,0,1,R. Baixo,,,Col.lat.c/outro veíc.em mov.
Chamusca,2006:05:15 16:30:00,0,2,Estrada Municipal,,,Desp.c/capotamento
Chamusca,2006:11:17 18:33:00,0,1,EM577,,,Desp.s/disposi.de ret.
Chamusca,2006:12:04 07:10:00,0,1,EN118,,"96,400",Colisão frontal
Constancia,2006:03:10 21:35:00,1,0,A23,,"31,500",Desp.c/capotamento
Constancia,2006:05:23 23:30:00,0,1,Estrada Municipal,,,Col.lat.c/outro veíc.em mov.
Constancia,2006:07:09 18:25:00,0,1,EN358-2,,"7,420",Despiste simples
Coruche,2006:01:02 15:15:00,0,1,EN114,,"112,900",Colisão frontal
Coruche,2006:03:14 12:30:00,0,1,R. Agolada Cima,,,Colisão frontal
Coruche,2006:04:08 19:00:00,0,1,R. Retiro Erra,,,Col.lat.c/outro veíc.em mov.
Coruche,2006:05:01 11:00:00,1,0,EN119,,"53,900",Despiste simples
Coruche,2006:05:09 13:40:00,0,1,EN114-3,,"4,400",Desp.c/col.c/veíc.imobil.ou obst.
Coruche,2006:05:13 12:30:00,0,2,EN119,,"44,070",Despiste simples
Coruche,2006:05:21 02:53:00,1,0,EN119,,"59,400",Desp.c/col.c/veíc .imobil.ou obst.
Coruche,2006:05:22 08:50:00,0,1,EN114-3,,"4,900",Despiste simples
Coruche,2006:05:27 21:45:00,0,1,Estrada Municipal,,,Despiste simples
Coruche,2006:06:05 18:40:00,0,1,EM515,,,Desp.c/col.c/veíc.imobil.ou obst.
Coruche,2006:06:12 14:40:00,0,1,Av. Parque Sorraia,,,Atrop.de peões
Coruche,2006:06:19 09:00:00,1,1,EN251,,"41,830",Colisão frontal
Coruche,2006:08:03 11:00:00,0,1,R. Almirante Reis,,,Despiste simples
Coruche,2006:08:28 10:30:00,0,2,EN119,,"34,700",Colisão frontal
Coruche,2006:09:07 13:10:00,1,1,EN114,,"131,700",Desp.c/col.c/veíc.imobil.ou obst.
Coruche,2006:09:16 18:50:00,1,0,EM590,,,Desp.s/disposi.de ret.
Coruche,2006:09:29 07:50:00,0,1,EN119,,"43,243",Desp.c/col.c/veíc.imobil.ou obst.
Coruche,2006:11:04 16:00:00,0,2,EN114,,"109,490",Despiste simples
Coruche,2006:12:08 17:30:00,0,1,EN114-3,,"3,953",Col.c/veic.ou obst.na faixa de rod.
Coruche,2006:12:20 15:30:00,1,2,EN119,,"35,600",Despiste simples
Entroncamento,2006:03:01 20:00:00,0,1,R. Cidade Penafiel,,,Atrop.de peões
Entroncamento,2006:09:05 20:40:00,0,1,R. Arq Cantinelli Telmo,,,Col.lat.c/outro veíc.em mov.
Entroncamento,2006:11:20 07:15:00,0,1,A23,,"16,600",Col.c/veic.ou obst.na faixa de rod.
Ferreira do Zezere,2006:06:04 11:45:00,0,1,R. Manuel Antonio Dias Ferreira,,,Atrop.de peões
Ferreira do Zez ere,2006:07:20 06:40:00,0,1,EM520,,,Col.lat.c/outro veíc.em mov.
Ferreira do Zezere,2006:11:14 20:25:00,0,1,EN238,,"11,400",Col.lat.c/outro veíc.em mov.
Ferreira do Zezere,2006:11:20 20:40:00,2,0,EM520,,,Colisão frontal
"",2006:02:09 19:00:00,,,,,,
Golega,2006:02:09 19:00:00,0,1,EN243,"44,120",Col.lat.c/outro veíc.em mov.
Golega,2006:04:07 14:45:00,0,1,Estrada Municipal,,Colisão frontal
Golega,2006:04:24 21:00:00,1,0,EN365,"74,900",Colisão frontal
Golega,2006:05:14 11:00:00,1,0,EN365,"75,150",Desp.c/col.c/veíc.imobil.ou obst.
Golega,2006:07:13 04:00:00,0,1,EN365,"66,800",Desp.c/col.c/veíc.imobil.ou obst.
"",,,,,,,
Concelho,Datahora,M*,FG*,,Via,km,Natureza
