Concelho,Datahora,M,FG,,Via,Km,Natureza
Abrantes,07-02-2011 22:30,1,0,-,,-,Despiste simples
Abrantes,20-02-2011 11:30,0,1,. .,,-,Despiste simples
Abrantes,07-06-2011 13:00,0,1,A23,,"40,700",Colisão traseira com outro veículo em m...
Abrantes,13-02-2011 11:30,0,1,A23,,"45,900",Despiste com transposição do dispositivo...
Abrantes,20-05-2011 09:48,0,1,Avenida António Fa...,,-,Colisão lateral com outro veículo em mov...
Abrantes,22-09-2011 20:23,1,0,Avenida António Fa...,,-,Despiste com colisão com veículo imobil. ...
Abrantes,14-11-2011 11:20,0,1,Avenida da Escola ...,,-,Despiste com colisão com veículo imobil. ...
Abrantes,18-08-2011 11:30,0,1,Avenida das Forças...,,-,Despiste com capotamento
Abrantes,17-11-2011 15:30,0,1,Calçada São José 23,,-,Despiste com colisão com veículo imobil. ...
Abrantes,19-05-2011 14:25,0,1,EM571-1,,-,Atropelamento de peões
Abrantes,24-05-2011 12:20,0,1,EN118,,"137,153",Despiste com transposição do dispositivo...
Abrantes,01-11-2011 23:45,0,1,EN118,,"137,800",Atropelamento de peões
Abrantes,08-08-2011 07:30,1,0,EN118,,"150,000",Colisão com veiculo ou obstáculo na faix...
Abrantes,28-12-2011 17:45,0,1,EN2,,"418,050",Despiste com capotamento
Abrantes,17-08-2011 19:15,0,1,EN3,,"102,100",Colisão frontal
Abrantes,18-05-2011 15:00,0,1,EN358,,"33,735",Colisão lateral com outro veículo em mov...
Abrantes,13-08-2011 10:10,1,0,R DOS COMBATEN...,,-,Despiste com capotamento
Abrantes,27-01-2011 12:35,0,1,R FERRARIAS,,-,Colisão lateral com outro veículo em mov...
Alcanena,20-05-2011 23:30,0,1,A1,,"90,700",Colisão com veiculo ou obstáculo na faix...
Alcanena,19-12-2011 15:03,1,0,A1,,"92,180",Atropelamento de peões
Alcanena,11-02-2011 20:49,2,0,AV JOSE ANTONIO...,,-,Colisão lateral com outro veículo em mov...
Alcanena,09-04-2011 04:10,1,1,EN243,,"27,650",Despiste com colisão com veículo imobil. ...
Alcanena,23-06-2011 18:20,0,2,EN243,,"30,000",Colisão frontal
Almeirim,03-06-2011 16:00,0,2,EN114,,"78,560",Despiste com dispositivo de retenção
Almeirim,17-06-2011 06:15,1,0,EN118,,-,Colisão lateral com outro veículo em mov...
Almeirim,26-11-2011 12:40,0,1,R DA AJUDA,,-,Colisão lateral com outro veículo em mov...
