Concelho,Datahora,M*,FG*,Via,km,Natureza
Alcácer Sal,2008-10-16 11:40,0,1,AV JOSE SARAMAGO,,Atropelamento de peões
Alcácer Sal,2008-03-15 16:30,0,1,Outra Via,,Despiste simples
Alcácer Sal,2008-08-29 18:35,1,0,EN5,"55,000",Colisão frontal
Alcácer Sal,2008-11-02 16:40,4,0,EN5,"49,000",Colisão frontal
Alcácer Sal,2008-05-29 09:30,0,1,EN5,"53,100",Colisão frontal
Alcácer Sal,2008-03-27 11:35,1,0,EN5,"39,650",Colisão frontal
Alcácer Sal,2008-07-13 14:45,1,1,EN5,"55,000",Colisão frontal
Alcácer Sal,2008-02-24 15:10,1,1,EN253,"14,189",Desp. c/col. c/veíc. imobil./obst.
Alcácer Sal,2008-09-20 01:45,0,2,ER253,,Desp. c/col. c/veíc. imobil./obst.
Alcácer Sal,2008-03-14 23:00,1,0,EN253,"9,150",Despiste c/capotamento
Alcácer Sal,2008-06-15 21:30,0,2,A2,"82,400",Despiste c/capotamento
Alcácer Sal,2008-09-20 06:30,0,2,ER253,,Despiste c/capotamento
Alcácer Sal,2008-12-01 06:30,0,1,EN5,"77,700",Despiste simples
Alcácer Sal,2008-08-08 00:05,0,1,EN5,"74,700",Despiste simples
Alcácer Sal,2008-12-11 06:45,0,1,EN5,"54,158",Colisão lat. c/outro veíc. mov.
Alcochete,2008-02-22 14:15,1,0,EN118,"10,350",Colisão frontal
Alcochete,2008-07-16 08:10,1,0,EN118,"9,130",Colisão frontal
Alcochete,2008-11-04 22:30,1,3,EN4,"33,930",Colisão frontal
Alcochete,2008-04-01 20:20,1,0,IP1,"7,100",Col. tras. c/outro veículo mov.
Alcochete,2008-01-27 16:35,0,2,IP1,"15,400",Col. tras. c/outro veículo mov.
Alcochete,2008-11-09 17:45,0,1,EN118,"12,800",Colisão lat. c/outro veíc. mov.
Alcochete,2008-10-19 22:25,0,1,IC3,"1,900",Atropelamento de peões
Almada,2008-08-06 19:00,0,1,R S MACÁRIO 872,,Col. c/veic./obst. f. rodagem
Almada,2008-10-21 14:45,1,0,A2,"8,500",Atropelamento de peões
Almada,2008-10-28 16:30,0,1,TV MOINHOS 23,,Colisão lat. c/outro veíc. mov.
Almada,2008-08-14 06:20,0,1,AV 23 JULHO,,Colisão lat. c/outro veíc. mov.
Almada,2008-11-16 21:30,0,1,R S MACÁRIO,,Colisão lat. c/outro veíc. mov.
Almada,2008-11-18 16:30,1,0,IC20,"6,000",Col. tras. c/outro veículo mov.
Almada,2008-01-01 22:45,0,1,IC20,,Colisão frontal
Almada,2008-09-26 17:00,0,1,VL3,,Colisão frontal
Almada,2008-05-23 08:40,0,1,EN10-1,"2,800",Desp. c/col. c/veíc. imobil./obst.
Almada,2008-02-23 17:40,0,1,R LOURENÇO PIRES TAVORA 4,,Desp. c/col. c/veíc. imobil./obst.
Almada,2008-09-28 07:30,0,1,Estrada Florestal,,Desp. c/col. c/veíc. imobil./obst.
Almada,2008-09-21 02:10,0,1,Estrada Florestal,,Desp. c/col. c/veíc. imobil./obst.
Almada,2008-04-12 01:00,1,2,AV D JOAO V,,Despiste simples
"",,,,AV AFONSO ALBUQUERQUE,,
Almada,2008-04-23 11:50,0,1,CRUZAMENTO SANTO,,Colisão c/outras situações
"",,,,ANTÓNIO,,
Almada,2008-07-08 17:55,1,0,R D JOAO V,,Colisão c/outras situações
Almada,2008-07-13 07:45,1,1,Estrada Florestal,,Despiste s/disp. retenção
Almada,2008-10-15 00:30,0,1,AV 1 MAIO,,Col. c/veic./obst. f. rodagem
Almada,2008-10-27 09:25,0,1,L3,,Atropelamento de peões
Almada,2008-06-14 23:30,0,1,R PAULO VICENTE 7,,Atropelamento de peões
Almada,2008-05-05 23:15,1,0,AV 1 MAIO,,Atropelamento de peões
Almada,2008-01-04 19:45,1,0,AV TORRADO SILVA,,Atropelamento de peões
Almada,2008-09-12 21:30,1,0,IC20,"2,300",Atropelamento de peões
Almada,2008-09-12 16:20,1,0,R VASCO GAMA 555,,Colisão lat. c/outro veíc. mov.
Barreiro,2008-07-04 12:15,0,1,EN10-3,"0,300",Atropelamento de peões
Barreiro,2008-02-13 09:50,0,1,ACC-A2,,Colisão c/outras situações
Barreiro,2008-11-11 08:45,1,0,IC21,"8,800",Atropelamento de peões
Barreiro,2008-12-13 19:30,1,0,IC21,,"3,950",Atropelamento de peões
Barreiro,2008-10-07 20:15,0,1,IC21,,"7,350",Atropelamento de peões
Barreiro,2008-09-26 18:30,0,1,R VASCO GAMA,,,Atropelamento de peões
Barreiro,2008-08-28 17:00,0,1,ALAMEDA ARY SANTOS,,,Atropelamento de peões
"",,,,AV ESCOLA FUZILEIROS,,,
Barreiro,2008-10-02 08:10,0,1,,,,Atropelamento de peões
"",,,,NAVAIS,,,
"",,,,AV ESCOLA FUZILEIROS,,,
Barreiro,2008-06-19 17:10,1,0,,,,Atropelamento de peões
"",,,,NAVAIS 33,,,
"",,,,R ALBERTO PINTO VIV,,,
Barreiro,2008-04-04 17:30,0,1,,,,Colisão lat. c/outro veíc. mov.
"",,,,INOCENCIA,,,
Barreiro,2008-03-10 17:00,0,1,R JORNAL,,,Colisão lat. c/outro veíc. mov.
Barreiro,2008-07-08 19:00,0,1,EN10-3,,"2,900",Col. tras. c/outro veículo mov.
Barreiro,2008-12-22 14:10,1,0,A2,,"22,186",Col. tras. c/outro veículo mov.
Barreiro,2008-08-28 13:30,0,1,R DO BOCAGE,,,Col. tras. c/outro veículo mov.
Barreiro,2008-07-06 05:50,0,1,R CAPITÃES ABRIL,,,Despiste simples
Barreiro,2008-06-16 08:25,0,1,R 9 ABRIL,,,Despiste simples
Barreiro,2008-10-19 20:15,1,0,EN10-3,,"2,400",Atropelamento de peões
Grândola,2008-03-12 16:30,0,1,EN120,,"17,180",Colisão lat. c/outro veíc. mov.
Grândola,2008-09-11 14:20,0,1,EN120,,"14,000",Colisão lat. c/outro veíc. mov.
Grândola,2008-07-18 18:45,0,2,A2,,"120,200",Col. tras. c/outro veículo mov.
Grândola,2008-06-29 16:50,2,0,EN261-1,,"9,200",Despiste simples
Grândola,2008-10-16 17:00,1,1,A2,,"105,300",Despiste c/capotamento
Grândola,2008-10-05 13:20,1,0,IC1,,"612,500",Despiste c/capotamento
Grândola,2008-09-04 23:50,0,1,A2,,"122,050",Col. tras. c/outro veículo mov.
Moita,2008-06-12 14:50,0,1,EN379-2,,"9,250",Despiste c/capotamento
Moita,2008-09-14 05:00,0,1,EN11,,"28,200",Despiste c/capotamento
Moita,2008-06-01 03:00,0,1,EN11,,"28,300",Despiste c/capotamento
Moita,2008-04-05 23:15,0,1,R LUIS CAMOES 18,,,Colisão lat. c/outro veíc. mov.
Moita,2008-03-14 19:15,0,2,EN379-2,,"10,000",Colisão lat. c/outro veíc. mov.
Moita,2008-02-09 14:30,0,1,EM533-1,,"2,000",Colisão lat. c/outro veíc. mov.
"",,,,R 1 MAIO C/ R JOSE GOMES,,,
Moita,2008-06-25 07:00,0,1,,,,Colisão c/outras situações
"",,,,TEIXEIRA,,,
Moita,2008-02-09 21:45,1,0,PONTE MATÃO,,,Col. c/veic./obst. f. rodagem
Moita,2008-12-24 17:30,1,1,R DE DIU 8,,,Atropelamento de peões
Moita,2008-10-14 19:05,0,1,R PAZ,,,Atropelamento de peões
"",,,,R TRABALHADOR C/ R VILE,,,
Moita,2008-04-05 19:45,0,1,,,,Atropelamento de peões
"",,,,PLESIR 11,,,
Moita,2008-04-26 10:00,0,1,R FRANCISCO ASSIS,,,Atropelamento de peões
Moita,2008-03-04 18:00,0,1,EN11,,,Atropelamento de peões
Moita,2008-08-23 15:37,0,2,R GAGO COUTINHO,,,Col. c/veic./obst. f. rodagem
Montijo,2008-04-26 02:00,0,1,EM533,,"12,300",Despiste c/capotamento
Montijo,2008-02-10 18:00,0,1,EM502,,,Despiste simples
Montijo,2008-12-27 11:30,0,1,EN252,,"0,100",Despiste simples
Montijo,2008-08-01 18:00,0,1,EN10,,"89,000",Despiste simples
Montijo,2008-09-22 17:15,0,2,EN4,,"48,350",Colisão c/outras situações
Montijo,2008-06-07 19:00,0,1,R ANT.  FERREIRA MOLEIRO,,,Colisão c/outras situações
Montijo,2008-09-16 04:00,0,1,R DEMOCRACIA 26,,,Despiste c/disp. retenção
Montijo,2008-08-06 18:10,0,1,R MANUEL AFONSO,,,Despiste c/disp. retenção
Montijo,2008-03-08 02:40,0,1,R DA BELA VISTA,,,Despiste c/col. c/veíc. imobil./obst.
Montijo,2008-06-27 18:20,0,1,AV LUIS DE CAMOES 34,,,Colisão frontal
