Concelho,Datahora,M*,FG*,,Via,km,Natureza
Grândola,2012:02:17 15:30:00,0,1,EN261,,"27,400",Desp. c/col. c/veíc. imobil./obst.
Grândola,2012:03:20 08:00:00,0,1,IC1,,"594,200",Colisão lat. c/ outro veículo mov.
Grândola,2012:03:26 15:50:00,0,2,EN120,,"12,060",Colisão frontal
Grândola,2012:04:02 13:08:00,0,1,IC1,,"605,400",Colisão frontal
Grândola,2012:04:28 14:55:00,1,1,EN261,,"28,700",Colisão frontal
Grândola,2012:06:09 15:00:00,0,1,IC33,,"41,000",Colisão c/veic./obstáculo f. rod.
Grândola,2012:07:16 19:50:00,2,0,IC33,,"36,900",Colisão frontal
Grândola,2012:08:03 19:30:00,0,1,Outra Via,,,Desp. c/col. c/veíc. imobil./obst.
Grândola,2012:12:20 12:10:00,1,0,IC1,,"588,950",Colisão tras. c/ outro veíc. mov.
Moita,2012:02:10 18:00:00,0,1,Rua Ginásio,,,A  t r o  p  e  l a  me  n  t od  ep eões
Moita,2012:02:17 22:00:00,1,0,EM533-1,,"1,900",Despiste c/ capotamento
Moita,2012:02:19 22:30:00,1,1,EST LINHAL DO FORNO,,,Colisão lat. c/ outro veículo mov.
Moita,2012:04:07 17:45:00,0,1,EN379-2,,"10,300",Colisão lat. c/ outro veículo mov.
Moita,2012:04:19 15:45:00,0,1,EN379-2,,"10,300",Colisão lat. c/ outro veículo mov.
Moita,2012:04:20 17:10:00,0,1,EN11,,"22,100",Colisão choque em cadeia
Moita,2012:04:26 08:15:00,0,1,R DOS DESCOBRIMENTOS,,,Colisão frontal
Moita,2012:07:06 10:55:00,1,0,IC32,,"6,840",Colisão frontal
Moita,2012:08:20 08:15:00,0,1,EM1020,,"0,200",Colisão frontal
Moita,2012:11:12 14:50:00,0,1,EN11,,"24,500",Despiste c/ capotamento
Moita,2012:11:22 03:45:00,1,0,Avenida Capitães de Abril,,,De  s p  .  c  / c  o  l .c  / v e  í c  .  i mo  b il./obst.
Moita,2012:12:07 17:40:00,0,1,Rua Manuel Tiago,,,Despiste simples
Montijo,2012:01:01 16:30:00,0,1,R ANTONIO SERGIO,,,Despiste c/ capotamento
Montijo,2012:01:23 18:46:00,1,1,EN4,,"14,500",Colisão choque em cadeia
Montijo,2012:01:29 04:20:00,0,1,EN4,,"46,400",Colisão lat. c/ outro veículo mov.
Montijo,2012:03:09 11:50:00,0,1,Travessa Cais,,,At r o  p  e  l a  me  n  t od  ep  eões
Montijo,2012:04:14 21:00:00,1,0,EN11,,,Colisão com outras situações
Montijo,2012:05:23 18:55:00,0,1,EM533,,"6,200",Despiste simples
Montijo,2012:06:04 19:30:00,0,1,Praça República,,,A  t  r o  p  e  l a me  n  t od  ep  e ões
Montijo,2012:06:29 20:00:00,0,1,EN5,,"3,500",Colisão lat. c/ outro veículo mov.
Montijo,2012:07:04 11:50:00,0,1,EM501,,,Desp. c/col. c/veíc. imobil./obst.
Montijo,2012:07:07 10:06:00,0,1,Rua Gago Coutinho,,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e s
Montijo,2012:08:31 11:00:00,0,1,Ava Pedro Nunes,,,Atropelamento de peões
Montijo,2012:09:02 00:05:00,0,1,Rua José Joaquim Marques,,,C  o  l i s  ã  oc  o mf u  g  a
Montijo,2012:10:28 15:15:00,0,1,EN10,,"78,900",Despiste c/trans. disp.ret. lateral
Montijo,2012:11:02 18:20:00,0,1,EN5,,"9,485",Colisão tras. c/ outro veíc. mov.
Montijo,2012:11:14 17:45:00,0,1,Avenida Garcia de Orta,,,D  e  s  p  .  c  / c  o  l .  c / v e  í c  .i mo  bil./obst.
Palmela,2012:01:06 00:30:00,0,1,A13,,"3,800",Despiste c/ capotamento
Palmela,2012:01:23 10:00:00,1,0,Av. Bombeiros Voluntários,,,Desp. c/col. c/veíc. imobil./obst.
Palmela,2012:02:22 19:44:00,1,0,EST DA FORD - PALMELA,,,Colisão tras. c/ outro veíc. mov.
Palmela,2012:03:10 11:00:00,1,0,EST DA LAGOA DA PALHA,,,Despiste simples
Palmela,2012:03:22 21:30:00,0,2,EM1029,,,Despiste simples
Palmela,2012:04:11 16:15:00,0,1,EM534,,,Colisão lat. c/ outro veículo mov.
Palmela,2012:04:14 00:00:00,0,1,R DOS FAGUDEIROS,,,Colisão lat. c/ outro veículo mov.
Palmela,2012:04:25 19:18:00,1,0,EN379-2,,8,Desp. c/col. c/veíc. imobil./obst.
Palmela,2012:05:22 00:20:00,0,1,EN5,,"32,200",Desp. c/col. c/veíc. imobil./obst.
Palmela,2012:06:09 18:30:00,1,0,EM1029,,,Despiste simples
Palmela,2012:06:13 21:00:00,0,1,EM533-1,,,Colisão lat. c/ outro veículo mov.
Palmela,2012:06:23 18:10:00,0,1,EM533,,,Colisão c/veic./obstáculo f. rod.
Palmela,2012:07:12 23:00:00,1,0,Rua do Alecrim,,,Despiste simples
Palmela,2012:08:29 14:40:00,0,1,EM1096,,,Despiste simples
Palmela,2012:09:05 05:40:00,0,2,EN379-2,,"1,450",Despiste c/ capotamento
Palmela,2012:10:11 18:47:00,0,2,EM1023,,,Colisão lat. c/ outro veículo mov.
Palmela,2012:10:18 10:45:00,1,0,Rua António Sérgio,,,Colisão frontal
Palmela,2012:10:22 18:50:00,0,1,EM533-1,,,Despiste simples
Palmela,2012:10:25 14:30:00,0,1,A2,,"27,700",Colisão com outras situações
Palmela,2012:11:10 18:20:00,0,1,Ava Visconde Tojal,,,Atropelamento de peões
Palmela,2012:11:11 18:30:00,0,1,EN5,,"35,340",Colisão frontal
Palmela,2012:11:26 12:00:00,0,1,Estrada Municipal,,,Despiste simples
Palmela,2012:12:10 17:40:00,0,1,Rua 5 de Outubro,,,Despiste c/ capotamento
Palmela,2012:12:14 06:35:00,1,0,EN4,,"26,300",Colisão com fuga
S. do Cacém,2012:01:04 14:50:00,1,0,IC1,,"623,678",Colisão frontal
S. do Cacém,2012:01:08 23:00:00,1,0,EM544,,,Despiste c/col. c/veíc. imobil./obst.
S. do Cacém,2012:02:24 14:30:00,0,1,EN121,,"28,100",Despiste c/col. c/veíc. imobil./obst.
S. do Cacém,2012:04:09 16:30:00,1,0,IC33,,"26,500",Despiste simples
S. do Cacém,2012:04:25 06:00:00,0,5,EM1085,,,Despiste c/ capotamento
S. do Cacém,2012:05:01 03:33:00,0,1,EM1138,,,Colisão com outras situações
S. do Cacém,2012:05:15 00:14:00,0,1,IC33,,"19,000",Despiste simples
S. do Cacém,2012:05:16 19:15:00,0,1,R 1o DE MAIO,,,Colisão lat. c/ outro veículo mov.
S. do Cacém,2012:07:20 23:30:00,0,1,IC1,,"629,600",Colisão frontal
S. do Cacém,2012:07:23 17:20:00,0,1,EN120-1,,"1,750",Colisão com outras situações
S. do Cacém,2012:09:08 17:15:00,0,1,EM544,,,Despiste simples
S. do Cacém,2012:10:03 15:30:00,4,0,IC1,,"626,000",Despiste simples
S. do Cacém,2012:10:17 14:35:00,0,4,IC1,,"637,659",Despiste c/ capotamento
S. do Cacém,2012:10:21 20:27:00,0,1,EM544,,,Atropelamento de peões
