Concelho,Datahora,M,FG,Via,Km,Natureza
Alcacer do Sal,26-04-2015 02:30,0,1,-,"4,200",Despiste simples
Alcacer do Sal,11-07-2015 14:20,0,1,A2,"76,950",Despiste com capotamento
Alcacer do Sal,13-08-2015 09:30,0,2,A2,"86,000","Despiste com transposição dodispositivo de retenção lateral"
Alcacer do Sal,28-07-2015 11:16,1,0,A2,"96,100",Despiste com capotamento
Alcacer do Sal,08-01-2015 22:20,2,0,EN120,"4,300","Despiste sem dispositivo deretenção"
Alcacer do Sal,28-06-2015 22:35,1,0,EN5,"37,500","Despiste com transposição dodispositivo de retenção lateral"
Alcacer do Sal,05-06-2015 19:35,1,0,EN5,"42,211",Colisão frontal
Alcacer do Sal,23-09-2015 10:45,0,1,EN5,"54,500",Despiste com capotamento
Alcacer do Sal,26-01-2015 05:35,1,0,EN5,"60,358",Colisão frontal
Alcochete,10-05-2015 12:39,0,1,-,-,Despiste simples
Alcochete,25-04-2015 20:10,0,1,Ava D Manuel I 10,-,Despiste simples
Alcochete,24-02-2015 20:15,0,1,EM502,-,"Colisão lateral com outro veículoem movimento"
Alcochete,28-07-2015 10:30,0,1,EM502,-,"Colisão lateral com outro veículoem movimento"
Alcochete,02-06-2015 22:40,0,1,EN118,"8,300",Despiste simples
Alcochete,30-05-2015 15:30,0,4,EN119,"3,800",Colisão frontal
Alcochete,31-07-2015 19:00,0,1,EN4,"17,500","Colisão traseira com outroveículo em movimento"
Alcochete,14-05-2015 16:40,0,1,EN4,"20,000",Colisão com outras situações
Alcochete,19-07-2015 20:30,1,1,IP1,"7,180",Atropelamento de peões
Alcochete,24-12-2015 14:00,0,1,Rua Luís de Camões,-,Atropelamento de peões
Almada,17-05-2015 21:20,0,1,-,-,Despiste simples
Almada,23-05-2015 14:15,0,1,A2,"9,300",Despiste simples
Almada,21-01-2015 19:05,0,1,Avenida 23 de Julho 396AB,-,Atropelamento de peões
Almada,09-06-2015 17:30,0,1,EN10-1,"1,630",Colisão frontal
Almada,28-01-2015 12:15,0,1,Largo 5 de Outubro 68,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Almada,03-01-2015 15:15,0,1,"Rua Bernardo Francisco da Costa22",-,"Colisão com veiculo ou obstáculona faixa de rodagem"
Almada,09-09-2015 17:45,1,1,"Rua Conselheiro Manuel LuisFernandes",-,Atropelamento de peões
Almada,16-08-2015 13:30,0,1,Rua dos Tres Vales 45,-,Atropelamento de peões
Almada,02-09-2015 17:20,0,1,"Rua Doutor Horácio da SilvaLouro 35",-,Despiste simples
Almada,14-12-2015 00:01,0,1,Rua Miradouro dos Capuchos,-,Despiste com capotamento
Almada,08-09-2015 16:10,0,1,Rua Vasco da Gama 18,-,"Colisão lateral com outro veículoem movimento"
Barreiro,04-02-2015 18:40,1,0,-,-,Atropelamento de peões
Barreiro,08-11-2015 00:35,0,1,"Avenida Escola dos FuzileirosNavais 4",-,Atropelamento de peões
Barreiro,27-10-2015 17:10,0,1,"Avenida Joaquim José Fernandes62",-,Atropelamento de peões
Barreiro,24-01-2015 16:30,0,1,EN10,"16,300",Colisão frontal
Barreiro,21-11-2015 05:30,2,0,EN10-3,"8,600",Colisão frontal
Barreiro,15-05-2015 18:39,0,1,IC21,"8,850",Atropelamento de peões
Barreiro,29-09-2015 11:50,0,1,Rotunda Lavradio -,-,Colisão com outras situações
Barreiro,08-10-2015 07:15,0,1,Rua Almirante Reis 249,-,"Colisão lateral com outro veículoem movimento"
Barreiro,17-10-2015 18:00,0,1,Rua Ary dos Santos 121,-,Atropelamento de peões
Barreiro,27-06-2015 18:30,0,1,Rua de Damão 46,-,Colisão frontal
Barreiro,22-01-2015 21:00,0,1,"Rua Doutor Manuel PachecoNobre 94",-,"Colisão lateral com outro veículoem movimento"
Barreiro,06-02-2015 15:00,0,1,Rua Miguel Bombarda 195A,-,Atropelamento de peões
Barreiro,29-04-2015 18:30,0,1,Rua Voz do Operário 28-C,-,Atropelamento de peões
Grandola,03-11-2015 09:50,0,1,-,-,"Colisão com veiculo ou obstáculona faixa de rodagem"
Grandola,20-06-2015 18:40,0,2,A2,"102,680",Despiste com capotamento
Grandola,29-08-2015 11:50,0,1,Alameda 22 de Outubro,-,"Colisão lateral com outro veículoem movimento"
Grandola,29-09-2015 17:50,0,1,"Bairro das Amoreiras, LoteamentoLeonardo Esperto 1",-,"Colisão traseira com outroveículo em movimento"
Grandola,25-08-2015 17:25,0,1,EN261-2,"2,300",Despiste com capotamento
Grandola,16-10-2015 07:10,0,1,EN261-2,"11,400",Despiste com capotamento
Grandola,20-09-2015 21:28,1,0,IC1,"598,600","Colisão traseira com outroveículo em movimento"
Grandola,21-01-2015 13:46,1,0,IC33,"35,230",Colisão frontal
Grandola,16-03-2015 12:10,1,0,Rua D Nuno Alvares Pereira 182,-,Atropelamento de peões
Moita,06-10-2015 07:23,0,1,Avenida 1o de Maio 2A,-,Atropelamento de peões
Moita,17-11-2015 18:15,0,1,Avenida 1o de Maio 56,-,Atropelamento de peões
Moita,10-12-2015 12:50,0,1,EN11-1,-,Atropelamento de peões
Moita,08-11-2015 11:25,0,1,EN11-2,"2,000",Colisão com fuga
Moita,19-07-2015 17:30,0,1,Rua Amores Perfeitos 38,-,"Colisão lateral com outro veículoem movimento"
Moita,22-09-2015 21:45,0,1,Rua Damão 46,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Moita,08-09-2015 19:30,0,1,Rua Margaridas 34,-,Atropelamento de peões
