Concelho,Datahora,M*,FG*,,Via,km,Natureza
A. de Valdevez,2010-01-09 19:50,1,0,EM202,,"43,192",Despiste simples
A. de Valdevez,2010-03-18 10:50,0,1,EN101,,"53,000",Atropelamento de peões
A. de Valdevez,2010-03-25 08:20,0,2,IC28,,"5,700",Colisão tras. c/outro veíc. em mov.
A. de Valdevez,2010-10-24 01:45,1,0,EN101,,"54,150",Despiste c/capotamento
Caminha,2010-05-29 00:50,4,0,EN13,,"88,000",Despiste simples
"",,,,AV S SEBASTIÃO LUG,,,
Caminha,2010-08-30 10:53,0,1,,,,Colisão frontal
"",,,,DA IGREJA,,,
Caminha,2010-09-30 07:50,0,1,EN13,,"89,500",Colisão lat. c/outro veíc. em mov.
Caminha,2010-11-15 13:35,1,0,EN13,,"90,400",Atropelamento de peões
Melgaço,2010-05-01 02:50,0,1,EN202,,"15,000",Despiste c/capotamento
Melgaço,2010-05-14 12:45,1,0,EN202,,"25,612",Despiste c/transp.disp. ret. lateral
Monção,2010-01-24 17:30,0,4,EN202,,"9,400",Colisão frontal
Monção,2010-05-31 14:15,0,1,C. MUNICIPAL SOUTO,,,Colisão frontal
Monção,2010-08-19 13:30,0,1,EN202,,"3,571",Despiste c/capotamento
Monção,2010-08-22 07:30,0,1,EM1124,,,Atropelamento de peões
Monção,2010-08-25 11:00,0,1,Estrada Municipal,,,Atropelamento de peões
Monção,2010-08-27 17:00,0,1,EN202,,"1,880",Despiste c/col. c/veíc. imobil./obst.
Monção,2010-11-25 15:10,1,0,EM403,,,Atropelamento de peões
P. de Coura,2010-06-24 16:15,0,1,Estrada Municipal,,,Colisão frontal
P. de Coura,2010-07-26 18:05,1,0,EN301,,"36,500",Despiste simples
P. de Coura,2010-08-11 07:15,0,1,A3,,"91,300",Colisão tras. c/outro veíc. em mov.
P. de Coura,2010-12-03 23:55,0,1,EM519,,"51,000",Despiste s/dispositivo retenção
Ponte da Barca,2010-07-09 12:50,0,1,Av. Fernão Magalhães,,,Colisão lat. c/outro veíc. em mov.
Ponte da Barca,2010-09-14 19:20,0,1,EN101,,"61,600",Colisão frontal
Ponte de Lima,2010-03-25 08:30,1,1,IC28,,"3,400",Atropelamento de peões
Ponte de Lima,2010-04-30 22:30,0,2,A3,,"84,000",Despiste c/col. c/veíc. imobil./obst.
Ponte de Lima,2010-08-12 13:20,1,0,Estrada Municipal,,,Despiste simples
Ponte de Lima,2010-08-21 23:34,0,1,EN203,,"22,900",Atropelamento de peões
Ponte de Lima,2010-10-02 17:10,0,1,EM1241,,,Colisão lat. c/outro veíc. em mov.
Ponte de Lima,2010-10-29 08:45,0,1,EN203,,"29,280",Atropelamento de peões
Ponte de Lima,2010-12-03 08:50,1,0,RUA DA ALDEIA,,,Atropelamento de peões
Ponte de Lima,2010-12-05 17:30,1,0,EN201,,"33,730",Atropelamento de peões
V. N. Cerveira,2010-06-25 15:30,1,0,EN13,,"98,600",Colisão lat. c/outro veíc. em mov.
Valença,2010-01-04 19:40,0,1,EN101,,"1,300",Colisão lat. c/outro veíc. em mov.
Valença,2010-01-26 15:15,0,1,AV ESPANHA,,,Colisão frontal
Valença,2010-03-11 19:40,1,0,EN101,,"0,700",Atropelamento de peões
Valença,2010-04-07 16:30,1,2,EN101,,"0,750",Colisão frontal
Valença,2010-04-09 11:10,1,0,R IGREJA,,,Colisão lat. c/outro veíc. em mov.
Valença,2010-07-26 20:05,0,1,A3,,"105,390",Atropelamento de peões
Valença,2010-10-05 12:05,5,4,EN13,,"112,900",Despiste c/col. c/veíc. imobil./obst.
Viana do Castelo,2010-02-19 22:00,0,1,EST AMDROSA,,,Despiste simples
Viana do Castelo,2010-03-09 21:30,2,0,EN13,,"59,900",Atropelamento de peões
Viana do Castelo,2010-04-01 18:40,0,1,R. N. Sra. Corporal,,,Despiste simples
Viana do Castelo,2010-05-15 22:30,0,1,Av. de Cabedelo,,,Colisão lat. c/outro veíc. em mov.
Viana do Castelo,2010-05-16 16:10,0,1,EM526,,,Despiste simples
Viana do Castelo,2010-05-26 23:30,0,1,Av. da Rainha,,,Despiste com fuga
Viana do Castelo,2010-07-06 06:28,0,1,Av. da Povoença,,,Despiste simples
Viana do Castelo,2010-07-17 22:00,1,0,EN203,,"9,300",Despiste c/col. c/veíc. imobil./obst.
"",,,,AV DOS PADRES,,,
Viana do Castelo,2010-07-23 19:40,1,0,,,,Despiste c/col. c/veíc. imobil./obst.
"",,,,PALHARES,,,
Viana do Castelo,2010-08-27 19:35,0,1,EN13-3,,"4,100",Colisão c/veic./obst. f. rodagem
Viana do Castelo,2010-09-04 20:30,1,1,EN302,,,Colisão frontal
Viana do Castelo,2010-09-20 04:20,0,1,R DE ALVARÃES,,,Colisão lat. c/outro veíc. em mov.
"",,28,44,,,,
