Concelho,Datahora,M*,FG*,Via,km,Natureza
Vila Real,2012:10:28 07:00:00,0,1,Avenida Europa,,Despiste s/ dispositivo retenção
Vila Real,2012:10:30 06:15:00,0,1,Avenida Universidade,,At r o  p  e  l a  me  n  t od  ep  e  õ  e s
Vila Real,2012:11:17 16:20:00,0,1,Avenida João Paulo II,,Co  l i s  ã  ola  t .  c  /o  u  t r ov  e  íc. mov.
Vila Real,2012:12:26 08:55:00,0,1,R. Visconde Carnaxide / Rotunda,,Atropelamento de peões
"",,19,51,,,
Alijó,2012:03:01 20:30:00,1,0,EM1284,,,Despiste c/ capotamento
Alijó,2012:07:02 12:20:00,0,1,EM582,,,Despiste c/ capotamento
Boticas,2012:07:15 10:45:00,1,7,EN311,,"82,391",Despiste c/ capotamento
Boticas,2012:08:13 00:00:00,1,0,EM312,,,Despiste simples
Boticas,2012:11:03 19:30:00,1,0,ER311,,"55,600",Despiste c/ capotamento
Chaves,2012:01:07 10:30:00,1,0,EN2,,"5,800",Despiste simples
Chaves,2012:01:15 00:05:00,1,0,Av. Dr. Franc. Sá Carneiro,,,Despiste c/ capotamento
Chaves,2012:03:04 17:30:00,1,0,Avenida Tenente Valadim,,,Atropelamento de peões
Chaves,2012:03:09 13:40:00,0,1,Rua Fonte do Leite,,,A  t r  o  p  e  la  me  n  t od  ep  e  õ  e  s
Chaves,2012:04:01 16:00:00,0,1,EM502,,,Despiste c/ capotamento
Chaves,2012:07:29 06:21:00,1,1,EN2,,"20,535",Despiste s/ dispositivo de retenção
Chaves,2012:08:09 22:00:00,0,1,Caminho da Torre,,,Despiste simples
Chaves,2012:08:22 03:15:00,0,2,Rua Lombo,,,De  s p  i s  t ec  /  c  a  p  o  t a  me  n  t o
Chaves,2012:09:02 22:00:00,2,0,EN103-5,,"2,300",Colisão lat. c/ outro veíc. mov.
Chaves,2012:10:08 17:40:00,0,1,Largo do Souto,,,Colisão lat. c/ outro veíc. mov.
Chaves,2012:11:03 14:10:00,1,0,EN314,,"9,400",Despiste c/ capotamento
Mesão Frio,2012:05:29 19:05:00,0,1,EN101,,"160,900",Colisão tras. c/ outro veíc. mov.
Mondim Basto,2012:07:21 22:25:00,1,0,EN304,,"132,700",Colisão lat. c/ outro veíc. mov.
Mondim Basto,2012:08:13 17:00:00,0,1,Estrada Florestal,,,Despiste c/ capotamento
Montalegre,2012:03:30 17:45:00,0,1,EN308,,"140,920",Colisão frontal
Montalegre,2012:08:16 14:10:00,0,1,R. C. Trigueiras,,,Despiste simples
Murça,2012:03:23 19:00:00,0,1,R PRINCIPAL,,,Despiste c/ capotamento
Murça,2012:07:07 16:55:00,0,1,Rua Doutor Frei Diogo,,,Atropelamento de peões
Murça,2012:08:09 17:15:00,1,0,Bairro do Pinheirinho,,,Atropelamento de peões
Peso da Régua,2012:06:18 01:10:00,0,1,R DA LOUSADA,,,Despiste simples
Peso da Régua,2012:08:01 10:20:00,0,4,EN313-2,,,Colisão frontal
Peso da Régua,2012:10:03 07:45:00,0,1,Outra Via,,,Atropelamento de peões
Ribeira de Pena,2012:07:19 11:50:00,0,1,A7,,"90,100",Colisão tras. c/ outro veíc. mov.
Ribeira de Pena,2012:08:04 16:05:00,0,1,EM1132,,,Despiste simples
Ribeira de Pena,2012:09:19 13:25:00,0,1,EN206,,"98,420",Atropelamento de peões
Sabrosa,2012:08:18 06:55:00,1,1,EN322,,"8,450",Colisão tras. c/ outro veíc. mov.
S M. Penaguião,2012:01:10 17:40:00,1,0,EM1240,,,Atropelamento de peões
Valpaços,2012:07:25 04:15:00,0,2,Rua do Tramagal,,,Despiste c/ capotamento
Valpaços,2012:08:10 05:00:00,0,1,EM1107,,,Despiste simples
Valpaços,2012:11:19 18:15:00,1,0,EN213,,"13,550",Colisão frontal
V. Pouca Aguiar,2012:07:02 15:00:00,0,1,Rua Central,,,Atropelamento de peões
V. Pouca Aguiar,2012:11:16 17:45:00,1,0,EN2,,"43,900",Atropelamento de peões
Vila Real,2012:02:15 14:15:00,0,1,Rua Miguel Bombarda,,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Vila Real,2012:03:18 15:20:00,0,1,EN15,,"115,100",Despiste simples
Vila Real,2012:04:01 21:50:00,0,1,IP4,,"99,335",Colisão frontal
Vila Real,2012:04:06 18:15:00,0,1,Av. Reg. Infantaria 13,,,A  t r o p e  la  me  n  t od  ep  e  ões
Vila Real,2012:05:08 11:00:00,1,0,R. Casimiro de Oliveira,,,Atropelamento de peões
Vila Real,2012:05:21 07:57:00,1,0,Lugar Chão do Pino,,,Despiste c/ capotamento
Vila Real,2012:05:22 18:50:00,0,1,R DO OUTEIRO,,,Atropelamento de peões
Vila Real,2012:07:07 09:30:00,0,1,A24,,"83,900",Despiste simples
Vila Real,2012:07:19 11:15:00,0,1,Avenida Noruega,,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Vila Real,2012:07:30 17:45:00,0,1,EN313,,"40,150",Colisão tras. c/ outro veíc. mov.
Vila Real,2012:08:20 17:30:00,0,1,EM1244,,,Colisão lat. c/ outro veíc. mov.
Vila Real,2012:08:29 12:50:00,0,1,EM313-1,,"0,015",Colisão lat. c/ outro veíc. mov.
Vila Real,2012:09:20 11:00:00,0,1,Rua da Poça,,,Atropelamento de peões
Vila Real,2012:09:27 23:45:00,0,1,Avenida Europa,,,Co  li s  ã  of r o  n  t a  l
