Concelho,Datahora,M,FG,Via,Km,Natureza
Alijo,06-09-2013 09:10,0,2,EN322-1,-,Despiste com capotamento
Alijo,13-12-2013 16:20,0,1,IC5,"35,500","Colisão lateral com outro veículoem movimento"
Boticas,08-09-2013 18:20,0,1,EM311,"51,800",Despiste com capotamento
Chaves,04-09-2013 05:30,0,2,Av Tamega 79,-,Colisão frontal
Chaves,27-05-2013 11:50,0,1,Av.a DUARTE PACHECO 00,-,Atropelamento de peões
Chaves,27-09-2013 23:15,0,1,Ava. Dr. Mário Soares 0,-,Despiste simples
Chaves,11-03-2013 20:30,0,1,"Avenida Dom Afonso de Bragança0",-,Atropelamento de peões
Chaves,17-03-2013 16:30,0,1,EM506,-,Despiste simples
Chaves,10-07-2013 21:15,1,0,EN103-5,"5,700",Atropelamento de peões
Chaves,22-05-2013 18:05,0,1,EN213,"5,000",Colisão frontal
Chaves,02-06-2013 05:50,0,1,Estrada da Barreirinha 33,-,Despiste com capotamento
Chaves,30-11-2013 08:10,0,1,Rua Cândido Sotto Mayor 14,-,Atropelamento de peões
Chaves,28-07-2013 01:50,0,1,Rua Rainha Dona Mafalda 00,-,"Colisão lateral com outro veículoem movimento"
Montalegre,01-06-2013 13:20,0,1,EN103,"118,500","Despiste com dispositivo deretenção"
Montalegre,02-09-2013 14:20,1,0,Rua da Laborada,-,Colisão frontal
Montalegre,01-06-2013 18:40,1,0,Rua dos Poços,-,"Despiste sem dispositivo deretenção"
Montalegre,08-08-2013 15:30,0,1,Rua São Santinho,-,Despiste simples
Murca,16-05-2013 03:20,1,0,A4,"125,000","Despiste com dispositivo deretenção"
Murca,13-11-2013 11:15,0,1,EN15,"149,980",Atropelamento de peões
Peso da Regua,22-10-2013 11:50,2,0,A24,"91,344","Despiste com transposição dodispositivo de retenção lateral"
Peso da Regua,31-10-2013 10:15,0,1,Rua José Vasques Osório,-,Atropelamento de peões
Ribeira de Pena,03-01-2013 15:30,1,0,EN206,"104,650",Colisão frontal
Valpacos,19-11-2013 18:05,1,0,EN213,"31,750","Colisão traseira com outro veículoem movimento"
Valpacos,11-07-2013 19:00,0,1,ER206,"156,020","Colisão lateral com outro veículoem movimento"
Valpacos,11-01-2013 18:05,0,1,Rua Cidade de Roma,-,Despiste com capotamento
Valpacos,08-09-2013 09:14,0,1,Rua da Portela,-,Despiste com capotamento
Vila Pouca de Aguiar,10-08-2013 10:00,1,0,-,-,Despiste com capotamento
Vila Pouca de Aguiar,16-09-2013 20:15,0,4,A7,"96,615","Colisão traseira com outro veículoem movimento"
Vila Pouca de Aguiar,10-02-2013 17:30,0,1,EM1164,-,Atropelamento de peões
Vila Pouca de Aguiar,03-10-2013 17:45,1,0,EM549,-,Colisão frontal
Vila Pouca de Aguiar,11-11-2013 09:00,0,1,EN2,"39,100","Colisão com veiculo ou obstáculona faixa de rodagem"
Vila Pouca de Aguiar,25-07-2013 17:30,0,1,Rua Central 13,-,Despiste simples
Vila Real,10-07-2013 16:30,0,1,-,-,Despiste simples
Vila Real,03-05-2013 15:30,0,1,Ava Aureliano Barrigas 0,-,Atropelamento de peões
Vila Real,19-11-2013 09:45,0,1,Avenida 1o de Maio 203,-,Atropelamento de peões
Vila Real,28-08-2013 09:15,0,1,Avenida Noruega 0,-,Atropelamento de peões
Vila Real,23-10-2013 20:20,1,0,Avenida Noruega 0,-,Colisão frontal
Vila Real,20-07-2013 21:45,1,0,EN2,"59,500",Despiste simples
Vila Real,09-07-2013 00:01,0,1,EN304,"165,200",Despiste simples
Vila Real,16-12-2013 08:00,1,1,IP4,"81,900",Colisão frontal
Vila Real,08-11-2013 22:50,0,2,IP4,"89,553","Colisão traseira com outro veículoem movimento"
Vila Real,04-05-2013 18:40,0,1,IP4,"90,700",Despiste simples
Vila Real,16-08-2013 22:45,0,1,IP4,"90,700",Colisão frontal
Vila Real,28-10-2013 14:30,1,0,Lugar de Tojais,-,Atropelamento de peões
Vila Real,17-06-2013 17:45,0,1,Rua de Montezelos 0,-,Atropelamento de peões
Vila Real,28-05-2013 23:15,0,1,Rua Dr. Augusto Rua 0,-,Colisão frontal
Vila Real,10-12-2013 09:05,0,1,Rua Heitor Cramez 0,-,Atropelamento de peões
