Concelho,Datahora,M*,FG*,,Via,km,Natureza
Alandroal,2009:08:12 14:45:00,0,1,EM1109,,,Colisão frontal
Alandroal,2009:10:14 08:45:00,0,1,EN255,,"17,400",Colisão lateral
Alandroal,2009:07:25 14:05:00,1,0,Outra Via,,,Despiste com capotamento
Alandroal,2009:07:11 01:45:00,0,1,EM1042,,,Despiste com capotamento
Alandroal,2009:09:08 18:40:00,1,0,EM511,,,Despiste com capotamento
Alandroal,2009:10:16 18:45:00,0,1,R EST MONFOITO,,,Despiste simples
Alandroal,2009:09:22 18:25:00,1,0,EM1114,,,Despiste simples
Arraiolos,2009:07:10 23:05:00,1,0,EN4,,"103,276",Atropelamento de peões
Arraiolos,2009:05:14 17:55:00,0,1,EN4,,"114,750",Colisão veic./obst. faixa rodagem
Arraiolos,2009:08:25 14:59:00,0,2,EN4,,"105,366",Colisão frontal
Arraiolos,2009:04:23 10:25:00,1,1,EN4,,"114,750",Colisão lateral
Arraiolos,2009:08:22 23:30:00,0,1,EN4,,"102,914",Despiste simples
Borba,2009:12:04 15:15:00,0,1,VIVENDAS SOL,,,Colisão lateral
Borba,2009:04:26 18:40:00,0,2,EM255,,"3,900",Colisão lateral
Borba,2009:11:24 19:50:00,0,1,EN4,,"160,800",Despiste sem disp. retenção
Estremoz,2009:03:02 10:00:00,1,0,LG LAVADOURO,,,Atropelamento de peões
Estremoz,2009:12:24 07:30:00,1,1,EN18,,"229,407",Colisão frontal
Estremoz,2009:07:07 19:30:00,0,1,IP2,,"233,950",Despiste sem disp. retenção
Estremoz,2009:02:12 18:00:00,1,0,LUGAR DO ACEIRO,,,Despiste simples
Evora,2009:09:24 07:50:00,0,1,Avo Da Malagueira,,,Atropelamento de peões
Evora,2009:06:25 15:00:00,0,1,Avenida Lisboa,,,Atropelamento de peões
Evora,2009:06:06 23:45:00,1,0,Avenida Dinis de Miranda,,,Atropelamento de peões
Evora,2009:04:16 20:40:00,1,0,Avenida Dinis de Miranda,,,Atropelamento de peões
Evora,2009:03:11 17:10:00,0,1,Outra Via,,,Atropelamento de peões
Evora,2009:06:30 21:15:00,0,2,EST PINA,,,Colisão frontal
Evora,2009:03:21 19:45:00,0,1,EN18,,,Colisão frontal
Evora,2009:11:14 07:05:00,1,2,EN256,,"8,700",Colisão frontal
Evora,2009:07:17 05:54:00,1,1,IP2,,"289,283",Colisão frontal
Evora,2009:12:25 03:15:00,0,1,EN114,,"175,780",Colisão lateral
Evora,2009:12:18 16:20:00,1,0,EN254,,,Colisão lateral
Evora,2009:06:23 19:15:00,0,1,EM521,,,Despiste com capotamento
Evora,2009:01:08 14:40:00,0,1,EM527-1,,,Despiste com capotamento
Evora,2009:02:24 16:40:00,0,1,EN18,,"276,572",Despiste com capotamento
"",,,,,,,Desp. com colisão veíc.
Evora,2009:08:25 22:40:00,0,1,Avenida Túlio Espanca,,,imob./obst.
"",,,,,,,Desp. com colisão veíc.
Evora,2009:06:13 17:30:00,0,1,EM1087,,,imob./obst.
Evora,2009:07:12 18:30:00,0,1,EN256,,"2,241",Despiste com disp. retenção
Evora,2009:03:03 12:45:00,0,1,A6,,"76,346",Desp. transp. disp. retenção lateral
Evora,2009:04:12 19:30:00,0,1,Outra Via,,,Despiste simples
Evora,2009:10:21 07:30:00,0,1,EN380,,"88,460",Despiste simples
Montemor-o-Novo,2009:07:06 07:30:00,1,0,R CORTICADAS LAVRE,,,Atropelamento de peões
"",,,,R FUNDADOR DE,,,
Montemor-o-Novo,2009:02:05 19:00:00,1,0,PORTUGAL,,,Atropelamento de peões
Montemor-o-Novo,2009:01:17 20:45:00,1,2,EN4,,"89,975",Colisão frontal
Montemor-o-Novo,2009:01:31 16:20:00,0,1,R FERNANDO NAMORA,,,Colisão lateral
Montemor-o-Novo,2009:05:15 08:37:00,0,1,A6,,"55,100",Colisão lateral
Montemor-o-Novo,2009:12:02 12:30:00,1,0,EN114,,"167,000",Colisão lateral
Montemor-o-Novo,2009:09:03 22:20:00,0,1,EN114,,"166,400",Colisão lateral
Montemor-o-Novo,2009:11:22 19:15:00,0,1,ER2,,"530,000",Colisão lateral
Montemor-o-Novo,2009:09:08 21:05:00,2,2,A6,,"39,855",Colisão traseira
Montemor-o-Novo,2009:08:14 11:15:00,1,0,A6,,"53,500",Despiste com capotamento
Montemor-o-Novo,2009:07:11 12:00:00,0,1,EN114,,"165,200",Despiste simples
Montemor-o-Novo,2009:07:08 18:11:00,0,1,EN114,,"154,914",Despiste simples
Mora,2009:07:03 17:50:00,1,0,EN251,,"71,654",Despiste com capotamento
Mora,2009:02:27 16:50:00,1,0,EN2,,"476,876",Despiste simples
Mourão,2009:05:11 08:15:00,0,1,EN386,,"43,200",Despiste simples
Portel,2009:10:28 18:10:00,0,1,ER384,,"11,750",Colisão lateral
