Concelho,Datahora,M*,FG*,Via,km,Natureza
Vendas Novas,2012:04:09 16:45:00,0,1,EN4,"53,930",Colisão frontal
Vendas Novas,2012:07:11 19:28:00,1,0,A2,"56,730",Despiste simples
Vendas Novas,2012:09:04 18:50:00,0,1,Rua General Humberto Delgado,,Atropelamento de peões
Vendas Novas,2012:12:26 08:45:00,0,2,EN4,"62,420",Despiste simples
Vendas Novas,2012:12:27 19:08:00,1,0,EN380,"13,975",Colisão tras. c/ outro veíc. mov.
Viana Alentejo,2012:10:26 12:50:00,0,1,EN254,"67,660",Despiste c/ capotamento
Vila Viçosa,2012:01:11 09:40:00,1,0,EM509,,Desp. c/col. c/veíc.imobil./obst.
Vila Viçosa,2012:12:11 03:15:00,0,1,Largo Gago Coutinho,,Atropelamento com fuga
,,15,53,,,
Arraiolos,2012:02:20 13:10:00,1,0,EN4,"125,832",Atropelamento de peões
Arraiolos,2012:09:25 20:15:00,0,1,Estrada Municipal,,Colisão lat. c/ outro veíc. mov.
Arraiolos,2012:10:31 15:20:00,1,0,EM527-1,,Colisão frontal
Estremoz,2012:01:21 18:10:00,1,0,EN4,"146,750",Despiste c/trans. disp. ret. lateral
Estremoz,2012:03:07 17:30:00,0,1,R SAO BENTO,,Despiste c/ capotamento
Estremoz,2012:03:22 20:40:00,0,1,EM504,"16,750",Colisão tras. c/ outro veíc. mov.
Estremoz,2012:06:26 22:45:00,0,1,EN18,"231,327",Despiste c/ capotamento
Estremoz,2012:07:15 07:45:00,1,0,EN18,"226,075",Despiste simples
,,,,Ava Rainha Santa Isabel/3a,,
Estremoz,2012:08:26 14:20:00,0,1,,,Colisão frontal
,,,,transversal sentido S/N,,
Estremoz,2012:10:04 06:20:00,0,1,Avenida Santo António,,De  s p  i s  t es  i mp  le  s
Estremoz,2012:10:08 19:00:00,0,2,Largo Portas de Évora,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Estremoz,2012:10:26 12:15:00,0,1,EN4,"146,746",Despiste c/ capotamento
Estremoz,2012:11:24 13:45:00,0,1,Rua Rainha Santa Isabel,,C  o  l i s  ã  oc o  mo  u  t r  a  s  s  i t u  a  ç  õ  e  s
Évora,2012:01:05 12:30:00,0,1,EN114-4,,Despiste c/col. c/veíc. imobil./obst.
Évora,2012:01:06 17:33:00,1,0,EN256,"4,281",Despiste c/col. c/veíc. imobil./obst.
Évora,2012:01:20 21:45:00,0,1,Estrada da Chaínha,,Colisão lat. c/ outro veíc. mov.
Évora,2012:02:12 05:00:00,0,1,EN254,"60,426",Despiste c/ capotamento
Évora,2012:02:29 02:10:00,0,1,EN114-4,"8,332",Despiste simples
Évora,2012:03:02 17:50:00,0,1,EN256,"13,120",Despiste simples
Évora,2012:03:02 22:15:00,0,1,Av. Arquitecto Rui Couto,,Co  l is  ã  of r o  n  t a  l
Évora,2012:03:16 20:30:00,0,1,EN254,"39,623",Despiste c/ capotamento
Évora,2012:04:21 12:45:00,1,0,Variante Sul,,Atropelamento de peões
Évora,2012:05:06 01:20:00,0,1,EM527,,Atropelamento de peões
Évora,2012:06:01 21:40:00,0,1,Variante do Continente,,Colisão frontal
Évora,2012:07:04 12:30:00,0,1,EM1087,,Despiste simples
Évora,2012:07:21 11:00:00,0,1,Outra via,,Despiste simples
Évora,2012:08:25 16:35:00,0,2,EN256,"14,526",Colisão frontal
,,,,Troço entre Rot. Lagril/Rot.,,
Évora,2012:09:14 08:25:00,0,2,,,Colisão frontal
,,,,acesso Variante Sul,,
Évora,2012:10:02 08:00:00,1,0,EN18,,Atropelamento de peões
Évora,2012:10:19 00:01:00,2,0,EN114,"176,700",Despiste s/ dispositivo de retenção
Évora,2012:11:01 00:25:00,0,3,EN380,"92,800",Colisão frontal
Évora,2012:11:25 22:20:00,0,1,EN254,"49,879",Despiste c/ capotamento
Évora,2012:12:10 12:15:00,1,0,EN256,"0,877",Despiste simples
Évora,2012:12:18 07:50:00,0,1,EN114,"182,400",Colisão lat. c/ outro veíc. mov.
Évora,2012:12:31 15:10:00,0,1,EN256,"12,650",Colisão frontal
Mont.-o-Novo,2012:05:06 15:10:00,0,1,EN114,"149,083",Despiste simples
Mont.-o-Novo,2012:08:06 15:30:00,0,1,EN2,"516,200",Despiste c/col. c/veíc. imobil./obstác.
Mont.-o-Novo,2012:09:13 11:40:00,0,1,A6,"47,400",Despiste c/ capotamento
Mont.-o-Novo,2012:10:08 23:30:00,0,1,Ava Gago Coutinho,,Colisão frontal
Mont.-o-Novo,2012:11:04 04:20:00,1,0,EN2,"536,350",Despiste simples
Mora,2012:08:30 18:05:00,0,1,EM1008,"6,880",Colisão frontal
Portel,2012:08:06 12:20:00,0,1,IP2,"298,382",Colisão lat. c/ outro veíc. mov.
Portel,2012:11:04 11:42:00,1,1,IP2,"311,632",Despiste c/ capotamento
Redondo,2012:09:28 08:00:00,0,1,EM524,,Colisão frontal
Reg. Monsaraz,2012:03:26 11:30:00,0,1,Pq. Estac. Intermarché,,Atropelamento de peões
Reg. Monsaraz,2012:03:26 14:45:00,0,1,R NOVA,,Colisão c/ veic./obstáculo f.rodagem
Reg. Monsaraz,2012:07:28 11:30:00,0,1,Rua da Horta,,Colisão lat. c/ outro veíc. mov.
Reg. Monsaraz,2012:08:12 23:00:00,0,1,EM514,"15,900",Despiste simples
Reg. Monsaraz,2012:09:05 13:10:00,0,1,EM1128,,Despiste c/ capotamento
Reg. Monsaraz,2012:11:03 17:15:00,0,2,EM1114,,Colisão frontal
Vendas Novas,2012:01:31 18:15:00,0,1,R Joaquim Pedro de Matos,,Atropelamento de peões
