Concelho,Datahora,M,FG,Via,Km,Natureza
Alfandega da Fe,10-06-2017 18:50,0,1,-,-,Colisão frontal
Alfandega da Fe,14-09-2017 08:20,1,0,EN315,"1,000",Atropelamento com fuga
Braganca,05-02-2017 14:45,1,0,-,-,Despiste simples
Braganca,17-02-2017 16:42,0,1,-,-,Despiste simples
Braganca,30-08-2017 16:00,0,1,-,-,Colisão frontal
Braganca,13-08-2017 06:00,0,1,Avenida 22 de Maio 7,-,"Colisão com veiculo ou obstáculona faixa de rodagem"
Braganca,03-11-2017 13:45,0,1,Avenida do Sabor 00,-,Despiste com capotamento
Braganca,06-02-2017 09:01,0,1,Avenida do Sabor 000,-,Despiste com capotamento
Braganca,23-06-2017 13:30,0,1,EN103,"252,300",Despiste simples
Braganca,10-01-2017 19:05,1,1,EN218,"31,900",Colisão frontal
Braganca,07-06-2017 23:48,0,1,EN308,"300,500",Despiste simples
Braganca,01-02-2017 20:30,0,1,Rua Alexandre Herculano 00,-,"Despiste sem dispositivo deretenção"
Braganca,21-11-2017 17:00,0,1,Rua Conde Ariães 124,-,Atropelamento de peões
Braganca,10-06-2017 11:40,0,1,Rua Eng. Amaro da Costa 1,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Carrazeda de Ansiaes,25-06-2017 18:40,0,1,-,-,Despiste simples
Freixo Espada a Cinta,08-06-2017 11:30,0,2,-,-,Colisão frontal
Freixo Espada a Cinta,15-09-2017 02:00,1,0,-,-,Despiste simples
Freixo Espada a Cinta,29-05-2017 17:20,0,1,EN220,"35,500",Despiste com capotamento
Freixo Espada a Cinta,26-08-2017 09:30,0,1,EN221,"65,800",Despiste simples
Freixo Espada a Cinta,23-09-2017 22:40,0,1,EN325,"2,000",Despiste simples
Macedo de Cavaleiros,06-06-2017 11:00,1,0,-,-,Despiste simples
Macedo de Cavaleiros,13-08-2017 20:15,0,1,-,-,Despiste simples
Macedo de Cavaleiros,21-05-2017 17:30,0,1,EN216,"15,000",Despiste simples
Macedo de Cavaleiros,08-01-2017 14:00,0,1,EN217,"49,500",Despiste simples
Macedo de Cavaleiros,09-09-2017 06:47,0,1,Rua das alminhas,-,Colisão com outras situações
Macedo de Cavaleiros,10-10-2017 13:21,0,1,Rua dos Bombeiros,-,Atropelamento de peões
Miranda do Douro,14-04-2017 16:20,0,1,-,"10,000",Atropelamento de peões
Miranda do Douro,15-04-2017 06:35,0,1,EN221,"5,500",Despiste com capotamento
Miranda do Douro,05-01-2017 06:12,1,0,IC5,"156,800",Despiste simples
Miranda do Douro,05-07-2017 08:30,0,1,Rua das Eirinhas,-,Atropelamento de peões
Mirandela,23-05-2017 22:45,1,0,A4,"140,800",Despiste com capotamento
Mirandela,16-08-2017 16:35,0,1,A4,"155,100","Colisão com veiculo ou obstáculona faixa de rodagem"
Mirandela,20-05-2017 16:10,0,2,EN315,"6,800","Colisão lateral com outro veículoem movimento"
Mirandela,15-03-2017 16:46,0,1,Rua Dom Afonso III 0,-,Atropelamento de peões
Mirandela,24-06-2017 23:00,0,1,Rua Dom Afonso III 44,-,"Despiste sem dispositivo deretenção"
Mogadouro,08-07-2017 05:30,0,1,-,-,Despiste com capotamento
Mogadouro,09-09-2017 16:29,0,1,-,-,Despiste simples
Mogadouro,02-06-2017 16:00,0,1,EN219,"29,100",Colisão frontal
Torre de Moncorvo,11-09-2017 10:00,1,0,-,-,Despiste simples
Torre de Moncorvo,07-02-2017 11:10,0,1,Rua Abade Tavares,-,Atropelamento de peões
Vila Flor,27-12-2017 08:35,0,1,EN214,"33,180",Colisão frontal
Vila Flor,16-09-2017 10:15,0,1,IC5,"69,400","Colisão lateral com outro veículoem movimento"
Vimioso,01-12-2017 20:54,0,1,Rua Principal,-,Atropelamento de peões
Vinhais,29-08-2017 08:20,1,0,-,-,Despiste com capotamento
Vinhais,10-08-2017 01:04,0,1,Caminho do Santuário,-,Despiste simples
Vinhais,31-01-2017 08:10,1,0,EN316,"34,740",Despiste com capotamento
Vinhais,27-05-2017 01:30,0,1,"Rua do Lombeiro - ValpaçoVinhais",-,Despiste simples
Vinhais,19-07-2017 14:40,0,1,RUA PRINCIPAL,-,Despiste com capotamento
