Concelho,Datahora,M,FG,Via,Km,Natureza
Alcobaca,17-12-2017 11:10,0,1,-,-,Despiste simples
Alcobaca,30-10-2017 19:20,0,1,"Av. Padre Inácio Antunes -Benedita",-,Despiste simples
Alcobaca,25-11-2017 17:35,0,2,"Avenida Combatentes da GrandeGuerra 0",-,Atropelamento de peões
Alcobaca,08-06-2017 16:15,0,1,"Avenida Combatentes da GrandeGuerra 33",-,Atropelamento de peões
Alcobaca,11-03-2017 20:10,0,1,EN1,"91,300","Colisão lateral com outro veículoem movimento"
Alcobaca,16-01-2017 07:28,0,1,EN242,"18,900",Despiste com capotamento
Alcobaca,14-12-2017 17:30,0,1,EN242,"20,300",Atropelamento de peões
Alcobaca,21-07-2017 15:50,0,2,EN242,"25,100","Colisão lateral com outro veículoem movimento"
Alcobaca,14-12-2017 18:15,0,1,EN242,"50,830","Colisão lateral com outro veículoem movimento"
Alcobaca,07-12-2017 18:20,0,1,EN8,"118,500",Atropelamento de peões
Alcobaca,22-07-2017 13:37,1,0,EN8,"120,165","Colisão lateral com outro veículoem movimento"
Alcobaca,30-07-2017 18:20,1,0,EN8-5,"3,550","Colisão lateral com outro veículoem movimento"
Alcobaca,02-06-2017 16:00,0,1,EN8-6,"3,500",Atropelamento de peões
Alcobaca,27-09-2017 17:15,0,1,EN8-6,"3,600",Despiste simples
Alcobaca,30-07-2017 11:50,0,1,Estrada atlântica,-,Despiste simples
Alcobaca,28-09-2017 08:05,0,1,Estrada da Ribafria - Algarão,-,Colisão frontal
Alcobaca,27-05-2017 01:40,0,1,Estrada das matas - Burinhosa,-,Despiste com capotamento
Alcobaca,24-01-2017 05:50,0,1,Estrada dos Candeeiros,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Alcobaca,06-12-2017 06:50,0,1,IC2,"87,690",Atropelamento de peões
Alcobaca,29-09-2017 16:10,0,1,IC2,"88,600",Colisão frontal
Alcobaca,15-04-2017 12:30,0,1,IC2,"89,700","Colisão traseira com outroveículo em movimento"
Alcobaca,27-11-2017 00:35,1,0,IC2,"91,700",Colisão frontal
Alcobaca,04-06-2017 05:30,1,1,IC2,"92,600",Atropelamento de peões
Alcobaca,28-05-2017 22:09,1,0,IC2,"93,161",Colisão frontal
Alcobaca,16-05-2017 16:35,1,0,IC2,"100,420",Despiste simples
Alcobaca,21-01-2017 22:50,0,1,Rotunda MercoAlcobaça 00,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Alcobaca,28-12-2017 15:00,0,1,Rua da Cinzeira,-,Despiste simples
Alcobaca,14-06-2017 20:15,0,2,Rua de Santo António,-,Colisão frontal
Alcobaca,29-06-2017 14:50,0,1,rua dos combatentes,-,"Colisão lateral com outro veículoem movimento"
Alcobaca,24-01-2017 09:35,0,1,Rua são Bernardo Ribafria,-,Despiste simples
Alvaiazere,19-02-2017 08:05,0,1,EN110,"64,600",Despiste simples
Alvaiazere,24-03-2017 16:20,0,1,Estrada Via Lusitânia,-,Despiste simples
Alvaiazere,10-09-2017 07:15,0,1,"Estrada Via Lusitânia - Casais -Maças de Dona Maria",-,"Despiste com colisão com veículoimobil. ou obstáculo"
Alvaiazere,26-02-2017 09:20,0,1,Rua José Ribeiro de Carvalho,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Ansiao,02-08-2017 20:15,0,1,-,-,Despiste simples
Ansiao,24-09-2017 18:55,0,1,-,-,Despiste simples
Ansiao,29-10-2017 18:45,0,1,-,-,Colisão com fuga
Ansiao,31-12-2017 13:20,0,1,-,-,Despiste simples
Ansiao,13-06-2017 20:37,0,1,Estrada do Casal,-,Atropelamento de peões
