Concelho,Datahora,M,FG,Via,Km,Natureza
Alter do Chao,05-09-2016 21:05,1,0,EN369,"27,000",Despiste com capotamento
Arronches,20-11-2016 20:50,0,1,EN371,"20,500",Despiste com capotamento
Avis,01-09-2016 20:00,0,1,-,-,Colisão com fuga
Campo Maior,30-11-2016 20:00,0,1,EN371,"32,200",Despiste simples
Campo Maior,26-11-2016 07:00,0,1,EN371,"35,800",Despiste simples
Campo Maior,15-07-2016 17:45,0,1,EN371,"36,300",Colisão frontal
Campo Maior,29-01-2016 05:11,1,2,EN373,"10,600",Atropelamento de animais
Castelo de Vide,12-06-2016 02:20,0,1,-,-,Despiste simples
Castelo de Vide,30-10-2016 00:15,0,1,-,-,Despiste com capotamento
Crato,27-09-2016 21:20,1,0,-,-,Despiste com capotamento
Crato,26-04-2016 14:50,1,0,EM1020,-,Despiste simples
Elvas,13-06-2016 09:10,0,1,A6,"136,670","Despiste com dispositivo deretenção"
Elvas,02-06-2016 03:20,0,1,A6,"155,888","Colisão com veiculo ou obstáculona faixa de rodagem"
Elvas,22-11-2016 18:00,0,1,Avenida Badajoz 51,-,Colisão com outras situações
Elvas,07-02-2016 16:10,0,2,EM511,-,Colisão frontal
Elvas,03-08-2016 09:45,1,4,EN243-1,"1,300",Despiste com capotamento
Elvas,03-08-2016 09:50,0,1,EN246,"77,000","Colisão lateral com outro veículoem movimento"
Elvas,25-03-2016 17:15,0,1,EN373,"14,300",Despiste simples
Elvas,30-07-2016 19:00,0,1,EN4,"165,600","Colisão lateral com outro veículoem movimento"
Elvas,09-01-2016 15:20,2,0,EN4,"166,500",Colisão frontal
Elvas,25-05-2016 19:05,1,0,EN4,"174,650",Colisão frontal
Elvas,22-01-2016 07:25,0,2,EN4,"179,300","Colisão traseira com outroveículo em movimento"
Elvas,10-09-2016 06:30,0,1,Estrada da Piedade 1,-,Atropelamento de animais
Elvas,17-12-2016 16:20,0,1,Estrada Moínho de Vento 83,-,Colisão com outras situações
Elvas,20-03-2016 01:30,0,1,Largo Misericórdia 15,-,Colisão com fuga
Elvas,05-03-2016 16:45,0,1,Olival das Sanchas 1,-,Colisão frontal
Gaviao,24-01-2016 15:50,0,1,-,-,Colisão frontal
Gaviao,13-09-2016 08:10,0,1,EN244,"61,600",Despiste com capotamento
Gaviao,20-02-2016 04:30,0,2,EN244,"62,900",Despiste com capotamento
Monforte,04-04-2016 00:45,0,1,EM506,-,Despiste simples
Monforte,15-06-2016 09:30,0,1,EN243,"0,100",Atropelamento de peões
Monforte,17-05-2016 16:50,1,0,EN243,"156,300",Colisão frontal
Monforte,05-12-2016 07:15,0,1,IP2,"198,900",Despiste com capotamento
Nisa,01-05-2016 12:25,0,1,-,-,Atropelamento de peões
Nisa,03-06-2016 11:10,0,1,EN18,"126,600",Despiste simples
Nisa,28-12-2016 02:00,2,0,EN18,"141,200",Despiste simples
Nisa,29-05-2016 15:50,2,2,IP2,"169,500",Colisão frontal
Nisa,25-08-2016 21:40,0,2,IP2,"175,200",Colisão frontal
Ponte de Sor,17-01-2016 12:26,0,1,-,-,Colisão frontal
Ponte de Sor,28-09-2016 17:50,1,0,-,-,Despiste com capotamento
Ponte de Sor,13-11-2016 11:50,0,1,-,-,Despiste simples
Ponte de Sor,14-02-2016 02:00,0,3,EN119,"98,500",Despiste com capotamento
Ponte de Sor,04-08-2016 05:03,0,1,EN119,"101,000",Colisão frontal
Ponte de Sor,05-09-2016 23:50,0,1,EN119,"105,950",Despiste com capotamento
Ponte de Sor,24-04-2016 13:30,0,1,EN2,"442,500",Despiste simples
Ponte de Sor,14-06-2016 12:05,0,1,EN2,"465,200","Colisão lateral com outro veículoem movimento"
Ponte de Sor,18-06-2016 15:45,0,1,EN2,"467,140",Despiste simples
Ponte de Sor,15-07-2016 09:55,0,1,Rua Garibaldino de Andrade,-,"Colisão lateral com outro veículoem movimento"
Ponte de Sor,19-03-2016 19:35,1,0,"Rua gen. Humberto delgado -Ponte de sor",-,Atropelamento com fuga
Portalegre,30-10-2016 01:30,0,1,-,"3,147",Despiste simples
Portalegre,02-06-2016 19:25,0,1,Av. da Liberdade 57,-,"Colisão lateral com outro veículoem movimento"
Portalegre,26-01-2016 18:12,0,1,Avenida Bonfim 2,-,Atropelamento de peões
Portalegre,16-09-2016 19:30,0,1,"Azinhaga com R. Pedro MariaGaio e Estrada dos Cubos",-,Colisão frontal
Portalegre,01-09-2016 23:15,0,1,Azinhaga das Naves,-,Atropelamento de peões
Portalegre,17-04-2016 07:10,0,1,EN18,"157,100",Despiste com capotamento
Portalegre,08-03-2016 12:50,0,1,EN246,"24,900",Despiste simples
Portalegre,27-02-2016 00:45,0,2,EN246,"26,500",Despiste simples
Portalegre,08-10-2016 20:40,0,1,EN359,"126,700",Despiste simples
Portalegre,06-10-2016 20:20,0,1,EN369,"131,144","Colisão lateral com outro veículoem movimento"
Portalegre,15-12-2016 23:30,0,1,EN4,"168,600",Despiste simples
Portalegre,10-02-2016 08:40,0,1,IP2,"173,000",Despiste com capotamento
Portalegre,20-12-2016 16:50,0,2,IP2,"174,400",Colisão frontal
Portalegre,19-07-2016 11:09,0,1,Rua Doutor Manuel Portilheiro 0,-,Atropelamento de peões
Sousel,03-07-2016 15:15,0,2,-,-,Colisão frontal
Sousel,18-12-2016 17:25,0,1,EN372,"20,300","Colisão lateral com outro veículoem movimento"
Sousel,25-02-2016 12:40,0,1,RUA ANTÓNIO CORREIA DE SÁ,-,Atropelamento de peões
