Concelho,Datahora,M,FG,Via,Km,Natureza
Alcacer do Sal,03-11-2017 02:50,0,1,-,-,Despiste simples
Alcacer do Sal,11-12-2017 15:35,0,1,-,-,Despiste simples
Alcacer do Sal,15-04-2017 22:20,1,1,A2,"69,972","Despiste com dispositivo deretenção"
Alcacer do Sal,14-01-2017 12:15,0,1,Avenida José Saramago,-,"Colisão lateral com outro veículoem movimento"
Alcacer do Sal,07-01-2017 05:55,0,1,EN120,"6,500",Despiste simples
Alcacer do Sal,24-07-2017 18:25,0,1,EN120,"12,750",Colisão frontal
Alcacer do Sal,28-09-2017 10:10,0,1,EN2,"567,700",Despiste com capotamento
Alcacer do Sal,31-03-2017 15:34,1,0,EN253,"10,500",Despiste com capotamento
Alcacer do Sal,29-07-2017 22:02,1,0,EN253,"23,350","Colisão lateral com outro veículoem movimento"
Alcacer do Sal,20-08-2017 12:15,0,1,EN253,"35,535",Despiste simples
Alcacer do Sal,04-07-2017 02:35,0,1,EN253-1,"3,500",Despiste simples
Alcacer do Sal,13-08-2017 18:06,1,1,EN5,"41,000",Colisão frontal
Alcacer do Sal,20-01-2017 12:28,1,0,EN5,"42,300",Colisão frontal
Alcacer do Sal,26-08-2017 04:30,0,1,EN5,"47,000","Colisão traseira com outroveículo em movimento"
Alcacer do Sal,12-03-2017 19:45,0,1,EN5,"54,700",Colisão frontal
Alcacer do Sal,28-04-2017 14:30,1,0,EN5,"55,000",Colisão frontal
Alcacer do Sal,11-03-2017 15:00,0,1,EN5,"85,000",Despiste com capotamento
Alcochete,29-03-2017 08:45,0,1,-,-,"Colisão lateral com outro veículoem movimento"
Alcochete,07-12-2017 04:30,0,1,EN118,"7,500",Despiste simples
Alcochete,05-06-2017 23:15,0,1,EN118,"8,500",Despiste simples
Alcochete,29-08-2017 13:50,0,1,EN118,"8,700",Colisão frontal
Alcochete,26-09-2017 14:20,0,1,EN119,"4,000",Despiste simples
Almada,15-06-2017 20:25,0,1,-,"269,000",Despiste simples
Almada,15-02-2017 19:30,0,1,-,-,Colisão frontal
Almada,11-07-2017 17:30,1,0,-,-,"Colisão lateral com outro veículoem movimento"
Almada,20-02-2017 14:30,0,1,A2,"4,000",Colisão com outras situações
Almada,04-01-2017 18:20,0,1,Avenida 23 de Julho 0,-,Atropelamento de peões
Almada,28-02-2017 19:25,0,1,Avenida 23 de Julho 0,-,Atropelamento de peões
Almada,03-03-2017 21:40,0,1,Avenida 23 de Julho 0,-,Colisão com outras situações
Almada,14-09-2017 18:25,1,0,Avenida 23 de Julho 0,-,"Colisão lateral com outro veículoem movimento"
Almada,23-05-2017 08:55,1,0,Avenida Rainha Dona Leonor 0,-,Atropelamento de peões
Almada,10-01-2017 19:06,1,0,Avenida Vale Bem,-,Colisão com fuga
