Concelho,Datahora,M,FG,Via,Km,Natureza
Armamar,19-06-2017 07:30,0,1,-,-,Colisão com outras situações
Armamar,18-09-2017 09:50,0,1,EN313,"86,100",Despiste com capotamento
Carregal do Sal,28-06-2017 12:05,1,1,IC12,"14,000","Colisão traseira com outroveículo em movimento"
Carregal do Sal,04-11-2017 14:15,0,1,Rua padre domingos gomes,-,Despiste simples
Castro Daire,27-06-2017 18:36,0,1,-,"1,000",Atropelamento com fuga
Castro Daire,19-03-2017 04:30,0,1,EN2,"131,250",Despiste simples
Castro Daire,23-11-2017 21:10,0,2,EN321,"57,420",Despiste simples
Cinfaes,04-05-2017 16:15,0,1,-,-,Despiste simples
Cinfaes,31-01-2017 16:25,0,1,EN222,"60,350","Colisão lateral com outro veículoem movimento"
Cinfaes,20-05-2017 20:10,0,1,EN222,"85,800","Colisão lateral com outro veículoem movimento"
Lamego,14-06-2017 10:25,0,1,Avenida 5 de Outubro 000,-,Atropelamento de peões
Lamego,04-01-2017 20:20,0,1,avenida do convento,-,Despiste com capotamento
Lamego,01-06-2017 10:35,0,1,"Avenida Padre Alfredo PintoTeixeira 0",-,Atropelamento de peões
Lamego,21-06-2017 09:30,0,1,EN2,"108,470",Colisão frontal
Lamego,22-04-2017 14:25,0,1,EN222,"133,600",Despiste simples
Lamego,25-07-2017 10:45,0,1,EN222,"135,200",Atropelamento de peões
Lamego,26-03-2017 04:30,0,1,EN226,"17,400",Despiste simples
Lamego,17-02-2017 12:26,0,1,EN313,"81,900",Colisão frontal
Lamego,16-05-2017 11:40,0,1,Rua Cerdeiral 000,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Mangualde,28-02-2017 17:30,0,1,EN16,"115,690",Atropelamento de peões
Mangualde,22-08-2017 14:20,1,0,EN234,"101,100",Despiste simples
Mangualde,03-05-2017 13:40,0,1,EN234,"105,400","Colisão lateral com outro veículoem movimento"
Mangualde,11-12-2017 19:50,0,1,Rua da Filarmónica,-,"Colisão com veiculo ou obstáculona faixa de rodagem"
Mangualde,09-01-2017 13:20,0,1,Rua de S. Paulo,-,Colisão frontal
Mortagua,15-02-2017 15:00,1,0,-,-,Despiste com capotamento
Mortagua,18-10-2017 12:00,0,2,EN228,"80,500","Colisão lateral com outro veículoem movimento"
Mortagua,09-12-2017 13:35,0,1,EN234,"43,000",Colisão frontal
Penalva do Castelo,15-04-2017 14:50,0,1,-,-,Despiste com capotamento
Penalva do Castelo,17-07-2017 18:10,0,1,Rua Principal,-,Despiste simples
Penedono,26-02-2017 17:04,0,1,EN229,"18,300",Despiste simples
Resende,11-06-2017 14:45,0,2,-,-,Despiste com capotamento
Santa Comba Dao,11-08-2017 19:23,0,1,Rua Principal,-,Despiste simples
Sao Joao da Pesqueira,27-08-2017 09:00,0,1,-,-,Despiste com capotamento
Sao Joao da Pesqueira,27-10-2017 20:34,1,0,EN222,"76,000",Colisão com outras situações
Sao Joao da Pesqueira,02-07-2017 13:00,0,1,EN222,"160,600",Colisão frontal
Sao Joao da Pesqueira,01-07-2017 17:45,0,2,"Rua da Praça - Ervedosa doDouro",-,Despiste simples
Sao Pedro do Sul,13-12-2017 14:30,1,0,-,-,"Colisão com veiculo ou obstáculona faixa de rodagem"
