Concelho Datahora M* FG* Km Via,Natureza
Agueda 2004:03:01 08:10:00 1 0 Rua do Alverca,Despiste simples
"Agueda 2004:01:11 19:50:00 1 1 238,400 EN1",Colisão frontal
Agueda 2004:06:19 18:20:00 0 3 EM,Colisão frontal
Agueda 2004:06:25 17:21:00 0 1 EM,Col. lat. c/veic. em mov.
Agueda 2004:06:30 08:00:00 0 1 R. Cavadas,Col. traseira c/veic. em mov.
"Agueda 2004:06:28 17:20:00 1 0 225,800 IC2",Despiste simples
Agueda 2004:08:17 13:15:00 0 1 R. Carmeleiras de Cima,Col. lat. c/veic. em mov.
"Agueda 2004:02:18 18:30:00 1 0 242,400 EN1",Atropelamento de peões
"Agueda 2004:08:04 17:45:00 0 2 229,200 IC2",Colisão frontal
Agueda 2004:08:20 21:00:00 0 1 EM573,Col. lat. c/veic. em mov.
Agueda 2004:08:20 21:05:00 0 1 EM,Col. c/veic. ou obst.faixa rod.
Agueda 2004:04:09 16:55:00 0 1 R. Cabedo,Col. lat. c/veic. em mov.
Agueda 2004:08:02 17:30:00 0 1 R.da Igreja,Atropelamento de peões
Agueda 2004:02:26 09:45:00 0 1 R. Cabedo Lencastre,Atropelamento de peões
Agueda 2004:02:08 17:45:00 0 1 EM574,Colisão frontal
"Agueda 2004:08:22 11:00:00 0 1 239,400 EN1",Col. lat. c/veic. em mov.
"Agueda 2004:02:05 20:00:00 0 1 244,500 EN1",Col. lat. c/veic. em mov.
"Agueda 2004:10:23 14:15:00 0 2 224,000 EN1",Despiste simples
"Agueda 2004:12:11 17:10:00 0 1 16,500 EN230",Desp. c/capotamento
"Agueda 2004:03:10 19:00:00 0 1 234,000 EN1",Colisão choque em cadeia
"Agueda 2004:10:30 15:30:00 2 2 35,175 IP5",Colisão frontal
"Agueda 2004:03:20 20:20:00 0 1 32,200 EN333",Desp. c/capotamento
Agueda 2004:11:10 14:00:00 0 1 EM1001,Desp. c/dispositivo retenção
Agueda 2004:05:22 11:30:00 0 1 R.do Montouro,Atropelamento de peões
Agueda 2004:11:02 20:15:00 0 4 R. O Sardineta,Atropelamento de peões
"Agueda 2004:11:21 19:30:00 1 0 242,600 EN1",Atropelamento de peões
Agueda 2004:06:26 20:30:00 0 1 R. Celestino Neto,Col. lat. c/veic. em mov.
Agueda 2004:09:30 13:30:00 0 1 R. Vieira,Col. traseira c/veic. em mov.
Agueda 2004:09:19 12:10:00 0 1 R. Principal,Atropelamento de peões
"Agueda 2004:07:20 08:30:00 1 0 237,200 IC2",Desp.c/colisão c/veíc.imob./obst.
Agueda 2004:05:03 07:50:00 0 1 EM,Col. lat. c/veic. em mov.
"Agueda 2004:03:23 08:45:00 1 2 239,450 IC2",Col. lat. c/veic. em mov.
Agueda 2004:05:13 07:50:00 0 1 EM,Col. lat. c/veic. em mov.
Agueda 2004:03:12 19:10:00 1 0 Rua António Pereira Vidal,Atropelamento de peões
Albergaria-a
Velha 2004:11:09 19:30:00 0 3 EM1001,Colisão frontal
Albergaria-a
"Velha 2004:03:26 16:35:00 0 1 248,200 EN1",Atropelamento de peões
Albergaria-a
"Velha 2004:11:10 18:30:00 0 1 247,500 EN1",Atropelamento de peões
Albergaria-a
"Velha 2004:05:17 22:10:00 0 1 8,000 EN16",Despiste simples
Albergaria-a
"Velha 2004:05:30 18:45:00 1 0 246,540 A1",Despiste simples
Albergaria-a
"Velha 2004:06:13 19:05:00 1 1 2,000 EM577",Col. lat. c/veic. em mov.
Albergaria-a
"Velha 2004:03:24 21:55:00 1 0 246,380 A1",Col. traseira c/veic. em mov.
Albergaria-a
Velha 2004:06:24 17:10:00 0 1 R. Hospital,Colisão frontal
Albergaria-a
Velha 2004:07:30 22:00:00 1 0 R.Marquês Pombal,Colisão frontal
Albergaria-a
"Velha 2004:07:03 17:20:00 0 2 8,000 EN230-2",Col. lat. c/veic. em mov.
Anadia 2004:05:05 02:10:00 0 2 EM619-1,Desp.c/colisão c/veíc.imob./obst.
"Anadia 2004:07:11 06:30:00 1 0 22,500 EN334",Despiste simples
"Anadia 2004:09:21 11:40:00 0 1 223,300 IC2",Colisão frontal
Anadia 2004:09:19 17:15:00 0 1 R. Campo Futebol,Col. c/veic. ou obst.faixa rod.
"Anadia 2004:05:29 17:00:00 1 0 216,790 A1",Desp. c/capotamento
Anadia 2004:06:03 22:30:00 0 1 R. Principal,Col. lat. c/veic. em mov.
"Anadia 2004:01:15 18:10:00 0 1 27,100 EN334",Colisão frontal
