Concelho,Datahora,M,FG,Via,Km,Natureza
Agueda,06-06-2011 18:45,0,1,-,-,Despiste simples
Agueda,16-08-2011 07:30,0,1,-,-,Colisão com outras situações
Agueda,03-01-2011 15:00,1,0,A25,"39,460",Despiste simples
Agueda,19-07-2011 14:00,1,0,EM596,-,Despiste com transposição do dispositivo...
Agueda,24-09-2011 01:40,1,1,EN1,"227,963",Colisão com outras situações
Agueda,14-06-2011 16:15,0,1,EN1,"235,320",Atropelamento de peões
Agueda,11-04-2011 11:40,0,1,EN1,"237,800",Colisão lateral com outro veículo em mov...
Agueda,17-03-2011 06:55,2,1,EN1,"238,600",Despiste sem dispositivo de retenção
Agueda,16-06-2011 07:50,0,1,EN1,"241,200",Colisão lateral com outro veículo em mov...
Agueda,08-03-2011 04:00,1,2,EN333,"20,370",Colisão frontal
Agueda,09-09-2011 11:05,1,0,EN333,"31,800",Despiste com capotamento
Agueda,29-11-2011 18:10,0,1,LG DO CRUZEIRO,-,Colisão frontal
Agueda,17-09-2011 19:25,0,1,R COMENDADOR A...,-,Colisão frontal
Agueda,07-08-2011 22:15,0,1,R D XIMENES BELO,-,Despiste simples
Agueda,01-09-2011 20:30,0,1,R DA INDEPENDEN...,-,Despiste simples
Agueda,12-05-2011 14:00,0,1,R DO APEADEIRO,-,Despiste simples
Agueda,09-09-2011 11:35,0,1,R DO LUGAR,-,Colisão frontal
Agueda,22-07-2011 08:50,0,1,R DO LUGAR 108,-,Colisão frontal
Agueda,25-09-2011 17:10,0,1,R DOS BACELINHOS,-,Colisão lateral com outro veículo em mov...
Agueda,26-01-2011 12:40,0,1,R EMIGRANTE,-,Despiste simples
Agueda,13-10-2011 12:45,1,0,R FERRAZ DE MAC...,-,Despiste com colisão com veículo imobil. ...
Agueda,25-12-2011 15:30,0,1,R JOAO BATISTA,-,Colisão lateral com outro veículo em mov...
Agueda,24-02-2011 17:05,0,1,R JOAQUIM VALEN...,-,Colisão frontal
Agueda,11-09-2011 14:50,0,1,R PRINCIPAL,-,Colisão lateral com outro veículo em mov...
Agueda,18-07-2011 12:30,0,1,R PROF JOÃO VIDAL,-,Colisão com veiculo ou obstáculo na faix...
Albergaria-a-Velha,16-05-2011 11:17,0,1,-,-,Colisão com veiculo ou obstáculo na faix...
Albergaria-a-Velha,09-12-2011 15:15,0,3,A1,"245,500",Despiste com capotamento
