Concelho,Datahora,M,FG,Via,km,Natureza
Ílhavo,2012:01:31 10:10:00,0,1,AV 25 DE ABRIL,,Atropelamento de peões
Ílhavo,2012:02:06 11:40:00,0,1,AL PAIOL SARDO,,Colisão lat. c/outro veíc. mov.
Ílhavo,2012:03:11 15:30:00,0,1,Estrada Municipal,,Despiste simples
Ílhavo,2012:07:16 15:30:00,1,0,Rua Principal de Carvalheira,,Despiste simples
Ílhavo,2012:08:31 12:35:00,0,1,Rua Tomé Barros Queirós,,Atropelamento de peões
Ílhavo,2012:09:02 13:40:00,0,1,Rua do Cabecinho,,Despiste s/ dispositivo retenção
Ílhavo,2012:09:06 15:30:00,1,0,Rua Manuel Trindade Salgueiro,,Colisão lat. c/outro veíc. mov.
Ílhavo,2012:10:30 16:55:00,1,0,Rua Tomé Barros de Lemos,,Colisão frontal
Mealhada,2012:03:03 06:50:00,0,1,A1,"212,150",Despiste com capotamento
Mealhada,2012:05:19 13:10:00,1,0,IC2,"208,550",Colisão tras. c/ outro veíc. mov.
Mealhada,2012:08:14 15:20:00,1,0,EM1344,,Despiste simples
Mealhada,2012:10:25 16:10:00,0,1,Rua São Pedro,,Colisão com outras situações
Murtosa,2012:03:18 15:30:00,1,0,AV HINTZE RIBEIRO,,Colisão lat. c/outro veíc. mov.
Murtosa,2012:10:07 17:20:00,0,1,R.D. F.Fern. Rendeiro c/R. Salida,,Despiste simples
Oliv. Azeméis,2012:01:04 16:45:00,0,1,R DOS INGLESES,,Colisão frontal
Oliv. Azeméis,2012:02:06 08:54:00,1,0,IC2,"262,500",Colisão frontal
Oliv. Azeméis,2012:03:02 07:50:00,1,0,R DAS LAGOMAS,,Atropelamento de peões
Oliv. Azeméis,2012:04:20 21:15:00,1,0,R NOVA DE VILARINHO,,Atropelamento de peões
Oliv. Azeméis,2012:06:20 10:00:00,1,0,IC2,"266,200",Colisão frontal
Oliv. Azeméis,2012:06:27 14:25:00,1,1,EN224,"59,600",Despiste simples
Oliv. Azeméis,2012:07:30 21:00:00,1,0,Rua da Fontinha,,Atropelamento de peões
Oliv. Azeméis,2012:08:20 19:00:00,0,1,Rua Sol Nascente,,Colisão frontal
Oliv. Azeméis,2012:09:01 10:20:00,0,1,IC2,"261,615",Colisão com outras situações
Oliv. Azeméis,2012:09:14 20:00:00,0,1,EN1,"257,866",Colisão tras. c/ outro veíc. mov.
Oliv. Azeméis,2012:09:19 16:10:00,0,1,Rua dos Bomberios Voluntários,,Atropelamento de peões
Oliv. Azeméis,2012:12:28 10:25:00,0,3,EN224,"69,000",Colisão com outras situações
Oliv. do Bairro,2012:08:06 12:20:00,0,1,A1,"226,125",Despiste c/ dispositivo retenção
Oliv. do Bairro,2012:08:30 10:00:00,0,1,EN235,"11,700",Colisão frontal
Oliv. do Bairro,2012:12:15 21:20:00,1,0,EN235,"14,850",Atropelamento de peões
Ovar,2012:01:12 14:30:00,1,0,AV DA PRAIA,,Atropelamento de peões
Ovar,2012:01:21 12:45:00,0,1,Rua Jorge Barradas,,Colisão lat. c/outro veíc. mov.
Ovar,2012:02:01 10:50:00,1,0,A29,"35,300",Despiste com capotamento
Ovar,2012:02:06 11:00:00,0,1,A1,"267,000",Despiste com capotamento
Ovar,2012:02:27 14:45:00,1,1,A29,"21,389",Colisão tras. c/ outro veíc. mov.
Ovar,2012:03:11 17:20:00,1,0,EN109,"36,730",Colisão lat. c/outro veíc. mov.
Ovar,2012:03:19 23:40:00,1,0,R 13 DE MAIO,,Colisão tras. c/ outro veíc. mov.
Ovar,2012:04:01 19:30:00,0,1,R 13 DE MAIO,,Colisão tras. c/ outro veíc. mov.
Ovar,2012:04:10 09:55:00,0,1,AV 29 DE MARÇO,,Colisão frontal
Ovar,2012:05:27 02:25:00,0,1,Avenida Dom Manuel I,,De  s p  i s  t es  /  d  i s  p o s  i t i v  or etenção
Ovar,2012:05:29 18:00:00,0,1,R Arq. Januário Godinho,,Colisão c/veic./obst. f.rodagem
Ovar,2012:06:20 14:00:00,0,1,Rua Melos e Cunha,,C  o  l i s  ã  oc  o mo  u tr  a  ss i t u ações
Ovar,2012:06:22 17:30:00,0,1,Rua Salgueiral de Cima,,De  s  p  i s t es  /  d  i s  p  o  s  it i v  or etenção
Ovar,2012:07:22 17:40:00,0,1,Av.Dr. Fern. Raimundo Rodrigues,,Colisão lat. c/outro veíc. mov.
Ovar,2012:07:23 11:15:00,0,1,Rua da Escola Primária,,Colisão lat. c/outro veíc. mov.
Ovar,2012:08:09 20:30:00,0,1,R. Dr José Eduardo Sousa Lamy,,C  o  l i s  ã  of r o  n  t a  l
Ovar,2012:11:10 09:45:00,0,1,Rua da Floresta,,Despiste simples
Ovar,2012:11:10 19:39:00,0,1,Rua Padre Sá,,Colisão frontal
Ovar,2012:11:26 18:20:00,0,1,Rua Pardala,,Co  l i s  ã  o  f  r o  n  t a  l
Ovar,2012:11:27 11:00:00,0,1,EN109,"26,300",Atropelamento de peões
Ovar,2012:12:19 16:45:00,0,1,Rua da Navega,,Colisão lat. c/outro veíc. mov.
S. M. da Feira,2012:01:04 18:30:00,0,1,A32,"23,380",Colisão tras. c/ outro veíc. mov.
S. M. da Feira,2012:01:07 19:10:00,0,1,R ANTONIO ALVES LEITE,,Colisão lat. c/outro veíc. mov.
S. M. da Feira,2012:01:23 06:37:00,1,0,EN1-14,"6,290",Despiste simples
S. M. da Feira,2012:01:25 22:10:00,0,1,EN223,,Colisão com fuga
S. M. da Feira,2012:02:23 18:45:00,0,1,EN1,"282,906",Atropelamento de peões
S. M. da Feira,2012:03:16 22:00:00,1,0,A1,"277,400",Colisão tras. c/ outro veíc. mov.
S. M. da Feira,2012:04:03 09:35:00,0,1,R SAO JOSE,,Colisão tras. c/ outro veíc. mov.
S. M. da Feira,2012:04:19 20:45:00,1,0,R CENTRAL REDONDO,,Atropelamento de peões
S. M. da Feira,2012:04:20 15:00:00,0,1,R DA RIBEIRINHA,,Colisão lat. c/outro veíc. mov.
S. M. da Feira,2012:04:24 13:30:00,0,1,R BENFAZES,,Colisão lat. c/outro veíc. mov.
S. M. da Feira,2012:05:05 09:40:00,0,1,R DO VALADO,,Despiste simples
S. M. da Feira,2012:05:21 15:45:00,0,1,EN1,"276,680",Atropelamento de peões
S. M. da Feira,2012:05:29 07:40:00,0,1,R DA CARGA,,Colisão lat. c/outro veíc. mov.
S. M. da Feira,2012:07:07 16:25:00,0,1,Rua Travanca de Cima,,Atropelamento de peões
S. M. da Feira,2012:07:09 16:55:00,0,1,Ava Dr. Franc. Sá Carneiro,,Colisão lat. c/outro veíc. mov.
S. M. da Feira,2012:07:11 16:15:00,1,1,Rua Cerejeira,,Colisão lat. c/outro veíc. mov.
S. M. da Feira,2012:07:15 20:15:00,0,1,Rua Ribeira da Venda,,Despiste simples
S. M. da Feira,2012:07:19 13:10:00,1,0,R. N. Senhora da Piedade,,Colisão frontal
S. M. da Feira,2012:08:24 21:30:00,1,1,A1,"275,250",Colisão tras. c/ outro veíc. mov.
S. M. da Feira,2012:09:10 20:26:00,1,0,Rua do Cedro,,Colisão lat. c/outro veíc. mov.
S. M. da Feira,2012:09:19 08:15:00,0,1,Rua do Cai Água,,Colisão c/veic./obstáculo f.rodagem
S. M. da Feira,2012:09:22 14:00:00,0,2,Rua Principal,,Despiste c/ col. c/ veíc. imobil./obst.
S. M. da Feira,2012:10:14 20:00:00,0,1,Ava da Igreja,,Despiste com capotamento
S. M. da Feira,2012:11:09 08:40:00,1,1,Av. Dr Franc. Sá Carneiro,,Colisão frontal
S. M. da Feira,2012:11:24 19:30:00,0,1,Rua da Atalaia,,Colisão frontal
S. M. da Feira,2012:11:26 10:00:00,0,1,EN1,"280,500",Colisão lat. c/outro veíc. mov.
S. M. da Feira,2012:12:15 18:00:00,0,1,Rua 5 de Outubro,,Atropelamento de peões
S. M. da Feira,2012:12:26 14:45:00,0,1,Ava de Lourosa,,Atropelamento de peões
S. M. da Feira,2012:12:30 07:00:00,0,1,Rua do Comércio,,Despiste simples
