Concelho,Datahora,M,FG,Via,Km,Natureza
Agueda,21-01-2016 18:40,0,1,-,-,Atropelamento de peões
Agueda,30-08-2016 17:20,1,0,AVENIDA DO EMIGRANTE,-,Despiste simples
Agueda,05-12-2016 13:50,0,1,EN1,"224,522",Atropelamento de peões
Agueda,24-07-2016 18:15,0,1,EN1,"237,880",Colisão traseira com outro veículo em movimento
Agueda,27-08-2016 23:00,0,1,EN1,"242,000",Atropelamento com fuga
Agueda,06-04-2016 06:00,0,1,EN1,"244,100",Colisão traseira com outro veículo em movimento
Agueda,19-04-2016 21:30,0,1,EN333,"23,400",Colisão lateral com outro veículo em movimento
Agueda,06-09-2016 21:20,0,1,IC2,"230,600",Atropelamento de peões
Agueda,30-12-2016 20:55,1,0,Rua das Caves,-,Despiste simples
Agueda,11-09-2016 15:00,0,1,Rua do Calvário,-,Colisão frontal
Agueda,25-04-2016 23:00,0,1,Rua do Curtinhal,-,Despiste simples
Agueda,16-10-2016 16:30,0,1,RUA DOS CARRASQUAIS,-,Colisão frontal
Agueda,15-11-2016 17:50,0,1,Rua Joaquim Valente de Almeida,-,Atropelamento de peões
Agueda,15-06-2016 13:05,1,0,RUA VALE DOMINGOS,-,Despiste simples
Albergaria-a-Velha,02-07-2016 19:00,0,1,-,-,Despiste com capotamento
Albergaria-a-Velha,15-04-2016 11:00,0,1,A1,"246,000",Despiste com capotamento
Albergaria-a-Velha,20-09-2016 13:50,1,0,Arruamento C Zona Industrial,-,Colisão lateral com outro veículo em movimento
Albergaria-a-Velha,19-12-2016 07:10,0,1,EN1,"246,300",Atropelamento de peões
Albergaria-a-Velha,23-08-2016 21:00,0,1,EN1,"247,200",Despiste com capotamento
Albergaria-a-Velha,24-06-2016 10:20,0,1,EN1,"251,900",Colisão traseira com outro veículo em movimento
Albergaria-a-Velha,07-05-2016 14:30,0,4,EN1,"253,700",Colisão frontal
Albergaria-a-Velha,10-02-2016 06:48,1,0,EN16,"8,000",Colisão frontal
Albergaria-a-Velha,28-10-2016 18:30,4,0,EN16,"13,560",Colisão lateral com outro veículo em movimento
Anadia,17-01-2016 11:55,0,1,EN1,"219,850",Colisão com fuga
Anadia,01-10-2016 07:20,1,0,RUA DAS ROSEIRAS-HORTA,-,Colisão frontal
Anadia,21-03-2016 15:45,1,0,Rua do Pinheiro Manso,-,Despiste simples
Anadia,28-02-2016 16:40,0,1,Rua Dr. Manuel Trindade,-,Colisão lateral com outro veículo em movimento
Anadia,04-10-2016 11:26,0,1,Rua Principal,-,Colisão frontal
Arouca,21-05-2016 16:05,0,1,-,-,Despiste simples
Arouca,22-11-2016 08:10,0,1,-,-,Colisão com veiculo ou obstáculo na faixa de rodagem
Arouca,02-04-2016 18:35,0,1,EN224,"40,400",Colisão frontal
Arouca,18-11-2016 20:00,0,1,EN326,"23,400",Despiste simples
Arouca,23-06-2016 22:15,0,1,SEM NOME,-,Despiste simples
Aveiro,22-08-2016 12:50,0,1,A1,"236,600",Despiste simples
Aveiro,22-07-2016 13:42,0,1,A17,"115,100",Despiste com transposição do dispositivo de retenção lateral
Aveiro,16-05-2016 12:30,0,1,Alameda Silva Rocha 0,-,Colisão com outras situações
Aveiro,20-07-2016 01:30,0,1,Arramento da Ribeira de Mataduços 0,-,Despiste com capotamento
Aveiro,08-06-2016 20:10,0,1,Ava Dr. Vale Guimarães 0,-,Colisão lateral com outro veículo em movimento
Aveiro,10-09-2016 15:40,0,1,EN16,"2,500",Colisão lateral com outro veículo em movimento
Aveiro,04-09-2016 14:26,2,0,EN327,"53,500",Despiste com colisão com veículo imobil. ou obstáculo
Aveiro,10-04-2016 16:58,1,0,EN327,"55,040",Colisão com veiculo ou obstáculo na faixa de rodagem
Aveiro,16-07-2016 00:01,0,1,Rua Carlos Aleluia 0,-,Atropelamento de peões
Aveiro,31-01-2016 07:40,0,1,Rua Cega 283,-,Despiste com colisão com veículo imobil. ou obstáculo
Aveiro,26-08-2016 22:40,1,0,Rua Cónego Maio 111,-,Atropelamento de peões
Aveiro,15-01-2016 08:45,1,1,rua direita,-,Atropelamento de peões
Aveiro,20-10-2016 00:30,0,1,Rua Dom João Evangelista de Lima Vidal 0,-,Despiste com capotamento
Aveiro,17-11-2016 00:50,0,2,Rua Doutor Lourenço Peixinho 61,-,Despiste com colisão com veículo imobil. ou obstáculo
Aveiro,01-03-2016 12:30,0,1,Rua Elisio Filinto Feio 0,-,Colisão lateral com outro veículo em movimento
Castelo de Paiva,14-05-2016 09:30,0,1,EN222,"38,950",Colisão traseira com outro veículo em movimento
Castelo de Paiva,14-03-2016 19:50,1,0,Rua Gração de Além,-,Colisão frontal
Castelo de Paiva,12-09-2016 17:10,0,1,Rua Strecht Vasconcelos,-,Colisão frontal
Espinho,03-11-2016 16:10,2,0,A29,"35,700",Colisão frontal
Espinho,13-12-2016 09:30,1,0,Rua do Calvario 201,-,Despiste com colisão com veículo imobil. ou obstáculo
Espinho,25-06-2016 19:30,0,1,Rua Guimbra 774,-,Colisão lateral com outro veículo em movimento
Espinho,02-02-2016 10:15,1,0,Rua Monte Lírio 159,-,Atropelamento de peões
Estarreja,06-10-2016 08:00,1,0,EN109,"54,494",Despiste com colisão com veículo imobil. ou obstáculo
Estarreja,07-10-2016 12:45,0,1,Rua Comendador Adelino Dias Costa,-,Colisão lateral com outro veículo em movimento
Estarreja,26-02-2016 21:30,0,1,RUA CONSELHEIRO JOSÉ LUCIANO DE CRASTO,-,Atropelamento de peões
Estarreja,26-06-2016 17:45,0,1,Rua Visconde de Salreu,-,Colisão lateral com outro veículo em movimento
Ilhavo,05-02-2016 18:20,0,1,A25,"3,197",Atropelamento de peões
Ilhavo,28-01-2016 21:00,0,1,Avenida José Estevão,-,Colisão frontal
Ilhavo,09-12-2016 17:38,1,0,Rua Afonso de Albuquerque,-,Colisão lateral com outro veículo em movimento
Ilhavo,29-01-2016 02:45,1,1,Rua da Légua - Ílhavo,-,Despiste simples
Ilhavo,13-02-2016 20:40,1,0,Rua de Ílhavo,-,Atropelamento com fuga
Ilhavo,04-09-2016 11:45,0,1,Rua do Esteiro Oudinot,-,Despiste simples
Ilhavo,19-08-2016 20:25,0,1,Rua dos Extremos,-,Atropelamento de peões
Ilhavo,20-09-2016 09:30,0,1,RUA S. FRANCISCO XAVIER,-,Colisão lateral com outro veículo em movimento
Ilhavo,26-10-2016 11:40,0,1,Rua são Francisco Xavier,-,Colisão lateral com outro veículo em movimento
Mealhada,23-07-2016 18:10,0,1,-,-,Colisão frontal
Mealhada,16-05-2016 01:00,1,0,EM617,-,Despiste simples
Mealhada,28-05-2016 04:00,0,1,EN1,"199,780",Colisão frontal
Mealhada,29-10-2016 13:55,1,0,EN234,"26,300",Colisão frontal
Mealhada,29-07-2016 23:15,1,0,IC2,"200,400",Atropelamento de peões
Murtosa,06-03-2016 11:00,1,0,AVENIDA SAO MATEUS,-,Colisão frontal
