Concelho,Datahora,M,FG,Via,km,Natureza
Odemira,2012:04:06 07:15:00,0,1,Outra via,,Despiste c/ capotamento
Odemira,2012:04:16 08:17:00,0,1,EM1072,"7,206",Atropelamento de peões
Odemira,2012:05:12 03:45:00,1,0,EM502-1,"25,500",Despiste c/ capotamento
Odemira,2012:07:07 19:30:00,1,3,EM541,,Despiste c/ capotamento
Odemira,2012:07:21 09:15:00,1,0,EM1229,"4,300",Colisão lat. c/ outro veíc. mov.
Odemira,2012:08:12 05:45:00,0,1,EN266,"0,060",Desp.c/ col. c/veíc. Imob./obst.
Odemira,2012:08:14 10:05:00,1,0,EM503,,Colisão lat. c/ outro veíc. mov.
Odemira,2012:08:19 09:55:00,1,1,EN393,"21,149",Atropelamento de peões
Odemira,2012:09:25 00:45:00,0,1,EN390,"39,410",Colisão c/veic./obst. f.rodagem
Odemira,2012:12:21 14:00:00,1,0,EM502,"8,300",Colisão lat. c/ outro veíc. mov.
Ourique,2012:01:03 11:25:00,0,1,IC1,"644,300",Colisão lat. c/ outro veíc. mov.
Ourique,2012:01:22 13:10:00,0,1,IC1,"646,592",Colisão lat. c/ outro veíc. mov.
Ourique,2012:05:20 16:00:00,0,1,EM503,,Despiste c/ capotamento
Ourique,2012:06:03 11:00:00,0,1,IC1,"680,720",Despiste simples
Ourique,2012:08:19 12:45:00,0,1,EN123,"54,200",Despiste simples
Ourique,2012:10:08 09:30:00,0,1,EN389,"30,800",Colisão tras. c/ outro veíc. mov.
Serpa,2012:10:31 15:30:00,0,2,EN260,"43,800",Colisão tras. c/ outro veíc. mov.
Serpa,2012:11:12 08:00:00,0,1,Rua Bento Costa,,Atropelamento de peões
Vidigueira,2012:01:07 07:05:00,0,1,EM1010,,Despiste c/ disp. de retenção
Vidigueira,2012:04:21 19:00:00,0,1,EM521,,Colisão lat. c/ outro veíc. mov.
Vidigueira,2012:09:01 20:20:00,1,1,IP2,"317,900",Colisão frontal
,,30,59,,,
Aljustrel,2012:02:06 05:00:00,0,2,A2,"147,245",Despiste c/ capotamento
Aljustrel,2012:02:13 13:48:00,0,1,EN2,"617,100",Colisão frontal
Aljustrel,2012:07:19 20:20:00,0,1,EN2,"607,875",Colisão frontal
Aljustrel,2012:07:21 02:50:00,0,1,EN2,"604,150",Colisão c/veic./obstáculo f.rodagem
Aljustrel,2012:11:18 08:00:00,2,0,Outra via,,Despiste simples
Aljustrel,2012:11:18 19:30:00,1,0,EN261,"98,089",Colisão frontal
Almodôvar,2012:04:19 16:25:00,0,1,EM543,,Colisão lat. c/ outro veíc. mov.
Almodôvar,2012:07:01 10:15:00,1,0,EM1198,,Despiste simples
Almodôvar,2012:07:30 10:20:00,0,1,A2,"193,450",Despiste simples
Almodôvar,2012:08:15 10:16:00,0,1,EM541,,Despiste c/ capotamento
Alvito,2012:05:19 17:10:00,0,1,Av. 1o De Maio,,Despiste c/ col. c/veíc. imobil./obst.
Barrancos,2012:04:29 21:50:00,0,1,EN386,"47,800",Despiste simples
Barrancos,2012:05:05 08:40:00,0,1,EN258,"93,500",Despiste c/ col. c/veíc. imobil./obst.
Beja,2012:02:18 10:40:00,1,0,EN18,"342,101",Colisão frontal
Beja,2012:05:03 22:25:00,0,1,Rua Infante Dom Henrique,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Beja,2012:05:08 14:25:00,0,2,Avenida Fialho de Almeida,,Colisão lat. c/ outro veíc. mov.
Beja,2012:06:06 08:00:00,0,1,EN260,"0,200",Despiste simples
Beja,2012:07:27 22:20:00,0,1,EN18,"335,200",Despiste c/ capotamento
Beja,2012:08:27 20:00:00,0,1,IP2,"350,650",Colisão frontal
Beja,2012:09:15 23:13:00,1,0,EN260,"2,020",Atropelamento de peões
Beja,2012:09:19 18:00:00,0,1,Outra via,,Despiste simples
Beja,2012:09:21 18:55:00,0,1,Estrada Municipal,,Colisão lat. c/ outro veíc. mov.
Beja,2012:10:07 01:30:00,0,1,Outra via,,Despiste simples
Beja,2012:10:28 12:10:00,0,1,R.Ten. Cor. Salgueiro Maia,,A  t r  o  p  e  la  me  n  t od  ep  e  õ  e  s
Beja,2012:10:28 18:50:00,1,0,EN260,"5,700",Colisão c/veic./obstáculo f.rodagem
Beja,2012:12:04 07:40:00,0,1,EN18,"374,463",Colisão lat. c/ outro veíc. mov.
Castro Verde,2012:01:28 04:00:00,0,1,EN2,"643,900",Despiste c/ col. c/veíc. imobil./obst.
Castro Verde,2012:04:21 16:30:00,0,1,LG 1o De Maio,,Colisão frontal
