Concelho,Datahora,M,FG,Via,Km,Natureza
Aljustrel,06-08-2016 05:30,0,2,EN2,"629,000",Despiste com capotamento
Aljustrel,09-09-2016 19:15,0,1,EN261,"95,650",Colisão lateral com outro veículo em movimento
Aljustrel,22-07-2016 23:00,1,0,EN263,"45,000",Despiste com capotamento
Aljustrel,19-02-2016 08:10,0,1,Rua de Lisboa,-,Colisão lateral com outro veículo em movimento
Almodovar,11-07-2016 00:20,0,3,A2,"195,000",Colisão traseira com outro veículo em movimento
Almodovar,03-07-2016 16:34,1,1,A2,"197,300",Despiste com capotamento
Almodovar,21-05-2016 15:06,0,1,EM1139,-,Despiste simples
Alvito,06-08-2016 19:37,1,0,EN257,"23,161",Despiste com colisão com veículo imobil. ou obstáculo
Alvito,17-12-2016 20:44,0,1,EN257,"30,597",Despiste com capotamento
Alvito,27-08-2016 17:00,1,0,EN383,"4,900",Despiste simples
Barrancos,21-12-2016 08:30,0,1,RUA 1o DEZEMBRO,-,Atropelamento de peões
Beja,07-06-2016 16:30,0,1,-,-,Despiste com capotamento
Beja,22-05-2016 09:30,0,1,Caminho vicinal,-,Colisão frontal
Beja,26-07-2016 16:30,0,1,Carreira dos Seguros 000,-,Despiste com capotamento
Beja,20-08-2016 11:30,0,2,EM1045,"0,000",Despiste com capotamento
Beja,28-05-2016 01:30,0,1,EM511,-,Despiste com capotamento
Beja,09-08-2016 16:30,0,1,EN121,"71,200",Colisão traseira com outro veículo em movimento
Beja,07-02-2016 14:00,0,1,EN18,"339,500",Despiste com colisão com veículo imobil. ou obstáculo
Beja,22-09-2016 11:45,0,1,EN258-1,"15,322",Colisão lateral com outro veículo em movimento
Beja,29-01-2016 20:40,0,1,EN260,"2,300",Atropelamento de peões
Beja,04-06-2016 20:00,0,1,EN260,"2,400",Atropelamento de peões
Beja,21-10-2016 08:15,0,1,EN260,"10,400",Despiste com capotamento
Beja,01-07-2016 16:10,0,1,EN260,"14,900",Colisão frontal
Beja,18-01-2016 09:35,1,0,EN260,"16,600",Colisão lateral com outro veículo em movimento
Beja,20-12-2016 16:50,0,1,Estrada Nova Baleizão para Neves,-,Despiste simples
Beja,25-11-2016 22:25,0,1,IP2,"339,600",Despiste com colisão com veículo imobil. ou obstáculo
Beja,24-04-2016 06:40,0,1,IP2,"364,750",Despiste com colisão com veículo imobil. ou obstáculo
Beja,21-06-2016 05:50,1,0,IP2,"365,850",Colisão frontal
Beja,16-10-2016 16:30,0,1,Largo Conceição 4,-,Atropelamento de peões
Beja,27-08-2016 08:12,0,1,Rua Francisco Miguel Duarte 0,-,Despiste com colisão com veículo imobil. ou obstáculo
Beja,24-06-2016 16:20,0,1,Rua Luís de Camões 56,-,Colisão com outras situações
Beja,15-09-2016 18:50,0,1,Rua Zeca Afonso 0,-,Atropelamento de peões
Beja,22-10-2016 21:40,0,2,Rua Zeca Afonso 8,-,Atropelamento de peões
Castro Verde,24-06-2016 12:20,0,1,-,"0,280",Despiste simples
Castro Verde,11-08-2016 17:00,2,0,A2,"177,400",Despiste com capotamento
Castro Verde,14-11-2016 22:30,1,0,EN2,"644,000",Despiste simples
Castro Verde,29-12-2016 07:30,0,1,IP2,"385,650",Despiste com transposição do dispositivo de retenção lateral
Castro Verde,29-08-2016 20:30,0,1,Rua de Castro Verde,-,Colisão lateral com outro veículo em movimento
Cuba,20-11-2016 20:00,1,1,ESTRADA DA CIRCUNVALAÇÃO,-,Despiste com colisão com veículo imobil. ou obstáculo
Ferreira do Alentejo,23-12-2016 19:15,0,1,-,"1,300",Despiste simples
Ferreira do Alentejo,22-06-2016 10:16,0,1,-,-,Despiste simples
Ferreira do Alentejo,09-10-2016 15:25,1,1,A2,"132,612",Despiste simples
Ferreira do Alentejo,04-05-2016 06:25,0,1,EM524,-,Despiste simples
Ferreira do Alentejo,21-08-2016 06:59,0,1,EN121,"32,000",Despiste com capotamento
Ferreira do Alentejo,03-03-2016 10:00,0,1,EN121,"33,500",Despiste com capotamento
Ferreira do Alentejo,17-11-2016 22:50,1,0,EN121,"51,450",Colisão com fuga
Ferreira do Alentejo,08-12-2016 06:49,0,1,EN2,"585,250",Colisão traseira com outro veículo em movimento
Ferreira do Alentejo,02-10-2016 18:10,0,1,EN2,"591,500",Despiste simples
Ferreira do Alentejo,03-04-2016 02:39,1,2,EN259,"21,100",Despiste com colisão com veículo imobil. ou obstáculo
Mertola,03-07-2016 17:50,1,0,-,"43,100",Despiste com capotamento
Mertola,12-11-2016 11:29,1,1,-,"119,200",Despiste com capotamento
Mertola,12-02-2016 21:40,0,1,EN122,"41,200",Despiste simples
Mertola,16-09-2016 17:50,0,1,EN122,"42,000",Despiste simples
Mertola,28-01-2016 10:00,0,1,EN122,"47,400",Despiste com colisão com veículo imobil. ou obstáculo
Mertola,27-02-2016 17:45,0,2,EN122,"50,000",Despiste simples
Mertola,03-08-2016 11:25,0,1,EN122,"69,800",Despiste com capotamento
Moura,08-01-2016 11:15,0,1,-,"96,750",Colisão frontal
Moura,22-06-2016 19:45,0,2,EN255,"100,400",Despiste com capotamento
Moura,02-12-2016 09:51,1,0,EN258,"82,268",Despiste com colisão com veículo imobil. ou obstáculo
Moura,31-10-2016 09:10,0,2,EN386,"90,700",Colisão frontal
Moura,13-08-2016 14:50,0,1,EN386,-,Colisão com outras situações
Odemira,12-03-2016 18:00,0,1,-,-,Atropelamento de peões
Odemira,10-03-2016 17:50,1,0,EN120,"95,700",Despiste simples
Odemira,27-10-2016 01:15,2,2,EN120,"113,200",Despiste com colisão com veículo imobil. ou obstáculo
