Concelho,Datahora,M,FG,Via,km,Natureza
Amares,2010-03-04 18:30,0,1,EN205-3,"3,150",Atropelamento de peões
Amares,2010-06-02 14:00,0,1,EN308,"64,300",Despiste simples
Amares,2010-06-28 12:30,0,1,R DE CINTURA,,Colisão lat. c/outro veíc. mov.
Amares,2010-07-02 17:25,0,1,EN205,"44,000",Colisão lat. c/outro veíc. mov.
Amares,2010-07-14 09:25,0,1,EN205,"49,400",Colisão frontal
Amares,2010-08-07 00:30,0,1,EN308,"57,900",Desp. c/col. c/veíc. imobil./obst.
Amares,2010-08-14 07:15,0,1,AV DO MONTE,,Despiste simples
Amares,2010-08-23 15:40,0,1,EN308,"60,900",Colisão c/outras situações
Amares,2010-10-28 18:30,0,1,R S PEDRO FINS,,Colisão frontal
Amares,2010-11-11 16:15,1,0,R DE PASSOS,,Desp. c/col. c/veíc. imobil./obst.
Amares,2010-11-21 02:30,0,1,R DA CINTURA,,Colisão lat. c/outro veíc. mov.
Barcelos,2010-01-19 08:44,0,1,EN205,"22,800",Colisão frontal
Barcelos,2010-01-24 01:36,1,0,EN103,"8,800",Despiste c/dispositivo de retenção
Barcelos,2010-02-07 15:30,0,1,EN205,"13,900",Colisão frontal
Barcelos,2010-02-16 05:45,0,1,EN103,"9,000",Despiste simples
Barcelos,2010-02-21 20:25,0,1,Largo Campo 25 de Abril,,Colisão frontal
Barcelos,2010-03-05 20:15,0,1,EM306,"55,000",Atropelamento de peões
Barcelos,2010-03-09 15:50,0,1,Lg. Campo da República,,Desp. c/col. c/veíc. imobil./obst.
Barcelos,2010-03-10 19:00,1,0,EN204,"13,250",Colisão lat. c/outro veíc. mov.
Barcelos,2010-03-14 16:00,1,0,EN103,"7,960",Colisão frontal
Barcelos,2010-03-22 18:15,0,1,Campo da Republica,,Atropelamento de peões
Barcelos,2010-04-15 19:00,0,2,EN205,"15,200",Colisão frontal
Barcelos,2010-05-06 16:10,0,1,R DOS SOLEIROS,,Colisão frontal
Barcelos,2010-05-23 07:20,0,3,EN103,"19,500",Colisão c/outras situações
Barcelos,2010-06-11 20:40,0,1,Av. D. Nuno A. Pereira,,Atropelamento de peões
,,,,Pq.Estac.Lugar Penide-,,
Barcelos,2010-06-22 20:00,0,1,Areias,,Atropelamento de peões
Barcelos,2010-06-27 06:10,0,1,EN103,"32,700",Despiste c/capotamento
Barcelos,2010-06-28 02:45,0,1,EN205,"10,600",Despiste simples
Barcelos,2010-06-30 18:45,0,1,Rua Calçadas,,Colisão lat. c/outro veíc. mov.
Barcelos,2010-07-08 18:25,0,1,EN103-1,"4,550",Colisão frontal
Barcelos,2010-08-17 13:30,0,1,EN205,"29,000",Colisão lat. c/outro veíc. mov.
Barcelos,2010-08-20 16:10,1,0,A11,"13,300",Colisão frontal
Barcelos,2010-09-10 04:30,1,0,A11,"19,995",Despiste c/capotamento
Barcelos,2010-09-12 06:05,0,1,R. Oliveira Guimarães,,Colisão c/outras situações
Barcelos,2010-09-16 20:00,0,1,R S DOMINGOS,,Despiste simples
Barcelos,2010-09-22 18:05,1,0,Entronc. da R. Alvito,,Colisão frontal
Barcelos,2010-09-25 10:30,0,1,AV CENTRAL,,Atropelamento de peões
Barcelos,2010-10-10 19:12,0,1,R DO RIO ESTE,,Colisão lat. c/outro veíc. mov.
Barcelos,2010-10-12 12:30,0,1,R DO PASSAL,,Desp. c/col. c/veíc. imobil./obst.
Barcelos,2010-10-19 22:15,0,1,EN205,"16,700",Desp. c/col. c/veíc. imobil./obst.
Barcelos,2010-10-23 22:25,0,1,Av. Divino S. Salvador,,Colisão frontal
Barcelos,2010-10-25 16:40,0,1,R DO RODEIROS,,Atropelamento de peões
Barcelos,2010-10-28 18:25,0,1,R DA ISABELINHA,,Despiste simples
Barcelos,2010-11-04 19:25,0,1,R DA GANDRA,,Colisão lat. c/outro veíc. mov.
Barcelos,2010-11-11 18:45,0,1,R. João de Carapeços,,Colisão lat. c/outro veíc. mov.
Barcelos,2010-12-01 15:00,0,1,EN205-4,"19,400",Colisão frontal
,,,,Av. Pontes Tamel S:,,
Barcelos,2010-12-22 20:20,0,1,Veríssimo,,Atropelamento de peões
Barcelos,2010-12-23 10:20,1,0,R PRAIA BARQUEIROS,,Despiste simples
Braga,2010-01-08 08:00,0,1,EN103,"46,834",Colisão frontal
Braga,2010-01-09 12:10,0,1,Rua Cidade do Porto,,Colisão tras. c/ outro veíc.mov.
Braga,2010-02-05 22:50,0,1,ACSB,"1,375",Despiste simples
Braga,2010-02-23 16:45,0,1,Rua de Caires,,Atropelamento de peões
Braga,2010-03-10 11:45,0,1,Rua Padre Cruz,Atropelamento de peões
Braga,2010-03-24 19:15,0,1,Rua Padre Cruz,Atropelamento de peões
Braga,2010-03-29 21:10,0,1,R. Cid. do Porto(Lg.  Matadouro),Atropelamento de peões
Braga,2010-04-04 13:00,0,1,"EN205-412,680",Colisão lat. c/outro veíc. mov.
Braga,2010-04-24 08:00,0,1,"EN1438,700",Colisão lat. c/outro veíc. mov.
Braga,2010-05-04 18:05,0,2,"Av, da Imaculada Conceição",Colisão frontal
Braga,2010-05-05 10:50,0,1,"EN205-45,900",Atropelamento de peões
Braga,2010-05-19 15:50,0,1,Rotunda das Piscinas,Atropelamento de peões
Braga,2010-05-27 18:45,1,0,"EN205-414,600",Colisão lat. c/outro veíc. mov.
Braga,2010-06-07 16:00,0,1,Estrada Via Falperra,Desp. c/col. c/veíc. imobil./obst.
Braga,2010-06-08 09:31,1,0,"A345,575",Desp. c/transp. disp. ret. lateral
Braga,2010-06-23 18:10,0,1,Av. da Liberdade,Atropelamento de peões
Braga,2010-06-29 12:00,0,1,"EN10336,800",Colisão lat. c/outro veíc. mov.
Braga,2010-07-04 10:07,1,0,"EN30943,500",Despiste simples
Braga,2010-07-05 07:40,0,1,Rua do Caires,Atropelamento de peões
Braga,2010-08-06 21:10,1,1,R. Santo Adrião 49,Colisão lat. c/outro veíc. mov.
Braga,2010-08-23 15:40,0,4,"EN10198,270",Colisão lat. c/outro veíc. mov.
Braga,2010-08-24 16:15,0,1,"EN205-42,100",Col. c/veic./obst.f. de rodagem
Braga,2010-09-02 22:15,0,1,EN101,Colisão tras. c/ outro veíc.mov.
Braga,2010-09-13 17:00,0,1,EN205-4,Colisão lat. c/outro veíc. mov.
Braga,2010-09-28 20:30,0,1,R. Santo Adrião,A  t  r o  p  e  l a me  n  t od  ep eões
Braga,2010-10-02 17:30,0,1,Rua da Feira,Colisão frontal
Braga,2010-10-18 16:40,0,1,"EN1441,700",Colisão frontal
Braga,2010-10-19 08:20,0,1,Rua Direita,At r o  p  e  l a  me  n  t od  epeões
Braga,2010-10-24 16:00,0,1,Av. Liberdade,Atropelamento de peões
Braga,2010-10-26 08:55,0,1,"EN20159,500",Atropelamento de peões
Braga,2010-10-26 19:20,1,0,"EN103-29,000",Atropelamento de peões
Braga,2010-10-29 10:10,0,1,Largo Monte de Arcos,A  t  r o  p  e  l a me  n  t od  ep  e  õ  e s
Braga,2010-11-03 10:15,0,2,"EN205-44,500",Colisão frontal
Braga,2010-11-20 13:00,0,1,R. Monsenhor Ferreira,At r o  p  e  l a  me  n  t od  ep  e  õ  e s
Braga,2010-11-20 13:30,1,0,"EN30932,800",Atropelamento de peões
Braga,2010-11-29 18:30,1,0,"EN103-29,500",Atropelamento de peões
Braga,2010-12-15 19:00,0,1,R QUINTA VILAÇA,Desp. c/col. c/veíc. imobil./obst.
Braga,2010-12-15 20:45,0,1,Av. Robert Smith,Colisão lat. c/outro veíc. mov.
Braga,2010-12-21 07:20,0,1,Av. Pe. Júlio Fragata,Co  l.  c  / v  e  i c  . / o  bst.f. de rodagem
Braga,2010-12-29 16:00,0,1,Estrada Via Falperra,Atropelamento com fuga
Braga,2010-12-29 18:00,0,1,Rua de Caires,At r o  p  e  l a  me  n  t od  ep  eões
Cab. Basto,2010-01-01 12:45,1,0,"EN20683,940",Despiste simples
Cab. Basto,2010-02-08 14:20,1,0,"EN20596,200",Atropelamento de peões
Cab. Basto,2010-03-04 12:15,1,0,Estrada Municipal,Despiste c/capotamento
Cab. Basto,2010-10-23 18:30,1,0,"EN20686,104",Despiste c/capotamento
Cab. Basto,2010-11-18 09:30,0,1,"EN20673,500",Desp. c/col. c/veíc. imobil./obst.
Cel. Basto,2010-01-24 17:30,0,1,R. Dr. Baltazar Rebelo Sousa,Colisão lat. c/outro veíc. mov.
Cel. Basto,2010-09-04 17:50,0,1,Estrada Municipal,Colisão frontal
Cel. Basto,2010-09-26 21:00,1,2,"A766,940",Col. c/veic./obst.f. de rodagem
Esposende,2010-01-20 19:00,1,0,"EN1336,750",Atropelamento de peões
Esposende,2010-02-07 01:20,1,2,"EN1347,850",Desp. c/col. c/veíc. imobil./obst.
Esposende,2010-03-13 21:30,1,0,R DA IGREJA,Atropelamento com fuga
Esposende,2010-03-14 12:20,1,1,"A2841,700",Colisão tras. c/ outro veíc.mov.
Esposende,2010-03-27 23:00,1,1,"EN1346,000",Colisão frontal
Esposende,2010-07-06 22:45,0,2,"EN1351,150",Colisão lat. c/outro veíc. mov.
Esposende,2010-07-24 14:30,1,0,"EN1351,954",Despiste simples
Esposende,2010-08-11 22:30,0,1,R S MIGUEL,Despiste simples
Esposende,2010-12-29 06:00,0,1,"A1117,000",Despiste simples
Fafe,2010-03-27 13:40,0,1,R STO ANTONIO,Colisão lat. c/outro veíc. mov.
Fafe,2010-03-29 02:45,0,1,R SANTIAGO,Despiste c/capotamento
Fafe,2010-05-26 20:00,0,1,R SR DOS AFLITOS,Colisão frontal
Fafe,2010-07-03 15:30,0,1,R FIDALGO DA LUZ,Colisão frontal
Fafe,2010-07-25 21:31,0,2,EN207,Colisão frontal
Fafe,2010-08-01 16:50,1,0,Outra Via,Colisão frontal
Fafe,2010-08-13 15:15,0,1,"EN20659,400",Colisão frontal
Fafe,2010-08-18 07:00,0,3,"A759,200",Despiste c/capotamento
Fafe,2010-08-21 17:30,0,1,"A762,725",Despiste c/capotamento
Fafe,2010-09-10 08:20,0,1,R OUTEIRO DA VINHA,Atropelamento de peões
,,,,R. Dr. José Sommervill
Fafe,2010-09-13 18:50,0,1,Soares,Colisão tras. c/ outro veíc.mov.
Fafe,2010-11-12 10:55,0,1,URBANA,Despiste simples
Fafe,2010-12-02 07:55,0,1,RUA DAS CORTES,Despiste simples
Guimarães,2010-01-17 15:50,1,0,R 25 ABRIL,Colisão lat. c/outro veíc. mov.
Guimarães,2010-01-21 18:00,0,1,Rua Senhora da Penha,Atropelamento de peões
Guimarães,2010-01-25 18:45,0,3,R VARIANTE PEVIDEM,Atropelamento de peões
Guimarães,2010-02-13 00:45,0,1,Rua dos Cutileiros Kia,Despiste s/dispositivo de retenção
Guimarães,2010-02-13 02:40,0,1,Al. Cidade de Lisboa,Despiste s/dispositivo de retenção
Guimarães,2010-02-25 21:00,1,0,R LIBERDADE,Atropelamento de peões
Guimarães,2010-02-27 16:15,0,1,Rua 14o de Dezembro,Colisão c/outras situações
Guimarães,2010-02-28 18:50,0,1,Av. Cónego G. Estaço,Colisão lat. c/outro veíc. mov.
Guimarães,2010-03-10 22:15,1,0,"EN10541,200",Atropelamento de peões
Guimarães,2010-03-11 08:55,0,1,R. D. Af. Henriques,Colisão lat. c/outro veíc. mov.
,,,,R REITOR J A 
Guimarães,2010-03-18 16:45,0,1,RIBEIRO TORRES,Colisão frontal
Guimarães,2010-03-27 20:05,0,1,R INDUSTRIA PONTE,Colisão frontal
Guimarães,2010-04-05 14:10,0,1,"EN101101,350",Despiste s/dispositivo de retenção
Guimarães,2010-04-23 10:30,0,1,R. Pe. J.Maria Felgueiras,Atropelamento de peões
Guimarães,2010-04-25 23:45,0,1,R. Pe. João Moreira Leite,Colisão com fuga
Guimarães,2010-05-02 08:05,0,1,"EN10541,400",Desp. c/col. c/veíc. imobil./obst.
Guimarães,2010-05-10 14:00,0,1,R S JOÃO BAPTISTA,Despiste simples
Guimarães,2010-05-15 16:21,1,0,Rua da Quinta da Sertã,Despiste c/capotamento
Guimarães,2010-05-16 16:05,0,1,Rua das Lameiras,Despiste s/dispositivo de retenção
Guimarães,2010-05-29 15:15,0,1,R. Ed. Manuel Almeida,Colisão frontal
Guimarães,2010-06-18 18:15,0,1,Al. de São Dâmaso,Colisão c/outras situações
Guimarães,2010-06-19 16:45,0,1,R. Joaquim Gonçalves,Atropelamento de peões
Guimarães,2010-06-23 15:40,0,1,"VIM11,400",Despiste c/dispositivo de retenção
Guimarães,2010-06-23 22:50,1,0,R RIBEIRA,Colisão frontal
Guimarães,2010-07-03 21:15,0,1,R LIBERDADE,Despiste c/capotamento
Guimarães,2010-07-07 18:30,0,1,EN101,Despiste c/dispositivo de retenção
Guimarães,2010-07-22 19:40,0,1,"EN101104,050",Atropelamento de peões
Guimarães,2010-07-28 11:30,1,0,R. PARQ.IND. - PONTE,Colisão tras. c/ outro veíc.mov.
Guimarães,2010-07-30 17:15,0,1,R RIO AVE,Colisão frontal
Guimarães,2010-07-31 09:00,0,3,EN207,Colisão frontal
Guimarães,2010-08-07 09:05,0,1,Rua de Santo Amaro,Atropelamento de peões
Guimarães,2010-08-20 11:15,0,1,"EN3109,900",Colisão lat. c/outro veíc. mov.
Guimarães,2010-08-23 04:30,0,1,CIRGUIMARA,Desp. c/transp. disp. ret. lateral
Guimarães,2010-08-30 19:00,0,1,R DE QUINTÃES,Despiste simples
Guimarães,2010-09-10 19:00,0,1,R STA MARTA,Atropelamento de peões
Guimarães,2010-09-18 19:55,1,0,"A746,730",Despiste c/dispositivo de retenção
Guimarães,2010-09-19 14:50,0,2,Av. Conde de Margaride,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Guimarães,2010-11-15 18:10,1,0,R DA VENDA,Atropelamento de peões
Guimarães,2010-11-17 18:50,0,1,"EN31015,185",Atropelamento de peões
Guimarães,2010-11-19 19:20,1,0,"EN31010,100",Atropelamento de peões
Guimarães,2010-12-09 08:37,0,1,"EN10535,700",Colisão lat. c/outro veíc. mov.
Guimarães,2010-12-17 21:35,1,0,RUA DE RIBAS,Colisão lat. c/outro veíc. mov.
Guimarães,2010-12-19 13:30,1,0,R S TOMÉ,Despiste s/dispositivo de retenção
Guimarães,2010-12-22 14:20,0,1,R RIO AVE,Colisão frontal
Guimarães,2010-12-24 09:50,0,1,R. Padre António Caldas,C  o  l i s  ã  ola  t .  c  / o  u  t r ov  e  í c  .mo  v  .
Guimarães,2010-12-31 13:25,1,0,"EN101113,200",Atropelamento de peões
