Concelho,Datahora,M,FG,Via,km,Natureza
Amares,2012:01:10 20:00:00,0,1,EN205-3,"6,600",Colisão frontal
Amares,2012:04:22 05:00:00,0,1,R Cintura Em Ferreiros,,Atropelamento de peões
Amares,2012:06:06 18:15:00,0,1,Rua Sá de Miranda,,Atropelamento de peões
Amares,2012:08:29 12:00:00,0,1,Ava Afonso M. P. Azevedo,,Colisão lat. c/ outro veíc. mov.
Barcelos,2012:01:26 18:45:00,0,1,EN204,"26,215",Colisão frontal
Barcelos,2012:03:07 10:50:00,0,1,A3,"53,130",Colisão tras. c/ outro veíc. mov.
Barcelos,2012:03:10 20:00:00,1,1,EN204,"24,700",Colisão lat. c/ outro veíc. mov.
Barcelos,2012:03:10 20:40:00,0,1,Rua Calçadas,,Co  li s  ã  of r o  n  t a  l
Barcelos,2012:03:12 18:30:00,0,1,A11,"10,000",Despiste simples
Barcelos,2012:04:10 10:00:00,0,1,R Sta Marinha,,Despiste simples
Barcelos,2012:04:22 19:15:00,1,0,Var,,Despiste c/ dispositivo de retenção
Barcelos,2012:04:23 01:10:00,1,0,EN103,"26,150",Despiste simples
Barcelos,2012:05:12 17:55:00,0,1,EM306,"55,800",Despiste c/col. c/veíc. imobil./obst.
Barcelos,2012:06:21 17:40:00,0,2,EN205,"25,700",Atropelamento de peões
Barcelos,2012:07:24 18:30:00,0,1,Rua do Galo,,Colisão lat. c/ outro veíc. mov.
Barcelos,2012:08:08 19:50:00,0,1,Rua de Palme,,Atropelamento de peões
Barcelos,2012:09:01 11:30:00,1,0,EN103,"19,600",Colisão lat. c/ outro veíc. mov.
Barcelos,2012:09:15 21:25:00,1,0,Rua Faial,,Colisão lat. c/ outro veíc. mov.
Barcelos,2012:10:10 19:30:00,0,1,Av. D.Nuno Álvares Pereira,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Barcelos,2012:10:19 21:00:00,0,1,Av.a Sequeade,,Atropelamento de peões
Barcelos,2012:10:27 19:45:00,0,1,EN206,"12,100",Colisão lat. c/ outro veíc. mov.
Barcelos,2012:11:09 14:40:00,0,1,EN206,"12,100",Colisão c/veic./obstáculo f.rodagem
Barcelos,2012:11:15 18:20:00,1,0,EN103,"31,650",Atropelamento de peões
Barcelos,2012:11:20 18:30:00,0,1,EN205,"25,000",Atropelamento de peões
Barcelos,2012:12:01 22:40:00,0,1,EN204,"13,250",Colisão frontal
Barcelos,2012:12:11 17:00:00,0,1,Rua de São Sebastião,,Atropelamento de peões
Braga,2012:01:02 09:30:00,0,1,Rua Caires,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Braga,2012:01:31 18:15:00,0,1,Rua Conselheiro Januário,,A  t r  o  p  e  la  me  n  t od  ep  e  õ  e  s
Braga,2012:02:03 19:00:00,1,0,EN101,"94,500",Atropelamento de peões
Braga,2012:02:18 20:12:00,0,1,Via Falperra,,Despiste c/col. c/veíc. imobil./obst.
Braga,2012:02:23 15:45:00,1,0,Avenida Dom João II,,Atropelamento de peões
Braga,2012:02:23 20:50:00,0,1,Avenida António Macedo,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Braga,2012:02:24 00:40:00,1,0,EM309,"29,425",Atropelamento de peões
Braga,2012:03:09 20:45:00,0,1,Rua Barbosas,,A  t r  o p e  la  me  n  t od  ep  e  õ  e  s
Braga,2012:03:11 16:50:00,0,1,Av. Do Santuário,,Despiste simples
Braga,2012:03:15 08:10:00,0,1,Av. Padre Júlio Fragata,,A  t r  o  p  e  la  me  n  t od  ep  e  õ  e  s
Braga,2012:03:28 18:30:00,0,1,Rua Prof. Alda Brandão,,D  e  s  p  i s  t ec o  mc  a  p  o  t a  me  n  t o
Braga,2012:04:11 23:15:00,0,2,Av. Dr. Francisco S. Zenha,,De  s  p  i s t ec  o  mc  a  p  o  t a  me nto
Braga,2012:04:22 21:05:00,0,1,EN103,"34,500",Despiste c/col. c/veíc. imobil./obst.
Braga,2012:04:27 17:20:00,0,1,Variante,,Colisão tras. c/ outro veíc. mov.
Braga,2012:05:17 00:05:00,0,2,Estrada Via Falperra,,C  o  l i s  ã  of r o  n  t a  l
Braga,2012:05:18 06:45:00,1,1,EN103,,Atropelamento de peões
Braga,2012:05:24 10:25:00,0,1,R. Gabriel P. de Castro,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Braga,2012:05:31 12:45:00,0,1,Pç. Dr. Cândido C. Pires,,At r o  p  e  l a  me  n  t od  ep  e  õ  e s
Braga,2012:06:03 08:10:00,0,1,A3,"39,865",Despiste com capotamento
