Concelho,Datahora,M,FG,Via,Km,Natureza
Amares,01-02-2017 08:00,0,2,Avenida da Cova,-,Despiste simples
Amares,07-07-2017 18:20,0,1,Avenida Senhor do Areal,-,Despiste com capotamento
Amares,22-10-2017 18:00,0,1,EN205-3,"1,750",Despiste com capotamento
Amares,03-11-2017 13:20,0,1,EN205-3,"5,150",Colisão frontal
Amares,13-10-2017 08:00,0,1,RUA DAS AREIAS,-,Colisão frontal
Amares,18-10-2017 14:30,1,0,Rua Santa Catarina,-,Colisão frontal
Barcelos,16-05-2017 13:30,0,1,-,-,Despiste com colisão com veículo imobil. ou obstáculo
Barcelos,12-08-2017 20:20,0,1,-,-,Atropelamento com fuga
Barcelos,11-05-2017 08:25,1,0,A28,"40,200",Colisão lateral com outro veículo em movimento
Barcelos,18-05-2017 05:20,0,1,Avenida de Martim,-,Atropelamento com fuga
Barcelos,23-10-2017 17:55,1,0,EN103,"16,400",Colisão frontal
Barcelos,02-08-2017 07:05,0,2,EN103,"20,650",Colisão frontal
Barcelos,14-05-2017 17:55,0,1,EN103,"28,500",Despiste simples
Barcelos,16-02-2017 19:00,0,1,EN103,"32,000",Colisão lateral com outro veículo em movimento
Barcelos,08-12-2017 09:20,0,1,EN103-1,"3,200",Colisão frontal
Barcelos,15-09-2017 15:38,0,1,EN204,"11,800",Colisão lateral com outro veículo em movimento
Barcelos,08-07-2017 21:40,0,1,EN204,"26,950",Despiste simples
Barcelos,04-01-2017 08:30,0,1,EN205,"19,480",Atropelamento de peões
Barcelos,13-07-2017 12:00,1,0,EN205,"21,550",Colisão traseira com outro veículo em movimento
Barcelos,03-04-2017 21:40,0,1,EN205,"28,650",Colisão traseira com outro veículo em movimento
Barcelos,04-06-2017 08:15,0,1,EN205,"29,300",Despiste simples
Barcelos,03-10-2017 07:45,0,1,Rua Bajão 429,-,Atropelamento de peões
Barcelos,10-10-2017 21:40,0,1,Rua Calçadas 374,-,Colisão com outras situações
Barcelos,07-12-2017 06:30,0,1,Rua Calçadas 390,-,Atropelamento de peões
Barcelos,11-06-2017 20:50,0,1,rua da torrente,-,Colisão frontal
Barcelos,07-05-2017 04:50,0,1,RUA DE FERREIROS,-,Atropelamento com fuga
Barcelos,23-09-2017 00:45,0,1,Rua do Galo,-,Colisão lateral com outro veículo em movimento
Barcelos,25-08-2017 16:00,0,1,Rua do Jardim,-,Colisão com fuga
Barcelos,03-02-2017 07:20,1,0,RUA DO RIO NEIVA,-,Atropelamento de peões
Barcelos,04-12-2017 07:20,0,1,Rua doutor Aires Duarte 298,-,Atropelamento de peões
Barcelos,13-01-2017 20:03,0,1,Rua Frei de Perelhal,-,Atropelamento de peões
Barcelos,01-05-2017 21:25,0,1,Rua Nossa Senhora das Dores,-,Despiste simples
Barcelos,27-04-2017 20:00,0,1,rua professora carvalheira,-,Colisão lateral com outro veículo em movimento
Braga,01-03-2017 08:45,1,0,-,-,Despiste com capotamento
Braga,02-12-2017 04:45,0,1,-,-,Colisão frontal
Braga,13-05-2017 22:40,0,1,A11,"31,000",Colisão traseira com outro veículo em movimento
Braga,02-10-2017 08:30,0,1,Alameda Engenheiro Alberto Amorim 0,-,Atropelamento de peões
Braga,21-08-2017 08:15,0,1,Alameda Maria da Fonte 16,-,Atropelamento de peões
Braga,05-01-2017 17:14,1,0,Av. General Carrilho da Silva Pinto,-,Atropelamento de peões
Braga,31-07-2017 16:00,0,1,Ava do cavado,-,Colisão com veiculo ou obstáculo na faixa de rodagem
Braga,10-01-2017 18:10,0,1,Avenida António Macedo sob viaduto E.N. 101 1,-,Colisão traseira com outro veículo em movimento
Braga,03-09-2017 06:25,0,1,Avenida Barros e Soares 123,-,Despiste com colisão com veículo imobil. ou obstáculo
Braga,03-07-2017 16:00,0,1,Avenida Dom João II 0,-,Despiste com colisão com veículo imobil. ou obstáculo
Braga,27-05-2017 20:40,0,1,Avenida Frei Bartolomeu dos Mártires 28,-,Despiste sem dispositivo de retenção
Braga,02-07-2017 22:45,1,0,Avenida João Paulo II 0,-,Colisão lateral com outro veículo em movimento
Braga,04-10-2017 20:30,0,1,Avenida João Paulo II 0,-,Atropelamento de peões
Braga,02-03-2017 15:30,0,1,Avenida João Paulo II 1,-,Atropelamento de peões
Braga,07-05-2017 11:10,0,1,Avenida João Paulo II 1,-,Colisão traseira com outro veículo em movimento
Braga,23-06-2017 07:20,1,1,Avenida João Paulo II 1,-,Despiste com capotamento
Braga,31-08-2017 02:50,0,1,Avenida João XXI 46,-,Colisão frontal
Braga,07-01-2017 19:00,0,1,Avenida Miguel Torga 1,-,Despiste sem dispositivo de retenção
Braga,18-07-2017 19:10,1,0,EN101,"94,400",Atropelamento de peões
Braga,24-05-2017 14:15,0,1,EN101,-,Colisão frontal
Braga,28-01-2017 18:14,0,1,EN14,"41,700",Atropelamento de peões
Braga,20-10-2017 10:30,0,1,EN201,"62,200",Atropelamento de peões
Braga,16-12-2017 15:50,0,1,Estrada Via Falperra 0,-,Despiste com dispositivo de retenção
Braga,02-05-2017 17:10,1,0,Largo de São João da Ponte 75,-,Despiste com colisão com veículo imobil. ou obstáculo
Braga,02-01-2017 18:15,0,1,Rua Beato Miguel de Carvalho 0,-,Atropelamento de peões
Braga,03-06-2017 17:45,0,1,Rua Caires 0,-,Atropelamento de peões
Braga,14-06-2017 23:05,0,1,Rua Cidade do Porto 0,-,Atropelamento de peões
Braga,25-06-2017 03:50,0,1,Rua Combatentes do Ultramar 0,-,Despiste com dispositivo de retenção
Braga,19-02-2017 21:15,0,1,Rua Conselheiro Januário 0,-,Atropelamento com fuga
Braga,10-01-2017 20:00,0,1,Rua Conselheiro Lobato 0,-,Atropelamento de peões
Braga,15-11-2017 19:15,0,1,rua de baixo,-,Atropelamento de peões
Braga,15-12-2017 18:15,1,0,Rua de Barros,-,Despiste simples
Braga,12-08-2017 19:30,0,1,RUA DE GAIÃO - AVELEDA - BRAGA,-,Colisão lateral com outro veículo em movimento
Braga,06-07-2017 16:45,0,1,RUA DO PEDREGAL - SEQUEIRA - BRAGA,-,Despiste simples
Braga,06-10-2017 20:00,0,1,Rua Dom António Bento Martins Júnior 0,-,Atropelamento de peões
Braga,10-06-2017 13:30,0,1,Rua Entre Campos,-,Colisão frontal
Braga,31-05-2017 08:55,0,1,Rua Manuel Ferreira Dias 2,-,Atropelamento de peões
Braga,14-10-2017 12:00,0,1,Rua Rosalvo de Almeida 23,-,Despiste sem dispositivo de retenção
Braga,05-05-2017 23:35,0,1,Rua Santo Adrião 0,-,Colisão com fuga
Braga,15-12-2017 19:00,0,1,Rua Santo Adrião 22,-,Atropelamento de peões
Braga,14-04-2017 03:00,0,2,Rua São Martinho 0,-,Colisão frontal
Cabeceiras de Basto,07-08-2017 12:15,0,1,-,-,Atropelamento de peões
Cabeceiras de Basto,11-11-2017 14:50,0,1,-,-,Despiste simples
Cabeceiras de Basto,27-12-2017 10:45,1,0,-,-,Despiste simples
Cabeceiras de Basto,01-06-2017 21:35,0,1,EN205,"107,750",Despiste com capotamento
Cabeceiras de Basto,07-02-2017 19:15,0,1,EN206,"82,000",Despiste simples
Celorico de Basto,06-08-2017 18:30,0,1,-,-,Despiste simples
Celorico de Basto,19-06-2017 16:55,0,2,EN210,"18,740",Colisão frontal
Esposende,22-02-2017 13:25,1,1,EN103,"4,900",Colisão frontal
Esposende,10-09-2017 15:20,0,1,EN13,"40,200",Colisão lateral com outro veículo em movimento
