Concelho Datahora M* FG* Km Via,,Natureza
Alfândega da Fé 2004:06:10 21:30:00 0 1 R. Cabecinho,,Atropelamento de peões
"Alfândega da Fé 2004:04:03 14:50:00 0 1 65,930 EN315",,Atropelamento de peões
Bragança 2004:09:29 10:15:00 0 1 Av. Cantárias,,Col. c/veic. ou obst. faixa rod.
Bragança 2004:05:14 19:30:00 0 1 R. António Carlos Alves,,Desp.c/colisão c/veíc.imob./obst.
Bragança 2004:03:05 17:10:00 0 1 Rotunda Flor Ponte,,Atropelamento de peões
Bragança 2004:01:30 20:30:00 0 1 Av. Sá Carneiro,,Atropelamento de peões
Bragança 2004:02:08 12:50:00 0 2 Av. Das Forças Armadas,,Col. lat. c/veic. em mov.
Bragança 2004:07:30 13:25:00 1 2 Av. Povillons Bois,,Atropelamento de peões
Bragança 2004:10:27 20:30:00 0 1 R. D. Sancho I,,Despiste s/disp. de retenção
"Bragança 2004:04:18 17:30:00 0 1 217,000 EN15",,Despiste simples
"Bragança 2004:03:01 18:00:00 0 1 302,800 EN308",,Atropelamento de peões
"Bragança 2004:02:22 02:00:00 0 1 18,000 EN308",,Desp.c/colisão c/veíc.imob./obst.
Bragança 2004:12:23 04:00:00 0 1 R.Terra Fria,,Desp.c/colisão c/veíc.imob./obst.
Bragança 2004:12:29 15:10:00 0 1 R.ENG. A. Amaro da Costa,,Atropelamento de peões
Bragança 2004:05:02 20:00:00 0 1 R. do Felgar,,Atropelamento de peões
"Bragança 2004:06:27 16:55:00 0 1 202,300 IP4",,Despiste c/capotamento
"Bragança 2004:06:28 15:00:00 0 1 243,550 EN15",,Desp.c/colisão c/veíc.imob./obst.
Bragança 2004:07:08 12:10:00 0 1 Av. Cantárias,,Col. lat. c/veic. em mov.
Bragança 2004:08:29 18:15:00 1 0 EM1319,,Colisão frontal
"Bragança 2004:08:26 18:00:00 0 1 190,800 IP4",,Col. c/veic. ou obst. faixa rod.
Bragança 2004:08:20 17:15:00 0 1 R. das Paredes,,Colisão frontal
"Bragança 2004:11:01 22:30:00 0 1 28,300 EN218",,Despiste c/capotamento
Bragança 2004:12:24 18:00:00 0 1 Terra Batida,,Despiste c/capotamento
"Car. de Ansiães 2004:02:28 22:00:00 1 0 16,110 EN214",,Despiste c/capotamento
Car. de Ansiães 2004:03:20 16:47:00 0 1,0,Despiste simples
Macedo,,
"Cavaleiros 2004:06:26 16:50:00 0 1 171,850 IP5",,Despiste c/capotamento
Macedo,,
Cavaleiros 2004:01:02 15:45:00 0 1 EN216,,Atropelamento de peões
Macedo,,
"Cavaleiros 2004:02:16 17:30:00 1 1 181,208 IP4",,Col. lat. c/veic. em mov.
Macedo,,
Cavaleiros 2004:04:10 14:25:00 0 1 R. Viriato Martins,,Col. lat. c/veic. em mov.
Macedo,,
"Cavaleiros 2004:03:06 15:25:00 1 0 22,920 EN102",,Desp. c/transp. disp. ret. lateral
Macedo,,
"Cavaleiros 2004:03:07 19:30:00 0 1 52,500 EN217",,Despiste simples
Miranda do,,
Douro 2004:04:24 18:40:00 1 0 R. do Santo - Duas Igrejas,,Col. lat. c/veic. em mov.
Miranda do,,
Douro 2004:08:23 04:30:00 0 1 EM569,,Despiste s/disp. de retenção
Mirandela 2004:10:09 14:55:00 1 0 EM,,Colisão frontal
"Mirandela 2004:08:08 13:00:00 1 0 168,400 IP4",,Despiste c/disp. de retenção
"Mirandela 2004:08:12 13:30:00 0 1 65,130 EN213",,Colisão frontal
"Mirandela 2004:09:28 11:45:00 1 0 164,600 IP4",,Colisão frontal
"Mirandela 2004:07:04 23:05:00 1 0 165,954 IP4",,Atropelamento de peões
"Mirandela 2004:05:05 16:00:00 1 0 166,120 IP4",,Colisão frontal
Mirandela 2004:01:27 13:00:00 1 0 EM1086,,Despiste simples
"Mirandela 2004:02:06 10:00:00 0 1 14,650 EN206-1",,Col. lat. c/veic. em mov.
"Mirandela 2004:06:20 10:15:00 1 0 55,300 EN213",,Colisão frontal
"Mogadouro 2004:08:09 17:30:00 0 2 28,800 EN221",,Despiste c/capotamento
"Mogadouro 2004:01:22 17:50:00 0 1 40,900 EN221",,Col. lat. c/veic. em mov.
Torre de,,
"Moncorvo 2004:08:08 19:15:00 1 3 15,000 EN220",,Colisão frontal
Torre de,,
"Moncorvo 2004:07:29 12:50:00 0 1 16,560 EN220",,Despiste simples
Torre de,,
"Moncorvo 2004:01:28 09:55:00 0 1 32,300 EN220",,Despiste c/capotamento
Torre de,,
"Moncorvo 2004:05:24 10:35:00 0 2 47,032 EN102",,Colisão frontal
Torre de,,
"Moncorvo 2004:06:18 19:45:00 0 1 9,650 EN220",,Despiste simples
