Concelho,Datahora,M,FG,Via,Km,Natureza
Alfandega da Fe,13-10-2015 12:40,0,1,-,-,Despiste sem dispositivo de retenção
Braganca,18-06-2015 19:00,0,1,-,-,Despiste com capotamento
Braganca,02-08-2015 20:15,0,1,-,-,Despiste simples
Braganca,27-03-2015 15:45,0,1,Av. Abade Baçal 1,-,Colisão frontal
Braganca,07-03-2015 03:30,0,2,Av. Forças Armadas 00,-,Despiste com colisão com veículo imobil. ou obstáculo
Braganca,10-12-2015 16:30,0,2,Avenida Abade Baçal 00,-,Colisão frontal
Braganca,29-09-2015 07:50,0,1,EN103,"260,100",Colisão traseira com outro veículo em movimento
Braganca,23-06-2015 02:55,0,1,EN15,"219,200",Despiste com capotamento
Braganca,24-10-2015 02:20,0,1,EN217,"20,150",Despiste simples
Braganca,22-02-2015 14:05,0,1,EN317,"14,200",Colisão lateral com outro veículo em movimento
Carrazeda de Ansiaes,20-08-2015 10:40,0,1,EN214,"16,000",Colisão lateral com outro veículo em movimento
Freixo Espada a Cinta,20-05-2015 16:50,0,1,EN221,"65,715",Despiste com dispositivo de retenção
Freixo Espada a Cinta,16-12-2015 15:45,0,1,EN221,"74,900",Despiste com capotamento
Freixo Espada a Cinta,03-07-2015 22:25,0,1,Rua da Guicha,-,Despiste simples
Macedo de Cavaleiros,22-06-2015 17:58,0,1,-,-,Colisão lateral com outro veículo em movimento
Macedo de Cavaleiros,08-08-2015 18:45,0,1,-,-,Despiste simples
Macedo de Cavaleiros,11-08-2015 15:50,0,1,Rua Damião de Góis 7,-,Despiste com colisão com veículo imobil. ou obstáculo
Macedo de Cavaleiros,11-09-2015 19:30,0,1,Rua Professor Doutor Correia Araújo 40,-,Colisão com outras situações
Miranda do Douro,01-11-2015 10:45,0,1,-,-,Despiste simples
Miranda do Douro,10-10-2015 15:50,0,1,EM542,-,Despiste com capotamento
Miranda do Douro,24-05-2015 16:30,0,1,EM569,-,Despiste simples
Miranda do Douro,01-06-2015 11:00,0,1,EM569,-,Despiste simples
Miranda do Douro,23-05-2015 16:40,0,1,EN221,"18,800",Atropelamento de peões
Miranda do Douro,10-05-2015 19:45,1,0,IC5,"145,000",Despiste simples
Mirandela,05-04-2015 21:15,0,1,Avenida Galiza 0,-,Colisão com outras situações
Mirandela,11-02-2015 17:30,0,1,EN15,"171,500",Despiste sem dispositivo de retenção
Mirandela,07-08-2015 06:00,0,1,EN206,"186,500",Colisão traseira com outro veículo em movimento
Mirandela,22-05-2015 12:30,0,1,EN315,"3,250",Despiste com capotamento
Mirandela,28-10-2015 18:15,0,1,Rua Engenheiro José Machado Vaz 0,-,Atropelamento de peões
Mirandela,10-07-2015 10:15,0,1,Rua Rafael Bordalo Pinheiro 974,-,Atropelamento de peões
Mirandela,07-03-2015 07:50,0,1,Rua República 0,-,Atropelamento de peões
Mirandela,04-08-2015 08:00,0,1,Travessa do Areeiro 0,-,Atropelamento de peões
Mogadouro,05-09-2015 00:55,0,3,EN216,"45,700",Despiste com capotamento
Mogadouro,28-12-2015 13:10,0,1,EN221,"59,300",Despiste com capotamento
Torre de Moncorvo,18-02-2015 17:45,0,3,EN102,"49,850",Despiste com colisão com veículo imobil. ou obstáculo
Torre de Moncorvo,14-03-2015 11:30,0,1,Rua Travessa da Rua do Meio,-,Colisão com outras situações
Vimioso,13-03-2015 11:45,0,1,-,-,Colisão lateral com outro veículo em movimento
Vimioso,27-09-2015 14:22,1,0,Ava de Alcanices,-,Atropelamento de peões
Vimioso,30-11-2015 08:30,0,2,EN218,"49,000",Despiste com capotamento
Vimioso,13-07-2015 09:30,1,0,Rua da Cavada 20,-,Colisão lateral com outro veículo em movimento
Vinhais,15-11-2015 15:00,0,1,EN206,"196,650",Colisão frontal
Vinhais,20-09-2015 03:10,0,1,EN206,"211,300",Despiste com capotamento
