Concelho Datahora M* FG* Km Via,Natureza
Belmonte 2005:01:20 01:20:00 0 1 R. C. Celes,Despiste simples
Belmonte 2005:09:02 17:30:00 0 2 VAR - Variante,Colisão frontal
"Belmonte 2005:11:07 17:05:00 0 1 18,865 EN18",Colisão frontal
"Castelo Branco 2005:01:05 23:15:00 0 1 90,850 EN112",Desp.c/col.c/veíc.imob.ou obst.
"Castelo Branco 2005:01:13 19:45:00 0 1 104,700 EN233",Col.tras.c/outro veíc.em mov.
Castelo Branco 2005:01:21 19:15:00 0 1 R. Eng. Pires Marques,Col.lat.c/outro veíc.em mov.
Castelo Branco 2005:02:12 20:00:00 0 1 Tva.Fonte Santa,Atropelamento peões
"Castelo Branco 2005:02:17 06:30:00 1 0 5,200 EM554",Desp.c/disp.de ret.
Castelo Branco 2005:03:21 20:30:00 0 1 Av. Nuno Alvares,Colisão frontal
Castelo Branco 2005:04:02 18:55:00 0 1 EF - Estrada Florestal,Despiste simples
Castelo Branco 2005:04:19 17:45:00 0 1 R. Chão Fonte,Despiste simples
"Castelo Branco 2005:05:22 08:00:00 1 0 92,500 EN112",Despiste c/capotamento
Castelo Branco 2005:05:31 12:07:00 0 1 Bairro de São Gens,Desp.c/disp.de ret.
Castelo Branco 2005:07:05 15:30:00 0 1 R. das Olarias / Largo da Sé,Atropelamento peões
"Castelo Branco 2005:07:24 18:00:00 0 1 89,600 EN112",Despiste simples
Castelo Branco 2005:07:28 09:15:00 0 1 Av. de Espanha,Col.c/veic.ou obst.na fx.de rod.
"Castelo Branco 2005:08:14 20:00:00 1 0 3,875 EM555",Col.tras.c/outro veíc.em mov.
"Castelo Branco 2005:08:19 02:00:00 0 1 100,300 EN233",Desp.s/disp.de ret.
Castelo Branco 2005:09:05 19:10:00 0 1 Rot. Templários,Col.tras.c/outro veíc.em mov.
"Castelo Branco 2005:09:15 18:30:00 0 1 0,200 EM551",Despiste simples
"Castelo Branco 2005:09:16 16:30:00 0 1 21,100 EN352",Colisão frontal
"Castelo Branco 2005:09:16 20:40:00 0 1 87,800 EN112",Desp.c/col.c/veíc.imob.ou obst.
"Castelo Branco 2005:09:28 04:35:00 1 0 93,000 EN18",Despiste c/capotamento
"Castelo Branco 2005:10:02 07:25:00 0 1 99,100 EN18",Despiste c/capotamento
"Castelo Branco 2005:10:03 14:10:00 0 2 146,000 IC8",Col.tras.c/outro veíc.em mov.
Castelo Branco 2005:11:04 07:35:00 0 1 EN18,Atropelamento peões
"Castelo Branco 2005:11:23 11:50:00 0 1 87,600 EN112",Desp.c/col.c/veíc.imob.ou obst.
"Castelo Branco 2005:11:28 15:30:00 0 1 0,500 EM544",Despiste c/capotamento
"Castelo Branco 2005:12:01 08:45:00 0 1 122,800 A23",Col.tras.c/outro veíc.em mov.
Castelo Branco 2005:12:06 21:15:00 0 1 Av. Boa Esperança,Colisão frontal
"Castelo Branco 2005:12:08 06:15:00 0 1 101,900 EN233",Despiste simples
"Castelo Branco 2005:12:15 18:00:00 0 1 36,600 EN352",Atropelamento peões
"Castelo Branco 2005:12:17 17:30:00 2 0 92,600 EN112",Col.lat.c/outro veíc.em mov.
Castelo Branco 2005:12:23 17:15:00 1 1 R. Circunvalação,Col.lat.c/outro veíc.em mov.
Castelo Branco 2005:12:27 02:00:00 0 1 EM1210,Despiste c/capotamento
Covilha 2005:01:07 09:45:00 0 1 R. Mateus Fernandes,Despiste simples
Covilha 2005:01:17 16:20:00 0 1 Av. Universidade,Despiste simples
Covilha 2005:01:26 12:15:00 0 1 EM512,Despiste simples
"Covilha 2005:02:04 12:50:00 0 1 0,000 EM507",Atropelamento peões
"Covilha 2005:02:08 21:30:00 0 2 32,400 EN18",Despiste simples
Covilha 2005:03:04 01:10:00 0 2 Av. Universidade,Desp.c/col.c/veíc.imob.ou obst.
Covilha 2005:04:01 12:30:00 0 1 R. Antonio Augusto Aguiar,Atropelamento peões
Covilha 2005:06:01 02:08:00 0 1 R. Cons. João. Pessoa,Desp.c/col.c/veíc.imob.ou obst.
Covilha 2005:06:11 00:10:00 2 0 Eixo Tct,Col.lat.c/outro veíc.em mov.
Covilha 2005:07:18 18:45:00 0 1 R. Marquês Ávila E. Bolama,Col.c/veic.ou obst.na fx.de rod.
Covilha 2005:07:30 19:30:00 0 1 EM - Estrada Municipal,Despiste c/capotamento
"Covilha 2005:08:13 16:45:00 0 1 13,500 EM501",Despiste simples
"Covilha 2005:08:15 16:45:00 0 1 0,150 EN18-3",Atropelamento peões
"Covilha 2005:08:20 20:30:00 0 1 169,100 A23",Desp.c/transp.do disp.de ret.lat.
Covilha 2005:10:03 08:50:00 0 1 Al. Pero Covilhã,Atropelamento peões
Covilha 2005:10:23 21:15:00 0 1 EM501,Colisão frontal
Covilha 2005:10:26 08:20:00 0 1 R. Prof Filomena A. Ribeiro,Atropelamento peões
Covilha 2005:12:14 15:45:00 0 1 R. Industria,Atropelamento peões
Covilha 2005:12:15 18:30:00 0 1 EN18-1,Despiste simples
Covilha 2005:12:15 18:30:00 0 1 EN18-3,Despiste simples
"Fundao 2005:01:11 09:20:00 1 0 150,500 A23",Desp.c/disp.de ret.
"Fundao 2005:03:05 12:45:00 0 1 116,254 EN238",Col.lat.c/outro veíc.em mov.
