Concelho,Datahora,M,FG,Via,Km,Natureza
Belmonte,06-01-2011 21:00,1,0,EN345,"6,643",Despiste simples
Belmonte,20-01-2011 18:50,0,1,EN345,"6,920",Colisão traseira com outro veículo em m...
Castelo Branco,03-09-2011 17:55,0,1,-,-,Colisão lateral com outro veículo em mov...
Castelo Branco,11-09-2011 17:00,0,1,-,-,Colisão frontal
Castelo Branco,27-10-2011 11:45,0,1,-,-,Colisão lateral com outro veículo em mov...
Castelo Branco,03-12-2011 12:20,0,1,-,-,Despiste com capotamento
Castelo Branco,25-03-2011 16:05,0,1,Ava da Europa 00,-,Atropelamento de peões
Castelo Branco,16-05-2011 17:15,0,1,Avenida 1o de Mai...,-,Atropelamento de peões
Castelo Branco,15-09-2011 20:20,0,1,Avenida Afonso de ...,-,Atropelamento de peões
Castelo Branco,04-07-2011 17:20,0,1,Avenida General H...,-,Colisão lateral com outro veículo em mov...
Castelo Branco,27-04-2011 18:20,1,0,CAMINHO AGRICO...,-,Despiste com capotamento
Castelo Branco,21-11-2011 17:00,0,1,EM1259,-,Despiste simples
Castelo Branco,23-11-2011 21:40,0,1,EM548,-,Colisão lateral com outro veículo em mov...
Castelo Branco,18-03-2011 19:00,1,0,EM558,"1,900",Despiste com capotamento
Castelo Branco,19-02-2011 07:25,0,1,EM558,-,Despiste simples
Castelo Branco,09-05-2011 00:45,0,1,EM572,"5,100",Despiste com capotamento
Castelo Branco,05-02-2011 19:43,0,1,EN112,"86,870",Colisão frontal
Castelo Branco,27-02-2011 14:10,0,1,EN112,"92,500",Colisão lateral com outro veículo em mov...
Castelo Branco,23-03-2011 06:55,2,1,EN18,"92,200",Despiste simples
Castelo Branco,09-06-2011 17:33,0,1,EN18,"96,600",Despiste simples
Castelo Branco,08-06-2011 09:20,0,1,EN18,"99,500",Colisão frontal
Castelo Branco,25-07-2011 14:00,0,1,EN18,-,Despiste simples
Castelo Branco,21-05-2011 19:00,0,1,EN18-8,"5,700",Colisão lateral com outro veículo em mov...
Castelo Branco,17-01-2011 01:40,1,1,EN233,"103,300",Despiste sem dispositivo de retenção
Castelo Branco,14-06-2011 02:45,0,1,EN233,"103,300",Despiste com capotamento
Castelo Branco,03-09-2011 17:00,0,1,EN233,"104,500",Colisão traseira com outro veículo em m...
Castelo Branco,17-09-2011 11:15,0,1,EN233,"135,680",Despiste simples
Castelo Branco,10-12-2011 08:00,0,1,EN352,"36,900",Despiste simples
Castelo Branco,19-08-2011 02:00,1,1,EN352,"37,200",Despiste simples
Castelo Branco,24-08-2011 17:20,0,1,ER233,"107,100",Colisão lateral com outro veículo em mov...
Castelo Branco,09-01-2011 07:45,0,1,Interior do Hospital 0,-,Atropelamento de peões
Castelo Branco,07-01-2011 17:45,0,1,IP2,"114,900",Colisão frontal
Castelo Branco,21-06-2011 15:10,0,1,R PRINCIPAL DE LI...,-,Despiste sem dispositivo de retenção
Castelo Branco,03-05-2011 16:30,0,1,Rua Bonfim Bloco B,-,Atropelamento de peões
Castelo Branco,03-02-2011 18:45,0,1,Rua Piscina 00,-,Colisão frontal
Castelo Branco,04-02-2011 14:00,0,1,Rua Portas do Sol 0,-,Despiste simples
Castelo Branco,20-08-2011 12:30,0,1,Rua Ruivo Godinho...,-,Atropelamento de peões
Castelo Branco,06-08-2011 00:17,0,1,Rua Tavares Proen...,-,Atropelamento de peões
Castelo Branco,05-01-2011 19:15,0,1,Variante Carapalha...,-,Atropelamento com fuga
Covilha,15-09-2011 12:00,0,1,Alameda da Europ...,-,Colisão com veiculo ou obstáculo na faix...
Covilha,10-04-2011 16:20,0,1,ALAMEDA PERO D...,-,Atropelamento de peões
Covilha,01-02-2011 08:20,0,1,AV VIRIATO - TOR...,-,Atropelamento de peões
Covilha,01-09-2011 06:45,0,1,AV VIRIATO 22,-,Despiste com colisão com veículo imobil. ...
Covilha,24-07-2011 05:30,0,1,Avenida Frei Heitor...,-,Despiste com capotamento
Covilha,27-02-2011 14:20,0,1,EM506,"5,000",Despiste com colisão com veículo imobil. ...
Covilha,06-06-2011 20:00,0,1,EM506-1,-,Despiste sem dispositivo de retenção
Covilha,11-09-2011 03:30,0,1,EM506-1,-,Despiste simples
Covilha,24-03-2011 19:15,0,1,EM513,-,Atropelamento de peões
Covilha,26-12-2011 23:30,0,1,EN18,"36,850",Despiste com capotamento
Covilha,19-07-2011 17:00,0,1,EN230,"196,660",Despiste com transposição do dispositivo...
Covilha,09-11-2011 16:00,0,1,EN230,-,Despiste simples
Covilha,16-04-2011 07:35,0,1,EN230-7,-,Despiste com capotamento
Covilha,02-09-2011 22:00,0,1,R DA ESCOLA VEL...,-,Atropelamento de peões
Covilha,29-05-2011 02:30,0,1,R DE ACESSO LAM...,-,Despiste simples
Covilha,02-04-2011 12:10,0,1,R DUARTE PACHE...,-,Atropelamento de peões
Covilha,19-09-2011 08:15,0,1,Ribeira de Água Alt...,-,Atropelamento de peões
Covilha,21-02-2011 14:50,0,1,ROTUNDA DA VAR...,-,Despiste simples
Covilha,29-06-2011 15:45,0,1,Rua Cidade do Fun...,-,Atropelamento de peões
Covilha,20-09-2011 01:10,0,1,Rua de acesso á Es...,-,Despiste com colisão com veículo imobil. ...
Covilha,01-04-2011 19:00,0,1,Rua Fernando Antu...,-,Colisão frontal
Covilha,20-01-2011 09:30,0,1,Rua Ruy Faleiro 58,-,Despiste sem dispositivo de retenção
Fundao,28-11-2011 08:30,0,1,-,-,Colisão lateral com outro veículo em mov...
Fundao,24-05-2011 16:15,0,1,A23,"156,900",Colisão traseira com outro veículo em m...
Fundao,26-07-2011 08:00,0,1,EN18,"52,731",Colisão lateral com outro veículo em mov...
Fundao,,26-12-2011 08:10,0,4EN238,,"98,700",Despiste com capotamento
Fundao,,03-04-2011 13:10,0,1EN238,,"137,166",Despiste com capotamento
Fundao,,26-06-2011 20:00,0,1EN238,,"138,400",Despiste com colisão com veículo imobil. ...
Fundao,,02-07-2011 05:45,1,0EN343,,"45,800",Colisão com fuga
Fundao,,19-09-2011 07:40,0,1EN343,,-,Atropelamento de peões
Fundao,,22-09-2011 23:40,1,0EN346,,"6,700",Despiste simples
Fundao,,02-06-2011 18:30,0,1EN346,,"19,200",Colisão frontal
Fundao,,29-03-2011 17:50,0,1ESTRADA DAS EN...,,-,Colisão frontal
Fundao,,02-05-2011 10:35,0,1PARQUE ESTACIO...,,-,Atropelamento de peões
Fundao,,25-03-2011 18:00,1,0PROPRIEDADE PRI...,,-,Atropelamento de peões
Fundao,,12-06-2011 23:12,0,1R CONDE DE IDAN...,,-,Atropelamento de peões
Idanha-a-Nova,,30-07-2011 05:00,0,2-,,-,Despiste sem dispositivo de retenção
Idanha-a-Nova,,06-09-2011 09:45,0,1-,,-,Colisão lateral com outro veículo em mov...
Idanha-a-Nova,,22-08-2011 06:30,0,1EM557,,-,Despiste simples
Idanha-a-Nova,,22-06-2011 09:00,0,1EM566,,"12,600",Atropelamento de peões
Idanha-a-Nova,,02-05-2011 21:05,1,1EN233,,"80,300",Despiste com colisão com veículo imobil. ...
Idanha-a-Nova,,23-10-2011 21:49,0,1EN240,,"24,000",Despiste com colisão com veículo imobil. ...
Idanha-a-Nova,,20-02-2011 14:20,0,1R FONTANHÃO 1,,-,Colisão lateral com outro veículo em mov...
Idanha-a-Nova,,28-06-2011 18:00,0,1R VALCABEIRO,,-,Colisão lateral com outro veículo em mov...
Oleiros,,08-08-2011 19:15,0,1-,,-,Despiste com capotamento
Oleiros,,16-11-2011 13:30,1,0-,,-,Despiste com capotamento
Oleiros,,14-12-2011 15:00,0,1-,,-,Despiste simples
Oleiros,,04-03-2011 23:00,0,1EN351,,"17,800",Despiste simples
Oleiros,,23-01-2011 14:30,0,1R OUTEIRO 20,,-,Atropelamento de peões
Oleiros,,21-05-2011 18:20,1,0R PRINCIPAL,,"0,001",Despiste simples
Penamacor,,24-08-2011 18:00,0,1-,,"7,600",Despiste simples
Penamacor,,30-07-2011 11:05,0,1-,,-,Despiste com capotamento
Penamacor,,26-03-2011 11:00,0,1EN233,,"34,900",Despiste simples
Penamacor,,19-06-2011 20:10,0,1R LAGARIÇA - ALD...,,-,Despiste simples
Proenca-a-Nova,,31-07-2011 18:00,0,2-,,-,Despiste com capotamento
Proenca-a-Nova,,19-09-2011 16:18,0,11aCIRCULAR,,-,Despiste simples
Proenca-a-Nova,,30-07-2011 06:00,0,1EM545,,-,Despiste simples
Proenca-a-Nova,,01-03-2011 19:13,1,0EN233,,"150,200",Despiste simples
Proenca-a-Nova,,08-08-2011 06:45,0,1EN233,,"150,600",Colisão lateral com outro veículo em mov...
Proenca-a-Nova,,25-10-2011 08:30,0,1EN241,,"30,300",Colisão frontal
Proenca-a-Nova,,15-05-2011 03:20,0,1IC8,,"121,200",Despiste com capotamento
Proenca-a-Nova,,23-07-2011 02:35,1,0IC8,,"122,600",Atropelamento de peões
Proenca-a-Nova,,09-08-2011 19:20,0,1IC8,,"125,237",Colisão traseira com outro veículo em m...
Serta,,19-03-2011 14:40,0,1-,,"0,001",Despiste simples
Serta,,22-03-2011 08:20,0,1-,,"31,350",Colisão lateral com outro veículo em mov...
Serta,,03-07-2011 12:05,0,1-,,-,Despiste com capotamento
Serta,,17-07-2011 19:16,0,1-,,-,Despiste sem dispositivo de retenção
Serta,,19-08-2011 20:08,0,1-,,-,Despiste com capotamento
Serta,,03-10-2011 12:30,0,1-,,-,Despiste com capotamento
Serta,,12-03-2011 18:40,0,1EM529,,"0,001",Colisão frontal
Serta,,29-08-2011 23:30,0,1EM532,,-,Despiste simples
Serta,,27-06-2011 21:20,0,1EM533,,"0,001",Colisão lateral com outro veículo em mov...
Serta,,26-02-2011 22:00,0,1EM538,,"0,001",Despiste simples
Serta,,13-05-2011 04:00,0,1EN2,,"338,000",Despiste simples
Serta,,17-07-2011 18:30,0,1EN2,,"339,100",Despiste simples
Serta,,13-01-2011 10:25,0,1EN2,,"349,460",Colisão lateral com outro veículo em mov...
Serta,,15-07-2011 13:25,0,1EN238,,"36,400",Colisão lateral com outro veículo em mov...
Serta,,19-11-2011 21:20,0,1IC8,,"96,468",Colisão com veiculo ou obstáculo na faix...
Serta,,27-07-2011 17:00,0,1IC8,,"109,700",Despiste com dispositivo de retenção
Serta,,24-07-2011 20:53,0,1R DO CARQUEIJAL,,-,Colisão lateral com outro veículo em mov...
Serta,,05-08-2011 09:20,0,1R DOS PINHEIROS...,,-,Despiste simples
Vila de Rei,,02-07-2011 16:00,1,0-,,-,Despiste com capotamento
Vila de Rei,,13-03-2011 18:00,0,1EN244,,"13,100",Despiste com capotamento
Vila de Rei,,25-01-2011 08:26,1,0EN348,,"102,835",Despiste com capotamento
Vila Velha de Rodao,,22-11-2011 16:35,1,0A23,,"92,700",Colisão traseira com outro veículo em m...
Vila Velha de Rodao,,13-08-2011 16:10,0,1A23,,"97,800",Despiste simples
Vila Velha de Rodao,,09-02-2011 17:40,1,2EN18,,"110,800",Despiste com colisão com veículo imobil. ...
Vila Velha de Rodao,,19-06-2011 21:45,0,1EN18,,"119,500",Despiste com transposição do dispositivo...
Vila Velha de Rodao,,02-09-2011 21:05,0,1EN241,,"41,450",Despiste com transposição do dispositivo...
Vila Velha de Rodao,,27-10-2011 07:50,0,1EN241,,"51,750",Despiste simples
