Concelho,Datahora,M,FG,Via,km,Natureza
Covilhã,2011:09:01 06:45:00,0,1,Av. Viriato,,Desp.c/colis. c/veíc. imobil./obst.
Covilhã,2011:09:02 22:00:00,0,1,R Escola Velha,,Atropelamento de peões
Covilhã,2011:09:11 03:30:00,0,1,EM506-1,,Despiste simples
Covilhã,2011:09:15 12:00:00,0,1,Alameda da Europa,,Colisão c/veic./obst.f. rodagem
Covilhã,2011:09:19 08:15:00,0,1,Ribeira de Água Alta,,At r o  p  e  l a  me  n  t od  ep  e  õ es
Covilhã,2011:09:20 01:10:00,0,1,R Acesso à Estação,,Desp.c/colis. c/veíc. imobil./obst.
Covilhã,2011:11:09 16:00:00,0,1,EN230,,Despiste simples
Covilhã,2011:12:26 23:30:00,0,1,EN18,"36,85",Despiste c/capotamento
Fundão,2011:03:25 18:00:00,1,0,Prop. Privada (EN 238),,Atropelamento de peões
Fundão,2011:03:29 17:50:00,0,1,EstR Enguias,,Colisão frontal
Fundão,2011:04:03 13:10:00,1,0,EN238,"137,166",Despiste c/capotamento
Fundão,2011:05:02 10:35:00,0,1,Pq. Estac R B I,,Atropelamento de peões
Fundão,2011:05:24 16:15:00,0,1,A23,"156,900",Colisão tras. c/outro veíc. mov.
Fundão,2011:06:02 18:30:00,0,1,EN346,"19,200",Colisão frontal
Fundão,2011:06:12 23:12:00,0,1,R Conde de Idanha-a-Nova,,Atropelamento de peões
Fundão,2011:06:26 20:00:00,0,1,EN238,"138,400",Desp.c/colis. c/veíc. imobil./obst.
Fundão,2011:07:02 05:45:00,1,0,EN343,"45,800",Colisão com fuga
Fundão,2011:07:26 08:00:00,0,1,EN18,"52,731",Colisão lat. c/outro veíc. mov.
Fundão,2011:09:19 07:40:00,0,1,EN343,,Atropelamento de peões
Fundão,2011:09:22 23:40:00,1,0,EN346,"6,700",Despiste simples
Fundão,2011:11:28 08:30:00,0,1,Estrada Municipal,,Colisão lat. c/outro veíc. mov.
Fundão,2011:12:26 08:10:00,0,4,EN238,"98,7",Despiste c/capotamento
Idanha-a-Nova,2011:02:20 14:20:00,0,1,R Fontanhão,,Colisão lat. c/outro veíc. mov.
Idanha-a-Nova,2011:05:02 21:05:00,1,1,EN233,"80,300",Desp.c/colis. c/veíc. imobil./obst.
