Concelho,Datahora,M,FG,Via,Km,Natureza
Belmonte,27-09-2013 07:25,0,1,EN18,"21,550",Despiste simples
Belmonte,11-12-2013 15:00,0,1,EN18-3,"13,400",Despiste com colisão com veículo imobil. ou obstáculo
Castelo Branco,03-11-2013 16:30,0,1,-,-,Despiste simples
Castelo Branco,30-11-2013 13:10,0,1,-,-,Despiste simples
Castelo Branco,15-04-2013 23:36,0,1,Av. António Sérgio 0,-,Despiste simples
Castelo Branco,25-10-2013 18:30,0,1,Av. Europa 0,-,Atropelamento de peões
Castelo Branco,24-07-2013 18:45,0,1,Ava dos Canteiros,-,Atropelamento de peões
Castelo Branco,02-08-2013 22:00,0,1,Ava. Afonso Paiva 9,-,Colisão lateral com outro veículo em movimento
Castelo Branco,22-04-2013 08:45,0,1,Avenida Brasil no79,-,Colisão com outras situações
Castelo Branco,29-04-2013 12:00,0,1,Cruz do Montalvão 31,-,Despiste com colisão com veículo imobil. ou obstáculo
Castelo Branco,05-10-2013 09:30,0,1,EM548-1,-,Colisão traseira com outro veículo em movimento
Castelo Branco,10-10-2013 20:40,0,2,EN112,"81,100",Despiste com dispositivo de retenção
Castelo Branco,15-03-2013 22:10,0,1,EN112,"89,776",Despiste simples
Castelo Branco,31-05-2013 16:15,0,1,EN18,"57,000",Colisão frontal
Castelo Branco,26-06-2013 12:00,0,1,EN18,"88,800",Despiste simples
Castelo Branco,12-09-2013 12:55,0,1,EN18,"97,600",Despiste com capotamento
Castelo Branco,27-04-2013 03:51,1,0,EN18,"103,500",Despiste com colisão com veículo imobil. ou obstáculo
Castelo Branco,22-10-2013 17:40,0,1,EN18,-,Atropelamento de peões
Castelo Branco,12-02-2013 16:45,0,1,EN18-8,"19,900",Colisão traseira com outro veículo em movimento
Castelo Branco,28-08-2013 09:50,0,1,EN233,"94,850",Atropelamento de peões
Castelo Branco,02-04-2013 14:25,0,1,EN233,"103,490",Despiste com colisão com veículo imobil. ou obstáculo
Castelo Branco,10-10-2013 20:00,0,1,EN233,"126,375",Atropelamento de peões
Castelo Branco,20-05-2013 05:45,0,1,EN233,-,Colisão lateral com outro veículo em movimento
Castelo Branco,13-03-2013 15:00,0,1,EN240,"2,150",Despiste simples
Castelo Branco,09-09-2013 07:40,0,2,EN352,"26,950",Colisão traseira com outro veículo em movimento
Castelo Branco,06-12-2013 17:55,1,2,EN352,"28,500",Colisão lateral com outro veículo em movimento
Castelo Branco,23-02-2013 08:40,0,1,EN352,"31,600",Despiste simples
Castelo Branco,04-04-2013 14:00,0,1,Rua 5 de Outubro 00,-,Atropelamento de peões
Castelo Branco,29-08-2013 17:10,0,1,Rua A 0,-,Despiste simples
Castelo Branco,01-06-2013 11:50,0,1,Rua B S/N,-,Colisão com outras situações
Castelo Branco,13-05-2013 09:00,0,1,Rua Coronel Elias Garcia 00,-,Atropelamento de peões
Castelo Branco,07-12-2013 13:15,0,2,Rua Dr. Jaime Lopes Dias 31,-,Colisão lateral com outro veículo em movimento
Castelo Branco,07-02-2013 17:30,0,1,Rua João de Deus,-,Atropelamento de peões
Castelo Branco,26-04-2013 18:30,0,1,Rua José Bento 41,-,Atropelamento de peões
Castelo Branco,09-03-2013 09:25,0,1,Rua Principal,-,Atropelamento de peões
Castelo Branco,21-09-2013 11:00,0,1,Travessa da Retirada,-,Atropelamento de peões
Covilha,17-10-2013 08:30,0,1,-,-,Atropelamento de peões
Covilha,10-08-2013 07:15,0,1,Ava 1o de Maio,-,Colisão frontal
Covilha,03-10-2013 13:40,0,1,Avenida 25 de Abril C,-,Atropelamento de peões
Covilha,27-08-2013 07:50,0,1,EM1204,-,Colisão frontal
Covilha,01-09-2013 22:25,1,0,EM512,-,Despiste simples
Covilha,05-11-2013 12:30,0,1,EM512,-,Despiste simples
Covilha,05-12-2013 17:10,1,0,EN18,"46,900",Colisão choque em cadeia
Covilha,30-05-2013 08:45,1,0,EN338,"31,100",Despiste com transposição do dispositivo de retenção lateral
Covilha,07-11-2013 16:35,0,1,Rua Cidade do Fundão 45,-,Atropelamento de peões
Covilha,14-02-2013 17:20,0,1,Rua Cidade do Fundão s/n,-,Atropelamento de peões
Covilha,22-02-2013 09:45,0,1,Rua Marquês Ávila e Bolama BL-B,-,Atropelamento de peões
Covilha,03-02-2013 19:50,0,1,Rua Mateus Fernandes s/n,-,Colisão frontal
Covilha,09-12-2013 17:20,0,1,Travessa do Arrabalde,-,Despiste simples
Fundao,28-08-2013 01:50,1,0,A23,"150,900",Colisão com veiculo ou obstáculo na faixa de rodagem
Fundao,15-06-2013 09:30,0,1,EM521,-,Colisão frontal
Fundao,05-03-2013 19:00,0,1,EN18-6,"1,000",Atropelamento de peões
Fundao,30-07-2013 17:40,0,1,EN238,"130,100",Colisão frontal
Fundao,05-07-2013 14:48,0,1,EN343,"46,300",Despiste simples
Fundao,26-10-2013 18:45,1,0,EN345,"19,975",Despiste com capotamento
Fundao,03-08-2013 17:00,0,1,EN345,"34,200",Despiste com capotamento
Fundao,30-08-2013 20:30,0,1,Rua Conselheiro José Alves Monteiro,-,Colisão lateral com outro veículo em movimento
Idanha-a-Nova,20-10-2013 07:55,0,1,EN233,"81,500",Despiste simples
Idanha-a-Nova,22-09-2013 14:30,0,1,EN239,"17,400",Despiste simples
Idanha-a-Nova,18-08-2013 08:00,0,1,EN239,"55,400",Despiste com dispositivo de retenção
Idanha-a-Nova,05-01-2013 10:30,0,1,EN240,"13,000",Despiste simples
Idanha-a-Nova,27-06-2013 16:45,0,1,EN353,"31,000",Despiste com capotamento
Oleiros,13-07-2013 13:10,0,1,-,-,Colisão lateral com outro veículo em movimento
Oleiros,27-08-2013 02:00,0,1,-,-,Despiste sem dispositivo de retenção
Oleiros,14-07-2013 18:30,0,1,EN238,"59,700",Colisão lateral com outro veículo em movimento
Penamacor,03-02-2013 17:00,0,1,-,-,Despiste simples
Penamacor,26-08-2013 11:18,1,0,EN233,"59,580",Colisão traseira com outro veículo em movimento
Proenca-a-Nova,30-09-2013 14:55,0,3,EN241,"24,700",Despiste simples
Serta,21-07-2013 20:30,1,0,Casal do Sesmo,-,Despiste com capotamento
Serta,18-03-2013 16:30,0,1,EN237,"85,600",Colisão frontal
