Concelho,Datahora,M,FG,Via,Km,Natureza
Belmonte,03-01-2016 14:40,0,2,EN18,"19,400",Colisão frontal
Castelo Branco,17-09-2016 20:47,0,1,-,"0,100",Despiste simples
Castelo Branco,15-09-2016 17:30,0,1,-,"11,000",Colisão com veiculo ou obstáculo na faixa de rodagem
Castelo Branco,28-06-2016 07:30,0,1,-,-,Colisão frontal
Castelo Branco,10-07-2016 03:00,1,0,-,-,Despiste simples
Castelo Branco,09-08-2016 03:00,0,1,-,-,Despiste simples
Castelo Branco,15-10-2016 17:00,0,1,-,-,Despiste com capotamento
Castelo Branco,12-11-2016 16:00,0,1,-,-,Colisão traseira com outro veículo em movimento
Castelo Branco,25-02-2016 10:50,0,1,A23,"129,900",Despiste com capotamento
Castelo Branco,11-12-2016 17:40,0,1,Ava Pedro Álvares Cabral 7,-,Despiste com colisão com veículo imobil. ou obstáculo
Castelo Branco,08-07-2016 19:15,1,0,Avenida Espanha 10,-,Atropelamento de peões
Castelo Branco,11-12-2016 17:22,0,2,EN112,"68,100",Colisão frontal
Castelo Branco,15-12-2016 18:30,0,1,EN18,"93,300",Colisão traseira com outro veículo em movimento
Castelo Branco,14-08-2016 16:15,0,1,EN18,-,Despiste com colisão com veículo imobil. ou obstáculo
Castelo Branco,03-12-2016 16:10,0,1,EN18-8,"2,900",Despiste simples
Castelo Branco,12-10-2016 09:15,0,1,EN233,-,Colisão lateral com outro veículo em movimento
Castelo Branco,10-06-2016 18:52,1,2,EN3,"208,600",Colisão frontal
Castelo Branco,11-07-2016 19:40,0,1,EN3,-,Colisão frontal
Castelo Branco,10-01-2016 07:45,0,1,EN352,"17,435",Despiste simples
Castelo Branco,30-04-2016 16:50,0,1,EN352,"30,945",Colisão com veiculo ou obstáculo na faixa de rodagem
Castelo Branco,20-03-2016 15:50,0,1,EN352,"32,300",Despiste simples
Castelo Branco,18-03-2016 14:30,0,1,EN352,"33,200",Atropelamento de peões
Castelo Branco,06-05-2016 10:50,0,1,Praça Município 0,-,Atropelamento de peões
Castelo Branco,08-01-2016 07:42,1,0,Praça Rainha Dona Leonor 15,-,Atropelamento de peões
Castelo Branco,24-06-2016 04:45,0,1,Rotunda Das Violetas 0,-,Despiste simples
Castelo Branco,13-12-2016 10:00,0,1,Rua  Dadrá 9,-,Colisão traseira com outro veículo em movimento
Castelo Branco,05-08-2016 09:00,0,1,Rua Bartolomeu Sousa Mexia,-,Atropelamento de peões
Castelo Branco,29-09-2016 13:15,0,1,Rua F 00,-,Colisão lateral com outro veículo em movimento
Castelo Branco,12-04-2016 19:15,0,1,RUA SENHORA DE MÉRCULES,-,Atropelamento com fuga
Castelo Branco,01-09-2016 09:30,0,1,Rua Senhora Mércules 68,-,Atropelamento de peões
Castelo Branco,11-08-2016 23:50,0,1,Rua Senhora Mércules 74,-,Despiste com colisão com veículo imobil. ou obstáculo
Covilha,03-07-2016 15:10,0,1,-,"0,100",Despiste simples
Covilha,09-08-2016 15:45,0,1,-,"51,400",Despiste simples
Covilha,21-05-2016 15:40,0,1,-,-,Colisão traseira com outro veículo em movimento
Covilha,16-05-2016 17:10,0,1,Alameda Europa 0,-,Atropelamento de peões
Covilha,26-09-2016 11:10,0,1,Alameda Europa 2,-,Atropelamento de peões
Covilha,26-07-2016 11:15,0,1,Alameda Pêro da Covilhã 00,-,Colisão lateral com outro veículo em movimento
Covilha,28-07-2016 07:15,0,1,Alameda Pêro da Covilhã 4,-,Despiste com colisão com veículo imobil. ou obstáculo
