Concelho Datahora M* FG* Km Via,Natureza
"Arganil 2004:08:15 19:15:00 1 0 0,001 EM522",Col. lat. c/veic. em mov.
"Arganil 2004:10:03 13:35:00 0 1 9,500 EN344",Colisão frontal
R. Prof. Fernando Serr
Cantanhede 2004:01:31 19:30:00 1 0 Oliveira,Colisão frontal
Cantanhede 2004:03:30 14:15:00 0 4 EM584-1,Colisão frontal
"Cantanhede 2004:06:18 10:50:00 0 1 98,800 EN109",Col. traseira c/veic. em mov.
"Cantanhede 2004:06:11 18:50:00 0 1 11,000 EM583",Atropelamento de peões
Cantanhede 2004:06:15 06:00:00 0 1 EN335-1,Despiste s/disp. de retenção
Cantanhede 2004:09:11 16:05:00 0 1 EM630,Col. lat. c/veic. em mov.
"Cantanhede 2004:09:19 15:00:00 0 1 0,000 EM613",Despiste c/capotamento
"Cantanhede 2004:11:21 15:15:00 0 2 206,350 A1",Despiste c/capotamento
"Cantanhede 2004:11:24 14:55:00 1 0 0,000 R. Heróis do Ultramar",Atropelamento de peões
Cantanhede 2004:01:24 18:20:00 1 0 EM,Col. traseira c/veic. em mov.
"Cantanhede 2004:02:09 23:20:00 1 0 9,100 EN234",Desp.c/colisão c/veíc.imob./obst.
"Cantanhede 2004:06:26 10:16:00 0 1 209,247 A1",Despiste c/disp. de retenção
Cantanhede 2004:06:07 12:15:00 1 0 EM,Desp.c/colisão c/veíc.imob./obst.
Cantanhede 2004:06:14 11:15:00 0 1 EM583,Col. traseira c/veic. em mov.
Cantanhede 2004:07:20 11:45:00 1 0 EM531,Despiste simples
"Cantanhede 2004:12:06 21:30:00 0 1 2,570 EN234-1",Col. traseira c/veic. em mov.
"Cantanhede 2004:12:03 08:40:00 0 1 15,925 EN234",Col. lat. c/veic. em mov.
"Cantanhede 2004:12:29 18:45:00 0 1 0,000 EM584",Colisão c/outras situações
Coimbra 2004:07:14 22:00:00 1 0 EM,Colisão frontal
"Coimbra 2004:05:24 14:10:00 1 0 31,850 EN111",Atropelamento de peões
Coimbra 2004:05:01 01:30:00 1 0 EM,Desp.c/colisão c/veíc.imob./obst.
"Coimbra 2004:03:31 21:40:00 0 1 4,600 EM576",Desp.c/colisão c/veíc.imob./obst.
"Coimbra 2004:02:24 17:30:00 0 1 38,800 EN111",Colisão frontal
"Coimbra 2004:02:20 14:30:00 0 1 199,900 EN1",Col. lat. c/veic. em mov.
"Coimbra 2004:02:16 14:15:00 0 1 27,270 EN111",Colisão frontal
"Coimbra 2004:01:26 09:40:00 0 1 197,900 EN1",Col. lat. c/veic. em mov.
"Coimbra 2004:01:16 10:15:00 0 1 29,350 EN111",Col. lat. c/veic. em mov.
"Coimbra 2004:01:13 05:10:00 1 1 15,500 EN234-1",Colisão frontal
Coimbra 2004:02:18 13:20:00 1 1 Arruamento,Col. lat. c/veic. em mov.
Coimbra 2004:04:05 17:55:00 1 2 Arruamento,Atropelamento de peões
Coimbra 2004:04:09 21:15:00 1 2 Arruamento,Col. lat. c/veic. em mov.
Coimbra 2004:11:15 13:30:00 0 1 E. G. Inglesa,Atropelamento de peões
Coimbra 2004:10:14 06:50:00 1 0 VIARAP.TAV,Atropelamento de peões
Coimbra 2004:03:28 18:10:00 1 0 EN1,Col. lat. c/veic. em mov.
Coimbra 2004:08:19 17:05:00 1 0 B. Monte,Desp.c/colisão c/veíc.imob./obst.
Coimbra 2004:06:28 00:30:00 1 1 R. Central Passos,Despiste simples
Coimbra 2004:09:19 20:15:00 0 1 IC2,Desp. c/transp. disp. ret. lateral
Coimbra 2004:04:30 19:15:00 0 1 VIARAP.TAV,Atropelamento com fuga
Coimbra 2004:02:05 18:05:00 0 1 EN111,Atropelamento de peões
Coimbra 2004:01:16 06:00:00 0 1 Estrada Murtal,Desp.c/colisão c/veíc.imob./obst.
Coimbra 2004:01:18 14:40:00 0 1 Av. Afonso Henriques,Col. lat. c/veic. em mov.
Coimbra 2004:01:11 18:35:00 0 2 Av. Lousã,Col. traseira c/veic. em mov.
Coimbra 2004:12:18 03:20:00 0 1 Av. Gouveia Monteiro,Despiste s/disp. de retenção
Coimbra 2004:11:30 08:55:00 1 0 Circular Externa,Atropelamento de peões
Coimbra 2004:11:14 20:45:00 1 0 EN11-1,Atropelamento de peões
"Coimbra 2004:12:02 08:50:00 1 0 43,700 IP3",Col. traseira c/veic. em mov.
"Coimbra 2004:10:08 08:30:00 0 1 183,660 EN1",Atropelamento de peões
Coimbra 2004:12:15 08:30:00 0 1 R. do Mare,Atropelamento de peões
"Coimbra 2004:09:05 16:50:00 0 1 6,100 EN17",Colisão choque em cadeia
"Coimbra 2004:08:08 04:30:00 0 1 197,400 EN1",Atropelamento de peões
R. José Leopoldina do
Coimbra 2004:07:31 10:45:00 0 1 Santos,Atropelamento de peões
Coimbra 2004:07:20 19:10:00 1 0 EM535,Despiste c/capotamento
"Coimbra 2004:07:29 23:40:00 1 0 7,350 EN17",Colisão frontal
Cond.-a-Nova 2004:05:16 21:00:00 0 1 EM605,Desp.c/colisão c/veíc.imob./obst.
