Concelho,Datahora,M,FG,Via,Km,Natureza
Aguiar da Beira,31-07-2016 21:15,0,1,AVENIDA 5 DE AGOSTO - GRADIZ,-,Colisão lateral com outro veículo em movimento
Aguiar da Beira,03-07-2016 19:50,0,1,EN330,"0,400",Colisão lateral com outro veículo em movimento
Aguiar da Beira,01-11-2016 11:35,0,1,Rua da Cavaca,-,Atropelamento de animais
Aguiar da Beira,24-09-2016 10:05,0,1,Rua do Rego,-,Despiste simples
Almeida,28-09-2016 09:10,0,1,EN324,"96,100",Colisão com veiculo ou obstáculo na faixa de rodagem
Almeida,24-06-2016 18:50,0,1,EN332,"53,200",Colisão com outras situações
Almeida,04-08-2016 12:30,0,1,RUA DO LAGAR,-,Despiste simples
Celorico da Beira,23-08-2016 07:50,0,1,-,-,Despiste simples
Celorico da Beira,14-08-2016 11:20,0,2,A25,"146,100",Colisão com veiculo ou obstáculo na faixa de rodagem
Celorico da Beira,26-01-2016 09:25,0,1,EN16,"145,130",Colisão frontal
Figueira de Castelo Rodrigo,15-05-2016 18:30,0,1,AVENIDA 25 DE ABRIL,-,Despiste simples
Figueira de Castelo Rodrigo,07-10-2016 17:00,0,1,EN221,"128,650",Despiste simples
Fornos de Algodres,16-09-2016 18:30,0,1,Avenida Principal,-,Despiste simples
Gouveia,10-09-2016 11:30,0,2,-,-,Despiste com capotamento
Gouveia,28-11-2016 12:30,1,0,-,-,Atropelamento de peões
Gouveia,30-01-2016 01:45,0,1,Avenida da Liberdade,-,Despiste simples
Gouveia,11-07-2016 20:15,0,1,Avenida Dom Manuel I 00,-,Despiste com colisão com veículo imobil. ou obstáculo
Gouveia,25-07-2016 19:30,0,1,Avenida Serra da Estrela 0,-,Despiste simples
Gouveia,26-10-2016 13:50,0,1,DOUTOR ANTÓNIO BORGES,-,Atropelamento de peões
Gouveia,09-09-2016 00:30,0,1,EN17,"103,800",Despiste simples
Gouveia,23-01-2016 00:00,0,1,EN17,"104,900",Despiste simples
Gouveia,28-02-2016 19:10,0,1,EN17,"105,950",Colisão frontal
Guarda,16-07-2016 18:20,0,1,-,"12,100",Despiste simples
Guarda,12-02-2016 15:45,0,1,-,"157,653",Despiste com transposição do dispositivo de retenção lateral
Guarda,16-06-2016 17:20,1,0,-,-,Despiste com capotamento
Guarda,06-05-2016 15:10,0,1,A25,"162,400",Despiste com capotamento
Guarda,17-09-2016 16:00,0,1,Avenida 25 de Abril 00,-,Colisão com outras situações
Guarda,01-06-2016 10:50,0,1,Avenida Bombeiros Voluntários Egitanienses 000,-,Atropelamento de peões
Guarda,21-06-2016 08:15,0,1,Avenida Cidade de Salamanca 00,-,Atropelamento de peões
Guarda,06-05-2016 17:40,0,1,EM577,-,Despiste simples
Guarda,12-05-2016 13:00,0,2,EN16,"169,450",Despiste simples
Guarda,06-04-2016 19:50,0,1,EN338,"67,400",Colisão frontal
Guarda,29-04-2016 22:35,0,1,EN338,"73,700",Despiste simples
Guarda,17-10-2016 08:50,0,1,IP5,"157,300",Despiste simples
Guarda,05-07-2016 10:30,0,1,Largo São Marcos,-,Despiste com capotamento
Guarda,26-04-2016 11:50,0,1,Rua da Praça,-,Atropelamento de peões
Manteigas,10-08-2016 09:40,1,0,EN232,"69,200",Despiste com capotamento
Manteigas,31-03-2016 10:40,0,1,Rua Dr. Correia Tanganho,-,Atropelamento de peões
Meda,11-10-2016 17:00,0,1,-,-,Despiste simples
Meda,14-12-2016 14:56,0,1,EN324,"48,700",Colisão frontal
Pinhel,23-02-2016 18:00,0,1,EM560,-,Despiste com capotamento
Pinhel,06-10-2016 20:30,1,0,EN221,"168,900",Colisão com veiculo ou obstáculo na faixa de rodagem
Pinhel,13-06-2016 19:05,0,1,EN221,"174,000",Despiste com capotamento
Pinhel,10-08-2016 22:30,0,1,EN340,"8,980",Colisão frontal
Sabugal,27-10-2016 21:00,1,0,-,-,Despiste com capotamento
Sabugal,11-12-2016 00:15,1,0,-,-,Despiste simples
Sabugal,29-10-2016 13:30,0,1,EN233,"19,900",Colisão lateral com outro veículo em movimento
Sabugal,08-08-2016 18:15,0,1,RUA DO PINHAL,-,Atropelamento de peões
Sabugal,19-03-2016 19:20,0,1,Rua Santa Catarina,-,Atropelamento de peões
Seia,03-09-2016 20:00,0,1,Av.a Dr. Afonso Costa,-,Despiste simples
Seia,10-01-2016 22:00,0,1,Avenida do Brasil,-,Despiste simples
Seia,24-11-2016 17:20,0,1,EN231,"44,000",Colisão lateral com outro veículo em movimento
Seia,30-10-2016 06:44,0,2,EN231,"69,700",Despiste com capotamento
Seia,29-08-2016 11:45,0,1,EN232,"40,650",Despiste com capotamento
Seia,25-01-2016 01:30,1,0,Estrada Principal,-,Despiste com capotamento
Seia,24-11-2016 14:25,0,1,RUA DR. JOSÉ ANTÓNIO FERNANDES CAMELO,-,Despiste simples
Trancoso,29-09-2016 18:10,0,1,-,-,Atropelamento de peões
Trancoso,01-12-2016 18:49,0,1,EN226,"71,700",Despiste simples
Trancoso,21-09-2016 08:21,1,0,EN226,"79,250",Colisão com veiculo ou obstáculo na faixa de rodagem
Trancoso,19-01-2016 17:55,0,1,Rua Dr. Castro Lopes,-,Atropelamento de peões
Vila Nova de Foz Coa,13-09-2016 17:21,0,1,EN222,"208,500",Despiste com transposição do dispositivo de retenção lateral
Vila Nova de Foz Coa,08-10-2016 09:53,1,1,IP2,"58,585",Colisão frontal
