Concelho,Datahora,M,FG,Via,Km,Natureza
Alcobaca,16-09-2014 18:45,1,0,-,-,Despiste com capotamento
Alcobaca,27-10-2014 14:00,0,1,-,-,Colisão frontal
Alcobaca,04-01-2014 13:20,0,1,A8,"103,300",Despiste com capotamento
Alcobaca,31-10-2014 16:08,0,1,Avenida Combatentes da Grande Guerra 0,-,Atropelamento de peões
Alcobaca,31-07-2014 21:40,1,1,EN1,"84,727",Colisão traseira com outro veículo em movimento
Alcobaca,01-04-2014 02:43,0,1,EN1,"91,200",Colisão frontal
Alcobaca,29-09-2014 20:37,0,1,EN1,"101,100",Atropelamento de peões
Alcobaca,01-01-2014 17:30,0,1,EN8,"98,150",Despiste sem dispositivo de retenção
Alcobaca,20-01-2014 19:30,1,0,EN8,"98,800",Colisão lateral com outro veículo em movimento
Alcobaca,03-02-2014 18:00,0,1,EN8,"113,300",Colisão traseira com outro veículo em movimento
Alcobaca,04-05-2014 19:45,0,2,EN8,"118,550",Colisão lateral com outro veículo em movimento
Alcobaca,06-12-2014 06:35,0,1,EN8-6,"14,250",Atropelamento de peões
Alcobaca,13-11-2014 12:30,0,1,Estrada dos Candeeiros,-,Colisão lateral com outro veículo em movimento
Alcobaca,26-02-2014 11:05,0,1,Rotunda das Freiras 0,-,Atropelamento de peões
Alcobaca,25-01-2014 08:10,0,1,Rua Castelo 45,-,Despiste com colisão com veículo imobil. ou obstáculo
Alcobaca,28-03-2014 19:50,0,1,Rua da Cavada,-,Despiste simples
Alcobaca,29-11-2014 14:16,1,0,Rua de Santa Rita,-,Despiste simples
Alcobaca,14-09-2014 18:15,0,1,Rua Principal,-,Despiste simples
Alcobaca,20-01-2014 20:15,0,1,Rua Principal 68,-,Atropelamento de peões
Alvaiazere,06-02-2014 15:20,0,1,EN110,"63,300",Colisão lateral com outro veículo em movimento
Alvaiazere,09-08-2014 19:30,0,1,Estrada São João Baptista,-,Despiste simples
Alvaiazere,26-03-2014 04:55,0,1,Rua de São Bento,-,Despiste com colisão com veículo imobil. ou obstáculo
Ansiao,08-10-2014 13:45,0,1,EM1065,"0,010",Despiste simples
Ansiao,12-08-2014 06:30,0,1,EM1065,-,Despiste simples
Ansiao,01-05-2014 06:00,0,1,IC8,"62,300",Colisão frontal
Ansiao,19-09-2014 16:10,0,1,IC8,"67,100",Despiste com transposição do dispositivo de retenção lateral
Ansiao,10-08-2014 19:30,0,1,IC8,"68,850",Colisão lateral com outro veículo em movimento
Ansiao,20-09-2014 01:15,0,1,IC8,"73,100",Colisão frontal
Ansiao,01-11-2014 17:00,0,1,PQ.ESTAC.,-,Atropelamento de peões
Ansiao,25-12-2014 11:33,1,0,Rua Principal,-,Despiste simples
Ansiao,25-08-2014 04:15,1,0,Rua Principal Areosa,-,Despiste com colisão com veículo imobil. ou obstáculo
Batalha,28-07-2014 12:15,0,1,ACC-IC2,-,Atropelamento de peões
Batalha,16-12-2014 19:45,0,1,IC9,"29,600",Colisão traseira com outro veículo em movimento
Batalha,10-04-2014 16:05,0,1,Rua da Barreira 27,-,Colisão frontal
Bombarral,04-06-2014 17:00,1,0,A8,"63,240",Colisão traseira com outro veículo em movimento
Bombarral,27-06-2014 06:45,0,1,EN361,"15,040",Atropelamento de peões
Caldas da Rainha,11-08-2014 18:25,0,1,Ava do Mar,-,Atropelamento de peões
Caldas da Rainha,24-08-2014 10:40,0,1,Avenida Engenheiro Luís Paiva e Sousa 00,-,Despiste com capotamento
Caldas da Rainha,03-08-2014 08:20,0,1,Avenida João Fragoso 0,-,Colisão traseira com outro veículo em movimento
Caldas da Rainha,18-02-2014 07:40,0,1,EN8,"96,300",Colisão traseira com outro veículo em movimento
Caldas da Rainha,09-07-2014 18:50,0,1,EN8,"97,300",Colisão frontal
Caldas da Rainha,16-04-2014 10:00,1,0,Rua de São Sebastião,-,Atropelamento de peões
Caldas da Rainha,21-04-2014 20:20,0,1,Rua do Altinho,-,Colisão frontal
Caldas da Rainha,24-09-2014 15:50,0,1,Rua do Apeadeiro,-,Despiste simples
Caldas da Rainha,24-06-2014 21:00,0,1,Rua do Bairro,-,Despiste simples
Caldas da Rainha,22-03-2014 10:50,1,3,Rua dos Brijões,-,Colisão com veiculo ou obstáculo na faixa de rodagem
Caldas da Rainha,02-11-2014 08:35,0,1,Rua Dr. Artur Figueirôa Rêgo 45,-,Colisão traseira com outro veículo em movimento
Caldas da Rainha,11-03-2014 16:20,0,1,Rua Dr. Ilidio Amado 0,-,Despiste com colisão com veículo imobil. ou obstáculo
Caldas da Rainha,13-11-2014 11:50,0,1,RUA PROFESSOR MANUEL JOSÉ ANTÒNIO 7,-,Atropelamento de peões
Castanheira de Pera,10-09-2014 09:20,0,1,EM510-1,-,Atropelamento de peões
Figueiro dos Vinhos,17-07-2014 15:40,0,1,EM1143,-,Colisão com outras situações
Figueiro dos Vinhos,11-11-2014 19:48,1,0,EM517,"0,010",Colisão frontal
Figueiro dos Vinhos,30-08-2014 10:15,0,1,EN237,-,Colisão traseira com outro veículo em movimento
Leiria,22-04-2014 07:39,0,1,-,-,Colisão frontal
Leiria,09-06-2014 16:00,0,2,-,-,Colisão lateral com outro veículo em movimento
Leiria,25-08-2014 17:04,0,1,A1,"122,950",Despiste com capotamento
Leiria,01-10-2014 17:50,0,1,A1,"129,475",Colisão lateral com outro veículo em movimento
Leiria,19-09-2014 15:00,0,1,A1,"136,400",Despiste com dispositivo de retenção
Leiria,06-04-2014 04:10,0,1,Avenida 22 de Maio 28,-,Despiste com capotamento
Leiria,15-12-2014 21:45,0,1,Avenida 25 de Abril 0,-,Atropelamento de peões
Leiria,08-03-2014 19:15,1,0,EN1,"118,800",Atropelamento de peões
Leiria,13-11-2014 11:05,0,2,EN1,"125,100",Colisão frontal
Leiria,17-10-2014 19:37,1,0,EN1,"125,400",Colisão frontal
Leiria,06-10-2014 10:15,1,1,EN1,"129,930",Colisão frontal
Leiria,09-09-2014 12:15,0,1,EN1,"130,800",Colisão frontal
Leiria,16-08-2014 06:00,1,1,EN1,"131,864",Colisão frontal
Leiria,30-12-2014 07:40,2,2,EN1,"132,800",Colisão lateral com outro veículo em movimento
Leiria,29-09-2014 07:45,0,1,EN1,"133,700",Colisão frontal
Leiria,27-07-2014 14:30,1,0,EN109,"150,500",Despiste simples
Leiria,15-01-2014 13:11,0,1,EN109,"156,930",Despiste simples
Leiria,02-08-2014 07:30,0,1,EN109,"158,780",Colisão frontal
Leiria,11-10-2014 15:15,0,1,EN109,"160,900",Colisão com outras situações
Leiria,24-12-2014 17:55,1,0,EN109,"164,300",Atropelamento de peões
Leiria,10-08-2014 14:41,0,1,EN109-9,"10,170",Colisão frontal
Leiria,10-01-2014 08:45,0,1,EN113,"6,900",Colisão com outras situações
Leiria,05-10-2014 18:05,0,2,EN113,"9,600",Colisão traseira com outro veículo em movimento
Leiria,15-06-2014 13:45,0,1,EN242,"4,450",Colisão traseira com outro veículo em movimento
Leiria,27-04-2014 12:45,0,1,EN349-1,"10,100",Despiste com dispositivo de retenção
Leiria,13-11-2014 17:35,1,0,EN356,"0,010",Atropelamento de peões
Leiria,21-08-2014 10:15,0,1,EN356-1,"3,900",Colisão lateral com outro veículo em movimento
Leiria,07-03-2014 14:10,0,1,Rua Arneiro da Freira,-,Atropelamento de peões
Leiria,06-08-2014 19:35,0,1,Rua Central,-,Colisão traseira com outro veículo em movimento
Leiria,03-12-2014 11:00,0,1,Rua Central,-,Despiste simples
Leiria,01-02-2014 19:00,0,1,Rua da Bidoeira,-,Colisão frontal
Leiria,31-05-2014 18:15,1,0,Rua da Junqueira,-,Despiste simples
Leiria,02-08-2014 07:05,0,1,Rua das Barcas 26,-,Despiste com colisão com veículo imobil. ou obstáculo
Leiria,17-04-2014 12:25,0,1,Rua Dom José Alves Correia da Silva 88,-,Colisão frontal
Leiria,28-12-2014 06:00,0,1,Rua Estrada da Figueira da Foz 0,-,Despiste com dispositivo de retenção
Leiria,01-08-2014 03:00,0,1,Rua Imaculada Conceição 105,-,Despiste sem dispositivo de retenção
Leiria,07-03-2014 14:20,0,2,Rua Nossa Senhora das Dores,-,Colisão frontal
Leiria,02-12-2014 21:50,1,0,Rua Padre Margalhau,-,Colisão frontal
Leiria,17-06-2014 20:40,0,1,Rua Principal 1765,-,Despiste simples
Leiria,09-12-2014 09:00,0,1,Rua Santa Margarida 41,-,Despiste com colisão com veículo imobil. ou obstáculo
Marinha Grande,30-06-2014 21:40,0,1,EN242,"10,400",Colisão traseira com outro veículo em movimento
Marinha Grande,24-09-2014 22:40,0,1,EN242,"14,600",Colisão traseira com outro veículo em movimento
Marinha Grande,31-08-2014 16:35,0,1,EN242-1,"5,000",Colisão lateral com outro veículo em movimento
Marinha Grande,09-02-2014 21:40,0,1,EN242-1,"6,000",Colisão com veiculo ou obstáculo na faixa de rodagem
Marinha Grande,17-08-2014 16:35,0,1,EN349,"0,500",Colisão com outras situações
Marinha Grande,06-04-2014 04:50,0,1,Rua Guilherme Pereira Roldão 39,-,Despiste simples
Nazare,28-07-2014 00:28,1,0,A8,"108,340",Atropelamento de peões
Nazare,23-10-2014 18:05,0,1,Avenida Bombeiros Voluntários 0,-,Colisão frontal
Nazare,30-07-2014 21:10,0,1,EM549,"0,010",Colisão frontal
Nazare,30-08-2014 00:05,0,1,EN242,"37,000",Colisão frontal
Nazare,14-06-2014 21:35,0,1,EN242,"39,600",Colisão lateral com outro veículo em movimento
Nazare,02-02-2014 18:30,0,1,EN8-5,"6,700",Atropelamento de peões
Nazare,13-06-2014 21:50,0,1,Rua do Campo,-,Despiste simples
Nazare,02-05-2014 16:20,0,1,Rua Moinho de Vento 0,-,Despiste com colisão com veículo imobil. ou obstáculo
Obidos,14-08-2014 08:50,1,0,A15,"0,250",Colisão frontal
Obidos,27-09-2014 13:52,0,1,EN114,"21,620",Colisão com outras situações
Obidos,20-11-2014 14:36,1,0,Rua das Poças,-,Despiste simples
