Concelho Datahora M* FG* Via,km,Natureza
Alter do Chao 2006:01:07 18:40:00 2 1 EN369,"22,5",Despiste simples
Arronches 2006:07:07 19:50:00 0 1 EN371,"28,2",Desp.c/capotamento
Avis 2006:02:28 20:50:00 0 1 EN243,"135,700",Desp.c/capotamento
Avis 2006:08:12 19:10:00 0 6 EN370,"26,000",Col.lat.c/outro veíc.em mov.
Avis 2006:11:18 20:50:00 0 2 EM1071,,Desp.c/col.c/veíc.imobil.ou obst.
Avis 2006:11:27 15:10:00 0 1 EN370,"24,300",Despiste simples
Campo Maior 2006:03:23 20:35:00 1 0 EN371,"36,400",Desp.c/capotamento
Campo Maior 2006:05:07 10:00:00 0 1 Estrada Municipal,,Colisão frontal
Campo Maior 2006:09:01 18:30:00 0 1 R. Misericordia,,Atrop.de peões
Crato 2006:08:03 21:40:00 1 0 EN119,"135,000",Colisão com fuga
Crato 2006:10:20 09:55:00 0 1 IP2,"171,200",Col.lat.c/outro veíc.em mov.
Elvas 2006:03:01 00:15:00 1 0 EN246,"77,200",Desp.c/capotamento
Elvas 2006:03:29 08:20:00 0 1 Av. Badajoz,,Atrop.de peões
Elvas 2006:04:12 12:20:00 0 1 Estrada Municipal,,Colisão frontal
Elvas 2006:05:25 18:00:00 0 1 EN373,"31,378",Col.lat.c/outro veíc.em mov.
Elvas 2006:06:02 20:30:00 0 1 EN246,"70,600",Despiste simples
Elvas 2006:06:04 16:30:00 0 1 EM1128,,Despiste simples
Elvas 2006:06:07 15:10:00 0 1 R. Laranjeiras,,Atrop.de peões
Elvas 2006:06:22 15:25:00 0 1 Est. Can Can,,Atrop.de peões
Elvas 2006:07:07 18:30:00 0 1 R. Campo Maior,,Despiste simples
Elvas 2006:07:20 14:05:00 0 1 R Elvas,,Despiste simples
Elvas 2006:08:14 05:15:00 0 1 EN246,"76,700",Desp.c/col.c/veíc.imobil.ou obst.
Elvas 2006:10:12 00:20:00 1 0 A6,"156,450",Col.tras.c/outro veíc.em mov.
Elvas 2006:11:26 04:45:00 0 1 Av. Badajoz,,Despiste simples
Elvas 2006:12:29 10:45:00 0 1 EN4,"188,600",Desp.c/col.c/veíc.imobil.ou obst.
Fronteira 2006:11:20 20:35:00 0 1 Av. Heróis Atoleiros,,Col.lat.c/outro veíc.em mov.
Gavião 2006:05:29 15:25:00 1 1 EN118,"163,450",Colisão frontal
Gavião 2006:10:30 08:45:00 2 1 A23,"62,700",Col.tras.c/outro veíc.em mov.
Monforte 2006:01:14 02:45:00 0 1 IP2,"206,800",Col.lat.c/outro veíc.em mov.
Monforte 2006:04:01 15:15:00 1 0 IP2,"194,700",Despiste simples
Monforte 2006:11:23 17:30:00 0 3 IP2,"202,072",Colisão frontal
Nisa 2006:03:27 18:40:00 1 0 EN18,"142,400",Desp.c/col.c/veíc.imobil.ou obst.
Nisa 2006:04:23 05:55:00 0 1 IP2,"167,400",Desp.c/capotamento
Nisa 2006:05:09 12:50:00 1 0 EN245,"2,200",Despiste simples
Nisa 2006:05:14 16:50:00 1 0 IP2,"157,800",Desp.s/disposi.de ret.
Nisa 2006:07:18 08:40:00 0 1 EN2,"460,700",Desp.c/capotamento
Nisa 2006:07:31 10:00:00 0 1 EN364,"8,200",Col.lat.c/outro veíc.em mov.
Nisa 2006:08:10 04:37:00 0 1 EN18,"142,380",Despiste simples
Nisa 2006:08:17 09:15:00 0 1 EM529,"5,731",Desp.c/capotamento
Nisa 2006:08:17 14:10:00 0 1 Lugar Escola,,Atrop.de peões
Nisa 2006:09:24 18:15:00 0 1 R. Dr. Cruz Malpica,,Colisão frontal
Nisa 2006:10:14 16:25:00 0 2 IP2,,Atrop.de peões
Nisa 2006:11:13 07:55:00 0 2 EN359,"60,740",Col.lat.c/outro veíc.em mov.
Nisa 2006:12:09 08:30:00 0 1 EM526,,Col.tras.c/outro veíc.em mov.
Ponte de Sor 2006:02:02 19:25:00 1 0 EN2,"439,200",Colisão frontal
Ponte de Sor 2006:02:10 01:00:00 0 1 R. Hortas Pinhal,,Despiste simples
Ponte de Sor 2006:02:19 16:30:00 0 1 R. Joaquim Manuel Fernandes,,Atrop.de peões
Ponte de Sor,2006:04:12 19:30:00,1,0,EN119,"95,650",Col.lat.c/outro veíc.em mov.
Ponte de Sor,2006:07:05 11:00:00,0,1,EN244,"79,700",Despiste simples
Ponte de Sor,2006:08:30 22:40:00,0,1,EN243,"99,100",Desp.c/capotamento
Ponte de Sor,2006:12:04 20:10:00,0,2,EN2,"449,435",Colisão frontal
Ponte de Sor,2006:12:08 19:30:00,0,1,EM1048,,Col.lat.c/outro veíc.em mov.
Concelho,Datahora,M,FG,,Via,km,Natureza
Ponte de Sor,2006:12:31 12:45:00,0,1,EN244,,"86,800",Despiste simples
Portalegre,2006:02:04 17:23:00,1,0,Lgo. Serpa Pinto,,,Atrop.de peões
Portalegre,2006:02:12 13:20:00,0,1,Av. Estremadura,,,Atrop.de peões
Portalegre,2006:03:24 06:10:00,0,1,EN18,,"161,800",Desp.c/col.c/veíc.imobil.ou obst.
Portalegre,2006:04:24 13:45:00,1,0,EM517,,"8,000",Atrop.de peões
Portalegre,2006:04:25 18:15:00,0,1,EN359,,"131,800",Col.lat.c/outro veíc.em mov.
Portalegre,2006:05:07 23:15:00,0,1,EN359,,"131,000",Colisão frontal
Portalegre,2006:06:08 22:00:00,0,1,EN18,,"165,600",Atrop.de peões
Portalegre,2006:08:15 18:55:00,0,1,R. Nova,,,Desp.c/col.c/veíc.imobil.ou obst.
Portalegre,2006:09:03 20:15:00,0,1,IP2,,"174,400",Despiste simples
Portalegre,2006:10:08 14:35:00,0,6,IP2,,"180,400",Col.lat.c/outro veíc.em mov.
Portalegre,2006:11:29 17:45:00,2,0,EN246,,"28,200",Colisão frontal
Portalegre,2006:12:22 19:50:00,0,1,IP2,"182,700",Col.lat.c/outro veíc.em mov.
Sousel,2006:01:11 07:50:00,0,1,EM1083,,Col.lat.c/outro veíc.em mov.
Sousel,2006:01:26 09:10:00,0,1,EN372,"26,195",Atrop.de peões
Sousel,2006:02:14 18:50:00,1,1,EN372,"35,800",Colisão frontal
