Concelho,Datahora,M,FG,Via,km,Natureza
Alter do Chão,2009-05-04 17:30,0,1,EN245,"22,900",Colisão frontal
Alter do Chão,2009-09-11 18:45,0,1,EM532,"2,840",Despiste simples
Alter do Chão,2009-09-23 21:58,1,0,R TRINDADE,,Despiste simples
Arronches,2009-01-19 13:25,0,1,EN246,"48,100",Colisão frontal
Avis,2009-09-03 09:25,1,0,Outra Via,,Desp. c/ colisão  veíc. imobil. /obst.
Avis,2009-03-28 15:00,0,1,EN370,"15,300",Colisão tras. c/ outro veíc. mov.
Campo Maior,2009-01-23 23:00,0,1,EM1116,,Despiste com capotamento
Campo Maior,2009-10-31 16:20,1,0,Outra Via,,Despiste com capotamento
Campo Maior,2009-02-27 18:00,0,1,R DE CABO VERDE,,Atropelamento de peões
Elvas,2009-05-01 22:00,0,1,EN4,"167,500",Atropelamento de animais
Elvas,2009-05-24 18:10,0,1,Descida da Belhó,,Colisão tras. c/ outro veíc. mov.
Elvas,2009-05-21 17:30,0,1,Bairro da Sochinhas,,Atropelamento de peões
Elvas,2009-11-20 18:28,0,1,EN243-1,"12,200",Atropelamento de peões
Elvas,2009-07-24 06:30,1,0,EN246,"74,950",Despiste com capotamento
Elvas,2009-08-07 22:03,0,1,EN4,"181,000",Colisão tras. c/ outro veíc. mov.
Elvas,2009-04-15 23:40,0,1,AV BADAJOZ,,Despiste s/ disp. retenção
Elvas,2009-12-11 16:40,0,1,R TERESA M. PALMEIRO,,Colisão lat. c/ outro veíc. mov.
Elvas,2009-04-05 16:30,0,2,EM1109,,Despiste simples
Elvas,2009-07-27 01:00,0,1,AV BOA FÉ,,Despiste com capotamento
Elvas,2009-04-18 05:16,0,3,EN246,"74,700",Despiste com capotamento
Elvas,2009-05-04 17:15,0,1,R D NUNO ALV. PEREIRA,,Colisão lat. c/ outro veíc. mov.
Elvas,2009-10-06 16:20,0,1,ESTR PIEDADE,,Desp. c/ colisão  veíc. imobil. /obst.
Elvas,2009-01-17 03:40,0,1,EN372,"71,300",Atropelamento com fuga
Elvas,2009-07-27 13:00,0,1,R SAO LOURENÇO,,Atropelamento de peões
Elvas,2009-06-26 01:45,0,1,EM514,,Despiste simples
Elvas,2009-06-30 17:30,0,1,EN243,"182,500",Despiste com capotamento
Elvas,2009-04-09 13:30,0,1,EN4,,Colisão lat. c/ outro veíc. mov.
Elvas,2009-09-15 16:43,1,0,EN4,"187,000",Colisão lat. c/ outro veíc. mov.
Elvas,2009-07-03 11:00,0,1,EN4,,Atropelamento de peões
Gavião,2009-08-22 13:10,0,1,EM531,,Colisão frontal
Monforte,2009-10-16 22:45,0,1,EM506,,Desp. c/ colisão  veíc. imobil. /obst.
Monforte,2009-01-06 19:15,0,1,EN243,"167,450",Despiste s/ disp. retenção
Nisa,2009-07-01 18:49,0,1,EN18,"122,300",Despiste com capotamento
Nisa,2009-10-16 19:30,1,0,EN18,"139,500",Atropelamento de peões
Nisa,2009-01-10 15:30,1,0,R DOS PARALELOS 50,,Atropelamento de peões
Ponte de Sôr,2009-03-21 10:00,0,1,R BAR VALE ESTRADA,,Despiste com capotamento
Ponte de Sôr,2009-12-22 16:30,0,1,EN243,"28,750",Colisão frontal
Ponte de Sôr,2009-09-13 02:00,0,1,R CARRASCAL,,Despiste simples
Ponte de Sôr,2009-05-18 13:50,0,1,EN2,"456,900",Despiste com capotamento
Ponte de Sôr,2009-04-21 15:30,0,1,EN244,"78,700",Despiste s/ disp. retenção
Ponte de Sôr,2009-10-04 23:35,0,1,EM535,,Atropelamento de peões
Ponte de Sôr,2009-10-17 18:30,1,0,EM1059,,Despiste simples
Ponte de Sôr,2009-02-22 09:30,0,1,EN243,"96,500",Despiste simples
Ponte de Sôr,2009-08-22 14:16,0,1,EN244,"86,400",Despiste com capotamento
Portalegre,2009-10-29 09:50,0,1,EM520,,Colisão lat. c/ outro veíc. mov.
Portalegre,2009-10-20 13:40,0,1,EN359,"131,560",Colisão lat. c/ outro veíc. mov.
Portalegre,2009-07-12 05:15,0,1,IP2,"176,290",Atropelamento com fuga
Portalegre,2009-06-04 20:15,0,1,EM1045,,Colisão lat. c/ outro veíc. mov.
Portalegre,2009-03-11 22:04,0,4,EN18,"159,300",Colisão frontal
Portalegre,2009-05-22 17:15,0,1,EM517,"13,500",Colisão frontal
Portalegre,2009-05-17 17:00,0,1,EM522,,Colisão frontal
Portalegre,2009-02-28 06:30,0,1,AV DE BADAJOZ,,Desp. c/ colisão  veíc. imobil. /obst.
Portalegre,2009-02-28 21:40,0,1,EN18,"166,400",Colisão frontal
Portalegre,2009-02-03 13:00,0,1,EM1146,,Despiste simples
Portalegre,2009-01-25 12:20,0,1,EN246,"20,370",Despiste simples
Portalegre,2009-11-22 17:40,0,1,R BOAVISTA,,Colisão tras. c/ outro veíc. mov.
Portalegre,2009-11-15 04:25,0,1,EN18,"167,750",Despiste simples
Portalegre,2009-11-14 08:20,0,1,EM517,"0,500",Colisão frontal
Sousel,2009-12-17 23:30,0,1,EN372,"10,420",Despiste s/ disp. retenção
Sousel,2009-09-24 22:30,1,0,EM372,"31,200",Despiste com capotamento
