Concelho,Datahora,M,FG,Via,km,Natureza
Alter do Chão,2011:05:14 19:47:00,1,0,EN369,"11,000",Despiste simples
Alter do Chão,2011:05:15 16:30:00,0,1,EN245,"28,600",Despiste simples
Arronches,2011:04:20 12:00:00,1,0,Caminho terra batida,,Colisão lat. c/ outro veíc. mov.
Arronches,2011:09:28 15:55:00,0,2,EM516,,Despiste c/capotamento
Arronches,2011:12:13 08:50:00,1,0,EN371,"14,600",Colisão tras. c/ outro veíc. mov.
Avis,2011:02:10 19:20:00,0,1,EN243,"129,200",Colisão frontal
Avis,2011:12:31 04:50:00,0,2,EN243,"130,900",Despiste c/capotamento
Campo Maior,2011:03:30 22:06:00,1,0,EN371,"44,300",Despiste c/col. c/veíc. imobil./obst.
Campo Maior,2011:04:20 17:00:00,0,1,EN373,"9,662",Colisão frontal
Campo Maior,2011:07:31 20:48:00,2,2,EN243,"189,800",Despiste c/capotamento
Campo Maior,2011:09:29 08:05:00,1,1,EN371,"34,400",Colisão lat. c/ outro veíc. mov.
Campo Maior,2011:10:20 19:30:00,1,0,EN371,"48,200",Despiste simples
Campo Maior,2011:10:31 11:25:00,0,1,EN371,"48,300",Despiste simples
Crato,2011:01:01 17:20:00,0,1,R Efigénia Sá Nogueira,,Atropelamento de peões
Crato,2011:09:21 06:50:00,1,2,IC13,"141,200",Colisão frontal
Elvas,2011:01:13 18:30:00,0,1,EN4,"175,000",Atropelamento de peões
Elvas,2011:02:13 17:45:00,0,1,EN373,"20,200",Despiste s/dispositivo de retenção
Elvas,2011:06:08 19:15:00,0,1,EM1126,,Colisão frontal
Elvas,2011:07:31 17:40:00,0,1,EN243-1,"2,300",Despiste simples
Elvas,2011:09:13 16:45:00,0,1,Av Badajoz,,Colisão lat. c/ outro veíc. mov.
Elvas,2011:09:17 05:45:00,0,2,EN4,,Despiste s/dispositivo de retenção
Elvas,2011:09:25 19:45:00,0,1,EN4,"183,050",Colisão lat. c/ outro veíc. mov.
Elvas,2011:11:16 12:30:00,0,1,EN4,"166,440",Despiste c/ dispositivo de retenção
Elvas,2011:12:16 17:15:00,0,1,R Emigrante,,Co  l i s ã  oc  o  mo  u  t r a  ss  i t u  a  ç ões
Fronteira,2011:12:18 04:23:00,1,0,R Prof Dr Antunes Varela,,Despiste simples
Gavião,2011:03:05 02:00:00,1,0,EN244,"69,200",Despiste c/capotamento
Gavião,2011:06:25 19:15:00,1,0,EM1014,,Colisão c/veic./obstáculo f.rodagem
Gavião,2011:10:29 15:00:00,1,0,Estrada Municipal,,Despiste simples
Marvão,2011:07:30 04:40:00,0,1,EM1036,,Despiste simples
Monforte,2011:01:14 19:00:00,0,1,EM1136,,Despiste c/capotamento
Monforte,2011:11:22 08:42:00,1,3,IP2,"208,800",Colisão lat. c/ outro veíc. mov.
Nisa,2011:03:07 09:45:00,0,1,EM1002,"7,300",Despiste c/capotamento
Nisa,2011:03:08 14:55:00,0,1,IP2,"152,600",Despiste simples
Nisa,2011:05:30 11:00:00,0,1,IP2,"155,200",Despiste c/capotamento
Nisa,2011:09:08 07:30:00,0,1,EN359,"62,150",Colisão lat. c/ outro veíc. mov.
Nisa,2011:12:09 07:00:00,0,2,EN18,"147,600",Despiste c/capotamento
Ponte de Sor,2011:04:25 18:50:00,0,1,Estrada Municipal,,Despiste c/col. c/veíc. imobil./obst.
Ponte de Sor,2011:05:06 06:35:00,0,1,EN244,"86,000",Despiste c/col. c/veíc. imobil./obst.
Ponte de Sor,2011:06:03 23:00:00,1,0,EN244,"85,100",Colisão lat. c/ outro veíc. mov.
Ponte de Sor,2011:08:02 14:00:00,1,0,EN244,"80,500",Despiste s/dispositivo de retenção
Ponte de Sor,2011:08:23 09:00:00,0,1,EN244,"80,600",Despiste s/dispositivo de retenção
Portalegre,2011:01:05 18:30:00,0,1,R Dr Amorim Afonso,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Portalegre,2011:01:20 15:50:00,0,1,R Dr Feliciano Falcão,,Colisão lat. c/ outro veíc. mov.
Portalegre,2011:02:05 04:50:00,0,1,R 1o Maio,,D  e  s  p  i s  t ec  /c o  l .c  / v  e  í c .  imobil./obst.
Portalegre,2011:03:02 21:42:00,0,1,EM517,,Atropelamento de animais
Portalegre,2011:04:23 06:40:00,0,1,IP2,"180,300",Despiste c/capotamento
Portalegre,2011:06:12 06:00:00,0,1,EM523,"4,500",Despiste simples
Portalegre,2011:12:10 10:15:00,1,0,Acesso part terra batida,,Atropelamento com fuga
Sousel,2011:04:06 02:00:00,1,0,EN245,"53,300",Despiste simples
Sousel,2011:05:13 15:40:00,0,1,EN372,"14,850",Colisão tras. c/ outro veíc. mov.
,,18,45,,,
