Concelho,Datahora,M,FG,Via,Km,Natureza
Alter do Chao,11-12-2017 11:48,0,1,EN245,"25,900",Colisão lateral com outro veículo em movimento
Alter do Chao,07-05-2017 18:45,0,1,Rua N.Sra das Almas- Cunheira,-,Despiste simples
Arronches,25-06-2017 17:14,0,1,EN246,"58,800",Despiste simples
Arronches,05-12-2017 09:10,0,1,EN371,"20,400",Despiste simples
Avis,07-02-2017 09:15,0,1,-,-,Despiste com capotamento
Avis,15-10-2017 18:05,0,1,-,-,Despiste simples
Avis,16-06-2017 11:08,0,1,EN370,"18,200",Despiste simples
Campo Maior,03-09-2017 19:00,0,1,EN243,"189,900",Despiste com capotamento
Campo Maior,11-12-2017 18:00,0,1,EN371,"35,000",Colisão traseira com outro veículo em movimento
Campo Maior,15-06-2017 19:30,0,1,EN371,"46,820",Colisão frontal
Campo Maior,17-12-2017 17:39,0,2,EN373,"12,500",Colisão frontal
Campo Maior,03-01-2017 11:30,0,2,EN373,"13,300",Colisão frontal
Castelo de Vide,01-04-2017 05:15,0,2,EN246,"16,800",Despiste simples
Crato,28-07-2017 22:30,0,1,-,-,Despiste simples
Elvas,06-02-2017 12:31,0,1,-,-,Despiste com capotamento
Elvas,18-05-2017 18:15,0,1,-,-,Colisão com fuga
Elvas,07-12-2017 14:15,0,1,-,-,Despiste com capotamento
Elvas,15-03-2017 11:15,0,1,A6,"129,846",Despiste com capotamento
Elvas,04-12-2017 11:30,0,1,Avenida 1o de Maio 1,-,Atropelamento de peões
Elvas,02-10-2017 15:10,0,1,Avenida Boa-Fé 49,-,Colisão traseira com outro veículo em movimento
Elvas,16-09-2017 23:20,0,1,Avenida Dom Sancho Manuel 16,-,Colisão lateral com outro veículo em movimento
Elvas,13-08-2017 16:15,0,1,Bairro Pias 35,-,Atropelamento de peões
Elvas,24-02-2017 17:30,0,1,EN246,"68,800",Despiste simples
Elvas,09-05-2017 09:41,1,0,EN246,"75,200",Despiste simples
Elvas,08-06-2017 14:15,0,1,EN372,"58,850",Colisão lateral com outro veículo em movimento
Elvas,20-05-2017 19:19,1,0,EN372,"60,700",Despiste simples
Elvas,15-07-2017 19:30,0,1,EN372,"70,500",Despiste simples
Elvas,26-12-2017 07:45,0,1,EN373,"18,100",Despiste com capotamento
Elvas,14-12-2017 21:00,0,1,EN373,"26,000",Despiste sem dispositivo de retenção
Elvas,10-01-2017 17:00,0,1,EN4,"168,800",Colisão com fuga
Elvas,18-04-2017 13:00,1,0,EN4,"178,700",Colisão lateral com outro veículo em movimento
Elvas,16-11-2017 20:15,0,1,Estrada Santa Clara 1,-,Atropelamento de peões
Elvas,28-10-2017 04:45,0,1,Rua de São Francisco 15,-,Colisão traseira com outro veículo em movimento
Elvas,31-03-2017 14:50,0,1,Rua do Matadouro 1,-,Colisão frontal
Elvas,14-03-2017 11:40,0,1,Rua São Paulo 4,-,Atropelamento de peões
Fronteira,01-11-2017 01:00,2,2,-,-,Despiste com capotamento
Fronteira,24-11-2017 07:40,0,1,-,-,Colisão frontal
Fronteira,10-01-2017 01:40,0,3,EN245,"35,420",Despiste simples
Fronteira,17-06-2017 23:30,0,1,EN369,"31,700",Despiste simples
Gaviao,16-04-2017 18:00,0,3,-,-,Despiste com capotamento
Gaviao,29-03-2017 11:30,0,1,EN118,"159,150",Despiste simples
Gaviao,13-04-2017 11:29,0,1,EN118,"159,700",Colisão frontal
Gaviao,07-08-2017 15:21,0,1,EN118,"164,700",Colisão frontal
Gaviao,25-12-2017 19:10,1,0,EN118,"175,500",Colisão frontal
Gaviao,30-01-2017 12:05,1,0,Rua Vale Da Feiteira,-,Colisão frontal
Marvao,12-03-2017 18:15,0,1,-,-,Despiste simples
Monforte,26-11-2017 08:50,0,1,-,"11,000",Despiste simples
Monforte,23-05-2017 17:40,0,1,-,-,Despiste simples
