Concelho Datahora M* FG* Via,Km,Natureza
Amarante 2006:02:18 01:40:00 1 0 EN210,"30,000",Desp.c/transp.do disp.de ret.lat.
Amarante 2006:02:19 14:50:00 0 1 Estrada Municipal,,Col.tras.c/outro veíc.em mov.
Amarante 2006:03:18 19:45:00 0 1 Av. Gen.Vitorino Laranjeira,,Atrop.de peões
Amarante 2006:04:11 17:00:00 1 0 Estrada Municipal,,Despiste simples
Amarante 2006:04:14 12:00:00 0 1 EN211-1,"0,005",Col.lat.c/outro veíc.em mov.
Amarante 2006:07:18 17:00:00 1 3 S. Gonçalo,,Desp.c/capotamento
Amarante 2006:07:19 19:00:00 1 1 EN101,"142,430",Colisão frontal
Amarante 2006:08:05 17:15:00 0 1 R. Igreja,,Col.tras.c/outro veíc.em mov.
Amarante 2006:08:12 15:00:00 1 0 Estrada Municipal,,Desp.s/disposi.de ret.
Amarante 2006:08:27 21:30:00 0 2 Var-Tamega,,Atrop.de peões
Amarante 2006:09:01 23:30:00 0 1 Av. Agua Nova,,Atrop.de peões
Amarante 2006:09:08 14:00:00 0 1 Estrada Municipal,,Col.c/veic.ou obst.na fxa. de rod.
Amarante 2006:11:10 11:45:00 1 0 A4,"58,500",Colisão frontal
Amarante 2006:12:07 16:00:00 0 2 IP4,"65,400",Colisão frontal
Amarante 2006:12:09 03:20:00 0 1 EN15,"44,200",Col.lat.c/outro veíc.em mov.
Baião 2006:03:17 09:55:00 0 1 EN321,"3,150",Atrop.de peões
Baião 2006:04:18 05:30:00 0 2 EM579,,Colisão frontal
Baião 2006:06:18 17:30:00 0 1 Estrada Municipal,,Colisão frontal
Baião 2006:08:12 08:00:00 0 2 EN101,"155,800",Desp.s/disposi.de ret.
Baião 2006:10:15 02:30:00 0 1 EN304-3,"44,700",Desp.s/disposi.de ret.
Baião 2006:10:25 17:45:00 0 1 EN108,"91,500",Colisão frontal
Baião 2006:11:21 19:00:00 0 2 Estrada Municipal,,Desp.c/capotamento
Baião 2006:12:01 19:30:00 1 0 EN108,"79,600",Atropelamento com fuga
Felgueiras 2006:01:06 10:00:00 1 0 Lugar Bouças,,Desp.c/capotamento
Felgueiras 2006:01:13 14:30:00 0 1 Lugar Colveeira,,Atrop.de peões
Felgueiras 2006:01:15 01:15:00 0 1 Av Leonardo Coimbra,,Colisão com outras situações
Felgueiras 2006:01:21 13:00:00 0 1 EN207,"41,300",Col.lat.c/outro veíc.em mov.
Felgueiras 2006:02:23 07:40:00 0 1 EN15,"49,200",Colisão frontal
Felgueiras 2006:02:24 21:10:00 0 1 EN207,"40,500",Despiste simples
Felgueiras 2006:03:25 19:25:00 0 1 EN101,"137,900",Atrop.de peões
Felgueiras 2006:04:10 16:30:00 0 1 Lugar Vinha,,Atrop.de peões
Felgueiras 2006:04:12 19:15:00 0 1 Rot. Bombeiros,,Despiste simples
Felgueiras 2006:05:16 15:00:00 0 1 Av. Dr. Leonardo Coimbra,,Atrop.de peões
Felgueiras 2006:05:30 18:45:00 0 1 EN101-4,"0,900",Despiste simples
Felgueiras 2006:06:04 17:30:00 0 1 Lugar Sé Lagares,,Despiste simples
Felgueiras 2006:06:29 19:15:00 0 1 Lugar Chautado,,Col.lat.c/outro veíc.em mov.
Felgueiras 2006:06:29 23:30:00 0 1 Souto Real,,Colisão frontal
Felgueiras 2006:06:30 07:50:00 0 1 EN207-2,"0,050",Atrop.de peões
Felgueiras 2006:07:06 22:00:00 0 1 EN101-4,"1,000",Col.lat.c/outro veíc.em mov.
Felgueiras 2006:07:24 15:15:00 0 1 Av. Ribeiro Magalhães,,Col.c/veic.ou obst.na fxa. de rod.
Felgueiras 2006:08:07 08:10:00 0 1 EN101,"129,500",Atrop.de peões
Felgueiras 2006:09:07 20:15:00 0 1 Lugar Quinta,,Atrop.de peões
Felgueiras 2006:10:01 15:15:00 0 1 EN101,"128,750",Colisão frontal
Felgueiras 2006:10:03 22:15:00 0 1 Lugar Incados,,Desp.c/capotamento
Felgueiras 2006:11:11 21:30:00 0 1 Estrada Municipal,,Desp.c/col.c/veíc.imobil.ou obst.
Felgueiras 2006:11:16 11:30:00 1 0 Av. República,,Atrop.de peões
Felgueiras 2006:12:05 17:30:00 0 1 Av. Dr. Leonardo,,Atrop.de peões
Felgueiras,2006:12:14 23:30:00,0,2,Pedras Brancas,,Despiste simples
Felgueiras,2006:12:30 13:15:00,0,3,Lugar Santiago,,Colisão frontal
Gondomar,2006:01:17 18:45:00,1,0,ER108,,Atrop.de peões
Gondomar,2006:01:20 07:30:00,1,0,EN108,"16,300",Atrop.de peões
Gondomar,2006:01:24 09:40:00,0,1,R. D. Antonio Castro,,Atrop.de peões
Concelho,Datahora,M,FG,,Via,km,Natureza
Gondomar,2006:01:31 12:25:00,0,1,R. Tardariz,,,Atrop.de peões
Gondomar,2006:02:28 16:45:00,0,1,IC29,,"3,500",Despiste c/disp. de retenção
Gondomar,2006:03:24 10:00:00,0,1,Lgo. Venda Nova,,,Atrop.de peões
Gondomar,2006:03:30 21:15:00,0,1,Estr. D. Miguel,,,Col.tras.c/outro veíc.em mov.
Gondomar,2006:04:08 22:00:00,0,1,R Valado,,,Colisão com fuga
Gondomar,2006:04:14 13:25:00,0,1,R D Afonso Henriques,,,Col.tras.c/outro veíc.em mov.
Gondomar,2006:04:17 20:00:00,1,0,EN108,,"12,400",Despiste simples
Gondomar,2006:04:24 01:40:00,0,1,R. Portelinha,,,Despiste simples
Gondomar,2006:04:27 16:50:00,0,1,EN108,,"15,400",Colisão frontal
Gondomar,2006:05:18 21:25:00,0,1,Estr. D. Miguel,,,Atrop.de peões
Gondomar,2006:05:26 08:10:00,0,2,R. D. João Castro/Tva. Xistos,,,Atrop.de peões
Gondomar,2006:07:22 23:00:00,0,1,R. Inf. D. Henrique,,,Desp.c/capotamento
Gondomar,2006:09:12 08:00:00,0,1,R. Mimosas,,,Col.lat.c/outro veíc.em mov.
Gondomar,2006:09:13 14:00:00,0,1,Estrada Municipal,,,Colisão frontal
Gondomar,2006:09:22 21:40:00,0,1,Av. D. João I,,,Atrop.de peões
Gondomar,2006:09:23 07:40:00,0,1,R. N. Sra. Amparo,,,Col.lat.c/outro veíc.em mov.
Gondomar,2006:10:07 10:45:00,0,2,R. D. Antonio Castro Meireles,,,Col.c/veic.ou obst.na fxa. de rod.
Gondomar,2006:10:10 18:50:00,0,1,R. D. Miguel,,,Despiste simples
Gondomar,2006:10:21 10:20:00,0,2,Estr. D. Miguel,,,Col.lat.c/outro veíc.em mov.
Gondomar,2006:11:14 12:30:00,0,1,Av. Conduta,,,Colisão frontal
Gondomar,2006:11:17 11:45:00,1,0,R. Fernão Magalhães,,,Atrop.de peões
Gondomar,2006:12:14 01:30:00,0,1,IC29,,,Despiste c/disp. de retenção
Gondomar,2006:12:21 12:50:00,0,1,R. Vasco Gama/Estr. D. Miguel,,,Col.lat.c/outro veíc.em mov.
Lousada,2006:02:03 13:05:00,0,1,EN320-2,,"1,000",Col.lat.c/outro veíc.em mov.
Lousada,2006:02:11 05:15:00,0,1,R. 1 Maio,,,Desp.c/capotamento
Lousada,2006:03:13 22:00:00,0,1,Estrada Municipal,,,Atrop.de peões
Lousada,2006:03:30 11:40:00,0,1,IC25,,,Colisão frontal
Lousada,2006:05:08 12:40:00,0,1,Soutelo Vilar Torno,,,Atrop.de peões
Lousada,2006:06:29 16:20:00,0,1,Av Piscinas,,,Despiste simples
Lousada,2006:07:01 23:30:00,0,1,EN106,,"7,300",Colisão frontal
Lousada,2006:07:20 14:15:00,1,0,Lugar Almeida,,,Despiste simples
Lousada,2006:07:22 19:00:00,0,1,EN207,,,Colisão frontal
Lousada,2006:07:26 21:00:00,0,1,Alto Nevogilde,,,Col.lat.c/outro veíc.em mov.
Lousada,2006:07:28 20:15:00,0,1,Av. Comb. Gr. Guerra,,,Colisão frontal
Lousada,2006:09:09 15:00:00,0,1,EN15,,"45,400",Col.tras.c/outro veíc.em mov.
Lousada,2006:09:09 21:15:00,1,1,EN15,,"46,100",Desp.c/capotamento
Lousada,2006:09:30 20:10:00,0,1,Lugar Meinedo,,,Despiste simples
Maia,2006:01:01 07:50:00,0,2,EN14,,"10,500",Desp.c/col.c/veíc.imobil.ou obst.
Maia,2006:01:24 22:20:00,1,0,R. Sandes,,,Colisão frontal
Maia,2006:05:28 22:50:00,0,1,R. Central,,,Despiste simples
Maia,2006:06:23 01:30:00,0,1,R. Nova Gandra,,,Desp.c/col.c/veíc.imobil.ou obst.
Maia,2006:07:28 08:50:00,0,1,R. D. Afonso Henriques,,,Despiste simples
Maia,2006:07:28 23:45:00,0,1,R. D. Afonso Henriques,,,Col.lat.c/outro veíc.em mov.
Maia,2006:08:04 21:15:00,0,1,R. Sto. Condestavel,,,Col.lat.c/outro veíc.em mov.
Maia,2006:08:07 12:15:00,1,0,R. D. Afonso Henriques,,,Atrop.de peões
Maia,2006:10:01 03:45:00,1,0,A3,,"5,800",Desp.c/transp.do disp.de ret.lat.
Maia,2006:10:03 19:40:00,0,1,EN13,,"7,550",Col.c/veic.ou obst.na fxa. de rod.
Maia,2006:10:07 16:00:00,0,1,R. Santos Dias,,Atrop.de peões
Maia,2006:11:02 07:45:00,0,1,EN14,"9,000",Col.lat.c/outro veíc.em mov.
