Concelho,Datahora,M,FG,Via,km,Natureza
Amarante,2009:04:13 18:10:00,1,0,R MO,,Despiste simples
Amarante,2009:11:02 16:00:00,0,1,EN15,"52,950",Despiste simples
Amarante,2009:03:14 09:40:00,0,1,R MATOUCA,,Despiste com capotamento
Amarante,2009:06:28 10:40:00,1,0,R MO,,Atropelamento de peões
Amarante,2009:10:11 03:15:00,0,1,EN15,"57,200",Colisão lat. c/outro veíc. mov.
Amarante,2009:10:24 09:00:00,0,1,IP4,"66,400",Colisão frontal
Amarante,2009:12:24 15:20:00,1,0,A4,"57,400",Despiste c/ disp. retenção
Amarante,2009:05:23 20:00:00,1,1,A4,"51,300",Colisão com outras situações
Amarante,2009:09:09 11:10:00,0,1,R IGREJA,,Atropelamento de peões
Baiao,2009:08:08 22:30:00,4,3,,,Colisão lat. c/outro veíc. mov.
Baiao,2009:12:17 18:30:00,0,1,EM581,,Despiste simples
Baiao,2009:03:27 20:20:00,0,1,LUGAR LODEO,,Despiste com capotamento
Baiao,2009:09:01 05:53:00,0,1,EN101,"156,900",Despiste com capotamento
Baiao,2009:05:16 17:15:00,0,1,R CAMOES,,Despiste c/col. c/veíc. imobil./obst.
Felgueiras,2009:09:29 02:45:00,0,1,EN207-3,"0,100",Colisão frontal
Felgueiras,2009:09:21 07:55:00,0,1,EN101-4,"0,800",Colisão tras. c/ outro veíc. mov.
Felgueiras,2009:05:14 08:30:00,0,1,LUGAR MONTE,,Despiste c/col. c/veíc. imobil./obst.
Felgueiras,2009:06:24 15:30:00,0,1,LUGAR MILHOES,,Colisão frontal
Felgueiras,2009:01:21 13:15:00,0,1,LUGAR PENIDO,,Despiste simples
Felgueiras,2009:12:11 18:30:00,0,1,EN101-4,"2,600",Atropelamento de peões
Felgueiras,2009:02:07 13:20:00,0,1,EN207,"38,800",Colisão lat. c/outro veíc. mov.
Felgueiras,2009:02:10 20:50:00,0,1,EN207-3,,Colisão lat. c/outro veíc. mov.
Felgueiras,2009:09:25 20:20:00,0,1,EN15,"48,800",Atropelamento de peões
Felgueiras,2009:11:14 19:33:00,0,1,AV RIBEIRO MAGALHAES,,Atropelamento com fuga
,,,,LUGAR RECTA,,
Felgueiras,2009:10:12 09:00:00,0,1,,,Atropelamento de peões
,,,,RETONTOURA,,
Felgueiras,2009:11:16 18:25:00,0,1,LUGAR DO PARAISO,,Atropelamento de peões
Felgueiras,2009:02:12 08:05:00,0,1,EM564,,Atropelamento de peões
Felgueiras,2009:12:27 14:00:00,1,0,R COUTADA,,Despiste com capotamento
Felgueiras,2009:10:15 20:15:00,0,1,LUGAR CAMPAS,,Atropelamento de peões
Felgueiras,2009:06:24 00:30:00,0,1,R SANTO ANTONIO,,Colisão tras. c/ outro veíc. mov.
Felgueiras,2009:08:10 00:30:00,0,1,LUGAR ASSEITO,,Despiste simples
Felgueiras,2009:06:13 18:00:00,0,1,LUGAR COTO,,Colisão frontal
Felgueiras,2009:09:13 16:10:00,0,1,R PEDROSO,,Colisão choque em cadeia
,,,,Rua do Pinheiro da,,
Gondomar,2009:05:22 19:30:00,0,1,,,Atropelamento de peões
,,,,Saudade,,
Gondomar,2009:07:10 14:00:00,0,1,AV DA CONDUTA,,Atropelamento de peões
,,,,Rua Padre Joaquim das,,
Gondomar,2009:05:04 23:15:00,0,3,,,Atropelamento de peões
,,,,Neves,,
Gondomar,2009:05:02 19:55:00,0,1,AV MULTIUSOS,,Colisão c/veic./obstá. f. rodagem
Gondomar,2009:09:11 12:00:00,0,1,Rua da Igreja (Gondomar),,Atropelamento de peões
Gondomar,2009:07:07 12:12:00,0,1,AV CARVALHA,,Colisão lat. c/outro veíc. mov.
Gondomar,2009:02:16 11:00:00,0,1,EN108,"0,400",Colisão lat. c/outro veíc. mov.
Gondomar,2009:01:01 15:45:00,0,1,Avenida de Dom João I,,Atropelamento de peões
Gondomar,2009:01:21 06:45:00,0,1,TV CAVADA,,Atropelamento de peões
Gondomar,2009:11:20 18:00:00,0,1,R ALTO REGADAS,,Atropelamento de peões
Gondomar,2009:08:13 22:00:00,0,1,Avenida da Conduta,,Colisão lat. c/outro veíc. mov.
Gondomar,2009:05:17 18:45:00,0,1,EN108,"5,370",Atropelamento de peões
Lousada,2009:06:20 23:45:00,0,1,EN106,"18,300",Colisão com fuga
Lousada,2009:06:08 10:00:00,0,1,EN106,"16,350",Despiste com capotamento
Lousada,2009:10:13 21:00:00,0,1,EN207,"24,800",Colisão frontal
Lousada,2009:03:11 11:00:00,0,1,AV BOAVISTA,,Colisão frontal
Lousada,2009:05:28 08:45:00,1,0,EN106,"22,200",Colisão frontal
Lousada,2009:01:21 16:10:00,0,1,R PINHEIRINHOS,,Despiste simples
Lousada,2009:08:21 20:05:00,0,1,EN106,"19,100",Despiste com capotamento
Lousada,2009:08:30 18:15:00,1,2,EN15,"42,700",Colisão com outras situações
Lousada,2009:02:15 17:45:00,0,1,R BOTICA,,Colisão lat. c/outro veíc. mov.
Maia,2009:09:03 09:30:00,0,1,Via Central de Milheirós,Atropelamento de peões
,,,,Avenida de Nossa Senhor
Maia,2009:11:16 19:55:00,0,1,,Colisão tras. c/ outro veíc. mov.
,,,,da Natividad
,,,,Avenida Doutor German
Maia,2009:04:24 11:15:00,0,1,,Despiste c/col. c/veíc. imobil./obst.
,,,,Vieir
Maia,2009:04:09 13:15:00,0,1,Rua 5 de Outubro,Atropelamento de peões
Maia,2009:09:16 01:20:00,1,0,R CRUZ GUARDEIRAS,Despiste c/col. c/veíc. imobil./obst.
Maia,2009:12:12 06:15:00,0,1,R FRIAES,Atropelamento de peões
,,,,R JOAQUIM NOGUEIR
Maia,2009:05:22 04:10:00,0,1,,Atropelamento de peões
,,,,SANTO
Maia,2009:07:29 18:20:00,0,1,R FRIAES,Despiste c/col. c/veíc. imobil./obst.
Maia,2009:11:07 11:40:00,0,1,"A4112,200",Despiste c/ disp. retenção
,,,,AV FRANCISCO S
Maia,2009:03:21 07:00:00,1,0,,Colisão lat. c/outro veíc. mov.
,,,,CARNEIR
Maia,2009:01:17 15:50:00,0,1,"A412,400",Despiste simples
Maia,2009:04:19 01:30:00,0,1,"A417,350",Colisão tras. c/ outro veíc. mov.
,,,,EST DIAGONAL D
Maia,2009:05:23 03:25:00,0,1,,Colisão com outras situações
,,,,CIDREOGI
Maia,2009:12:14 08:40:00,2,0,R 1,Colisão lat. c/outro veíc. mov.
,,,,AV PADRE MANUE
Maia,2009:06:08 17:55:00,0,1,,Atropelamento de peões
,,,,ALVES DO REG
,,,,R DR JOAQUI
Maia,2009:04:17 18:45:00,0,1,,Atropelamento de peões
,,,,NOGUEIRO DOS SANTO
,,,,R CONSELHEIRO COST
Maia,2009:01:31 16:00:00,0,1,,Colisão frontal
,,,,AROS
Marco Canaveses,2009:10:04 17:50:00,0,1,"EN21065,300",Colisão lat. c/outro veíc. mov.
Marco Canaveses,2009:06:05 11:00:00,1,0,"EN2114,400",Colisão lat. c/outro veíc. mov.
Marco Canaveses,2009:02:14 17:20:00,0,1,"EN32036,250",Colisão lat. c/outro veíc. mov.
Marco Canaveses,2009:03:10 21:15:00,1,0,R DE SEQUEIROS,Atropelamento de peões
Marco Canaveses,2009:01:17 18:15:00,1,1,"EN321-10,900",Colisão lat. c/outro veíc. mov.
Marco Canaveses,2009:11:15 17:10:00,1,0,"EN2115,730",Colisão lat. c/outro veíc. mov.
Marco Canaveses,2009:08:07 22:00:00,0,2,,Colisão frontal
Marco Canaveses,2009:11:28 18:00:00,0,1,"EN21074,880",Despiste simples
Matosinhos,2009:11:06 16:46:00,0,1,Rua Silva Brinco,Colisão com outras situações
Matosinhos,2009:10:28 17:04:00,0,1,Rua do Tronco,Atropelamento de peões
,,,,R TEOFILO CARVALH
Matosinhos,2009:11:21 19:00:00,1,0,,Despiste simples
,,,,SANTO
Matosinhos,2009:12:23 16:20:00,1,0,"A41,700",Despiste c/ disp. retenção
Matosinhos,2009:08:04 22:05:00,0,1,AV DR MANUEL TEIXEIRA,Atropelamento de peões
Matosinhos,2009:04:20 00:20:00,0,1,"A2811,725",Desp. c/transp.disp. ret. lateral
Matosinhos,2009:06:06 16:20:00,0,1,Avenida da República,Atropelamento de peões
Matosinhos,2009:05:19 18:55:00,1,0,Rua 5 de Outubro,Atropelamento de peões
Matosinhos,2009:10:23 19:30:00,0,1,Ava Oscar Lopes,Colisão lat. c/outro veíc. mov.
Matosinhos,2009:05:17 16:00:00,0,1,"A285,300",Colisão lat. c/outro veíc. mov.
Matosinhos,2009:06:09 14:55:00,1,0,AV MARIO BRITO,Colisão frontal
Matosinhos,2009:01:07 06:30:00,0,1,A28,Atropelamento de peões
Matosinhos,2009:04:02 17:21:00,0,1,Rua Bernardino Machado,Colisão lat. c/outro veíc. mov.
Matosinhos,2009:07:27 08:20:00,1,0,"A285,300",Atropelamento de peões
Matosinhos,2009:04:27 17:20:00,1,0,"EN141,400",Atropelamento de peões
Matosinhos,2009:07:08 20:30:00,0,1,Avenida Antunes Guimarães,Despiste com capotamento
Matosinhos,2009:10:02 09:20:00,0,2,Avenida Fabril do Norte,Atropelamento de peões
Matosinhos,2009:06:22 20:30:00,0,1,Rua de São Gens,Atropelamento de peões
,,,,Travessa Dom Nuno Álvare
Matosinhos,2009:01:06 00:05:00,0,2,,Colisão com outras situações
,,,,Pereir
Matosinhos,2009:12:01 13:59:00,0,1,Avenida da República,Atropelamento de peões
Matosinhos,2009:06:07 05:00:00,0,1,"A286,200",Colisão c/veic./obstá. f. rodagem
Matosinhos,2009:09:09 07:30:00,0,1,Estrada da Circunvalação,Colisão lat. c/outro veíc. mov.
Pacos de Ferreira,2009:07:12 09:45:00,0,1,R ANTONIO BARBOSA,Colisão lat. c/outro veíc. mov.
Pacos de Ferreira,2009:09:13 19:00:00,1,0,"A420,500",Despiste simples
Pacos de Ferreira,2009:05:29 07:55:00,0,2,AV CENTRAL DA SEROA,Atropelamento de peões
