Concelho,Datahora,M,FG,Via,Km,Natureza
Amarante,27-11-2011 12:00,0,1,-,-,Despiste com colisão com veículo imobil. ...
Amarante,09-09-2011 17:35,0,1,EN15,"54,300",Colisão lateral com outro veículo em mov...
Amarante,20-07-2011 07:40,1,0,EN15,"64,650",Colisão lateral com outro veículo em mov...
Amarante,27-01-2011 21:15,1,0,EN210,"31,000",Despiste com dispositivo de retenção
Amarante,30-04-2011 10:50,1,0,IP4,"65,600",Colisão frontal
Amarante,13-06-2011 18:15,0,1,R CARREIRA DA L...,-,Colisão lateral com outro veículo em mov...
Amarante,08-08-2011 19:45,0,1,R CASTANHEIRO R...,-,Colisão frontal
Amarante,27-11-2011 10:45,0,1,R CENTRAL DO ES...,-,Colisão lateral com outro veículo em mov...
Amarante,12-09-2011 19:30,0,1,R COSTA GRANDE ...,-,Despiste sem dispositivo de retenção
Amarante,07-03-2011 18:20,1,0,R DA MÓ,-,Despiste simples
Amarante,16-03-2011 19:00,0,1,R DAS QUINTAS - ...,-,Atropelamento de peões
Amarante,06-04-2011 06:15,0,1,R DE PALMAZOES,-,Despiste simples
Amarante,28-07-2011 22:00,0,1,R DO NOGUEIRAL,-,Colisão lateral com outro veículo em mov...
Amarante,05-08-2011 20:15,0,1,R DO PINHEIRO,-,Colisão frontal
Amarante,14-12-2011 12:00,0,1,R DOS LAVADOUR...,-,Colisão frontal
Amarante,10-04-2011 09:45,0,2,R JOAQUIM AUGU...,-,Colisão frontal
Amarante,23-01-2011 14:15,0,1,R MARIO CAL BRA...,-,Colisão frontal
Amarante,19-06-2011 20:40,0,1,R NOVA BOAVISTA...,-,Despiste simples
Amarante,22-04-2011 21:30,3,3,R STO ESTEVAO,-,Atropelamento de peões
Amarante,25-03-2011 19:45,0,1,R TOQUEIROS,-,Atropelamento de peões
Amarante,15-07-2011 09:30,1,0,R VELHA DE CAND...,-,Atropelamento de peões
Amarante,03-01-2011 18:30,0,1,RUA DE ABOIM,-,Despiste com capotamento
Amarante,14-01-2011 18:15,0,1,RUA DOS SALGUEI...,-,Atropelamento de peões
Felgueiras,09-11-2011 10:05,1,0,A7,"51,000",Despiste com capotamento
Felgueiras,29-04-2011 12:10,0,1,AV DA REPUBLICA,-,Despiste com colisão com veículo imobil. ...
Felgueiras,20-01-2011 22:45,0,1,EN101,"128,900",Colisão frontal
Felgueiras,22-10-2011 02:50,1,0,EN101,"134,400",Despiste com colisão com veículo imobil. ...
Felgueiras,08-08-2011 00:50,1,0,EN15,"46,250",Despiste com capotamento
Felgueiras,20-11-2011 03:30,0,1,EN15,"49,000",Despiste sem dispositivo de retenção
Felgueiras,19-12-2011 19:15,1,0,LUG DE AGRAS,-,Atropelamento de peões
Felgueiras,18-01-2011 19:45,0,1,LUGAR DA IGREJA ...,-,Atropelamento de peões
Felgueiras,16-05-2011 19:00,0,1,LUGAR DE S ROQUE,-,Atropelamento de peões
Felgueiras,26-10-2011 17:30,1,0,R CASAL DAS POR...,-,Atropelamento de peões
Felgueiras,29-06-2011 21:30,1,2,R DAS CRUZES 222,-,Colisão frontal
Felgueiras,14-10-2011 15:50,1,0,R DE S BARTOLOM...,-,Atropelamento de peões
Felgueiras,23-09-2011 17:15,0,1,R DO CRUZEIRO,-,Despiste com colisão com veículo imobil. ...
Felgueiras,23-11-2011 11:10,0,1,R DOS VINTE E TR...,-,Colisão frontal
Felgueiras,20-09-2011 14:15,1,0,R NICOLAU COELHO,-,Colisão frontal
Felgueiras,19-05-2011 18:00,0,1,R S MARTINHO,-,Atropelamento de peões
Felgueiras,11-08-2011 18:00,0,1,R S MARTINHO - C...,-,Colisão lateral com outro veículo em mov...
Gondomar,10-03-2011 08:15,0,1,AV DA CARVALHA ...,-,Colisão lateral com outro veículo em mov...
Gondomar,24-02-2011 08:40,0,2,AV DA CONDUTA 4...,-,Colisão com outras situações
Gondomar,04-08-2011 15:40,1,0,Calçada Convenção...,-,Atropelamento de peões
Gondomar,11-04-2011 10:50,0,1,EN108,"9,438",Atropelamento de peões
Gondomar,18-12-2011 15:45,1,0,EN108,"12,300",Colisão traseira com outro veículo em m...
Gondomar,07-09-2011 21:30,0,1,Estrada D. Miguel (...,-,Atropelamento de peões
Gondomar,06-08-2011 01:46,1,0,R BELOI 893,-,Despiste com colisão com veículo imobil. ...
Gondomar,23-12-2011 22:30,0,1,R DAS AGUAS - PO...,-,Despiste simples
Gondomar,01-12-2011 22:00,1,0,R DOS VANZELERE...,-,Despiste sem dispositivo de retenção
Gondomar,15-10-2011 18:00,1,0,R ESTRADA D MIG...,-,Despiste com colisão com veículo imobil. ...
Gondomar,20-10-2011 18:00,1,0,R S PEDRO 1187,-,Atropelamento de peões
Gondomar,30-09-2011 23:30,0,1,Rua de Meiral Junt...,-,Despiste sem dispositivo de retenção
Gondomar,07-04-2011 22:25,0,2,Rua Novais Cunha ...,-,Atropelamento de peões
Gondomar,08-03-2011 22:20,0,1,Rua Padre Andrade...,-,Colisão lateral com outro veículo em mov...
Lousada,23-02-2011 19:00,1,0,AV DO POÇO,-,Colisão traseira com outro veículo em m...
Lousada,17-12-2011 09:20,1,0,EN106,"21,623",Colisão lateral com outro veículo em mov...
Lousada,20-08-2011 18:30,0,3,EN207,"28,100",Despiste simples
Lousada,19-06-2011 19:15,0,1,R CASTRO,-,Despiste com colisão com veículo imobil. ...
Lousada,19-02-2011 20:20,0,1,R DA BOAVISTA - ...,-,Colisão com outras situações
Lousada,11-09-2011 15:30,0,1,R DE PEREIRO 150,-,Despiste com colisão com veículo imobil. ...
Lousada,26-04-2011 17:30,0,1,R SERRA DE CAMP...,-,Colisão com veiculo ou obstáculo na faix...
Maia,11-08-2011 22:45,0,1,A3,"1,150",Colisão traseira com outro veículo em m...
Maia,19-02-2011 13:55,0,1,A3,"3,125",Despiste com dispositivo de retenção
Maia,10-02-2011 00:30,0,1,A3,"4,650",Colisão traseira com outro veículo em m...
Maia,,19-01-2011 16:10,1,1A3,,"4,790",Colisão com veiculo ou obstáculo na faix...
Maia,,07-06-2011 11:05,0,1A3,,"5,900",Despiste com capotamento
Maia,,26-01-2011 00:20,0,1AV AUGUSTO FER...,,-,Despiste com dispositivo de retenção
Maia,,20-10-2011 09:39,0,1Ave. João Paulo II ...,,-,Atropelamento com fuga
Maia,,13-04-2011 19:50,1,0R BERNARDINO M...,,-,Colisão com veiculo ou obstáculo na faix...
Maia,,18-06-2011 12:00,0,1R CAMPOSA 1454,,-,Colisão lateral com outro veículo em mov...
Maia,,04-02-2011 12:10,0,1R CORONEL CARL...,,-,Colisão frontal
Maia,,17-12-2011 19:00,0,1R DE AVIOSO 100,,-,Atropelamento de peões
Maia,,17-12-2011 04:15,0,2Rua Dom Afonso H...,,-,Colisão frontal
Maia,,21-12-2011 17:40,0,1Rua Nossa Senhor...,,-,Atropelamento de peões
Maia,,13-03-2011 05:35,0,1VIA ESTRETURANT...,,-,Despiste simples
Marco de Canaveses,,13-06-2011 13:40,1,0EN210,,"73,388",Atropelamento de peões
Marco de Canaveses,,22-05-2011 11:00,1,0EN210,,"75,000",Colisão lateral com outro veículo em mov...
Marco de Canaveses,,02-01-2011 03:30,0,5RUA S. PEDRO 408,,-,Despiste simples
Matosinhos,,01-10-2011 21:15,1,0A28,,"4,600",Atropelamento de peões
Matosinhos,,05-09-2011 16:00,0,1A28,,"8,000",Colisão com fuga
Matosinhos,,17-04-2011 05:05,2,0A28,,"12,750",Despiste simples
Matosinhos,,08-10-2011 18:00,0,1A28,,"13,000",Colisão traseira com outro veículo em m...
Matosinhos,,18-02-2011 16:30,0,1A4,,-,Despiste com colisão com veículo imobil. ...
Matosinhos,,05-10-2011 19:35,0,1Alameda Água Viva .,,-,Atropelamento de peões
Matosinhos,,20-07-2011 08:00,0,1Avenida Calouste G...,,-,Atropelamento de peões
Matosinhos,,29-04-2011 21:30,0,2Avenida Coronel H...,,-,Despiste com colisão com veículo imobil. ...
Matosinhos,,13-03-2011 19:30,0,1Avenida da Liberda...,,-,Atropelamento de peões
Matosinhos,,10-04-2011 16:55,0,1Avenida da Liberda...,,-,Atropelamento de peões
Matosinhos,,30-07-2011 23:30,0,2Avenida da Liberda...,,-,Atropelamento de peões
Matosinhos,,23-07-2011 12:50,0,1Avenida Doutor Ma...,,-,Colisão lateral com outro veículo em mov...
Matosinhos,,04-11-2011 11:30,0,1Avenida Engenheir...,,-,Atropelamento de peões
Matosinhos,,21-01-2011 21:55,0,1Avenida Fabril do ...,,-,Colisão com outras situações
Matosinhos,,10-12-2011 18:10,0,1Avenida Joaquim N...,,-,Colisão com veiculo ou obstáculo na faix...
Matosinhos,,06-02-2011 20:50,0,1Avenida Menéres .,,-,Colisão lateral com outro veículo em mov...
Matosinhos,,08-10-2011 07:10,1,0EN14,,"4,000",Colisão traseira com outro veículo em m...
Matosinhos,,22-10-2011 00:15,1,1R ANTONIO DA SI...,,-,Colisão com outras situações
Matosinhos,,20-08-2011 12:15,0,1R OFELIA CRUZ C...,,-,Atropelamento de peões
Matosinhos,,31-07-2011 22:15,0,1R PADRE ANTONI...,,-,Despiste simples
Matosinhos,,01-10-2011 09:05,0,2Rua de Recarei 320,,-,Colisão frontal
Matosinhos,,05-06-2011 07:40,0,1Rua do Araújo s/no,,-,Colisão frontal
Matosinhos,,05-12-2011 20:30,0,1Rua Doutor Eduard...,,-,Atropelamento de peões
Matosinhos,,26-11-2011 15:10,0,1Rua Godinho de Fa...,,-,Colisão traseira com outro veículo em m...
Pacos de Ferreira,,11-09-2011 19:10,2,0A42,,"10,400",Despiste com dispositivo de retenção
Pacos de Ferreira,,21-01-2011 17:20,0,1AV S TIAGO 400,,-,Atropelamento de peões
Pacos de Ferreira,,13-08-2011 09:55,0,1R ANTONIO CAMP...,,-,Atropelamento de peões
Pacos de Ferreira,,08-03-2011 15:00,0,1R DA AGRA,,-,Colisão com outras situações
Pacos de Ferreira,,19-07-2011 08:50,0,1R DR QUEIROS RI...,,-,Colisão lateral com outro veículo em mov...
Pacos de Ferreira,,26-05-2011 22:00,0,1R N SRA DO ROSA...,,-,Colisão com veiculo ou obstáculo na faix...
Pacos de Ferreira,,29-05-2011 00:45,1,1R N SRA DO ROSA...,,-,Colisão lateral com outro veículo em mov...
Pacos de Ferreira,,10-12-2011 20:00,1,0R PADRE ANTONI...,,-,Atropelamento de peões
Pacos de Ferreira,,15-03-2011 07:30,1,0R RECTA DE GOMI...,,-,Atropelamento de peões
Pacos de Ferreira,,03-01-2011 19:00,0,1RUA DOS MARCEN...,,-,Colisão lateral com outro veículo em mov...
Paredes,,01-05-2011 07:40,0,1-,,-,Colisão frontal
Paredes,,13-10-2011 20:00,1,0A4,,"28,870",Colisão com veiculo ou obstáculo na faix...
Paredes,,08-01-2011 18:45,0,2A42,,"0,500",Despiste com capotamento
Paredes,,03-05-2011 07:10,1,0A42,,"1,625",Atropelamento de peões
Paredes,,11-02-2011 21:10,0,1AV BOMBEIROS V...,,-,Colisão lateral com outro veículo em mov...
Paredes,,24-03-2011 17:55,0,1AV DA FABRICA - ...,,-,Atropelamento de peões
Paredes,,26-12-2011 21:45,1,0AV DO NOVAL,,-,Colisão traseira com outro veículo em m...
Paredes,,14-08-2011 05:00,0,1AV JOSE FERREIR...,,-,Despiste com colisão com veículo imobil. ...
Paredes,,25-11-2011 17:35,0,1AV SOUTO 103,,-,Atropelamento de peões
Paredes,,11-02-2011 23:50,0,2EN15,,"20,820",Colisão frontal
Paredes,,26-05-2011 21:10,0,2EN209,,"22,600",Despiste simples
Paredes,,05-04-2011 14:20,0,1EN209,,"25,900",Colisão traseira com outro veículo em m...
Paredes,,16-04-2011 14:30,0,1R DAS PROMESSAS,,-,Colisão frontal
Paredes,,24-08-2011 14:00,0,1R DE VALADAO 72,,-,Atropelamento de peões
