Concelho,Datahora,M,FG,Via,km,Natureza
Maia,2012:02:11 13:56:00,1,0,R. A. Silva Rocha,,Colisão lat. c/ outro veíc. mov.
Maia,2012:02:16 14:50:00,0,1,Via Cent. Milheirós,,Co  l i s ã  ol a  t .  c  /o  u  t r ov  e  í c  . mov.
Maia,2012:04:08 12:20:00,1,0,R. D. Afonso Henriques,,C  o  l i s  ã  of r o  n  t a  l
Maia,2012:04:30 02:30:00,0,1,EN14,"8,200",Colisão frontal
Maia,2012:05:03 17:35:00,0,1,R. D. Afonso Henriques,,A  t r o  p e  la  me  n  t od  ep  e  õ  e  s
Maia,2012:05:11 01:20:00,0,1,A3,"8,375",Despiste simples
Maia,2012:05:17 12:10:00,1,0,Alameda Granja,,Despiste c/col. c/veíc. imobil./obst
Maia,2012:05:23 16:25:00,1,0,Rot. Acesso à A41,,Despiste c/col. c/veíc. imobil./obst
Maia,2012:06:25 16:20:00,0,1,R Cruz Guardeiras,,Atropelamento de peões
Maia,2012:06:27 23:00:00,0,1,Rua 5 de Outubro,,Colisão frontal
Maia,2012:07:18 15:20:00,1,0,A41,"11,200",Despiste c/trans. disp.ret. lateral
Maia,2012:08:21 19:00:00,1,0,R. Cons. Costa Aroso,,Colisão frontal
Maia,2012:08:21 20:30:00,0,1,A3,"5,400",Despiste c/ capotamento
Maia,2012:09:26 12:50:00,1,0,Rua do Castanhal,,Colisão lat. c/ outro veíc. mov.
Maia,2012:10:17 10:00:00,1,0,A3,"8,375",Colisão c/veic./obstáculo f.rodagem
Maia,2012:12:23 11:00:00,1,0,R. D. Afonso Henriques,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Maia,2012:12:27 05:20:00,0,2,A3,"1,490",Colisão tras. c/ outro veíc. mov.
M. Canaveses,2012:01:10 14:45:00,0,1,EN320,"29,300",Colisão lat. c/ outro veíc. mov.
M. Canaveses,2012:02:06 18:45:00,0,1,Av. Dr. F. Sá Carneiro,,Atropelamento de peões
M. Canaveses,2012:02:16 00:10:00,1,0,EN210,"67,500",Colisão c/veic./obstáculo f.rodagem
M. Canaveses,2012:05:07 17:20:00,1,0,R. Principal Gondufe,,Despiste c/ capotamento
M. Canaveses,2012:05:19 16:30:00,1,1,R. de Oliveira,,Despiste simples
M. Canaveses,2012:05:30 08:40:00,0,1,R. de Montedeiras,,Colisão frontal
M. Canaveses,2012:06:02 21:00:00,2,0,Av. Fut. Clube Porto,,Atropelamento de peões
M. Canaveses,2012:06:29 20:15:00,0,1,Av. São João,,Colisão frontal
M. Canaveses,2012:07:23 00:40:00,1,0,Rua da Igreja,,Despiste simples
M. Canaveses,2012:07:27 17:50:00,1,0,Rua Paço de Além,,Despiste c/ capotamento
M. Canaveses,2012:10:03 19:30:00,0,1,Rua de Sobretamega,,Colisão frontal
M. Canaveses,2012:10:20 16:50:00,0,1,EN211,"6,250",Colisão lat. c/ outro veíc. mov.
Matosinhos,2012:01:02 16:30:00,0,3,Rua Mainça,,De  s  p  i s t ec  / c  o  l .c  / v e  í c  .  i mo  bil./obst
Matosinhos,2012:01:07 07:00:00,2,0,EN14,"3,800",Despiste c/ capotamento
Matosinhos,2012:01:25 13:48:00,0,1,Av. Villagarcia de Arosa,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Matosinhos,2012:02:23 16:00:00,0,1,A28,"7,850",Atropelamento de peões
Matosinhos,2012:02:26 05:15:00,1,0,EN14,"3,000",Despiste c/ dispositivo de retenção
Matosinhos,2012:07:11 15:30:00,1,0,Rua Don Marcos da Cruz,,Colisão tras. c/ outro veíc. mov.
Matosinhos,2012:07:14 18:15:00,0,1,Al. Infanta Dona Mafalda,,Colisão lat. c/ outro veíc. mov.
Matosinhos,2012:07:25 14:55:00,0,1,VRI,,Colisão tras. c/ outro veíc. mov.
Matosinhos,2012:07:27 06:00:00,1,0,A28,"8,532",Despiste c/ dispositivo de retenção
Matosinhos,2012:08:20 22:45:00,1,2,A4,"1,300",Colisão com outras situações
Matosinhos,2012:08:25 20:00:00,0,2,Rua Guilherme Castilho,,Colisão com outras situações
Matosinhos,2012:08:30 03:30:00,0,1,EN14,"1,500",Atropelamento de peões
Matosinhos,2012:09:03 17:15:00,0,1,R. Dr. Eduardo Torres,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Matosinhos,2012:09:04 16:30:00,0,1,R. Dom João I,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Matosinhos,2012:09:08 23:40:00,0,1,Avenida Liberdade,,A  t r o  p  e  l a  me  n  t oc  o  mf u  g  a
Matosinhos,2012:10:15 07:45:00,1,0,EN14,"5,500",Colisão choque em cadeia
Matosinhos,2012:12:16 19:20:00,0,1,Rua Recarei,,Colisão choque em cadeia
Matosinhos,2012:12:28 19:15:00,0,1,Avenida Xanana Gusmão,,Atropelamento de peões
P. de Ferreira,2012:04:21 04:30:00,0,1,R. Albino Matos,,Colisão com outras situações
P. de Ferreira,2012:04:23 01:15:00,1,0,R. de Soutelinhos,,Despiste simples
P. de Ferreira,2012:05:04 22:00:00,1,0,R. N. Sra do Rosário,,Atropelamento de peões
P. de Ferreira,2012:06:25 01:00:00,0,1,R. de Gronte,,Despiste c/col. c/veíc. imobil./obst
P. de Ferreira,2012:09:26 07:50:00,0,1,A42,"0,800",Despiste c/trans. disp.ret. lateral
P. de Ferreira,2012:11:06 08:10:00,1,0,Rua do Padrão,,Atropelamento de peões
P. de Ferreira,2012:12:15 18:00:00,1,0,Rua do Facho,,Atropelamento de peões
Paredes,2012:01:05 15:50:00,0,1,Av. Bomb. Vol.,,Atropelamento de peões
Paredes,2012:01:18 19:15:00,1,0,R. Ribeiro da Silva,,Colisão frontal
